index,open,high,low,close,volume,Name
2013-02-08,67.71,68.4,66.89,67.85,158168416,AAPL
2013-02-09,67.83,68.69,67.13,68.09,148455419,AAPL
2013-02-10,67.95,68.99,67.37,68.33,138742422,AAPL
2013-02-11,68.07,69.28,67.61,68.56,129029425,AAPL
2013-02-12,68.5,68.91,66.82,66.84,151829363,AAPL
2013-02-13,66.74,67.66,66.17,66.72,118721995,AAPL
2013-02-14,66.36,67.38,66.29,66.66,88809154,AAPL
2013-02-15,66.98,67.17,65.7,65.74,97924631,AAPL
2013-02-16,66.7,66.9,65.49,65.73,100656985,AAPL
2013-02-17,66.42,66.63,65.27,65.72,103389338,AAPL
2013-02-18,66.15,66.37,65.05,65.72,106121692,AAPL
2013-02-19,65.87,66.1,64.84,65.71,108854046,AAPL
2013-02-20,65.38,65.38,64.11,64.12,118891367,AAPL
2013-02-21,63.71,64.17,63.26,63.72,111596821,AAPL
2013-02-22,64.18,64.51,63.8,64.4,82583823,AAPL
2013-02-23,64.4,64.68,63.61,64.02,86022414,AAPL
2013-02-24,64.62,64.85,63.42,63.64,89461006,AAPL
2013-02-25,64.84,65.02,63.22,63.26,92899597,AAPL
2013-02-26,63.4,64.51,62.52,64.14,125096657,AAPL
2013-02-27,64.06,64.63,62.95,63.51,146674682,AAPL
2013-02-28,63.44,63.98,63.06,63.06,80532382,AAPL
2013-03-01,62.57,62.6,61.43,61.5,137899041,AAPL
2013-03-02,62.09,62.12,60.9,61.0,140401483,AAPL
2013-03-03,61.6,61.65,60.38,60.5,142903924,AAPL
2013-03-04,61.11,61.17,59.86,60.01,145406366,AAPL
2013-03-05,60.21,62.17,60.11,61.59,159298020,AAPL
2013-03-06,62.07,62.18,60.63,60.81,114903180,AAPL
2013-03-07,60.64,61.72,60.15,61.51,116992841,AAPL
2013-03-08,61.4,62.2,61.23,61.67,97854442,AAPL
2013-03-09,61.4,62.37,61.06,61.97,104660337,AAPL
2013-03-10,61.4,62.55,60.9,62.26,111466231,AAPL
2013-03-11,61.39,62.72,60.73,62.55,118272126,AAPL
2013-03-12,62.23,62.7,61.08,61.2,116268341,AAPL
2013-03-13,61.21,62.07,60.77,61.19,101369051,AAPL
2013-03-14,61.83,62.09,61.49,61.79,75834906,AAPL
2013-03-15,62.56,63.46,62.46,63.38,160710606,AAPL
2013-03-16,62.73,64.09,62.65,63.95,157287452,AAPL
2013-03-17,62.9,64.72,62.84,64.53,153864298,AAPL
2013-03-18,63.06,65.35,63.03,65.1,150441144,AAPL
2013-03-19,65.64,65.85,64.07,64.93,131531708,AAPL
2013-03-20,65.35,65.38,64.23,64.58,77016849,AAPL
2013-03-21,64.32,65.43,64.3,64.68,95493524,AAPL
2013-03-22,64.94,66.01,64.73,65.99,98570591,AAPL
2013-03-23,65.42,66.39,65.14,66.07,107404782,AAPL
2013-03-24,65.9,66.76,65.56,66.15,116238974,AAPL
2013-03-25,66.38,67.14,65.97,66.23,125073165,AAPL
2013-03-26,66.49,66.55,65.79,65.88,73428208,AAPL
2013-03-27,65.21,65.26,64.39,64.58,81854409,AAPL
2013-03-28,64.26,64.55,63.09,63.24,110698007,AAPL
2013-03-29,63.98,64.26,62.59,62.75,107347110,AAPL
2013-03-30,63.69,63.97,62.1,62.25,103996214,AAPL
2013-03-31,63.41,63.68,61.6,61.76,100645318,AAPL
2013-04-01,63.13,63.39,61.11,61.27,97294421,AAPL
2013-04-02,61.09,62.59,60.91,61.4,132350022,AAPL
2013-04-03,61.62,62.47,61.47,61.71,90719482,AAPL
2013-04-04,61.97,62.14,60.75,61.1,89589332,AAPL
2013-04-05,60.64,60.71,59.95,60.46,95743088,AAPL
2013-04-06,60.66,60.83,60.09,60.6,88885274,AAPL
2013-04-07,60.68,60.95,60.22,60.74,82027461,AAPL
2013-04-08,60.69,61.07,60.36,60.89,75169647,AAPL
