index,open,high,low,close,volume,Name
2013-02-08,38.31,39.45,38.15,39.12,5104545,ADBE
2013-02-09,38.54,39.32,38.27,38.96,4180934,ADBE
2013-02-10,38.76,39.18,38.4,38.8,3257323,ADBE
2013-02-11,38.99,39.05,38.53,38.64,2333712,ADBE
2013-02-12,38.55,39.13,38.12,38.89,3279424,ADBE
2013-02-13,38.9,39.15,38.67,38.81,2490936,ADBE
2013-02-14,38.7,38.92,38.3,38.61,4929645,ADBE
2013-02-15,38.51,38.76,38.38,38.64,2367880,ADBE
2013-02-16,38.53,38.82,38.42,38.72,2290031,ADBE
2013-02-17,38.54,38.88,38.45,38.82,2212182,ADBE
2013-02-18,38.56,38.94,38.48,38.9,2134334,ADBE
2013-02-19,38.58,39.0,38.52,38.99,2056485,ADBE
2013-02-20,39.04,39.28,38.75,38.77,3129578,ADBE
2013-02-21,38.82,38.82,38.3,38.34,2872613,ADBE
2013-02-22,38.54,38.87,38.37,38.55,2835481,ADBE
2013-02-23,38.58,38.94,38.28,38.4,2803201,ADBE
2013-02-24,38.62,39.01,38.19,38.26,2770922,ADBE
2013-02-25,38.66,39.08,38.1,38.11,2738642,ADBE
2013-02-26,38.14,38.66,38.09,38.59,2924950,ADBE
2013-02-27,38.32,39.75,38.1,39.6,5285247,ADBE
2013-02-28,39.54,39.94,39.29,39.31,3637596,ADBE
2013-03-01,39.3,39.88,38.96,39.83,2328199,ADBE
2013-03-02,39.45,40.08,39.12,40.04,2359974,ADBE
2013-03-03,39.59,40.27,39.29,40.25,2391748,ADBE
2013-03-04,39.74,40.47,39.45,40.46,2423523,ADBE
2013-03-05,40.76,41.49,40.68,41.46,4236512,ADBE
2013-03-06,41.47,41.77,41.13,41.29,2835525,ADBE
2013-03-07,41.4,41.59,41.2,41.5,2678444,ADBE
2013-03-08,41.75,41.91,41.32,41.5,3330208,ADBE
2013-03-09,41.54,41.79,41.2,41.49,3764257,ADBE
2013-03-10,41.33,41.66,41.08,41.49,4198305,ADBE
2013-03-11,41.12,41.54,40.96,41.48,4632354,ADBE
2013-03-12,41.53,41.53,41.15,41.4,3454744,ADBE
2013-03-13,41.5,41.81,41.3,41.59,2892454,ADBE
2013-03-14,41.82,41.93,41.44,41.62,2762856,ADBE
2013-03-15,41.45,41.79,41.32,41.38,5424159,ADBE
2013-03-16,41.33,41.69,40.95,41.27,4719849,ADBE
2013-03-17,41.2,41.58,40.58,41.17,4015539,ADBE
2013-03-18,41.08,41.48,40.21,41.06,3311229,ADBE
2013-03-19,41.1,41.37,40.49,40.75,4715656,ADBE
2013-03-20,42.7,43.23,42.0,42.46,10733242,ADBE
2013-03-21,41.99,42.63,41.9,42.18,5659354,ADBE
2013-03-22,42.17,43.23,42.11,42.97,5595189,ADBE
2013-03-23,42.41,43.29,42.21,42.81,5470646,ADBE
2013-03-24,42.66,43.36,42.31,42.65,5346103,ADBE
2013-03-25,42.9,43.42,42.41,42.49,5221560,ADBE
2013-03-26,42.66,42.95,42.46,42.75,2125366,ADBE
2013-03-27,42.6,42.88,42.38,42.66,1706931,ADBE
2013-03-28,42.54,43.59,42.42,43.52,4075185,ADBE
2013-03-29,42.74,43.64,42.62,43.48,3905865,ADBE
2013-03-30,42.95,43.68,42.82,43.45,3736544,ADBE
2013-03-31,43.16,43.73,43.03,43.41,3567224,ADBE
2013-04-01,43.36,43.78,43.23,43.38,3397904,ADBE
2013-04-02,43.5,43.89,43.36,43.84,3371517,ADBE
2013-04-03,43.78,43.84,43.49,43.7,5043009,ADBE
2013-04-04,43.74,44.25,43.44,44.21,5109824,ADBE
2013-04-05,43.42,43.86,43.21,43.38,4307719,ADBE
2013-04-06,43.37,43.84,43.18,43.52,3809825,ADBE
2013-04-07,43.32,43.82,43.16,43.65,3311931,ADBE
2013-04-08,43.27,43.8,43.14,43.79,2814037,ADBE
2013-04-09,43.71,44.26,43.34,44.17,2529305,ADBE
2013-04-10,44.42,45.4,44.33,44.7,5795402,ADBE
2013-04-11,45.04,45.53,44.8,45.21,5896264,ADBE
2013-04-12,45.15,45.16,44.74,45.03,2817672,ADBE
2013-04-13,45.04,45.26,44.69,44.89,3062665,ADBE
2013-04-14,44.92,45.36,44.64,44.74,3307659,ADBE
2013-04-15,44.81,45.46,44.59,44.6,3552652,ADBE
2013-04-16,44.77,45.35,44.77,45.28,2226459,ADBE
2013-04-17,44.86,45.17,44.51,44.9,3421158,ADBE
2013-04-18,45.18,45.2,44.34,44.46,2995895,ADBE
2013-04-19,44.6,44.81,44.31,44.74,2746888,ADBE
2013-04-20,44.73,44.94,44.32,44.67,2506700,ADBE
2013-04-21,44.87,45.07,44.32,44.6,2266512,ADBE
2013-04-22,45.0,45.2,44.33,44.53,2026324,ADBE
2013-04-23,44.84,45.36,44.44,44.87,2163722,ADBE
2013-04-24,44.91,45.05,44.52,44.67,2223455,ADBE
2013-04-25,44.75,45.2,44.56,45.05,2131886,ADBE
2013-04-26,44.84,45.18,44.78,44.91,2300068,ADBE
2013-04-27,44.86,45.32,44.79,44.96,2717748,ADBE
2013-04-28,44.87,45.45,44.81,45.01,3135427,ADBE
2013-04-29,44.89,45.59,44.82,45.06,3553107,ADBE
2013-04-30,44.76,45.15,44.55,45.08,4313153,ADBE
2013-05-01,45.14,45.73,44.61,44.71,3817579,ADBE
2013-05-02,44.65,45.88,44.63,45.69,2738430,ADBE
2013-05-03,46.0,47.17,45.82,47.01,4226406,ADBE
2013-05-04,46.33,47.16,46.04,46.84,3843670,ADBE
2013-05-05,46.67,47.15,46.26,46.66,3460934,ADBE
2013-05-06,47.0,47.14,46.48,46.49,3078198,ADBE
2013-05-07,46.46,46.68,45.29,45.6,6862931,ADBE
