index,open,high,low,close,volume,Name
2013-02-08,50.38,50.5,50.08,50.35,4175138,AFL
2013-02-09,50.37,50.46,50.09,50.32,3890677,AFL
2013-02-10,50.37,50.43,50.1,50.29,3606217,AFL
2013-02-11,50.36,50.39,50.11,50.26,3321756,AFL
2013-02-12,50.11,50.22,49.42,49.5,7704847,AFL
2013-02-13,49.43,49.54,48.49,48.65,6063028,AFL
2013-02-14,48.43,48.93,48.17,48.83,4984415,AFL
2013-02-15,48.94,49.41,48.75,49.34,5319567,AFL
2013-02-16,49.02,49.46,48.77,49.39,5136801,AFL
2013-02-17,49.1,49.52,48.79,49.44,4954035,AFL
2013-02-18,49.18,49.57,48.81,49.48,4771269,AFL
2013-02-19,49.26,49.62,48.83,49.53,4588503,AFL
2013-02-20,50.03,50.25,49.79,49.82,4685629,AFL
2013-02-21,49.83,49.83,49.1,49.58,4031127,AFL
2013-02-22,49.93,50.07,49.59,50.07,2775428,AFL
2013-02-23,50.04,50.14,49.34,49.67,3051422,AFL
2013-02-24,50.16,50.21,49.09,49.28,3327416,AFL
2013-02-25,50.27,50.28,48.84,48.88,3603410,AFL
2013-02-26,49.2,49.46,48.51,48.81,4689968,AFL
2013-02-27,48.86,50.08,48.78,49.93,4348020,AFL
2013-02-28,49.86,50.42,49.64,49.95,3098224,AFL
2013-03-01,50.09,50.67,49.57,50.19,3613882,AFL
2013-03-02,50.06,50.54,49.64,50.2,3278910,AFL
2013-03-03,50.03,50.4,49.7,50.2,2943937,AFL
2013-03-04,50.0,50.27,49.77,50.21,2608965,AFL
2013-03-05,50.6,51.25,50.52,51.01,3092878,AFL
2013-03-06,51.25,51.53,51.01,51.1,2101086,AFL
2013-03-07,51.3,51.62,50.69,51.57,3182317,AFL
2013-03-08,51.75,51.94,50.09,50.14,6912160,AFL
2013-03-09,51.2,51.64,50.06,50.44,5778984,AFL
2013-03-10,50.65,51.35,50.02,50.75,4645809,AFL
2013-03-11,50.1,51.05,49.99,51.05,3512633,AFL
2013-03-12,50.89,51.0,50.58,50.75,2714840,AFL
2013-03-13,50.8,50.9,50.43,50.64,2154729,AFL
2013-03-14,50.89,51.03,50.5,50.66,2662207,AFL
2013-03-15,50.66,51.09,50.52,51.08,4130277,AFL
2013-03-16,50.6,50.94,50.38,50.79,3848973,AFL
2013-03-17,50.53,50.79,50.25,50.51,3567669,AFL
2013-03-18,50.47,50.64,50.11,50.22,3286365,AFL
2013-03-19,50.42,50.45,49.58,49.81,3453246,AFL
2013-03-20,50.17,50.89,50.01,50.72,3326225,AFL
2013-03-21,50.51,51.35,50.25,51.06,4576228,AFL
2013-03-22,51.24,51.85,51.1,51.85,3067258,AFL
2013-03-23,51.49,51.9,51.13,51.74,2804012,AFL
2013-03-24,51.74,51.94,51.15,51.63,2540765,AFL
2013-03-25,51.99,51.99,51.18,51.52,2277519,AFL
2013-03-26,51.83,52.49,51.62,52.49,3886401,AFL
2013-03-27,52.08,52.12,51.65,51.91,2299698,AFL
2013-03-28,51.91,52.09,51.61,52.02,1942320,AFL
2013-03-29,51.95,52.13,51.64,52.05,2070721,AFL
2013-03-30,51.98,52.18,51.66,52.08,2199122,AFL
2013-03-31,52.02,52.22,51.69,52.12,2327523,AFL
2013-04-01,52.06,52.26,51.72,52.15,2455924,AFL
2013-04-02,52.45,53.61,52.37,52.9,3661432,AFL
2013-04-03,53.0,53.0,52.46,52.7,4031499,AFL
2013-04-04,52.5,52.56,51.2,51.5,5335293,AFL
2013-04-05,50.8,50.8,49.17,49.49,6090244,AFL
2013-04-06,50.43,50.43,48.96,49.53,5353475,AFL
2013-04-07,50.05,50.06,48.75,49.56,4616705,AFL
2013-04-08,49.68,49.68,48.54,49.6,3879936,AFL
2013-04-09,49.58,50.11,49.36,49.75,2499390,AFL
2013-04-10,49.87,50.38,49.72,50.21,3178010,AFL
2013-04-11,50.29,50.38,49.66,49.81,2851295,AFL
2013-04-12,49.5,50.13,49.44,50.11,2203968,AFL
2013-04-13,49.64,50.12,49.28,49.73,2559595,AFL
2013-04-14,49.78,50.11,49.11,49.35,2915222,AFL
2013-04-15,49.92,50.1,48.95,48.97,3270849,AFL
2013-04-16,49.35,50.27,49.22,50.21,2471431,AFL
2013-04-17,49.75,49.75,48.91,49.16,3294760,AFL
2013-04-18,49.19,49.33,48.56,48.9,2459845,AFL
