index,open,high,low,close,volume,Name
2013-02-08,38.76,39.03,38.51,38.79,13112320,AIG
2013-02-09,38.8,39.21,38.56,39.01,13485178,AIG
2013-02-10,38.85,39.38,38.6,39.23,13858035,AIG
2013-02-11,38.89,39.56,38.65,39.45,14230893,AIG
2013-02-12,39.5,39.9,38.5,38.63,25676629,AIG
2013-02-13,38.93,39.18,38.56,38.87,16533791,AIG
2013-02-14,38.64,39.26,38.5,39.21,18321181,AIG
2013-02-15,39.31,39.31,38.32,38.35,20559918,AIG
2013-02-16,39.07,39.22,38.26,38.41,19379370,AIG
2013-02-17,38.84,39.12,38.21,38.48,18198823,AIG
2013-02-18,38.6,39.02,38.16,38.54,17018276,AIG
2013-02-19,38.36,38.93,38.1,38.6,15837728,AIG
2013-02-20,38.6,38.68,37.5,37.57,19869238,AIG
2013-02-21,37.36,37.61,36.82,37.28,24516230,AIG
2013-02-22,39.29,39.53,37.86,38.45,47611675,AIG
2013-02-23,39.16,39.33,37.53,37.99,40707702,AIG
2013-02-24,39.02,39.13,37.19,37.52,33803730,AIG
2013-02-25,38.89,38.93,36.86,37.06,26899757,AIG
2013-02-26,37.46,37.79,36.68,37.69,27979571,AIG
2013-02-27,37.74,37.9,37.39,37.77,15282284,AIG
2013-02-28,37.85,38.46,37.73,38.01,16430547,AIG
2013-03-01,37.46,38.01,37.15,37.85,13927356,AIG
2013-03-02,37.57,38.06,37.27,37.92,12910388,AIG
2013-03-03,37.67,38.11,37.39,38.0,11893421,AIG
2013-03-04,37.78,38.16,37.51,38.07,10876453,AIG
2013-03-05,38.28,38.9,38.21,38.25,17702115,AIG
2013-03-06,38.53,38.72,38.25,38.45,15668107,AIG
2013-03-07,38.61,39.36,38.6,39.01,15726971,AIG
2013-03-08,39.28,39.79,39.15,39.58,17458526,AIG
2013-03-09,39.4,39.76,39.19,39.54,16074628,AIG
2013-03-10,39.51,39.73,39.24,39.51,14690730,AIG
2013-03-11,39.63,39.7,39.28,39.47,13306832,AIG
2013-03-12,39.28,39.6,38.85,39.11,14219157,AIG
2013-03-13,39.22,39.43,38.77,38.89,12727079,AIG
2013-03-14,39.02,39.23,38.81,39.02,12356828,AIG
2013-03-15,38.78,39.08,38.57,38.97,16214808,AIG
2013-03-16,38.64,39.0,38.44,38.85,15378019,AIG
2013-03-17,38.5,38.93,38.31,38.72,14541229,AIG
2013-03-18,38.36,38.86,38.18,38.6,13704440,AIG
2013-03-19,38.67,38.81,37.78,38.38,15642287,AIG
2013-03-20,38.62,38.72,38.24,38.3,10379502,AIG
2013-03-21,38.03,38.08,37.67,37.8,16163263,AIG
2013-03-22,37.9,38.1,37.63,37.79,12495592,AIG
2013-03-23,37.93,38.19,37.58,37.76,13811062,AIG
2013-03-24,37.97,38.27,37.52,37.73,15126531,AIG
2013-03-25,38.0,38.35,37.47,37.7,16442001,AIG
2013-03-26,38.06,38.53,37.95,38.44,11353643,AIG
2013-03-27,38.15,38.39,37.87,38.25,11446636,AIG
2013-03-28,38.27,38.92,38.19,38.82,16821328,AIG
2013-03-29,38.4,38.96,38.16,38.67,15365865,AIG
2013-03-30,38.53,39.0,38.12,38.52,13910402,AIG
