index,open,high,low,close,volume,Name
2013-02-08,27.4,28.66,27.27,28.57,1801890,AIV
2013-02-09,27.79,28.78,27.7,28.69,2053098,AIV
2013-02-10,28.18,28.9,28.14,28.8,2304306,AIV
2013-02-11,28.57,29.01,28.57,28.92,2555514,AIV
2013-02-12,28.87,29.16,28.78,29.16,1558832,AIV
2013-02-13,29.03,29.11,28.7,28.9,773318,AIV
2013-02-14,28.82,29.03,28.76,28.97,990470,AIV
2013-02-15,29.02,29.12,28.87,29.12,884656,AIV
2013-02-16,29.07,29.24,28.94,29.24,1024756,AIV
2013-02-17,29.12,29.37,29.0,29.35,1164856,AIV
2013-02-18,29.16,29.5,29.06,29.46,1304955,AIV
2013-02-19,29.21,29.62,29.13,29.58,1445055,AIV
2013-02-20,29.52,30.06,29.52,29.7,1708448,AIV
2013-02-21,29.59,29.82,29.34,29.58,1442766,AIV
2013-02-22,29.63,29.84,29.6,29.83,995462,AIV
2013-02-23,29.74,29.93,29.54,29.7,1120218,AIV
2013-02-24,29.85,30.03,29.49,29.58,1244975,AIV
2013-02-25,29.96,30.12,29.43,29.45,1369731,AIV
2013-02-26,29.54,29.86,29.34,29.5,1183033,AIV
2013-02-27,29.43,29.63,29.37,29.52,1428228,AIV
2013-02-28,29.55,29.79,29.53,29.62,2021438,AIV
2013-03-01,29.52,29.82,29.32,29.76,1253107,AIV
2013-03-02,29.58,29.91,29.43,29.82,1138985,AIV
2013-03-03,29.64,30.0,29.54,29.89,1024863,AIV
2013-03-04,29.7,30.09,29.64,29.95,910741,AIV
2013-03-05,30.01,30.43,29.9,30.36,918040,AIV
2013-03-06,30.46,30.57,30.2,30.46,615333,AIV
2013-03-07,30.45,30.63,30.12,30.22,1250491,AIV
2013-03-08,30.3,30.43,30.02,30.41,1188247,AIV
2013-03-09,30.33,30.43,30.04,30.35,1116289,AIV
2013-03-10,30.37,30.43,30.07,30.28,1044330,AIV
2013-03-11,30.4,30.42,30.09,30.22,972372,AIV
2013-03-12,30.14,30.2,29.95,30.07,1181561,AIV
2013-03-13,30.15,30.2,29.89,30.07,1395119,AIV
2013-03-14,30.04,30.85,30.04,30.85,1068773,AIV
2013-03-15,30.73,30.81,30.49,30.74,1287554,AIV
2013-03-16,30.66,30.75,30.44,30.63,1353203,AIV
2013-03-17,30.6,30.7,30.38,30.53,1418852,AIV
2013-03-18,30.53,30.64,30.32,30.42,1484501,AIV
2013-03-19,30.4,30.59,30.01,30.28,1007341,AIV
2013-03-20,30.4,30.53,30.24,30.37,768905,AIV
2013-03-21,30.22,30.6,30.1,30.11,734899,AIV
2013-03-22,30.13,30.39,29.82,29.95,1041457,AIV
2013-03-23,30.08,30.34,29.86,29.99,1055056,AIV
