index,open,high,low,close,volume,Name
2013-02-08,35.5,35.58,34.78,35.42,7049683,AKAM
2013-02-09,35.52,35.6,34.82,35.38,7117455,AKAM
2013-02-10,35.54,35.62,34.86,35.35,7185228,AKAM
2013-02-11,35.56,35.64,34.9,35.31,7253000,AKAM
2013-02-12,35.36,36.91,35.08,36.74,9682277,AKAM
2013-02-13,36.82,37.44,36.08,37.31,6338839,AKAM
2013-02-14,37.26,37.93,36.63,37.87,5145953,AKAM
2013-02-15,37.83,39.0,37.83,38.49,6736887,AKAM
2013-02-16,37.98,38.95,37.89,38.51,6029105,AKAM
2013-02-17,38.14,38.9,37.95,38.53,5321324,AKAM
2013-02-18,38.29,38.86,38.01,38.56,4613542,AKAM
2013-02-19,38.44,38.81,38.07,38.58,3905760,AKAM
2013-02-20,38.62,38.76,37.37,37.4,4099689,AKAM
2013-02-21,37.3,37.53,36.47,37.07,2987596,AKAM
2013-02-22,37.17,37.41,36.0,36.27,5544645,AKAM
2013-02-23,37.17,37.37,36.1,36.28,5163271,AKAM
2013-02-24,37.18,37.34,36.21,36.3,4781896,AKAM
2013-02-25,37.18,37.3,36.31,36.31,4400522,AKAM
2013-02-26,36.36,36.73,36.0,36.36,2212458,AKAM
2013-02-27,36.36,36.78,36.05,36.58,2411337,AKAM
2013-02-28,36.6,37.19,36.6,36.96,2756810,AKAM
2013-03-01,36.7,36.83,36.15,36.65,2846307,AKAM
2013-03-02,36.68,37.13,36.29,36.9,2835782,AKAM
2013-03-03,36.66,37.44,36.42,37.15,2825257,AKAM
2013-03-04,36.64,37.74,36.56,37.4,2814732,AKAM
2013-03-05,37.48,37.9,37.15,37.49,2169701,AKAM
2013-03-06,37.54,38.19,37.3,37.53,2882538,AKAM
2013-03-07,37.7,37.75,37.05,37.28,3385687,AKAM
2013-03-08,37.38,37.55,37.0,37.24,2655136,AKAM
2013-03-09,37.33,37.53,36.31,36.69,6259683,AKAM
2013-03-10,37.27,37.51,35.63,36.15,9864230,AKAM
2013-03-11,37.22,37.49,34.94,35.6,13468777,AKAM
2013-03-12,35.48,35.54,34.55,34.77,8246171,AKAM
2013-03-13,34.89,34.92,34.3,34.66,4262501,AKAM
2013-03-14,34.75,35.08,34.44,34.66,3524388,AKAM
2013-03-15,35.35,35.41,34.54,34.69,6118330,AKAM
2013-03-16,35.0,35.28,34.45,34.64,5388500,AKAM
2013-03-17,34.65,35.16,34.35,34.6,4658669,AKAM
2013-03-18,34.3,35.03,34.26,34.55,3928839,AKAM
2013-03-19,34.55,35.07,34.26,34.67,4509912,AKAM
2013-03-20,35.09,35.6,34.81,35.45,4430116,AKAM
2013-03-21,35.06,35.51,34.87,35.01,2368638,AKAM
2013-03-22,35.2,35.28,34.68,34.78,2158408,AKAM
2013-03-23,35.06,35.18,34.57,34.65,2534099,AKAM
2013-03-24,34.93,35.09,34.46,34.53,2909789,AKAM
2013-03-25,34.79,34.99,34.35,34.4,3285480,AKAM
2013-03-26,34.61,35.15,34.54,35.08,2589414,AKAM
2013-03-27,34.98,35.21,34.56,35.16,1496655,AKAM
2013-03-28,35.07,35.34,34.85,35.32,1904038,AKAM
2013-03-29,35.14,35.36,34.84,35.22,1975898,AKAM
2013-03-30,35.22,35.38,34.83,35.11,2047758,AKAM
2013-03-31,35.3,35.39,34.82,35.0,2119618,AKAM
2013-04-01,35.37,35.41,34.81,34.9,2191478,AKAM
2013-04-02,35.04,35.35,34.79,34.84,2087884,AKAM
2013-04-03,34.9,35.15,34.68,34.78,2529576,AKAM
2013-04-04,34.64,34.84,34.03,34.06,4128439,AKAM
2013-04-05,33.65,34.58,33.46,34.18,4049607,AKAM
2013-04-06,33.86,34.56,33.61,34.28,3431283,AKAM
2013-04-07,34.07,34.54,33.77,34.39,2812960,AKAM
