index,open,high,low,close,volume,Name
2013-02-08,24.0,24.44,23.94,24.34,1013314,ALK
2013-02-09,24.13,24.49,24.0,24.36,1050525,ALK
2013-02-10,24.27,24.55,24.06,24.38,1087737,ALK
2013-02-11,24.41,24.6,24.12,24.4,1124948,ALK
2013-02-12,24.4,24.56,24.27,24.43,1280160,ALK
2013-02-13,24.44,24.76,24.38,24.76,1146758,ALK
2013-02-14,24.66,24.68,24.15,24.36,1205950,ALK
2013-02-15,24.46,24.88,24.44,24.49,1269776,ALK
2013-02-16,24.46,24.95,24.41,24.65,1306364,ALK
2013-02-17,24.46,25.02,24.38,24.82,1342951,ALK
2013-02-18,24.46,25.09,24.35,24.98,1379538,ALK
2013-02-19,24.46,25.16,24.32,25.15,1416126,ALK
2013-02-20,25.1,25.34,24.58,24.62,1035072,ALK
2013-02-21,24.8,24.98,24.57,24.82,1193194,ALK
2013-02-22,24.96,25.4,24.9,25.4,1261080,ALK
2013-02-23,25.14,25.52,24.85,25.19,1324737,ALK
2013-02-24,25.3,25.64,24.8,24.98,1388393,ALK
2013-02-25,25.48,25.76,24.76,24.78,1452050,ALK
2013-02-26,24.93,25.1,24.55,25.0,1853386,ALK
2013-02-27,24.92,25.9,24.92,25.72,1560802,ALK
2013-02-28,25.75,25.98,25.64,25.78,1862334,ALK
2013-03-01,25.68,26.36,25.66,26.2,1695208,ALK
2013-03-02,25.87,26.68,25.78,26.56,1962517,ALK
2013-03-03,26.07,26.99,25.92,26.91,2229825,ALK
2013-03-04,26.26,27.31,26.04,27.26,2497134,ALK
2013-03-05,27.4,28.12,27.3,27.92,2577640,ALK
2013-03-06,28.08,28.27,27.64,27.84,1924238,ALK
2013-03-07,27.9,28.02,27.67,28.02,1024744,ALK
2013-03-08,28.3,28.78,28.22,28.75,1817474,ALK
2013-03-09,28.39,28.76,28.27,28.68,1610929,ALK
2013-03-10,28.47,28.74,28.33,28.62,1404385,ALK
2013-03-11,28.56,28.72,28.38,28.56,1197840,ALK
2013-03-12,28.49,28.71,28.37,28.52,1223890,ALK
