index,open,high,low,close,volume,Name
2013-02-08,45.05,45.29,44.89,45.14,3510945,ALL
2013-02-09,45.04,45.34,44.9,45.18,3126525,ALL
2013-02-10,45.04,45.4,44.9,45.21,2742106,ALL
2013-02-11,45.03,45.45,44.91,45.25,2357686,ALL
2013-02-12,45.19,45.67,45.15,45.61,2702968,ALL
2013-02-13,45.59,45.91,45.48,45.88,2424640,ALL
2013-02-14,45.68,46.08,45.46,45.88,3968755,ALL
2013-02-15,45.99,46.19,45.72,45.85,3815132,ALL
2013-02-16,45.96,46.33,45.75,46.07,3929810,ALL
2013-02-17,45.92,46.47,45.78,46.3,4044488,ALL
2013-02-18,45.89,46.61,45.82,46.52,4159165,ALL
2013-02-19,45.85,46.75,45.85,46.74,4273843,ALL
2013-02-20,46.71,47.08,46.35,46.41,5044762,ALL
2013-02-21,46.38,46.53,46.15,46.47,4037755,ALL
2013-02-22,46.64,46.85,46.54,46.74,2443775,ALL
2013-02-23,46.72,46.86,46.15,46.28,3140520,ALL
2013-02-24,46.79,46.87,45.75,45.82,3837266,ALL
2013-02-25,46.87,46.88,45.36,45.36,4534011,ALL
2013-02-26,45.27,45.72,45.02,45.56,4348191,ALL
2013-02-27,45.44,46.14,45.11,46.05,2914117,ALL
2013-02-28,45.98,46.34,45.77,46.02,3876898,ALL
2013-03-01,45.96,46.36,45.5,46.35,3861744,ALL
2013-03-02,46.01,46.42,45.64,46.41,3612603,ALL
2013-03-03,46.07,46.48,45.77,46.48,3363463,ALL
2013-03-04,46.12,46.54,45.91,46.54,3114322,ALL
2013-03-05,46.77,47.42,46.76,47.21,5247467,ALL
2013-03-06,47.5,47.75,47.13,47.33,2542559,ALL
2013-03-07,47.35,47.44,47.2,47.29,1705995,ALL
2013-03-08,47.32,47.61,47.12,47.42,3018624,ALL
2013-03-09,47.34,47.66,47.16,47.53,2885452,ALL
2013-03-10,47.37,47.71,47.21,47.64,2752280,ALL
2013-03-11,47.39,47.76,47.26,47.75,2619108,ALL
2013-03-12,47.74,47.88,47.55,47.71,2453674,ALL
2013-03-13,47.75,47.98,47.73,47.93,2361252,ALL
2013-03-14,47.99,48.28,47.83,48.2,2623909,ALL
2013-03-15,48.0,48.3,47.89,47.98,4529309,ALL
2013-03-16,47.79,48.28,47.66,47.94,4123749,ALL
2013-03-17,47.57,48.25,47.42,47.9,3718190,ALL
2013-03-18,47.36,48.23,47.19,47.86,3312630,ALL
2013-03-19,48.01,48.19,47.51,47.64,3427618,ALL
2013-03-20,47.95,48.14,47.84,47.93,3033656,ALL
2013-03-21,47.81,48.13,47.66,47.8,2145484,ALL
2013-03-22,48.03,48.26,47.79,48.22,2119005,ALL
2013-03-23,48.33,48.51,47.97,48.31,2861423,ALL
2013-03-24,48.62,48.75,48.15,48.39,3603840,ALL
2013-03-25,48.92,49.0,48.33,48.48,4346258,ALL
2013-03-26,48.57,48.9,48.46,48.65,2308896,ALL
2013-03-27,48.38,48.75,48.31,48.67,1832481,ALL
2013-03-28,48.75,49.13,48.73,49.07,2467712,ALL
2013-03-29,48.86,49.26,48.82,49.12,2570710,ALL
2013-03-30,48.96,49.39,48.91,49.18,2673707,ALL
2013-03-31,49.06,49.51,49.0,49.23,2776704,ALL
2013-04-01,49.17,49.64,49.09,49.28,2879702,ALL
2013-04-02,49.52,49.92,49.42,49.81,2885293,ALL
2013-04-03,49.95,49.95,49.25,49.38,3178654,ALL
2013-04-04,49.53,49.85,49.26,49.51,2560785,ALL
2013-04-05,49.03,49.5,48.78,49.32,3763851,ALL
2013-04-06,49.1,49.72,48.93,49.58,3894048,ALL
2013-04-07,49.17,49.94,49.09,49.85,4024246,ALL
2013-04-08,49.24,50.16,49.24,50.11,4154443,ALL
2013-04-09,50.2,50.39,49.66,49.73,3739232,ALL
2013-04-10,49.86,50.04,49.57,49.73,3700402,ALL
2013-04-11,49.89,50.43,49.77,50.28,3474603,ALL
2013-04-12,50.07,50.56,50.02,50.35,2675533,ALL
2013-04-13,50.1,50.45,49.71,49.93,2912016,ALL
2013-04-14,50.14,50.35,49.4,49.51,3148498,ALL
2013-04-15,50.17,50.24,49.09,49.09,3384981,ALL
2013-04-16,49.34,49.55,49.17,49.5,2669938,ALL
