index,open,high,low,close,volume,Name
2013-02-08,93.11,93.99,92.9,93.66,1059844,ALXN
2013-02-09,93.29,93.98,92.59,93.21,1275624,ALXN
2013-02-10,93.48,93.98,92.29,92.75,1491403,ALXN
2013-02-11,93.66,93.97,91.98,92.3,1707183,ALXN
2013-02-12,92.34,92.43,89.81,90.21,3115852,ALXN
2013-02-13,90.12,92.21,89.85,92.01,2496134,ALXN
2013-02-14,94.52,95.25,84.52,87.63,5936469,ALXN
2013-02-15,87.93,88.47,85.53,86.01,3690421,ALXN
2013-02-16,86.64,87.72,84.6,85.36,3767008,ALXN
2013-02-17,85.35,86.97,83.68,84.7,3843596,ALXN
2013-02-18,84.06,86.22,82.75,84.04,3920184,ALXN
2013-02-19,82.77,85.47,81.82,83.39,3996771,ALXN
2013-02-20,84.44,85.28,83.3,84.46,4062371,ALXN
2013-02-21,84.38,87.98,83.62,87.28,3895591,ALXN
2013-02-22,87.28,87.8,86.93,87.44,2005904,ALXN
2013-02-23,87.25,87.83,86.68,87.06,1987268,ALXN
2013-02-24,87.22,87.86,86.43,86.67,1968632,ALXN
2013-02-25,87.19,87.89,86.18,86.29,1949996,ALXN
2013-02-26,86.41,86.75,85.17,85.36,2840012,ALXN
2013-02-27,85.31,87.32,84.46,86.54,1455350,ALXN
2013-02-28,86.24,87.75,86.0,86.74,1324733,ALXN
2013-03-01,86.74,87.07,86.09,86.77,1506792,ALXN
2013-03-02,86.72,88.02,86.1,87.81,1780683,ALXN
2013-03-03,86.71,88.98,86.1,88.86,2054575,ALXN
2013-03-04,86.69,89.93,86.11,89.9,2328466,ALXN
2013-03-05,90.17,91.9,90.03,91.01,2383043,ALXN
2013-03-06,91.21,93.5,91.0,93.18,2446183,ALXN
2013-03-07,92.7,93.17,91.46,92.24,1289377,ALXN
2013-03-08,92.69,92.99,90.76,91.06,1466183,ALXN
2013-03-09,92.06,92.78,90.66,91.26,1361135,ALXN
2013-03-10,91.43,92.56,90.56,91.47,1256087,ALXN
2013-03-11,90.8,92.35,90.46,91.67,1151039,ALXN
2013-03-12,91.58,92.01,90.69,91.75,998059,ALXN
2013-03-13,91.71,92.16,91.0,91.51,1060936,ALXN
2013-03-14,91.64,92.05,91.41,91.84,875456,ALXN
2013-03-15,91.41,94.41,91.41,93.66,2874530,ALXN
2013-03-16,91.74,94.39,91.35,93.65,2534252,ALXN
2013-03-17,92.08,94.37,91.28,93.65,2193975,ALXN
2013-03-18,92.41,94.35,91.22,93.64,1853697,ALXN
2013-03-19,93.58,94.06,91.93,92.74,1365757,ALXN
2013-03-20,93.51,94.48,92.79,93.88,1151819,ALXN
2013-03-21,92.99,93.8,91.85,92.34,834525,ALXN
2013-03-22,92.78,93.51,92.42,93.48,721307,ALXN
2013-03-23,93.04,93.7,92.22,93.1,753062,ALXN
2013-03-24,93.29,93.9,92.02,92.73,784817,ALXN
2013-03-25,93.54,94.09,91.82,92.35,816572,ALXN
2013-03-26,92.8,93.06,91.32,91.37,1115785,ALXN
2013-03-27,91.14,94.04,89.75,93.92,1489079,ALXN
2013-03-28,91.69,93.0,90.29,92.14,2555273,ALXN
2013-03-29,91.54,93.72,90.48,93.0,2550570,ALXN
2013-03-30,91.38,94.43,90.68,93.87,2545866,ALXN
2013-03-31,91.22,95.14,90.88,94.74,2541163,ALXN
2013-04-01,91.07,95.86,91.07,95.6,2536460,ALXN
2013-04-02,96.18,100.25,96.0,99.03,3116353,ALXN
2013-04-03,98.68,99.59,96.52,97.27,2286221,ALXN
2013-04-04,97.98,99.14,97.1,98.9,1720610,ALXN
2013-04-05,98.05,99.7,97.46,99.2,1501072,ALXN
2013-04-06,98.36,99.61,97.31,98.86,1356087,ALXN
2013-04-07,98.68,99.51,97.16,98.52,1211103,ALXN
2013-04-08,98.99,99.42,97.01,98.18,1066118,ALXN
2013-04-09,97.36,99.02,97.27,98.32,1099769,ALXN
2013-04-10,98.48,100.55,98.3,100.05,1394835,ALXN
2013-04-11,100.21,100.78,99.78,100.42,1013441,ALXN
2013-04-12,100.43,100.43,99.28,100.1,1182475,ALXN
2013-04-13,100.19,100.3,98.22,98.81,1248680,ALXN
2013-04-14,99.95,100.17,97.15,97.51,1314884,ALXN
2013-04-15,99.71,100.04,96.09,96.22,1381089,ALXN
2013-04-16,97.38,97.38,95.52,96.2,1884500,ALXN
2013-04-17,95.84,95.85,93.83,94.75,1634836,ALXN
2013-04-18,94.72,94.72,91.43,92.02,1365403,ALXN
2013-04-19,92.29,93.41,91.16,92.6,3864610,ALXN
2013-04-20,92.4,93.33,90.39,91.88,3460289,ALXN
2013-04-21,92.5,93.25,89.63,91.17,3055967,ALXN
2013-04-22,92.61,93.17,88.86,90.45,2651646,ALXN
2013-04-23,90.79,92.43,90.34,91.69,1625962,ALXN
2013-04-24,91.44,92.28,89.12,89.23,2063142,ALXN
