index,open,high,low,close,volume,Name
2013-02-08,2.58,2.6,2.58,2.59,5971768,AMD
2013-02-09,2.58,2.63,2.58,2.62,11451492,AMD
2013-02-10,2.59,2.67,2.59,2.64,16931217,AMD
2013-02-11,2.59,2.7,2.59,2.67,22410941,AMD
2013-02-12,2.7,2.78,2.69,2.77,13675442,AMD
2013-02-13,2.81,2.83,2.73,2.75,11481985,AMD
2013-02-14,2.74,2.75,2.69,2.75,13283766,AMD
2013-02-15,2.77,2.79,2.7,2.71,10701483,AMD
2013-02-16,2.76,2.8,2.71,2.74,12976269,AMD
2013-02-17,2.76,2.8,2.72,2.76,15251055,AMD
2013-02-18,2.76,2.81,2.72,2.79,17525841,AMD
2013-02-19,2.75,2.82,2.73,2.82,19800627,AMD
2013-02-20,2.84,2.84,2.68,2.7,21248537,AMD
2013-02-21,2.69,2.69,2.52,2.6,30775707,AMD
2013-02-22,2.64,2.67,2.55,2.61,20240826,AMD
2013-02-23,2.64,2.66,2.54,2.58,19119435,AMD
2013-02-24,2.64,2.66,2.54,2.56,17998043,AMD
2013-02-25,2.64,2.65,2.53,2.53,16876652,AMD
2013-02-26,2.54,2.54,2.44,2.46,17515069,AMD
2013-02-27,2.48,2.55,2.45,2.53,10651779,AMD
2013-02-28,2.56,2.57,2.48,2.49,11378841,AMD
2013-03-01,2.5,2.51,2.42,2.42,19688305,AMD
2013-03-02,2.48,2.49,2.4,2.41,17982197,AMD
2013-03-03,2.46,2.47,2.38,2.41,16276088,AMD
2013-03-04,2.44,2.45,2.36,2.4,14569980,AMD
2013-03-05,2.45,2.47,2.4,2.43,13934046,AMD
2013-03-06,2.45,2.46,2.4,2.43,10834534,AMD
2013-03-07,2.44,2.57,2.43,2.55,21069551,AMD
2013-03-08,2.57,2.64,2.52,2.56,11330708,AMD
2013-03-09,2.57,2.63,2.52,2.57,12018221,AMD
2013-03-10,2.57,2.62,2.51,2.58,12705735,AMD
2013-03-11,2.57,2.6,2.51,2.59,13393248,AMD
2013-03-12,2.59,2.63,2.57,2.61,9499486,AMD
2013-03-13,2.62,2.63,2.57,2.6,7482024,AMD
2013-03-14,2.62,2.63,2.58,2.63,9201910,AMD
2013-03-15,2.6,2.62,2.58,2.6,15805090,AMD
2013-03-16,2.6,2.64,2.57,2.62,14867294,AMD
2013-03-17,2.59,2.66,2.56,2.63,13929498,AMD
2013-03-18,2.59,2.68,2.55,2.65,12991702,AMD
2013-03-19,2.66,2.7,2.62,2.67,19316166,AMD
2013-03-20,2.7,2.75,2.69,2.75,13498164,AMD
2013-03-21,2.73,2.75,2.63,2.64,17021519,AMD
2013-03-22,2.66,2.67,2.53,2.54,18353247,AMD
2013-03-23,2.63,2.65,2.52,2.53,15986414,AMD
2013-03-24,2.6,2.62,2.5,2.52,13619582,AMD
2013-03-25,2.57,2.6,2.49,2.51,11252749,AMD
2013-03-26,2.52,2.54,2.5,2.54,6327445,AMD
2013-03-27,2.5,2.62,2.5,2.55,5897548,AMD
2013-03-28,2.55,2.57,2.52,2.55,4868149,AMD
2013-03-29,2.55,2.57,2.5,2.52,7261852,AMD
2013-03-30,2.54,2.57,2.47,2.5,9655555,AMD
2013-03-31,2.54,2.57,2.44,2.47,12049258,AMD
2013-04-01,2.54,2.57,2.42,2.44,14442961,AMD
2013-04-02,2.44,2.45,2.38,2.39,11373699,AMD
2013-04-03,2.4,2.41,2.32,2.32,14433813,AMD
2013-04-04,2.34,2.37,2.32,2.33,11177494,AMD
2013-04-05,2.3,2.31,2.28,2.29,13724935,AMD
2013-04-06,2.3,2.41,2.27,2.39,24038609,AMD
2013-04-07,2.31,2.51,2.27,2.49,34352283,AMD
2013-04-08,2.31,2.61,2.26,2.59,44665957,AMD
2013-04-09,2.58,2.63,2.44,2.63,33859582,AMD
2013-04-10,2.65,2.66,2.57,2.61,20685570,AMD
2013-04-11,2.55,2.57,2.46,2.52,12901015,AMD
2013-04-12,2.5,2.5,2.43,2.48,10712680,AMD
2013-04-13,2.48,2.49,2.42,2.45,10982531,AMD
2013-04-14,2.47,2.48,2.41,2.43,11252382,AMD
2013-04-15,2.45,2.46,2.4,2.4,11522233,AMD
2013-04-16,2.43,2.44,2.4,2.44,10953864,AMD
2013-04-17,2.41,2.47,2.4,2.4,14815585,AMD
2013-04-18,2.4,2.56,2.29,2.51,27156231,AMD
