index,open,high,low,close,volume,Name
2013-02-08,66.21,66.62,66.08,66.49,862562,AMP
2013-02-09,66.27,66.64,66.11,66.49,787039,AMP
2013-02-10,66.34,66.67,66.14,66.49,711516,AMP
2013-02-11,66.4,66.69,66.17,66.49,635993,AMP
2013-02-12,66.71,67.54,66.6,67.49,1445989,AMP
2013-02-13,67.5,68.22,67.32,67.89,1173707,AMP
2013-02-14,67.58,69.12,67.58,69.04,1572907,AMP
2013-02-15,69.17,69.33,68.71,68.77,1748259,AMP
2013-02-16,69.09,69.29,68.74,68.83,1680788,AMP
2013-02-17,69.0,69.24,68.77,68.9,1613318,AMP
2013-02-18,68.91,69.2,68.8,68.96,1545848,AMP
2013-02-19,68.83,69.15,68.83,69.03,1478377,AMP
2013-02-20,68.9,69.07,67.89,67.95,1537826,AMP
2013-02-21,67.7,67.82,67.06,67.25,1174536,AMP
2013-02-22,67.65,67.93,67.48,67.93,1017568,AMP
2013-02-23,67.87,68.2,67.07,67.37,1220798,AMP
2013-02-24,68.09,68.46,66.66,66.81,1424029,AMP
2013-02-25,68.31,68.73,66.25,66.25,1627259,AMP
2013-02-26,66.66,66.89,65.95,66.62,1675001,AMP
2013-02-27,66.31,68.28,66.31,68.11,1230399,AMP
2013-02-28,68.11,69.15,67.98,68.63,1849213,AMP
2013-03-01,68.04,68.38,66.94,68.08,2272872,AMP
2013-03-02,68.03,68.55,67.22,68.34,2002440,AMP
2013-03-03,68.01,68.73,67.51,68.61,1732009,AMP
2013-03-04,68.0,68.9,67.79,68.87,1461577,AMP
2013-03-05,69.37,70.57,69.18,70.27,1784860,AMP
2013-03-06,70.51,70.61,70.15,70.51,2132595,AMP
2013-03-07,70.69,71.07,70.42,70.74,988129,AMP
2013-03-08,71.19,72.11,71.16,72.09,1897894,AMP
2013-03-09,71.48,72.23,71.41,72.13,1788024,AMP
2013-03-10,71.76,72.35,71.65,72.17,1678155,AMP
2013-03-11,72.05,72.47,71.9,72.21,1568285,AMP
2013-03-12,72.09,72.35,71.83,71.92,1139956,AMP
2013-03-13,72.2,73.4,71.67,73.35,1266905,AMP
2013-03-14,73.85,74.52,73.57,74.46,1778176,AMP
2013-03-15,73.86,74.64,73.58,74.33,2562586,AMP
2013-03-16,73.69,74.66,73.48,74.28,2355689,AMP
2013-03-17,73.53,74.68,73.37,74.22,2148793,AMP
2013-03-18,73.36,74.71,73.27,74.17,1941896,AMP
2013-03-19,74.44,74.75,73.68,73.97,2203097,AMP
2013-03-20,74.36,75.14,74.35,74.88,1058004,AMP
2013-03-21,74.5,75.0,73.6,73.64,1529916,AMP
2013-03-22,73.87,74.1,73.5,73.65,1139400,AMP
2013-03-23,73.94,74.19,73.33,73.59,1146310,AMP
2013-03-24,74.01,74.29,73.15,73.53,1153219,AMP
2013-03-25,74.08,74.38,72.98,73.47,1160129,AMP
2013-03-26,73.71,74.23,73.34,73.69,1847308,AMP
2013-03-27,72.75,73.19,72.64,73.05,2141109,AMP
