index,open,high,low,close,volume,Name
2013-02-08,74.72,74.95,74.23,74.69,130863,ANSS
2013-02-09,74.62,74.97,74.2,74.7,116717,ANSS
2013-02-10,74.53,74.98,74.18,74.7,102571,ANSS
2013-02-11,74.43,75.0,74.15,74.71,88425,ANSS
2013-02-12,74.89,76.07,74.51,75.74,199336,ANSS
2013-02-13,75.96,75.96,74.98,75.89,239695,ANSS
2013-02-14,75.58,75.88,75.34,75.51,139296,ANSS
2013-02-15,75.24,76.05,75.24,75.62,177574,ANSS
2013-02-16,75.38,76.21,75.27,75.78,188764,ANSS
2013-02-17,75.52,76.37,75.29,75.95,199954,ANSS
2013-02-18,75.66,76.53,75.32,76.12,211145,ANSS
2013-02-19,75.8,76.69,75.35,76.28,222335,ANSS
2013-02-20,76.4,76.99,76.08,76.09,312828,ANSS
2013-02-21,76.23,76.48,75.6,75.69,390462,ANSS
2013-02-22,75.9,76.38,75.31,76.38,210687,ANSS
2013-02-23,76.11,76.64,75.36,76.08,275655,ANSS
2013-02-24,76.31,76.91,75.4,75.77,340622,ANSS
2013-02-25,76.52,77.17,75.45,75.47,405590,ANSS
2013-02-26,75.54,76.1,74.5,74.53,432553,ANSS
2013-02-27,74.14,76.05,73.62,75.16,456500,ANSS
2013-02-28,75.3,77.11,75.3,75.8,626383,ANSS
2013-03-01,76.12,76.85,75.18,76.68,635308,ANSS
2013-03-02,76.3,77.0,75.53,76.86,526942,ANSS
2013-03-03,76.47,77.14,75.89,77.05,418577,ANSS
2013-03-04,76.65,77.29,76.24,77.23,310211,ANSS
2013-03-05,77.33,78.79,77.29,78.47,370265,ANSS
2013-03-06,78.73,78.85,78.28,78.82,285029,ANSS
2013-03-07,78.54,79.07,78.3,78.98,237266,ANSS
2013-03-08,79.28,79.78,78.76,79.74,225497,ANSS
2013-03-09,79.4,79.89,78.96,79.86,264446,ANSS
2013-03-10,79.53,79.99,79.15,79.97,303394,ANSS
2013-03-11,79.65,80.1,79.35,80.09,342343,ANSS
2013-03-12,79.88,79.91,79.18,79.5,302692,ANSS
2013-03-13,79.72,80.1,79.29,79.96,266376,ANSS
2013-03-14,80.0,81.31,79.97,80.56,423117,ANSS
2013-03-15,80.68,80.92,79.52,80.12,1592394,ANSS
2013-03-16,80.35,80.86,79.47,80.1,1210837,ANSS
2013-03-17,80.03,80.81,79.42,80.09,829280,ANSS
2013-03-18,79.7,80.75,79.37,80.07,447723,ANSS
2013-03-19,80.1,80.46,78.37,79.21,349416,ANSS
2013-03-20,79.8,79.97,78.8,79.61,341886,ANSS
2013-03-21,79.06,79.54,78.78,79.33,312547,ANSS
2013-03-22,79.2,79.6,78.97,79.43,257944,ANSS
2013-03-23,79.35,79.7,78.78,79.27,249761,ANSS
2013-03-24,79.51,79.79,78.59,79.11,241579,ANSS
2013-03-25,79.66,79.89,78.39,78.95,233396,ANSS
2013-03-26,78.98,79.64,78.75,79.24,206060,ANSS
2013-03-27,79.06,79.94,78.38,79.89,225744,ANSS
2013-03-28,80.0,81.55,78.69,81.42,403140,ANSS
2013-03-29,80.28,81.5,78.78,80.94,375148,ANSS
2013-03-30,80.55,81.45,78.88,80.46,347155,ANSS
2013-03-31,80.82,81.4,78.97,79.98,319162,ANSS
2013-04-01,81.1,81.34,79.07,79.5,291170,ANSS
2013-04-02,79.75,79.93,78.96,79.38,190715,ANSS
2013-04-03,79.6,79.81,77.51,77.82,387508,ANSS
2013-04-04,77.92,78.18,77.08,77.33,293541,ANSS
2013-04-05,76.24,76.56,75.83,76.48,177503,ANSS
2013-04-06,76.29,76.57,75.78,76.5,156764,ANSS
2013-04-07,76.33,76.57,75.74,76.53,136026,ANSS
2013-04-08,76.38,76.58,75.69,76.55,115287,ANSS
2013-04-09,76.73,76.77,75.79,76.51,138759,ANSS
2013-04-10,76.86,79.46,76.64,79.3,405385,ANSS
2013-04-11,79.14,79.14,77.9,77.99,296527,ANSS
2013-04-12,77.84,78.45,76.98,78.31,184739,ANSS
2013-04-13,77.77,78.42,76.69,77.7,219033,ANSS
2013-04-14,77.7,78.39,76.4,77.1,253328,ANSS
2013-04-15,77.63,78.36,76.11,76.49,287622,ANSS
2013-04-16,77.09,78.06,76.44,78.03,160060,ANSS
2013-04-17,77.67,77.67,75.67,76.92,369091,ANSS
2013-04-18,77.24,77.24,75.04,75.07,298626,ANSS
2013-04-19,75.02,75.65,73.75,74.88,365294,ANSS
2013-04-20,74.94,75.54,73.95,74.93,394094,ANSS
2013-04-21,74.86,75.44,74.15,74.97,422894,ANSS
2013-04-22,74.78,75.33,74.35,75.02,451694,ANSS
2013-04-23,75.38,77.09,75.26,76.73,284425,ANSS
2013-04-24,76.79,77.74,76.7,77.58,201678,ANSS
2013-04-25,77.97,78.88,77.67,78.3,160881,ANSS
2013-04-26,78.3,79.0,77.8,78.01,220340,ANSS
2013-04-27,78.15,79.1,77.69,78.3,209697,ANSS
2013-04-28,78.0,79.21,77.57,78.58,199054,ANSS
2013-04-29,77.85,79.31,77.46,78.87,188411,ANSS
2013-04-30,78.67,80.9,78.23,80.86,566460,ANSS
2013-05-01,80.55,81.52,79.86,79.95,488153,ANSS
2013-05-02,73.0,76.93,72.5,73.93,1189029,ANSS
2013-05-03,74.31,75.59,74.31,74.59,462827,ANSS
2013-05-04,74.46,75.31,74.24,74.52,436507,ANSS
2013-05-05,74.6,75.03,74.18,74.44,410187,ANSS
2013-05-06,74.75,74.75,74.11,74.37,383867,ANSS
2013-05-07,74.65,75.13,74.33,74.82,428319,ANSS
2013-05-08,74.46,75.46,74.34,75.46,314403,ANSS
2013-05-09,75.61,75.62,74.73,75.1,163254,ANSS
2013-05-10,75.33,76.26,75.12,75.89,364125,ANSS
2013-05-11,75.42,76.14,75.08,75.65,337139,ANSS
2013-05-12,75.52,76.02,75.04,75.4,310152,ANSS
2013-05-13,75.61,75.9,75.0,75.16,283166,ANSS
2013-05-14,75.24,76.51,75.18,76.36,309152,ANSS
2013-05-15,75.98,77.31,75.86,75.91,727937,ANSS
2013-05-16,75.91,76.78,75.83,76.07,365407,ANSS
2013-05-17,76.08,76.68,75.93,76.44,294134,ANSS
2013-05-18,76.1,76.58,75.83,76.2,329372,ANSS
2013-05-19,76.13,76.49,75.73,75.97,364610,ANSS
2013-05-20,76.15,76.39,75.63,75.73,399848,ANSS
2013-05-21,75.7,75.95,75.29,75.35,201278,ANSS
2013-05-22,75.25,75.62,72.29,72.58,499046,ANSS
2013-05-23,72.33,73.54,72.18,73.44,600336,ANSS
2013-05-24,73.18,74.67,72.44,73.85,403570,ANSS
2013-05-25,73.56,74.9,72.9,74.1,374968,ANSS
2013-05-26,73.94,75.14,73.36,74.36,346365,ANSS
2013-05-27,74.33,75.37,73.82,74.62,317762,ANSS
2013-05-28,74.71,75.61,74.28,74.87,289160,ANSS
2013-05-29,74.57,74.97,74.18,74.55,295129,ANSS
2013-05-30,74.65,75.26,74.07,75.06,213828,ANSS
