index,open,high,low,close,volume,Name
2013-02-08,87.55,88.49,87.33,88.35,782915,APD
2013-02-09,87.86,88.57,87.59,88.37,770143,APD
2013-02-10,88.16,88.66,87.85,88.4,757371,APD
2013-02-11,88.47,88.74,88.11,88.42,744599,APD
2013-02-12,88.43,88.88,87.79,88.83,929048,APD
2013-02-13,88.94,89.05,88.35,88.78,856548,APD
2013-02-14,88.49,88.87,88.03,88.69,660901,APD
2013-02-15,88.71,88.8,87.96,88.23,800357,APD
2013-02-16,88.69,88.88,88.02,88.35,739977,APD
2013-02-17,88.67,88.96,88.07,88.46,679596,APD
2013-02-18,88.65,89.05,88.12,88.58,619216,APD
2013-02-19,88.63,89.13,88.18,88.7,558836,APD
2013-02-20,88.64,88.8,87.55,87.61,1276047,APD
2013-02-21,87.21,87.75,85.0,85.67,2003368,APD
2013-02-22,86.02,86.1,85.32,86.09,1368480,APD
2013-02-23,86.18,86.24,84.95,85.47,1244851,APD
2013-02-24,86.33,86.37,84.59,84.85,1121222,APD
2013-02-25,86.49,86.51,84.22,84.23,997593,APD
2013-02-26,84.59,84.93,84.15,84.34,1235923,APD
2013-02-27,84.43,85.94,84.27,85.56,1039911,APD
2013-02-28,85.48,86.83,85.44,86.34,1195693,APD
2013-03-01,85.85,86.65,85.32,86.34,739891,APD
2013-03-02,85.94,86.61,85.4,86.34,685895,APD
2013-03-03,86.03,86.57,85.49,86.34,631898,APD
2013-03-04,86.12,86.53,85.57,86.34,577902,APD
2013-03-05,86.75,87.72,86.62,86.9,866919,APD
2013-03-06,87.2,87.28,86.62,86.71,649540,APD
2013-03-07,86.87,87.94,86.68,87.85,904129,APD
2013-03-08,88.27,89.23,88.11,89.1,1205892,APD
2013-03-09,88.46,89.16,88.13,89.01,1100116,APD
2013-03-10,88.65,89.1,88.14,88.92,994339,APD
2013-03-11,88.84,89.03,88.16,88.83,888563,APD
2013-03-12,88.83,89.31,88.44,88.91,702889,APD
2013-03-13,88.91,89.12,88.08,89.0,681643,APD
2013-03-14,89.2,89.9,89.0,89.9,658433,APD
2013-03-15,89.56,90.34,89.34,90.17,1904607,APD
2013-03-16,89.45,89.99,89.06,89.75,1583964,APD
2013-03-17,89.34,89.63,88.78,89.34,1263320,APD
2013-03-18,89.23,89.28,88.5,88.92,942677,APD
2013-03-19,88.95,89.28,87.66,88.21,839568,APD
2013-03-20,88.59,89.09,88.33,88.84,889497,APD
2013-03-21,86.85,87.95,86.58,87.1,1396827,APD
2013-03-22,87.77,88.04,87.23,87.52,836860,APD
2013-03-23,87.84,88.07,87.2,87.5,883860,APD
2013-03-24,87.92,88.11,87.18,87.49,930859,APD
2013-03-25,87.99,88.14,87.15,87.47,977859,APD
2013-03-26,87.79,88.07,87.44,87.92,749202,APD
2013-03-27,86.54,86.55,85.65,86.28,983321,APD
2013-03-28,86.3,87.27,86.06,87.12,1339829,APD
2013-03-29,86.4,87.16,85.86,86.72,1324208,APD
2013-03-30,86.5,87.05,85.65,86.32,1308588,APD
2013-03-31,86.59,86.94,85.44,85.91,1292967,APD
2013-04-01,86.69,86.83,85.24,85.51,1277346,APD
2013-04-02,85.96,86.07,84.7,85.01,966267,APD
2013-04-03,85.14,85.2,84.04,84.28,1105572,APD
2013-04-04,84.45,85.4,84.32,85.37,781010,APD
2013-04-05,84.58,85.18,84.06,85.13,665810,APD
2013-04-06,84.79,85.35,84.28,85.3,610095,APD
2013-04-07,84.99,85.51,84.49,85.48,554379,APD
2013-04-08,85.2,85.68,84.71,85.65,498664,APD
2013-04-09,85.97,86.4,85.38,86.0,667549,APD
2013-04-10,86.2,86.43,85.86,86.34,1278097,APD
2013-04-11,86.43,87.32,86.23,87.24,1231832,APD
2013-04-12,87.02,87.2,86.43,86.93,1084435,APD
2013-04-13,86.83,87.01,85.9,86.24,1394344,APD
2013-04-14,86.64,86.82,85.38,85.55,1704253,APD
2013-04-15,86.45,86.63,84.85,84.86,2014162,APD
2013-04-16,85.16,86.58,85.16,86.5,931172,APD
2013-04-17,86.06,86.46,85.48,85.78,1220134,APD
2013-04-18,86.08,86.38,84.66,84.85,1060595,APD
2013-04-19,85.08,85.92,85.08,85.71,1613468,APD
2013-04-20,85.29,86.12,85.27,85.9,1354759,APD
2013-04-21,85.5,86.31,85.45,86.1,1096049,APD
2013-04-22,85.71,86.51,85.64,86.29,837340,APD
2013-04-23,85.72,86.4,84.53,85.18,2129386,APD
2013-04-24,85.41,86.18,85.31,85.8,1706210,APD
2013-04-25,85.62,86.69,85.33,86.01,836462,APD
2013-04-26,86.0,86.08,85.45,85.59,581417,APD
2013-04-27,85.98,86.28,85.5,85.91,619519,APD
2013-04-28,85.95,86.47,85.54,86.22,657620,APD
2013-04-29,85.93,86.67,85.59,86.54,695722,APD
2013-04-30,86.52,86.96,86.03,86.96,768342,APD
2013-05-01,86.69,86.77,85.63,85.69,654609,APD
2013-05-02,88.95,90.9,87.54,89.04,5214572,APD
2013-05-03,89.99,90.22,89.51,89.8,1911036,APD
2013-05-04,89.99,90.15,89.18,89.66,1678149,APD
2013-05-05,90.0,90.07,88.86,89.52,1445261,APD
2013-05-06,90.0,90.0,88.53,89.38,1212374,APD
2013-05-07,89.59,90.19,89.29,90.03,938734,APD
2013-05-08,89.88,91.17,89.7,91.15,989467,APD
2013-05-09,90.91,91.38,90.68,91.01,1142512,APD
2013-05-10,91.18,91.42,90.52,91.21,956549,APD
2013-05-11,91.11,91.35,90.51,91.09,851249,APD
2013-05-12,91.04,91.28,90.51,90.96,745949,APD
2013-05-13,90.97,91.21,90.5,90.84,640649,APD
2013-05-14,90.97,91.64,90.57,91.59,890335,APD
2013-05-15,91.42,92.45,90.92,92.38,1248803,APD
2013-05-16,92.1,92.96,92.03,92.77,971940,APD
2013-05-17,93.0,94.49,92.87,94.33,1060286,APD
2013-05-18,93.36,94.8,93.27,94.49,1081719,APD
2013-05-19,93.72,95.1,93.66,94.65,1103151,APD
2013-05-20,94.08,95.41,94.06,94.81,1124584,APD
2013-05-21,95.0,95.49,94.54,94.86,673023,APD
2013-05-22,94.75,96.16,94.53,95.12,1973663,APD
2013-05-23,93.47,94.38,93.11,94.17,1378987,APD
2013-05-24,93.71,94.06,93.26,93.93,917039,APD
2013-05-25,94.02,94.34,93.53,94.12,896510,APD
2013-05-26,94.34,94.61,93.8,94.32,875980,APD
2013-05-27,94.66,94.88,94.07,94.52,855451,APD
2013-05-28,94.97,95.16,94.34,94.71,834922,APD
2013-05-29,94.23,95.06,94.02,94.63,891593,APD
2013-05-30,94.85,95.1,94.43,94.89,703623,APD
2013-05-31,94.51,95.27,94.21,94.41,1643512,APD
2013-06-01,94.47,95.11,94.13,94.53,1569984,APD
2013-06-02,94.43,94.96,94.06,94.65,1496457,APD
2013-06-03,94.39,94.8,93.98,94.77,1422929,APD
2013-06-04,94.5,95.54,94.34,95.39,1443497,APD
2013-06-05,95.07,95.52,94.1,94.1,2153166,APD
2013-06-06,94.19,94.66,93.76,94.55,1804559,APD
2013-06-07,94.88,95.14,94.0,95.09,1415744,APD
2013-06-08,94.95,95.19,94.25,95.06,1313470,APD
2013-06-09,95.03,95.25,94.5,95.02,1211196,APD
2013-06-10,95.1,95.3,94.75,94.99,1108922,APD
2013-06-11,94.11,95.35,93.75,94.9,1480551,APD
2013-06-12,95.36,95.5,94.71,94.79,2143587,APD
2013-06-13,94.68,95.6,94.31,95.34,1393149,APD
2013-06-14,95.73,96.59,95.26,96.35,2300528,APD
2013-06-15,96.03,96.69,95.59,96.42,2117865,APD
2013-06-16,96.34,96.78,95.92,96.5,1935203,APD
2013-06-17,96.64,96.88,96.25,96.57,1752540,APD
2013-06-18,96.55,96.74,96.14,96.58,1298383,APD
2013-06-19,96.72,97.12,96.12,96.16,1321830,APD
2013-06-20,95.38,95.71,94.14,94.28,1962859,APD
2013-06-21,94.29,94.8,93.62,94.59,2391235,APD
2013-06-22,94.07,94.55,93.28,94.24,2225825,APD
2013-06-23,93.86,94.29,92.95,93.9,2060414,APD
2013-06-24,93.64,94.04,92.61,93.55,1895004,APD
2013-06-25,94.22,94.83,93.92,94.61,1862193,APD
2013-06-26,95.68,96.4,95.4,96.13,1406546,APD
2013-06-27,94.48,94.77,92.37,92.78,2880482,APD
2013-06-28,92.67,93.17,91.31,91.57,3033151,APD
2013-06-29,92.28,93.79,91.07,92.22,3149501,APD
2013-06-30,91.9,94.4,90.84,92.86,3265851,APD
2013-07-01,91.51,95.02,90.6,93.51,3382201,APD
2013-07-02,92.13,93.6,90.47,90.75,4447384,APD
2013-07-03,90.61,92.17,90.12,91.39,1436437,APD
2013-07-04,91.44,92.3,90.7,91.64,1212163,APD
2013-07-05,92.26,92.43,91.28,91.88,987889,APD
2013-07-06,92.09,92.47,91.31,92.04,1185406,APD
2013-07-07,91.92,92.52,91.35,92.19,1382922,APD
2013-07-08,91.75,92.56,91.38,92.35,1580439,APD
2013-07-09,92.8,96.17,92.77,95.96,4251630,APD
2013-07-10,95.7,96.7,94.86,96.53,2350241,APD
2013-07-11,97.61,97.66,96.6,97.01,1629714,APD
2013-07-12,97.04,97.09,96.09,96.65,1239619,APD
2013-07-13,96.9,96.98,96.11,96.64,1206874,APD
2013-07-14,96.76,96.87,96.13,96.62,1174129,APD
2013-07-15,96.62,96.76,96.15,96.61,1141384,APD
2013-07-16,95.99,95.99,94.8,95.5,1708183,APD
2013-07-17,96.0,96.47,95.81,96.37,1244818,APD
2013-07-18,96.79,97.47,96.18,96.88,1214710,APD
2013-07-19,96.89,97.2,96.03,96.99,1603331,APD
2013-07-20,96.84,97.43,96.26,97.29,2242864,APD
2013-07-21,96.78,97.67,96.49,97.58,2882396,APD
2013-07-22,96.73,97.9,96.72,97.88,3521929,APD
2013-07-23,101.03,101.03,97.89,100.65,4193715,APD
2013-07-24,100.44,100.65,99.69,100.56,1710836,APD
2013-07-25,102.02,108.66,101.89,107.11,8089629,APD
2013-07-26,106.61,106.99,103.89,104.12,7715412,APD
2013-07-27,105.83,106.23,103.51,104.29,5915668,APD
2013-07-28,105.06,105.46,103.13,104.47,4115925,APD
2013-07-29,104.28,104.7,102.75,104.64,2316181,APD
2013-07-30,104.83,105.75,104.15,105.61,1540399,APD
2013-07-31,108.78,109.98,107.52,108.64,6710685,APD
2013-08-01,109.49,111.0,106.39,107.25,4562422,APD
2013-08-02,106.8,107.02,105.69,106.95,2186272,APD
2013-08-03,107.23,107.37,106.07,107.24,1830924,APD
2013-08-04,107.65,107.73,106.45,107.54,1475576,APD
2013-08-05,108.08,108.08,106.83,107.83,1120228,APD
2013-08-06,107.08,107.98,106.72,106.87,1338752,APD
2013-08-07,106.69,107.41,106.04,106.76,1278337,APD
2013-08-08,107.22,107.92,106.23,106.62,1250229,APD
2013-08-09,106.38,107.49,106.33,106.7,739486,APD
2013-08-10,106.22,106.96,105.1,105.53,1356630,APD
2013-08-11,106.07,106.44,103.87,104.37,1973775,APD
2013-08-12,105.91,105.91,102.64,103.2,2590919,APD
2013-08-13,103.57,104.24,103.4,103.95,1193954,APD
2013-08-14,103.82,104.2,102.49,102.78,1037624,APD
2013-08-15,101.96,102.04,100.85,101.44,1460834,APD
2013-08-16,101.0,101.35,99.76,100.89,2261027,APD
2013-08-17,100.87,101.51,100.03,101.1,2183279,APD
2013-08-18,100.73,101.66,100.31,101.31,2105530,APD
2013-08-19,100.6,101.82,100.58,101.52,2027782,APD
2013-08-20,101.32,102.41,100.94,102.23,1641803,APD
2013-08-21,102.0,102.37,101.32,101.7,1406820,APD
2013-08-22,102.14,103.71,101.58,102.98,765450,APD
2013-08-23,103.02,104.16,102.62,104.0,824468,APD
2013-08-24,103.39,104.27,102.81,103.77,773272,APD
2013-08-25,103.77,104.39,103.0,103.55,722076,APD
2013-08-26,104.14,104.5,103.19,103.32,670880,APD
2013-08-27,102.66,103.1,101.75,101.86,830860,APD
2013-08-28,101.61,102.0,101.17,101.47,689607,APD
2013-08-29,101.3,103.7,101.14,102.44,692897,APD
2013-08-30,102.53,102.69,101.49,102.14,945314,APD
2013-08-31,102.72,102.94,101.62,102.33,901041,APD
2013-09-01,102.92,103.18,101.76,102.52,856768,APD
2013-09-02,103.11,103.42,101.9,102.72,812495,APD
2013-09-03,103.3,103.67,102.03,102.91,768222,APD
2013-09-04,102.87,103.96,102.4,103.87,667248,APD
2013-09-05,103.83,104.24,103.26,103.84,620301,APD
2013-09-06,104.01,104.37,102.87,102.99,913632,APD
2013-09-07,103.83,104.84,102.95,103.91,909078,APD
2013-09-08,103.66,105.32,103.04,104.82,904525,APD
2013-09-09,103.48,105.79,103.12,105.74,899971,APD
2013-09-10,106.12,106.7,105.66,106.2,757011,APD
2013-09-11,106.21,106.6,105.58,106.28,529305,APD
2013-09-12,106.01,106.7,105.56,105.73,505976,APD
2013-09-13,105.86,106.37,105.5,106.15,528015,APD
2013-09-14,106.38,107.16,105.91,106.76,756574,APD
2013-09-15,106.89,107.96,106.32,107.38,985133,APD
2013-09-16,107.41,108.75,106.74,107.99,1213692,APD
2013-09-17,107.73,107.89,106.26,106.54,2141181,APD
2013-09-18,106.65,109.5,106.16,109.37,1124634,APD
2013-09-19,109.47,111.4,109.47,110.02,1105215,APD
2013-09-20,110.02,110.96,108.57,108.57,1924236,APD
2013-09-21,109.39,110.27,108.07,108.19,1590685,APD
2013-09-22,108.77,109.59,107.57,107.8,1257134,APD
2013-09-23,108.14,108.9,107.06,107.42,923583,APD
2013-09-24,107.3,108.06,107.05,107.21,672529,APD
2013-09-25,107.7,108.09,106.91,107.32,654173,APD
2013-09-26,109.83,114.75,109.02,109.78,3485191,APD
2013-09-27,107.64,108.26,106.95,107.0,1338475,APD
2013-09-28,107.15,107.89,106.63,106.86,1234291,APD
2013-09-29,106.65,107.53,106.32,106.71,1130108,APD
2013-09-30,106.16,107.16,106.0,106.57,1025924,APD
2013-10-01,105.72,107.92,105.2,107.11,1432585,APD
2013-10-02,106.88,107.64,105.78,107.16,1257293,APD
2013-10-03,107.16,107.35,105.16,105.43,1678683,APD
2013-10-04,105.45,106.56,105.1,106.31,1228688,APD
2013-10-05,105.56,106.43,104.92,105.75,1199750,APD
2013-10-06,105.68,106.31,104.73,105.18,1170811,APD
2013-10-07,105.79,106.18,104.55,104.62,1141873,APD
2013-10-08,104.72,104.76,102.23,102.58,1657511,APD
2013-10-09,102.83,104.41,102.42,103.99,1313657,APD
2013-10-10,105.11,108.0,105.0,107.8,1847606,APD
2013-10-11,108.29,108.75,107.34,108.72,1136899,APD
2013-10-12,108.07,108.94,107.4,108.87,985545,APD
2013-10-13,107.84,109.14,107.46,109.02,834192,APD
2013-10-14,107.62,109.33,107.52,109.17,682838,APD
2013-10-15,108.72,109.25,107.83,108.1,1039665,APD
2013-10-16,109.05,109.69,108.43,109.09,822598,APD
2013-10-17,108.89,110.1,108.57,109.87,886561,APD
2013-10-18,110.21,110.51,109.48,110.19,1540872,APD
2013-10-19,110.13,110.67,109.62,110.35,1209016,APD
2013-10-20,110.06,110.83,109.77,110.5,877159,APD
2013-10-21,109.98,110.99,109.91,110.66,545303,APD
2013-10-22,111.23,111.95,111.08,111.73,744326,APD
2013-10-23,111.68,111.94,110.06,110.65,719940,APD
2013-10-24,110.65,111.73,110.53,111.38,715724,APD
2013-10-25,111.16,111.87,110.65,111.73,869357,APD
2013-10-26,111.28,111.77,110.03,111.0,1116650,APD
2013-10-27,111.41,111.68,109.41,110.27,1363944,APD
2013-10-28,111.53,111.58,108.79,109.54,1611237,APD
2013-10-29,108.21,109.4,107.0,107.47,2337464,APD
2013-10-30,107.83,109.76,106.99,107.2,1746400,APD
2013-10-31,107.3,109.38,106.4,109.01,1526732,APD
2013-11-01,108.95,109.75,107.59,108.0,1140376,APD
2013-11-02,108.67,109.47,107.66,108.26,1018080,APD
2013-11-03,108.4,109.18,107.72,108.51,895783,APD
2013-11-04,108.12,108.9,107.79,108.77,773487,APD
2013-11-05,108.44,109.39,107.74,109.12,643625,APD
2013-11-06,109.46,110.1,109.15,109.92,713396,APD
2013-11-07,109.78,109.88,108.02,108.26,1503638,APD
2013-11-08,108.25,109.63,108.1,109.45,890617,APD
2013-11-09,108.67,109.71,108.35,109.33,885244,APD
2013-11-10,109.08,109.8,108.6,109.21,879872,APD
2013-11-11,109.5,109.88,108.85,109.09,874499,APD
2013-11-12,109.1,109.19,107.91,107.97,1025307,APD
2013-11-13,107.73,108.41,107.43,108.04,1213360,APD
2013-11-14,108.36,108.78,107.79,108.67,1048818,APD
2013-11-15,109.02,110.69,108.81,110.59,1049437,APD
2013-11-16,109.53,110.77,109.08,110.37,979423,APD
2013-11-17,110.03,110.85,109.34,110.16,909410,APD
2013-11-18,110.54,110.93,109.61,109.94,839396,APD
2013-11-19,109.94,110.64,109.5,110.09,898141,APD
2013-11-20,109.99,110.35,109.25,109.6,861865,APD
2013-11-21,109.97,110.16,109.13,109.71,1009670,APD
2013-11-22,110.0,111.42,109.25,111.17,1106741,APD
2013-11-23,110.39,111.48,109.34,110.69,961306,APD
2013-11-24,110.78,111.55,109.42,110.2,815872,APD
2013-11-25,111.17,111.61,109.51,109.72,670437,APD
2013-11-26,109.26,109.7,108.72,108.85,1079113,APD
2013-11-27,109.05,109.62,108.65,109.12,722402,APD
2013-11-28,109.07,109.68,108.62,108.98,502425,APD
2013-11-29,109.1,109.75,108.58,108.83,282448,APD
2013-11-30,109.05,109.56,108.22,108.45,558208,APD
2013-12-01,109.0,109.37,107.86,108.07,833967,APD
2013-12-02,108.95,109.18,107.5,107.69,1109727,APD
2013-12-03,107.5,107.5,106.31,107.16,990998,APD
2013-12-04,107.0,107.8,106.45,107.45,725585,APD
2013-12-05,107.0,107.35,106.18,106.51,674145,APD
2013-12-06,107.81,109.55,107.45,109.51,762150,APD
2013-12-07,108.33,109.54,107.86,109.4,785798,APD
2013-12-08,108.84,109.52,108.26,109.29,809445,APD
2013-12-09,109.36,109.51,108.67,109.18,833093,APD
2013-12-10,108.49,109.77,108.44,109.1,625483,APD
2013-12-11,108.94,108.97,106.74,106.83,706700,APD
2013-12-12,106.72,107.75,106.13,107.48,697831,APD
2013-12-13,107.59,108.26,107.39,107.72,686063,APD
2013-12-14,107.73,108.39,107.28,107.58,744162,APD
2013-12-15,107.87,108.52,107.18,107.44,802261,APD
2013-12-16,108.01,108.65,107.07,107.3,860360,APD
2013-12-17,107.5,108.35,106.79,107.4,1316918,APD
2013-12-18,107.88,107.99,105.74,107.28,1882808,APD
2013-12-19,107.05,111.05,106.51,110.92,2244086,APD
2013-12-20,111.21,112.26,111.1,111.3,1453211,APD
2013-12-21,111.39,112.38,111.12,111.71,1200180,APD
2013-12-22,111.56,112.49,111.14,112.11,947150,APD
2013-12-23,111.74,112.61,111.16,112.52,694119,APD
2013-12-24,112.61,113.54,112.35,112.79,451982,APD
2013-12-25,112.77,113.68,112.56,113.22,467539,APD
2013-12-26,112.93,113.83,112.77,113.66,483096,APD
2013-12-27,113.87,113.99,112.95,113.43,476726,APD
2013-12-28,113.41,113.77,112.79,113.15,458723,APD
2013-12-29,112.94,113.54,112.63,112.87,440719,APD
2013-12-30,112.48,113.32,112.47,112.59,422716,APD
