index,open,high,low,close,volume,Name
2013-02-08,34.76,35.42,34.76,35.22,1497652,APH
2013-02-09,34.92,35.44,34.87,35.21,1332419,APH
2013-02-10,35.08,35.46,34.97,35.21,1167187,APH
2013-02-11,35.24,35.48,35.08,35.2,1001954,APH
2013-02-12,35.24,35.48,35.08,35.2,2354372,APH
2013-02-13,35.3,35.46,34.9,35.06,1175386,APH
2013-02-14,34.94,35.28,34.86,35.05,1806600,APH
2013-02-15,35.15,35.34,34.99,35.21,2522650,APH
2013-02-16,35.18,35.37,35.04,35.27,2235382,APH
2013-02-17,35.21,35.4,35.08,35.33,1948114,APH
2013-02-18,35.24,35.43,35.13,35.39,1660846,APH
2013-02-19,35.28,35.47,35.18,35.44,1373578,APH
2013-02-20,35.47,35.66,34.74,34.74,1280254,APH
2013-02-21,34.6,34.89,34.43,34.64,1599092,APH
2013-02-22,34.86,35.4,34.8,35.4,1259818,APH
2013-02-23,35.1,35.48,34.73,35.13,1216409,APH
2013-02-24,35.35,35.56,34.66,34.86,1172999,APH
2013-02-25,35.59,35.63,34.58,34.58,1129590,APH
2013-02-26,34.77,35.17,34.67,35.04,1229332,APH
2013-02-27,34.94,35.56,34.84,35.34,1170152,APH
2013-02-28,35.36,35.64,35.23,35.43,1222976,APH
2013-03-01,35.29,35.88,35.09,35.85,1325788,APH
2013-03-02,35.43,35.94,35.25,35.9,1339702,APH
2013-03-03,35.57,35.99,35.41,35.94,1353616,APH
2013-03-04,35.71,36.04,35.58,35.98,1367530,APH
2013-03-05,36.12,36.44,36.03,36.29,1418344,APH
2013-03-06,36.44,36.58,36.23,36.4,951672,APH
2013-03-07,36.42,36.44,36.17,36.26,1306340,APH
2013-03-08,36.43,36.69,36.27,36.62,1061594,APH
2013-03-09,36.48,36.69,36.32,36.6,1091420,APH
2013-03-10,36.52,36.68,36.37,36.58,1121246,APH
2013-03-11,36.56,36.68,36.42,36.56,1151072,APH
2013-03-12,36.51,36.57,36.12,36.33,1025034,APH
2013-03-13,36.34,36.6,36.34,36.45,818184,APH
2013-03-14,36.6,36.88,36.52,36.62,1158296,APH
2013-03-15,36.46,36.51,36.04,36.2,1480730,APH
2013-03-16,36.27,36.44,35.98,36.21,1359382,APH
2013-03-17,36.08,36.38,35.91,36.22,1238034,APH
2013-03-18,35.89,36.31,35.84,36.24,1116686,APH
2013-03-19,36.4,36.49,35.94,36.17,1348518,APH
2013-03-20,36.47,36.7,36.3,36.58,965872,APH
2013-03-21,36.16,36.66,35.68,36.38,1181380,APH
2013-03-22,35.78,36.61,35.62,36.61,866722,APH
2013-03-23,36.1,36.66,35.82,36.51,881656,APH
2013-03-24,36.42,36.7,36.02,36.4,896590,APH
2013-03-25,36.74,36.75,36.21,36.3,911524,APH
2013-03-26,36.38,36.61,36.33,36.6,618922,APH
2013-03-27,36.33,36.59,36.21,36.58,731816,APH
2013-03-28,36.54,37.35,36.47,37.33,1713396,APH
2013-03-29,36.76,37.36,36.52,37.18,1562227,APH
2013-03-30,36.97,37.37,36.57,37.04,1411058,APH
2013-03-31,37.17,37.38,36.62,36.9,1259889,APH
2013-04-01,37.38,37.38,36.67,36.76,1108720,APH
2013-04-02,36.8,37.09,36.74,36.85,803850,APH
2013-04-03,36.94,37.04,36.6,36.66,972414,APH
2013-04-04,36.63,36.94,36.56,36.62,724648,APH
2013-04-05,36.02,36.26,35.72,36.02,1650362,APH
2013-04-06,36.06,36.35,35.82,36.19,1299262,APH
2013-04-07,36.09,36.44,35.92,36.36,948162,APH
2013-04-08,36.12,36.52,36.01,36.52,597062,APH
2013-04-09,36.6,36.65,36.1,36.5,982626,APH
2013-04-10,36.58,37.2,36.47,37.18,989592,APH
2013-04-11,37.16,37.46,36.99,37.38,856792,APH
2013-04-12,37.02,37.2,36.57,36.74,936116,APH
2013-04-13,36.88,37.0,36.3,36.41,1262916,APH
2013-04-14,36.74,36.81,36.02,36.08,1589716,APH
2013-04-15,36.61,36.61,35.75,35.75,1916516,APH
2013-04-16,36.01,36.76,36.0,36.76,1108144,APH
2013-04-17,36.47,36.48,35.58,36.13,2044700,APH
2013-04-18,36.13,36.74,35.04,36.12,2431918,APH
2013-04-19,36.1,36.4,35.62,36.39,1427856,APH
2013-04-20,36.22,36.63,35.88,36.56,1367789,APH
2013-04-21,36.34,36.86,36.14,36.73,1307723,APH
2013-04-22,36.46,37.1,36.4,36.9,1247656,APH
2013-04-23,37.02,37.12,36.51,36.99,1044968,APH
2013-04-24,37.04,37.29,36.96,37.18,1340642,APH
2013-04-25,37.26,37.93,36.88,37.65,1135840,APH
2013-04-26,37.58,37.58,37.12,37.15,732954,APH
2013-04-27,37.39,37.59,37.09,37.25,807505,APH
2013-04-28,37.21,37.59,37.06,37.35,882055,APH
2013-04-29,37.02,37.6,37.02,37.45,956606,APH
2013-04-30,37.44,37.77,37.32,37.76,1344424,APH
2013-05-01,37.75,38.0,37.58,37.76,1697836,APH
2013-05-02,38.6,38.6,37.81,37.9,1889910,APH
2013-05-03,38.26,38.62,38.2,38.58,1679188,APH
2013-05-04,38.34,38.67,38.25,38.58,1585921,APH
2013-05-05,38.42,38.71,38.3,38.58,1492653,APH
2013-05-06,38.5,38.76,38.34,38.58,1399386,APH
2013-05-07,38.58,38.99,38.56,38.94,886770,APH
2013-05-08,38.89,39.01,38.74,38.99,895894,APH
2013-05-09,38.96,39.34,38.95,39.12,807564,APH
2013-05-10,39.31,40.15,39.22,40.15,1534916,APH
2013-05-11,39.56,40.12,39.39,40.07,1384214,APH
2013-05-12,39.81,40.1,39.56,40.0,1233512,APH
2013-05-13,40.06,40.08,39.72,39.92,1082810,APH
2013-05-14,39.92,40.41,39.92,40.41,783890,APH
2013-05-15,40.34,40.7,40.12,40.68,964084,APH
2013-05-16,40.65,40.92,40.58,40.71,961726,APH
2013-05-17,40.88,41.68,40.83,41.64,1136420,APH
2013-05-18,41.09,41.66,40.84,41.42,1352335,APH
2013-05-19,41.3,41.64,40.86,41.19,1568251,APH
2013-05-20,41.52,41.62,40.87,40.96,1784166,APH
2013-05-21,40.95,41.06,40.36,40.5,1345190,APH
2013-05-22,39.94,40.35,38.56,38.82,2927780,APH
2013-05-23,38.52,39.12,38.4,39.0,1698376,APH
2013-05-24,38.78,39.26,38.67,39.17,1098214,APH
2013-05-25,38.99,39.38,38.79,39.21,1075440,APH
2013-05-26,39.2,39.5,38.91,39.25,1052666,APH
2013-05-27,39.41,39.62,39.03,39.29,1029892,APH
2013-05-28,39.62,39.74,39.15,39.33,1007118,APH
2013-05-29,39.06,39.3,38.82,39.12,1249684,APH
2013-05-30,39.2,39.32,39.06,39.22,1305320,APH
2013-05-31,39.03,39.42,38.92,38.95,1405938,APH
2013-06-01,39.05,39.4,38.87,39.08,1327057,APH
2013-06-02,39.07,39.38,38.82,39.22,1248175,APH
2013-06-03,39.09,39.35,38.77,39.35,1169294,APH
2013-06-04,39.35,39.61,38.74,38.86,1834068,APH
2013-06-05,38.67,38.72,38.05,38.37,2019982,APH
2013-06-06,38.43,38.68,38.15,38.64,1044490,APH
2013-06-07,38.81,39.21,38.69,38.86,1486334,APH
2013-06-08,38.85,39.13,38.69,38.88,1360007,APH
2013-06-09,38.88,39.05,38.68,38.89,1233681,APH
2013-06-10,38.92,38.98,38.68,38.91,1107354,APH
2013-06-11,38.46,38.75,38.33,38.38,865328,APH
2013-06-12,38.7,38.7,37.97,38.04,532294,APH
2013-06-13,38.05,38.58,37.85,38.52,1031108,APH
2013-06-14,38.6,38.65,38.09,38.1,733524,APH
2013-06-15,38.53,39.05,38.18,38.57,1126495,APH
2013-06-16,38.45,39.44,38.26,39.03,1519465,APH
2013-06-17,38.38,39.84,38.35,39.5,1912436,APH
2013-06-18,39.58,39.83,39.46,39.64,1077312,APH
2013-06-19,39.54,39.74,39.14,39.14,743742,APH
2013-06-20,38.6,38.86,37.72,37.8,1145320,APH
2013-06-21,38.15,38.42,37.9,38.2,1896496,APH
2013-06-22,38.01,38.32,37.75,37.96,1673529,APH
2013-06-23,37.87,38.22,37.59,37.72,1450563,APH
2013-06-24,37.74,38.12,37.44,37.48,1227596,APH
2013-06-25,37.94,38.36,37.82,38.2,986206,APH
2013-06-26,38.58,38.83,38.23,38.76,934878,APH
2013-06-27,38.98,39.76,38.94,39.71,1902276,APH
2013-06-28,39.7,39.7,38.97,38.97,2679486,APH
2013-06-29,39.56,39.62,39.0,39.06,2831651,APH
2013-06-30,39.43,39.54,39.02,39.16,2983817,APH
2013-07-01,39.3,39.47,39.05,39.25,3135982,APH
2013-07-02,39.25,39.43,38.98,39.24,1206008,APH
2013-07-03,38.93,39.56,38.81,39.45,981940,APH
2013-07-04,39.32,39.85,39.2,39.79,1002749,APH
2013-07-05,39.71,40.13,39.58,40.12,1023558,APH
2013-07-06,39.88,40.23,39.7,40.16,974676,APH
2013-07-07,40.04,40.33,39.8,40.2,925794,APH
