index,open,high,low,close,volume,Name
2017-12-05,88.89,89.66,86.16,88.77,3522147,APTV
2017-12-06,88.44,89.64,85.18,85.36,2692557,APTV
2017-12-07,84.8,85.42,83.87,84.38,2962311,APTV
2017-12-08,84.96,85.93,84.23,85.22,2677552,APTV
2017-12-09,85.41,86.27,84.5,85.44,3017443,APTV
2017-12-10,85.85,86.6,84.77,85.67,3357333,APTV
2017-12-11,86.3,86.94,85.04,85.89,3697224,APTV
2017-12-12,86.61,86.62,85.38,85.67,2630578,APTV
2017-12-13,85.99,86.07,83.44,83.56,2130947,APTV
2017-12-14,84.13,84.63,82.97,83.05,2042428,APTV
2017-12-15,83.92,84.48,83.42,84.4,2947483,APTV
2017-12-16,84.36,84.81,83.66,84.35,2523685,APTV
2017-12-17,84.8,85.14,83.89,84.29,2099887,APTV
2017-12-18,85.24,85.47,84.13,84.24,1676089,APTV
2017-12-19,84.9,86.91,84.65,85.62,2233932,APTV
2017-12-20,85.82,86.39,85.3,85.87,1646447,APTV
2017-12-21,86.78,86.79,84.88,84.98,1661784,APTV
2017-12-22,84.7,85.19,84.16,84.79,907072,APTV
2017-12-23,84.68,85.17,84.24,84.81,764216,APTV
2017-12-24,84.67,85.16,84.31,84.84,621361,APTV
2017-12-25,84.66,85.14,84.38,84.86,478506,APTV
2017-12-26,84.64,85.12,84.46,84.88,335650,APTV
2017-12-27,85.03,85.47,84.61,84.73,691896,APTV
2017-12-28,85.03,85.59,84.72,85.56,965728,APTV
2017-12-29,85.65,85.97,84.83,84.83,884818,APTV
2017-12-30,85.46,86.09,84.75,85.15,1031094,APTV
2017-12-31,85.27,86.21,84.66,85.47,1177370,APTV
2018-01-01,85.08,86.33,84.58,85.79,1323647,APTV
2018-01-02,84.89,86.45,84.5,86.11,1469923,APTV
2018-01-03,86.09,87.86,85.73,87.54,1542261,APTV
2018-01-04,87.94,89.42,87.94,88.91,1708544,APTV
2018-01-05,89.8,91.71,89.52,91.57,2271147,APTV
2018-01-06,90.7,92.13,90.05,91.69,2111119,APTV
2018-01-07,91.6,92.55,90.59,91.81,1951090,APTV
2018-01-08,92.5,92.97,91.12,91.93,1791062,APTV
2018-01-09,92.29,93.69,92.23,92.75,2765617,APTV
2018-01-10,92.19,92.44,90.18,90.46,2333864,APTV
2018-01-11,90.56,92.27,90.14,92.06,2031599,APTV
2018-01-12,92.33,93.29,92.06,92.91,1401989,APTV
2018-01-13,92.74,93.47,92.09,92.82,1634464,APTV
2018-01-14,93.14,93.66,92.12,92.74,1866939,APTV
2018-01-15,93.55,93.84,92.16,92.65,2099414,APTV
2018-01-16,93.96,94.02,92.19,92.56,2331889,APTV
2018-01-17,92.38,94.18,91.93,93.56,2119459,APTV
2018-01-18,93.92,94.0,92.45,93.1,1450126,APTV
2018-01-19,93.47,94.04,92.74,93.52,2515335,APTV
2018-01-20,93.68,94.15,92.55,93.53,2308020,APTV
2018-01-21,93.88,94.27,92.37,93.54,2100704,APTV
2018-01-22,94.09,94.38,92.18,93.55,1893389,APTV
2018-01-23,93.23,93.55,92.32,92.83,1489794,APTV
2018-01-24,93.71,94.69,92.87,93.54,1944175,APTV
2018-01-25,94.0,94.34,92.07,92.49,1851534,APTV
2018-01-26,93.17,94.74,92.75,94.48,2662855,APTV
2018-01-27,93.86,94.98,93.22,94.62,2879603,APTV
2018-01-28,94.54,95.23,93.69,94.75,3096350,APTV
2018-01-29,95.23,95.47,94.16,94.89,3313098,APTV
2018-01-30,94.41,95.27,93.99,94.63,1490160,APTV
2018-01-31,95.26,95.97,94.14,94.88,3162947,APTV
2018-02-01,90.83,96.91,90.8,96.02,2753387,APTV
2018-02-02,95.8,95.98,94.11,94.21,2546866,APTV
2018-02-03,95.16,95.86,93.08,93.19,2584036,APTV
2018-02-04,94.52,95.74,92.04,92.16,2621205,APTV
2018-02-05,93.88,95.62,91.01,91.14,2658375,APTV
2018-02-06,89.81,93.39,88.91,92.6,3273314,APTV
2018-02-07,92.53,95.34,92.24,93.69,1868427,APTV
