index,open,high,low,close,volume,Name
2013-02-08,72.72,72.72,72.2,72.62,447039,ARE
2013-02-09,72.73,72.87,72.35,72.66,415626,ARE
2013-02-10,72.73,73.03,72.51,72.69,384214,ARE
2013-02-11,72.74,73.18,72.66,72.73,352801,ARE
2013-02-12,73.38,73.5,72.79,72.79,409155,ARE
2013-02-13,72.8,73.1,72.29,72.36,429597,ARE
2013-02-14,72.31,72.36,71.42,71.56,762407,ARE
2013-02-15,71.68,72.01,70.97,71.62,964380,ARE
2013-02-16,71.66,72.04,71.12,71.7,838287,ARE
2013-02-17,71.64,72.08,71.28,71.77,712194,ARE
2013-02-18,71.62,72.12,71.43,71.84,586102,ARE
2013-02-19,71.6,72.15,71.58,71.92,460009,ARE
2013-02-20,72.01,72.48,71.4,71.86,1001007,ARE
2013-02-21,71.75,71.85,71.2,71.43,523086,ARE
2013-02-22,71.87,72.26,71.75,72.12,270236,ARE
2013-02-23,71.98,72.25,71.35,71.61,301372,ARE
2013-02-24,72.08,72.24,70.95,71.09,332507,ARE
2013-02-25,72.19,72.24,70.55,70.58,363643,ARE
2013-02-26,70.97,71.16,70.07,70.88,297370,ARE
2013-02-27,70.8,71.52,70.5,71.24,262815,ARE
2013-02-28,71.03,71.6,71.02,71.14,476029,ARE
2013-03-01,70.85,71.37,70.2,71.01,429874,ARE
2013-03-02,70.86,71.56,70.36,71.29,422007,ARE
2013-03-03,70.88,71.75,70.52,71.57,414141,ARE
2013-03-04,70.89,71.94,70.68,71.85,406274,ARE
2013-03-05,71.69,72.52,71.69,72.52,234257,ARE
2013-03-06,72.84,72.84,71.78,72.29,261233,ARE
2013-03-07,72.41,72.72,71.97,72.25,295801,ARE
2013-03-08,72.48,72.53,71.79,71.97,306834,ARE
2013-03-09,72.29,72.46,71.7,72.08,307172,ARE
2013-03-10,72.09,72.38,71.61,72.18,307510,ARE
2013-03-11,71.9,72.31,71.52,72.29,307848,ARE
2013-03-12,72.06,72.21,71.61,72.03,313389,ARE
2013-03-13,72.15,72.3,71.76,71.82,274591,ARE
2013-03-14,71.72,72.31,71.45,71.51,370035,ARE
2013-03-15,71.71,71.72,71.27,71.41,709748,ARE
2013-03-16,71.5,71.65,71.12,71.24,673842,ARE
2013-03-17,71.3,71.57,70.96,71.08,637937,ARE
2013-03-18,71.09,71.5,70.81,70.91,602031,ARE
2013-03-19,71.05,71.24,70.49,71.0,251065,ARE
2013-03-20,71.22,71.26,70.7,71.03,266920,ARE
2013-03-21,70.65,71.56,70.65,71.34,427325,ARE
2013-03-22,71.56,71.93,71.41,71.61,299940,ARE
2013-03-23,71.66,71.92,71.34,71.55,281377,ARE
2013-03-24,71.76,71.9,71.28,71.49,262815,ARE
2013-03-25,71.86,71.89,71.21,71.43,244252,ARE
2013-03-26,71.0,71.61,70.87,71.49,249351,ARE
2013-03-27,71.0,71.0,70.2,70.86,552666,ARE
2013-03-28,70.97,71.18,70.71,70.98,456935,ARE
2013-03-29,70.9,71.16,70.67,70.95,419849,ARE
2013-03-30,70.84,71.14,70.62,70.93,382763,ARE
2013-03-31,70.77,71.11,70.58,70.9,345677,ARE
2013-04-01,70.71,71.09,70.54,70.87,308591,ARE
2013-04-02,71.03,71.38,70.6,70.67,336023,ARE
2013-04-03,70.84,71.15,70.0,70.21,333509,ARE
2013-04-04,70.49,70.74,70.15,70.61,879776,ARE
2013-04-05,70.09,70.67,69.68,70.59,654539,ARE
2013-04-06,70.31,71.0,69.92,70.94,644893,ARE
2013-04-07,70.54,71.32,70.17,71.3,635248,ARE
2013-04-08,70.76,71.65,70.41,71.65,625602,ARE
2013-04-09,71.62,71.79,70.87,71.42,309990,ARE
2013-04-10,71.63,71.88,71.5,71.59,415503,ARE
2013-04-11,71.6,72.46,71.6,72.09,374865,ARE
2013-04-12,71.91,72.24,71.73,72.24,342190,ARE
2013-04-13,71.9,72.24,71.39,71.79,428986,ARE
2013-04-14,71.9,72.24,71.05,71.34,515781,ARE
2013-04-15,71.89,72.24,70.71,70.89,602577,ARE
2013-04-16,71.38,71.45,70.7,71.45,447869,ARE
2013-04-17,71.0,71.36,70.03,70.43,427019,ARE
