index,open,high,low,close,volume,Name
2013-02-08,13.2,13.94,12.9,13.41,56017540,ATVI
2013-02-09,13.2,13.91,13.0,13.46,46237518,ATVI
2013-02-10,13.21,13.88,13.09,13.52,36457497,ATVI
2013-02-11,13.21,13.85,13.19,13.57,26677475,ATVI
2013-02-12,13.55,13.66,13.44,13.51,14440678,ATVI
2013-02-13,13.51,13.74,13.4,13.73,18115351,ATVI
2013-02-14,13.66,14.07,13.64,14.0,26297456,ATVI
2013-02-15,14.06,14.52,14.0,14.37,13936895,ATVI
2013-02-16,14.14,14.55,14.0,14.43,14264801,ATVI
2013-02-17,14.22,14.58,13.99,14.5,14592706,ATVI
2013-02-18,14.3,14.62,13.98,14.57,14920612,ATVI
2013-02-19,14.38,14.65,13.98,14.63,15248518,ATVI
2013-02-20,14.56,14.62,14.2,14.24,13828477,ATVI
2013-02-21,14.24,14.4,14.14,14.28,10724233,ATVI
2013-02-22,14.31,14.56,14.23,14.51,8591652,ATVI
2013-02-23,14.37,14.61,14.26,14.45,8386540,ATVI
2013-02-24,14.44,14.65,14.29,14.39,8181427,ATVI
2013-02-25,14.5,14.7,14.32,14.33,7976315,ATVI
2013-02-26,14.32,14.41,14.08,14.18,11966735,ATVI
2013-02-27,14.21,14.4,14.03,14.26,11665378,ATVI
2013-02-28,14.27,14.54,14.25,14.3,7461309,ATVI
2013-03-01,14.26,14.38,14.04,14.35,4564863,ATVI
2013-03-02,14.27,14.41,14.1,14.36,4362080,ATVI
2013-03-03,14.29,14.44,14.16,14.36,4159298,ATVI
2013-03-04,14.3,14.48,14.22,14.36,3956515,ATVI
2013-03-05,14.45,14.58,14.38,14.57,4901484,ATVI
2013-03-06,14.6,14.82,14.55,14.65,8825921,ATVI
2013-03-07,14.64,15.01,14.59,14.97,11065128,ATVI
2013-03-08,14.95,14.95,14.67,14.84,4701241,ATVI
2013-03-09,14.89,14.92,14.68,14.83,4922198,ATVI
2013-03-10,14.84,14.88,14.68,14.83,5143154,ATVI
2013-03-11,14.78,14.85,14.69,14.82,5364111,ATVI
2013-03-12,14.8,14.88,14.69,14.86,5648445,ATVI
2013-03-13,14.91,15.05,14.81,14.98,6654984,ATVI
2013-03-14,15.08,15.08,14.86,15.03,4185123,ATVI
2013-03-15,15.0,15.02,14.57,14.65,12516822,ATVI
2013-03-16,14.79,14.86,14.45,14.56,10841968,ATVI
2013-03-17,14.57,14.7,14.32,14.46,9167113,ATVI
2013-03-18,14.36,14.54,14.2,14.37,7492259,ATVI
2013-03-19,14.37,14.41,13.97,14.01,10076054,ATVI
2013-03-20,14.19,14.3,14.03,14.22,9771638,ATVI
2013-03-21,14.17,14.3,14.06,14.06,8257542,ATVI
2013-03-22,14.14,14.42,14.07,14.34,8123155,ATVI
2013-03-23,14.2,14.42,14.1,14.34,6676874,ATVI
2013-03-24,14.26,14.43,14.13,14.35,5230594,ATVI
2013-03-25,14.32,14.43,14.16,14.35,3784313,ATVI
2013-03-26,14.36,14.51,14.23,14.46,3214233,ATVI
2013-03-27,14.36,14.53,14.21,14.48,5114005,ATVI
2013-03-28,14.41,14.58,14.3,14.57,3323833,ATVI
2013-03-29,14.44,14.59,14.31,14.54,3155680,ATVI
2013-03-30,14.47,14.6,14.32,14.5,2987526,ATVI
2013-03-31,14.5,14.6,14.34,14.47,2819373,ATVI
2013-04-01,14.53,14.61,14.35,14.44,2651220,ATVI
2013-04-02,14.64,14.8,14.44,14.73,5013370,ATVI
2013-04-03,14.71,14.8,14.46,14.53,4101467,ATVI
2013-04-04,14.48,14.58,14.27,14.52,3422455,ATVI
2013-04-05,14.31,14.46,14.14,14.43,3453807,ATVI
2013-04-06,14.35,14.53,14.22,14.51,3542331,ATVI
2013-04-07,14.39,14.6,14.31,14.58,3630854,ATVI
2013-04-08,14.43,14.68,14.39,14.66,3719378,ATVI
2013-04-09,14.67,14.79,14.49,14.67,4696944,ATVI
2013-04-10,14.66,15.0,14.63,14.88,4660284,ATVI
2013-04-11,14.93,14.93,14.64,14.7,6068562,ATVI
2013-04-12,14.77,14.79,14.59,14.66,3825881,ATVI
2013-04-13,14.73,14.74,14.48,14.53,4651289,ATVI
2013-04-14,14.68,14.7,14.38,14.41,5476698,ATVI
2013-04-15,14.64,14.65,14.27,14.28,6302106,ATVI
2013-04-16,14.34,14.51,14.32,14.43,8874110,ATVI
2013-04-17,14.28,14.42,14.12,14.18,6336998,ATVI
2013-04-18,14.26,14.27,14.03,14.12,4159108,ATVI
2013-04-19,14.06,14.32,13.88,14.26,4864124,ATVI
2013-04-20,14.15,14.39,13.98,14.33,4296530,ATVI
2013-04-21,14.25,14.46,14.09,14.41,3728936,ATVI
2013-04-22,14.34,14.53,14.19,14.48,3161342,ATVI
2013-04-23,14.5,14.65,14.32,14.58,6436217,ATVI
2013-04-24,14.58,14.85,14.58,14.7,5158641,ATVI
2013-04-25,14.76,14.89,14.65,14.71,7780365,ATVI
2013-04-26,14.75,14.86,14.67,14.82,5989808,ATVI
2013-04-27,14.77,14.93,14.71,14.86,6367416,ATVI
2013-04-28,14.79,15.0,14.74,14.89,6745024,ATVI
2013-04-29,14.81,15.07,14.78,14.93,7122632,ATVI
