index,open,high,low,close,volume,Name
2013-02-08,69.21,70.7,69.21,70.09,265713,AYI
2013-02-09,69.47,70.67,69.47,70.14,245288,AYI
2013-02-10,69.72,70.65,69.72,70.2,224862,AYI
2013-02-11,69.98,70.62,69.98,70.25,204437,AYI
2013-02-12,70.32,70.96,69.94,70.01,169035,AYI
2013-02-13,70.08,71.14,69.88,71.14,251358,AYI
2013-02-14,70.71,71.59,70.71,71.42,290970,AYI
2013-02-15,71.75,71.79,70.91,71.61,345849,AYI
2013-02-16,71.72,72.09,71.09,71.94,349816,AYI
2013-02-17,71.69,72.39,71.27,72.27,353782,AYI
2013-02-18,71.66,72.68,71.45,72.6,357749,AYI
2013-02-19,71.63,72.98,71.63,72.93,361716,AYI
2013-02-20,72.92,73.48,72.6,72.79,711499,AYI
2013-02-21,72.6,72.69,70.45,71.5,571344,AYI
2013-02-22,71.86,72.63,71.13,72.13,406648,AYI
2013-02-23,72.02,72.57,70.59,71.29,450201,AYI
2013-02-24,72.17,72.5,70.05,70.46,493753,AYI
2013-02-25,72.33,72.44,69.51,69.62,537306,AYI
2013-02-26,70.11,71.07,69.28,70.79,334292,AYI
2013-02-27,70.74,72.72,70.5,72.0,353053,AYI
2013-02-28,70.34,71.18,67.73,68.13,1157088,AYI
2013-03-01,67.51,68.27,66.33,67.85,771944,AYI
2013-03-02,67.61,68.12,66.22,67.65,652395,AYI
2013-03-03,67.71,67.96,66.1,67.45,532845,AYI
2013-03-04,67.81,67.81,65.99,67.25,413296,AYI
2013-03-05,68.32,70.69,68.32,70.48,935664,AYI
2013-03-06,70.54,71.31,70.28,70.7,316271,AYI
2013-03-07,70.89,72.0,70.48,71.49,471220,AYI
2013-03-08,72.08,72.5,71.23,71.89,429600,AYI
2013-03-09,71.94,72.51,71.26,71.92,405672,AYI
2013-03-10,71.79,72.51,71.3,71.96,381745,AYI
2013-03-11,71.65,72.52,71.33,71.99,357817,AYI
2013-03-12,71.92,72.72,71.3,71.42,544563,AYI
2013-03-13,71.52,72.26,71.42,71.71,392568,AYI
2013-03-14,71.71,72.65,71.32,72.52,422353,AYI
2013-03-15,72.43,72.49,70.66,71.17,682947,AYI
2013-03-16,71.7,72.26,70.42,71.19,554224,AYI
2013-03-17,70.98,72.03,70.19,71.21,425500,AYI
2013-03-18,70.25,71.8,69.95,71.23,296777,AYI
