index,open,high,low,close,volume,Name
2013-02-08,45.07,45.35,45.0,45.08,1824755,A
2013-02-09,45.1,45.29,44.82,44.92,2188305,A
2013-02-10,45.14,45.24,44.63,44.76,2551855,A
2013-02-11,45.17,45.18,44.45,44.6,2915405,A
2013-02-12,44.81,44.95,44.5,44.62,2373731,A
2013-02-13,44.81,45.24,44.68,44.75,2052338,A
2013-02-14,44.72,44.78,44.36,44.58,3826245,A
2013-02-15,43.48,44.24,42.21,42.25,14657315,A
2013-02-16,43.16,43.96,42.21,42.44,12022022,A
2013-02-17,42.84,43.68,42.21,42.63,9386728,A
2013-02-18,42.53,43.4,42.21,42.82,6751434,A
2013-02-19,42.21,43.12,42.21,43.01,4116141,A
2013-02-20,42.84,42.85,42.22,42.24,3873183,A
2013-02-21,42.14,42.14,41.47,41.63,3415149,A
2013-02-22,41.83,42.07,41.58,41.8,3354862,A
2013-02-23,41.92,42.12,41.48,41.63,3444061,A
2013-02-24,42.0,42.17,41.39,41.46,3533261,A
2013-02-25,42.09,42.22,41.29,41.29,3622460,A
2013-02-26,40.62,41.29,40.19,40.97,6185811,A
2013-02-27,40.99,41.9,40.83,41.73,3564385,A
2013-02-28,41.78,42.06,41.45,41.48,3464202,A
2013-03-01,41.18,41.98,40.73,41.93,3089323,A
2013-03-02,41.37,42.05,40.99,41.96,2871317,A
2013-03-03,41.56,42.11,41.26,42.0,2653312,A
2013-03-04,41.75,42.18,41.52,42.03,2435306,A
2013-03-05,42.35,43.19,42.34,42.66,3289188,A
2013-03-06,43.0,43.52,42.9,43.24,2996908,A
2013-03-07,43.3,43.48,42.81,43.25,2414186,A
2013-03-08,43.5,43.52,43.02,43.03,3256301,A
2013-03-09,43.33,43.35,42.59,42.96,3995146,A
2013-03-10,43.16,43.18,42.16,42.88,4733992,A
2013-03-11,42.99,43.01,41.73,42.81,5472837,A
2013-03-12,42.8,43.0,42.59,42.62,3767613,A
2013-03-13,42.56,43.05,42.4,43.0,2241086,A
2013-03-14,43.03,43.38,43.0,43.32,2840603,A
2013-03-15,43.1,43.22,42.88,43.01,2579690,A
2013-03-16,42.89,43.05,42.65,42.86,2335715,A
2013-03-17,42.67,42.87,42.41,42.7,2091741,A
2013-03-18,42.46,42.7,42.18,42.55,1847766,A
2013-03-19,42.68,42.82,41.59,42.0,6246443,A
2013-03-20,42.25,42.78,42.22,42.7,3240314,A
2013-03-21,42.45,42.76,41.63,41.65,4409084,A
2013-03-22,41.79,41.79,40.91,41.25,5425027,A
2013-03-23,41.69,41.74,40.87,41.21,4549188,A
2013-03-24,41.59,41.7,40.83,41.17,3673349,A
2013-03-25,41.49,41.65,40.79,41.13,2797510,A
2013-03-26,41.4,41.82,41.32,41.82,2513554,A
2013-03-27,41.4,42.19,41.21,42.09,3369968,A
2013-03-28,42.08,42.08,41.5,41.97,2147900,A
2013-03-29,42.02,42.05,41.32,41.71,2246258,A
2013-03-30,41.96,42.03,41.14,41.45,2344616,A
