index,open,high,low,close,volume,Name
2013-02-08,11.86,11.9,11.72,11.76,145217221,BAC
2013-02-09,11.82,11.9,11.7,11.79,131311430,BAC
2013-02-10,11.77,11.9,11.69,11.83,117405639,BAC
2013-02-11,11.73,11.9,11.67,11.86,103499848,BAC
2013-02-12,11.87,12.34,11.78,12.24,231771561,BAC
2013-02-13,12.35,12.42,12.05,12.17,192478919,BAC
2013-02-14,12.09,12.27,12.07,12.13,143901737,BAC
2013-02-15,12.2,12.21,11.97,12.03,158078545,BAC
2013-02-16,12.18,12.24,11.99,12.07,161201470,BAC
2013-02-17,12.15,12.26,12.02,12.11,164324395,BAC
2013-02-18,12.13,12.28,12.04,12.15,167447320,BAC
2013-02-19,12.1,12.31,12.06,12.19,170570245,BAC
2013-02-20,12.18,12.29,11.75,11.8,192999906,BAC
2013-02-21,11.72,11.73,11.35,11.42,235454104,BAC
2013-02-22,11.62,11.64,11.26,11.44,178923836,BAC
2013-02-23,11.61,11.63,11.17,11.3,187935262,BAC
2013-02-24,11.61,11.62,11.07,11.17,196946688,BAC
2013-02-25,11.6,11.61,10.98,11.03,205958114,BAC
2013-02-26,11.12,11.22,11.03,11.13,172817304,BAC
2013-02-27,11.15,11.36,11.1,11.3,146918814,BAC
2013-02-28,11.32,11.37,11.2,11.23,143393299,BAC
2013-03-01,11.13,11.55,11.02,11.34,188886065,BAC
2013-03-02,11.18,11.52,11.09,11.36,164675583,BAC
2013-03-03,11.22,11.48,11.15,11.39,140465100,BAC
2013-03-04,11.27,11.45,11.22,11.41,116254618,BAC
2013-03-05,11.56,11.71,11.53,11.55,135634212,BAC
2013-03-06,11.77,12.02,11.76,11.92,182110891,BAC
2013-03-07,12.0,12.28,11.98,12.26,211034158,BAC
2013-03-08,12.42,12.44,12.02,12.07,209420201,BAC
2013-03-09,12.31,12.37,12.02,12.1,175036133,BAC
2013-03-10,12.19,12.29,12.02,12.12,140652065,BAC
2013-03-11,12.08,12.22,12.02,12.15,106267997,BAC
2013-03-12,12.11,12.18,11.91,12.01,127879351,BAC
2013-03-13,12.04,12.11,11.98,12.06,86031320,BAC
2013-03-14,12.12,12.19,12.1,12.11,113724590,BAC
2013-03-15,12.52,12.66,12.35,12.57,318880083,BAC
2013-03-16,12.44,12.67,12.32,12.57,275594184,BAC
2013-03-17,12.37,12.67,12.29,12.56,232308285,BAC
2013-03-18,12.29,12.68,12.26,12.56,189022386,BAC
2013-03-19,12.79,12.94,12.59,12.71,242277564,BAC
2013-03-20,12.78,12.89,12.71,12.78,218914598,BAC
2013-03-21,12.71,12.84,12.55,12.57,154166594,BAC
2013-03-22,12.62,12.67,12.48,12.56,101412682,BAC
2013-03-23,12.64,12.69,12.43,12.51,118983906,BAC
2013-03-24,12.66,12.7,12.37,12.45,136555129,BAC
2013-03-25,12.68,12.72,12.32,12.4,154126353,BAC
2013-03-26,12.45,12.5,12.15,12.28,135478116,BAC
2013-03-27,12.14,12.28,12.12,12.23,106993108,BAC
2013-03-28,12.24,12.28,12.11,12.18,91892522,BAC
2013-03-29,12.22,12.28,12.11,12.17,90475132,BAC
2013-03-30,12.2,12.28,12.1,12.16,89057742,BAC
2013-03-31,12.17,12.28,12.1,12.16,87640352,BAC
2013-04-01,12.15,12.28,12.1,12.15,86222962,BAC
2013-04-02,12.24,12.24,12.14,12.15,102437614,BAC
2013-04-03,12.12,12.14,11.72,11.81,199498319,BAC
2013-04-04,11.81,11.99,11.72,11.94,117655560,BAC
2013-04-05,11.67,12.01,11.64,11.97,140879614,BAC
2013-04-06,11.78,12.08,11.73,12.05,127548409,BAC
2013-04-07,11.89,12.14,11.82,12.13,114217204,BAC
2013-04-08,12.0,12.21,11.91,12.21,100885999,BAC
2013-04-09,12.25,12.35,12.21,12.25,132144798,BAC
2013-04-10,12.31,12.4,12.26,12.32,105636019,BAC
2013-04-11,12.31,12.33,12.16,12.27,100194781,BAC
2013-04-12,12.14,12.25,12.07,12.17,87986609,BAC
2013-04-13,12.16,12.27,12.04,12.11,117351008,BAC
2013-04-14,12.18,12.3,12.0,12.04,146715408,BAC
2013-04-15,12.19,12.32,11.97,11.98,176079807,BAC
2013-04-16,12.21,12.36,12.08,12.28,146976210,BAC
2013-04-17,11.91,12.02,11.45,11.7,335205627,BAC
2013-04-18,11.61,11.65,11.23,11.44,219747653,BAC
2013-04-19,11.56,11.69,11.43,11.66,119674638,BAC
2013-04-20,11.6,11.71,11.48,11.68,109243545,BAC
2013-04-21,11.64,11.73,11.52,11.7,98812453,BAC
2013-04-22,11.68,11.75,11.57,11.72,88381360,BAC
2013-04-23,11.92,12.16,11.9,12.07,176582555,BAC
2013-04-24,12.14,12.37,12.12,12.31,120442535,BAC
2013-04-25,12.39,12.54,12.36,12.44,118551353,BAC
2013-04-26,12.34,12.46,12.29,12.42,83009491,BAC
2013-04-27,12.38,12.47,12.32,12.41,77127010,BAC
2013-04-28,12.41,12.47,12.34,12.39,71244529,BAC
2013-04-29,12.45,12.48,12.37,12.38,65362048,BAC
2013-04-30,12.39,12.4,12.2,12.31,89290204,BAC
2013-05-01,12.2,12.27,12.08,12.14,88276232,BAC
2013-05-02,12.17,12.21,12.05,12.19,76423681,BAC
2013-05-03,12.36,12.41,12.2,12.24,94175767,BAC
2013-05-04,12.37,12.57,12.26,12.45,150990080,BAC
2013-05-05,12.38,12.73,12.31,12.67,207804392,BAC
2013-05-06,12.39,12.89,12.36,12.88,264618705,BAC
2013-05-07,12.92,13.11,12.76,12.9,218010362,BAC
2013-05-08,12.85,13.18,12.84,13.02,149216151,BAC
2013-05-09,13.05,13.06,12.87,12.91,112551683,BAC
2013-05-10,12.94,13.04,12.89,13.02,87490693,BAC
2013-05-11,12.95,13.06,12.91,13.01,89716439,BAC
2013-05-12,12.97,13.08,12.93,12.99,91942186,BAC
2013-05-13,12.98,13.1,12.95,12.98,94167932,BAC
2013-05-14,13.04,13.36,13.02,13.34,153795352,BAC
2013-05-15,13.29,13.55,13.29,13.44,139479051,BAC
2013-05-16,13.41,13.55,13.32,13.36,117813465,BAC
2013-05-17,13.5,13.52,13.39,13.43,107107681,BAC
2013-05-18,13.46,13.55,13.39,13.46,100971615,BAC
2013-05-19,13.43,13.57,13.39,13.48,94835550,BAC
2013-05-20,13.39,13.6,13.39,13.51,88699484,BAC
2013-05-21,13.52,13.56,13.36,13.44,111706562,BAC
2013-05-22,13.48,13.73,13.17,13.31,174350542,BAC
2013-05-23,12.93,13.42,12.82,13.21,190294898,BAC
2013-05-24,13.17,13.26,13.12,13.24,83399436,BAC
2013-05-25,13.25,13.32,13.17,13.27,95886730,BAC
2013-05-26,13.33,13.38,13.22,13.3,108374024,BAC
2013-05-27,13.41,13.45,13.26,13.32,120861317,BAC
2013-05-28,13.49,13.51,13.31,13.35,133348611,BAC
2013-05-29,13.31,13.56,13.27,13.48,126364220,BAC
2013-05-30,13.5,13.93,13.43,13.83,153151171,BAC
2013-05-31,13.91,13.99,13.65,13.66,159789980,BAC
2013-06-01,13.84,13.9,13.5,13.62,172184271,BAC
2013-06-02,13.76,13.82,13.36,13.59,184578563,BAC
2013-06-03,13.69,13.73,13.21,13.55,196972854,BAC
2013-06-04,13.51,13.67,13.31,13.36,129834112,BAC
2013-06-05,13.28,13.45,12.97,13.09,185545686,BAC
2013-06-06,13.08,13.24,12.85,13.2,142211911,BAC
2013-06-07,13.33,13.39,13.15,13.38,120915164,BAC
2013-06-08,13.38,13.44,13.19,13.35,115453893,BAC
2013-06-09,13.44,13.5,13.22,13.33,109992621,BAC
2013-06-10,13.49,13.55,13.26,13.3,104531350,BAC
2013-06-11,13.11,13.28,13.07,13.12,106241999,BAC
2013-06-12,13.24,13.25,12.97,13.06,117108791,BAC
2013-06-13,13.0,13.26,12.97,13.21,103439464,BAC
2013-06-14,13.23,13.24,13.03,13.07,101276539,BAC
2013-06-15,13.21,13.25,13.06,13.12,105956304,BAC
2013-06-16,13.19,13.25,13.1,13.16,110636068,BAC
2013-06-17,13.17,13.26,13.13,13.21,115315833,BAC
2013-06-18,13.22,13.34,13.2,13.27,67162936,BAC
2013-06-19,13.28,13.4,13.17,13.19,103657265,BAC
2013-06-20,13.08,13.14,12.8,12.89,185632868,BAC
2013-06-21,12.99,13.0,12.39,12.69,195921288,BAC
2013-06-22,12.79,12.82,12.3,12.56,183824642,BAC
2013-06-23,12.6,12.63,12.22,12.43,171727996,BAC
2013-06-24,12.4,12.45,12.13,12.3,159631350,BAC
2013-06-25,12.61,12.77,12.43,12.67,132644354,BAC
2013-06-26,12.84,12.85,12.68,12.76,105195057,BAC
2013-06-27,12.84,13.03,12.78,13.01,124501164,BAC
2013-06-28,12.97,13.0,12.84,12.86,90186158,BAC
2013-06-29,12.96,13.03,12.87,12.88,87808122,BAC
2013-06-30,12.96,13.07,12.89,12.91,85430087,BAC
2013-07-01,12.95,13.1,12.92,12.93,83052051,BAC
2013-07-02,12.95,13.1,12.8,12.9,83600455,BAC
2013-07-03,12.82,12.84,12.73,12.83,37971763,BAC
2013-07-04,12.9,12.96,12.82,12.94,59304169,BAC
2013-07-05,12.99,13.08,12.91,13.06,80636575,BAC
2013-07-06,13.03,13.18,12.97,13.13,89538311,BAC
2013-07-07,13.07,13.27,13.02,13.21,98440048,BAC
2013-07-08,13.11,13.37,13.08,13.28,107341784,BAC
2013-07-09,13.37,13.53,13.25,13.53,105958177,BAC
2013-07-10,13.51,13.53,13.31,13.37,103654697,BAC
2013-07-11,13.54,13.58,13.33,13.51,93484434,BAC
2013-07-12,13.54,13.8,13.47,13.78,123592127,BAC
2013-07-13,13.67,13.85,13.57,13.81,112609920,BAC
2013-07-14,13.8,13.89,13.66,13.85,101627713,BAC
2013-07-15,13.93,13.94,13.76,13.88,90645506,BAC
2013-07-16,13.93,14.02,13.77,13.92,145681864,BAC
2013-07-17,14.06,14.44,14.04,14.31,249422772,BAC
2013-07-18,14.4,14.85,14.4,14.76,221460390,BAC
2013-07-19,14.76,14.76,14.6,14.75,135990513,BAC
2013-07-20,14.75,14.84,14.62,14.81,128059598,BAC
2013-07-21,14.75,14.91,14.63,14.86,120128684,BAC
2013-07-22,14.74,14.99,14.65,14.92,112197769,BAC
2013-07-23,14.98,15.03,14.86,14.94,113562030,BAC
2013-07-24,15.0,15.0,14.68,14.71,117573265,BAC
2013-07-25,14.62,14.85,14.54,14.83,89239060,BAC
2013-07-26,14.7,14.76,14.62,14.73,73692226,BAC
2013-07-27,14.68,14.74,14.56,14.66,78669115,BAC
2013-07-28,14.67,14.72,14.51,14.59,83646003,BAC
2013-07-29,14.65,14.7,14.45,14.52,88622892,BAC
2013-07-30,14.58,14.63,14.46,14.52,71570082,BAC
2013-07-31,14.58,14.85,14.57,14.6,127949706,BAC
2013-08-01,14.84,14.97,14.82,14.95,107622456,BAC
2013-08-02,14.88,14.91,14.78,14.84,83141573,BAC
2013-08-03,14.84,14.89,14.75,14.83,75947759,BAC
2013-08-04,14.81,14.86,14.73,14.81,68753944,BAC
2013-08-05,14.77,14.84,14.7,14.8,61560130,BAC
2013-08-06,14.74,14.76,14.63,14.64,83977445,BAC
2013-08-07,14.43,14.57,14.25,14.53,128491257,BAC
2013-08-08,14.68,14.7,14.44,14.61,88467287,BAC
2013-08-09,14.56,14.61,14.4,14.45,72913541,BAC
2013-08-10,14.49,14.56,14.37,14.44,68870845,BAC
2013-08-11,14.42,14.52,14.35,14.42,64828150,BAC
2013-08-12,14.36,14.47,14.32,14.41,60785454,BAC
2013-08-13,14.47,14.62,14.33,14.51,75643930,BAC
2013-08-14,14.55,14.75,14.54,14.6,78394226,BAC
2013-08-15,14.46,14.47,14.31,14.32,99038155,BAC
2013-08-16,14.29,14.47,14.21,14.42,104892511,BAC
2013-08-17,14.32,14.44,14.18,14.33,102646824,BAC
2013-08-18,14.34,14.41,14.16,14.24,100401137,BAC
2013-08-19,14.37,14.38,14.13,14.15,98155450,BAC
2013-08-20,14.18,14.38,13.98,14.29,114238528,BAC
2013-08-21,14.26,14.48,14.2,14.34,91487877,BAC
2013-08-22,14.47,14.6,14.4,14.57,76288104,BAC
2013-08-23,14.59,14.69,14.51,14.57,67629131,BAC
2013-08-24,14.57,14.69,14.5,14.54,68015168,BAC
2013-08-25,14.55,14.7,14.5,14.52,68401205,BAC
2013-08-26,14.53,14.7,14.49,14.49,68787242,BAC
2013-08-27,14.26,14.41,14.1,14.11,122212808,BAC
2013-08-28,14.07,14.25,13.99,14.12,96338008,BAC
2013-08-29,14.14,14.3,14.12,14.17,76617967,BAC
2013-08-30,14.23,14.25,14.07,14.12,73084294,BAC
2013-08-31,14.25,14.28,14.1,14.15,73451611,BAC
2013-09-01,14.26,14.32,14.12,14.18,73818928,BAC
2013-09-02,14.28,14.35,14.15,14.22,74186246,BAC
2013-09-03,14.3,14.38,14.18,14.25,74553563,BAC
2013-09-04,14.22,14.4,14.2,14.32,70975249,BAC
2013-09-05,14.41,14.55,14.36,14.37,71115006,BAC
2013-09-06,14.47,14.5,14.27,14.36,75414320,BAC
2013-09-07,14.45,14.5,14.3,14.4,68070086,BAC
2013-09-08,14.43,14.49,14.34,14.44,60725852,BAC
2013-09-09,14.41,14.49,14.37,14.48,53381618,BAC
2013-09-10,14.52,14.69,14.52,14.61,93086600,BAC
2013-09-11,14.56,14.68,14.52,14.65,80961829,BAC
2013-09-12,14.65,14.68,14.46,14.48,63244575,BAC
2013-09-13,14.46,14.55,14.45,14.49,56751453,BAC
2013-09-14,14.51,14.59,14.48,14.5,59741444,BAC
2013-09-15,14.56,14.64,14.5,14.52,62731436,BAC
2013-09-16,14.61,14.68,14.53,14.53,65721427,BAC
2013-09-17,14.53,14.62,14.4,14.55,73498985,BAC
2013-09-18,14.53,14.82,14.49,14.72,127094948,BAC
2013-09-19,14.8,14.83,14.58,14.61,79514021,BAC
2013-09-20,14.66,14.66,14.44,14.44,144928642,BAC
2013-09-21,14.54,14.55,14.32,14.34,138977414,BAC
2013-09-22,14.42,14.44,14.21,14.24,133026185,BAC
2013-09-23,14.31,14.32,14.09,14.14,127074957,BAC
2013-09-24,14.18,14.25,14.01,14.09,96122141,BAC
2013-09-25,14.12,14.24,14.03,14.14,86491478,BAC
2013-09-26,14.19,14.22,13.98,14.08,89211460,BAC
2013-09-27,13.99,14.03,13.88,13.9,78954848,BAC
2013-09-28,13.89,14.0,13.79,13.87,87380306,BAC
2013-09-29,13.79,13.96,13.69,13.83,95805765,BAC
2013-09-30,13.68,13.93,13.6,13.8,104231223,BAC
2013-10-01,13.85,13.92,13.81,13.9,57534639,BAC
2013-10-02,13.81,14.1,13.79,14.06,88898803,BAC
2013-10-03,14.07,14.1,13.83,14.0,95113117,BAC
2013-10-04,14.02,14.08,13.96,14.05,63392396,BAC
2013-10-05,13.98,14.04,13.91,13.97,63817607,BAC
2013-10-06,13.95,13.99,13.85,13.89,64242817,BAC
2013-10-07,13.91,13.95,13.8,13.81,64668028,BAC
2013-10-08,13.83,13.9,13.68,13.69,92940769,BAC
2013-10-09,13.72,13.93,13.69,13.84,95930072,BAC
2013-10-10,14.03,14.25,14.01,14.23,102114600,BAC
2013-10-11,14.24,14.28,14.11,14.19,83353177,BAC
2013-10-12,14.18,14.32,14.09,14.24,81670636,BAC
2013-10-13,14.12,14.35,14.07,14.3,79988096,BAC
2013-10-14,14.06,14.39,14.05,14.35,78305555,BAC
2013-10-15,14.39,14.43,14.21,14.24,101808667,BAC
2013-10-16,14.32,14.61,14.32,14.56,153315685,BAC
2013-10-17,14.44,14.66,14.41,14.66,93809937,BAC
2013-10-18,14.68,14.72,14.53,14.63,96822389,BAC
2013-10-19,14.63,14.68,14.51,14.59,94929635,BAC
2013-10-20,14.58,14.63,14.49,14.56,93036881,BAC
2013-10-21,14.53,14.59,14.47,14.52,91144127,BAC
2013-10-22,14.55,14.63,14.45,14.52,102765898,BAC
2013-10-23,14.45,14.48,14.17,14.21,108167649,BAC
2013-10-24,14.12,14.2,14.07,14.17,92285828,BAC
2013-10-25,14.15,14.27,14.14,14.26,58528244,BAC
2013-10-26,14.2,14.29,14.16,14.25,59723999,BAC
2013-10-27,14.24,14.3,14.19,14.24,60919755,BAC
2013-10-28,14.29,14.32,14.21,14.23,62115510,BAC
2013-10-29,14.26,14.29,14.06,14.15,79454598,BAC
2013-10-30,14.19,14.29,14.15,14.17,76245022,BAC
2013-10-31,14.14,14.16,13.96,13.97,105546894,BAC
2013-11-01,14.0,14.1,13.96,14.02,75553363,BAC
2013-11-02,14.03,14.11,13.97,14.03,68020135,BAC
2013-11-03,14.06,14.11,13.99,14.03,60486908,BAC
2013-11-04,14.09,14.12,14.0,14.04,52953680,BAC
2013-11-05,13.99,14.02,13.9,13.93,71687715,BAC
2013-11-06,13.99,14.02,13.91,13.96,66525249,BAC
2013-11-07,14.0,14.03,13.8,13.8,80674492,BAC
