index,open,high,low,close,volume,Name
2013-02-08,68.6,69.25,68.45,69.0,1994376,BAX
2013-02-09,68.69,69.18,68.47,68.91,1942884,BAX
2013-02-10,68.79,69.12,68.49,68.82,1891392,BAX
2013-02-11,68.88,69.05,68.51,68.73,1839900,BAX
2013-02-12,68.79,69.3,68.64,68.68,2868758,BAX
2013-02-13,68.84,69.03,67.99,68.15,2618875,BAX
2013-02-14,68.31,69.04,67.9,68.17,3086932,BAX
2013-02-15,68.3,68.42,68.02,68.17,2275333,BAX
2013-02-16,68.28,68.41,68.02,68.21,2216342,BAX
2013-02-17,68.25,68.4,68.02,68.24,2157350,BAX
2013-02-18,68.22,68.39,68.01,68.28,2098358,BAX
2013-02-19,68.2,68.38,68.01,68.32,2039367,BAX
2013-02-20,68.2,68.25,67.53,67.54,2232320,BAX
2013-02-21,67.37,67.62,66.4,66.42,3221285,BAX
2013-02-22,66.73,67.39,66.48,67.0,3232027,BAX
2013-02-23,66.93,67.56,66.68,67.03,3510299,BAX
2013-02-24,67.12,67.74,66.89,67.07,3788570,BAX
2013-02-25,67.32,67.91,67.09,67.1,4066842,BAX
2013-02-26,67.43,67.7,66.71,66.77,4267672,BAX
2013-02-27,66.77,67.42,66.7,67.31,4958179,BAX
2013-02-28,67.41,67.99,67.31,67.6,3603010,BAX
2013-03-01,67.41,68.99,67.21,68.9,3438128,BAX
2013-03-02,67.76,69.05,67.57,68.99,3526302,BAX
2013-03-03,68.1,69.12,67.92,69.09,3614476,BAX
2013-03-04,68.45,69.18,68.28,69.18,3702650,BAX
2013-03-05,68.98,70.41,68.69,70.24,3833443,BAX
2013-03-06,69.44,70.53,69.36,69.97,2940182,BAX
2013-03-07,69.88,70.09,69.18,69.29,2620971,BAX
2013-03-08,69.59,70.11,69.32,69.89,2165435,BAX
2013-03-09,69.61,70.11,69.41,69.92,1951026,BAX
2013-03-10,69.64,70.1,69.49,69.94,1736617,BAX
2013-03-11,69.66,70.1,69.58,69.97,1522208,BAX
2013-03-12,69.94,69.99,69.13,69.28,3616057,BAX
2013-03-13,69.25,69.77,69.14,69.63,2642108,BAX
2013-03-14,69.78,70.34,69.72,70.06,3217891,BAX
2013-03-15,69.85,69.95,68.94,69.41,3486374,BAX
2013-03-16,69.55,69.72,68.85,69.24,2927188,BAX
