index,open,high,low,close,volume,Name
2013-02-08,87.96,88.67,87.8,88.25,1429840,BDX
2013-02-09,87.91,88.57,87.79,88.27,1257913,BDX
2013-02-10,87.86,88.46,87.79,88.29,1085986,BDX
2013-02-11,87.81,88.36,87.78,88.31,914059,BDX
2013-02-12,88.25,88.95,88.22,88.55,978327,BDX
2013-02-13,88.89,89.16,88.24,88.47,1095045,BDX
2013-02-14,88.32,88.41,87.62,88.39,1221136,BDX
2013-02-15,88.41,88.66,88.04,88.49,1099357,BDX
2013-02-16,88.42,88.68,88.06,88.51,1121656,BDX
2013-02-17,88.44,88.71,88.08,88.53,1143954,BDX
2013-02-18,88.45,88.74,88.11,88.55,1166253,BDX
2013-02-19,88.46,88.76,88.13,88.57,1188552,BDX
2013-02-20,88.37,88.56,87.31,87.42,1417597,BDX
2013-02-21,87.4,87.62,86.41,86.83,1324822,BDX
2013-02-22,86.98,88.12,86.65,87.91,1141554,BDX
2013-02-23,87.38,88.27,86.72,87.56,1140185,BDX
2013-02-24,87.79,88.42,86.78,87.2,1138816,BDX
2013-02-25,88.19,88.57,86.85,86.85,1137447,BDX
2013-02-26,87.27,87.76,86.38,86.86,1110013,BDX
2013-02-27,86.97,88.33,86.61,88.17,1052464,BDX
2013-02-28,88.25,88.58,87.89,88.06,1285667,BDX
2013-03-01,88.0,88.77,87.71,88.75,1127824,BDX
2013-03-02,88.17,88.73,87.65,88.72,1166928,BDX
2013-03-03,88.33,88.7,87.6,88.69,1206031,BDX
2013-03-04,88.5,88.66,87.54,88.66,1245135,BDX
2013-03-05,88.9,89.3,88.9,89.19,1038923,BDX
2013-03-06,88.71,88.95,88.04,88.12,1093100,BDX
2013-03-07,88.12,88.72,87.87,88.24,1091344,BDX
2013-03-08,88.45,88.89,87.98,88.84,992140,BDX
2013-03-09,88.56,89.18,88.12,89.1,984061,BDX
2013-03-10,88.67,89.46,88.26,89.35,975982,BDX
2013-03-11,88.78,89.75,88.41,89.61,967903,BDX
2013-03-12,89.39,90.17,88.99,90.14,970980,BDX
2013-03-13,89.98,91.07,89.66,91.07,1548429,BDX
2013-03-14,91.09,92.52,90.71,92.5,2112207,BDX
2013-03-15,92.49,92.6,91.7,92.3,2206577,BDX
2013-03-16,92.25,92.43,91.58,92.15,1780711,BDX
2013-03-17,92.02,92.27,91.46,92.0,1354845,BDX
2013-03-18,91.78,92.1,91.34,91.85,928979,BDX
2013-03-19,92.06,92.08,91.26,91.74,1076556,BDX
2013-03-20,92.22,93.14,92.05,92.99,990873,BDX
2013-03-21,92.54,93.0,91.79,91.93,1024608,BDX
2013-03-22,92.19,92.78,91.91,92.72,804031,BDX
2013-03-23,92.47,92.93,91.9,92.62,804517,BDX
2013-03-24,92.76,93.07,91.9,92.53,805002,BDX
2013-03-25,93.04,93.22,91.89,92.43,805488,BDX
2013-03-26,92.85,93.94,92.42,93.91,769539,BDX
2013-03-27,93.71,95.2,93.09,95.16,1386468,BDX
2013-03-28,95.45,95.73,94.81,95.61,998746,BDX
2013-03-29,95.5,95.86,94.94,95.64,918121,BDX
2013-03-30,95.55,95.98,95.08,95.66,837496,BDX
2013-03-31,95.6,96.11,95.21,95.68,756872,BDX
2013-04-01,95.65,96.24,95.34,95.71,676247,BDX
2013-04-02,96.13,96.93,95.94,96.58,1551214,BDX
2013-04-03,96.82,97.14,95.97,96.41,1757014,BDX
2013-04-04,96.55,96.99,96.41,96.56,1405944,BDX
2013-04-05,95.6,96.54,95.19,96.11,1091196,BDX
2013-04-06,95.71,96.35,95.21,95.89,1063951,BDX
2013-04-07,95.82,96.17,95.24,95.68,1036706,BDX
2013-04-08,95.93,95.99,95.26,95.46,1009461,BDX
2013-04-09,95.86,96.42,95.29,96.04,1158502,BDX
2013-04-10,96.23,96.81,96.02,96.41,957518,BDX
2013-04-11,96.4,97.1,96.34,96.65,891275,BDX
2013-04-12,96.19,96.59,95.85,96.36,738445,BDX
2013-04-13,96.17,96.52,95.51,95.85,791870,BDX
2013-04-14,96.14,96.45,95.18,95.35,845295,BDX
2013-04-15,96.12,96.38,94.84,94.84,898720,BDX
2013-04-16,95.26,95.49,94.43,95.42,1280263,BDX
2013-04-17,94.97,95.05,93.53,94.55,1032902,BDX
2013-04-18,94.68,94.68,93.06,93.65,1266736,BDX
2013-04-19,93.6,94.76,93.5,94.56,1612540,BDX
2013-04-20,93.92,95.0,93.8,94.76,1314832,BDX
2013-04-21,94.25,95.24,94.1,94.96,1017123,BDX
2013-04-22,94.57,95.48,94.4,95.16,719415,BDX
2013-04-23,95.43,96.35,94.94,95.84,554832,BDX
2013-04-24,96.07,96.16,94.94,94.96,694097,BDX
2013-04-25,95.4,96.75,95.17,96.39,812535,BDX
2013-04-26,96.09,96.3,94.61,94.62,1257355,BDX
2013-04-27,95.67,95.94,94.62,94.68,1183840,BDX
2013-04-28,95.26,95.57,94.64,94.75,1110325,BDX
2013-04-29,94.84,95.21,94.65,94.81,1036810,BDX
2013-04-30,94.59,94.62,93.87,94.3,1470253,BDX
2013-05-01,94.31,94.93,93.31,93.58,1144530,BDX
2013-05-02,94.61,97.98,94.2,96.16,2585880,BDX
2013-05-03,96.87,97.49,96.56,97.43,1416843,BDX
2013-05-04,96.97,97.53,96.65,97.26,1204002,BDX
2013-05-05,97.07,97.58,96.74,97.08,991160,BDX
2013-05-06,97.17,97.62,96.83,96.91,778319,BDX
2013-05-07,97.19,97.58,97.1,97.47,756655,BDX
2013-05-08,97.3,97.64,96.97,97.58,844127,BDX
2013-05-09,97.46,97.86,97.34,97.75,932128,BDX
2013-05-10,98.25,99.61,98.16,99.61,1176025,BDX
2013-05-11,98.57,99.86,98.51,99.85,1133371,BDX
2013-05-12,98.89,100.11,98.85,100.09,1090718,BDX
2013-05-13,99.21,100.36,99.2,100.33,1048064,BDX
2013-05-14,100.71,102.42,100.41,101.77,1677998,BDX
