index,open,high,low,close,volume,Name
2013-02-08,46.61,46.89,46.54,46.73,1263060,BEN
2013-02-09,46.62,46.87,46.54,46.73,1282658,BEN
2013-02-10,46.64,46.85,46.55,46.72,1302256,BEN
2013-02-11,46.65,46.83,46.56,46.72,1321854,BEN
2013-02-12,46.97,47.47,46.93,47.42,2490273,BEN
2013-02-13,47.41,47.59,47.22,47.52,1505547,BEN
2013-02-14,47.35,48.18,47.13,48.14,2801679,BEN
2013-02-15,48.02,48.2,47.85,48.19,2815110,BEN
2013-02-16,48.06,48.32,47.9,48.31,2658932,BEN
2013-02-17,48.1,48.45,47.95,48.44,2502753,BEN
2013-02-18,48.14,48.58,47.99,48.57,2346574,BEN
2013-02-19,48.18,48.71,48.04,48.69,2190396,BEN
2013-02-20,48.59,48.66,47.67,47.69,2915466,BEN
2013-02-21,47.6,47.6,46.87,46.95,2009652,BEN
2013-02-22,47.27,47.76,47.27,47.75,1583289,BEN
2013-02-23,47.51,47.86,47.07,47.38,1677367,BEN
2013-02-24,47.76,47.96,46.86,47.02,1771445,BEN
2013-02-25,48.0,48.06,46.65,46.65,1865523,BEN
2013-02-26,46.9,47.12,46.37,46.5,2079237,BEN
2013-02-27,46.46,47.4,46.36,47.27,994026,BEN
2013-02-28,47.28,47.48,47.05,47.08,1628334,BEN
2013-03-01,46.69,47.02,46.32,46.94,2821305,BEN
2013-03-02,46.77,47.18,46.45,47.11,2275674,BEN
2013-03-03,46.84,47.33,46.59,47.28,1730043,BEN
2013-03-04,46.92,47.48,46.72,47.44,1184412,BEN
2013-03-05,47.73,48.57,47.73,48.36,2236200,BEN
2013-03-06,48.63,48.86,48.47,48.73,1371333,BEN
2013-03-07,48.81,48.83,48.45,48.73,1424319,BEN
2013-03-08,49.09,49.15,48.46,48.95,1248606,BEN
2013-03-09,49.01,49.21,48.57,49.07,1287938,BEN
2013-03-10,48.93,49.27,48.69,49.2,1327270,BEN
2013-03-11,48.85,49.33,48.8,49.32,1366602,BEN
2013-03-12,49.33,49.44,49.04,49.38,1351020,BEN
2013-03-13,49.38,49.7,49.25,49.61,1893597,BEN
2013-03-14,49.79,50.2,49.72,50.03,1903380,BEN
2013-03-15,49.88,50.06,48.29,49.97,3668436,BEN
2013-03-16,49.72,49.91,48.64,49.78,3387207,BEN
2013-03-17,49.57,49.76,48.98,49.59,3105978,BEN
2013-03-18,49.41,49.6,49.32,49.4,2824749,BEN
2013-03-19,49.53,49.7,48.99,49.29,1735917,BEN
2013-03-20,49.64,49.95,49.53,49.71,1764690,BEN
2013-03-21,49.46,49.61,49.0,49.05,1741263,BEN
2013-03-22,49.32,49.56,49.15,49.55,1219740,BEN
2013-03-23,49.46,49.67,49.21,49.53,1278326,BEN
2013-03-24,49.61,49.78,49.27,49.51,1336912,BEN
2013-03-25,49.75,49.89,49.34,49.49,1395498,BEN
2013-03-26,49.62,50.27,49.4,50.24,2392665,BEN
2013-03-27,49.79,49.91,49.56,49.86,1441860,BEN
2013-03-28,49.88,50.35,49.73,50.27,1514241,BEN
2013-03-29,49.96,50.37,49.72,50.18,1414481,BEN
2013-03-30,50.05,50.4,49.72,50.08,1314722,BEN
2013-03-31,50.13,50.42,49.72,49.99,1214962,BEN
2013-04-01,50.22,50.45,49.72,49.9,1115202,BEN
2013-04-02,50.03,50.33,49.84,50.2,1200345,BEN
2013-04-03,50.28,50.28,48.5,48.66,1705206,BEN
2013-04-04,48.66,49.81,48.66,49.74,2992404,BEN
2013-04-05,48.84,49.42,48.57,49.36,1604835,BEN
2013-04-06,49.02,49.56,48.73,49.51,1418406,BEN
2013-04-07,49.21,49.7,48.89,49.67,1231977,BEN
2013-04-08,49.39,49.84,49.04,49.82,1045548,BEN
2013-04-09,49.9,50.82,49.75,50.58,1869819,BEN
2013-04-10,50.84,51.95,50.78,51.73,2057493,BEN
2013-04-11,51.66,52.21,51.38,52.0,1427112,BEN
2013-04-12,51.77,51.94,51.35,51.76,1034001,BEN
2013-04-13,51.72,51.85,50.92,51.19,1125091,BEN
2013-04-14,51.67,51.76,50.49,50.63,1216181,BEN
2013-04-15,51.61,51.67,50.06,50.07,1307271,BEN
2013-04-16,50.5,51.0,50.18,50.94,1569447,BEN
2013-04-17,50.4,50.4,49.0,49.27,1881480,BEN
2013-04-18,49.37,49.51,48.03,48.24,1792950,BEN
2013-04-19,48.51,49.06,48.36,48.94,1695843,BEN
2013-04-20,48.72,49.22,48.47,49.1,1511815,BEN
2013-04-21,48.94,49.38,48.58,49.25,1327787,BEN
2013-04-22,49.16,49.53,48.68,49.41,1143759,BEN
2013-04-23,49.51,50.72,49.47,50.6,1615632,BEN
2013-04-24,50.81,51.07,50.55,50.82,1511175,BEN
2013-04-25,51.09,51.54,50.78,51.37,1325703,BEN
2013-04-26,51.38,51.63,51.13,51.2,1367307,BEN
2013-04-27,51.37,51.69,51.17,51.34,1283217,BEN
2013-04-28,51.36,51.74,51.21,51.49,1199127,BEN
2013-04-29,51.36,51.8,51.24,51.63,1115037,BEN
2013-04-30,51.8,52.75,51.4,51.55,1892628,BEN
2013-05-01,51.57,51.84,51.07,51.21,2048247,BEN
2013-05-02,51.19,51.2,50.68,51.0,2222490,BEN
2013-05-03,51.63,52.33,51.5,52.14,1609752,BEN
2013-05-04,51.82,52.48,51.65,52.29,1488695,BEN
2013-05-05,52.01,52.63,51.81,52.44,1367638,BEN
2013-05-06,52.19,52.78,51.96,52.59,1246581,BEN
2013-05-07,52.75,52.99,52.31,52.93,1025727,BEN
2013-05-08,52.95,53.52,52.76,53.47,1747602,BEN
2013-05-09,53.47,53.77,53.05,53.11,1709199,BEN
2013-05-10,53.16,53.74,53.02,53.74,919656,BEN
2013-05-11,53.44,54.09,53.35,53.95,1278396,BEN
2013-05-12,53.72,54.43,53.67,54.15,1637136,BEN
2013-05-13,54.0,54.78,54.0,54.36,1995876,BEN
2013-05-14,54.45,55.89,54.33,55.8,1773327,BEN
2013-05-15,55.56,55.67,54.86,55.53,2297232,BEN
2013-05-16,55.3,56.25,55.15,55.32,1889364,BEN
2013-05-17,55.57,56.13,55.06,56.11,1606581,BEN
2013-05-18,55.7,56.27,55.33,56.05,1397172,BEN
2013-05-19,55.84,56.4,55.6,56.0,1187763,BEN
2013-05-20,55.98,56.54,55.86,55.95,978354,BEN
2013-05-21,55.64,55.87,55.02,55.08,3042060,BEN
2013-05-22,55.22,56.24,54.26,54.55,2130303,BEN
2013-05-23,53.57,54.19,53.21,54.01,2180553,BEN
2013-05-24,53.54,54.36,53.34,54.31,1310958,BEN
2013-05-25,53.9,54.7,53.73,54.47,1447191,BEN
2013-05-26,54.26,55.05,54.12,54.62,1583424,BEN
2013-05-27,54.62,55.39,54.51,54.78,1719657,BEN
2013-05-28,54.98,55.73,54.89,54.94,1855890,BEN
2013-05-29,54.55,55.04,53.68,53.99,2078628,BEN
2013-05-30,54.06,54.67,53.69,53.75,2517204,BEN
2013-05-31,53.66,53.91,51.55,51.6,5001330,BEN
2013-06-01,53.0,53.25,51.09,51.68,4768960,BEN
2013-06-02,52.33,52.58,50.63,51.75,4536590,BEN
2013-06-03,51.67,51.92,50.17,51.83,4304220,BEN
2013-06-04,51.83,52.44,50.99,51.42,3481470,BEN
2013-06-05,51.39,51.52,49.4,49.5,5089119,BEN
2013-06-06,49.54,49.88,49.24,49.84,4745106,BEN
2013-06-07,49.97,50.22,49.68,50.15,3617724,BEN
2013-06-08,50.09,50.29,49.79,50.15,3380712,BEN
2013-06-09,50.21,50.36,49.91,50.14,3143700,BEN
2013-06-10,50.33,50.43,50.02,50.13,2906688,BEN
2013-06-11,49.43,49.87,48.82,49.04,3470220,BEN
2013-06-12,49.96,49.96,47.6,47.77,4640466,BEN
2013-06-13,47.75,49.19,47.56,49.03,4645860,BEN
2013-06-14,49.13,49.45,49.0,49.04,4568562,BEN
2013-06-15,49.19,49.5,48.95,49.06,4112663,BEN
2013-06-16,49.25,49.56,48.9,49.07,3656764,BEN
2013-06-17,49.32,49.61,48.85,49.09,3200865,BEN
2013-06-18,49.19,50.38,48.96,50.31,2328372,BEN
2013-06-19,50.2,50.24,48.47,48.49,4309401,BEN
2013-06-20,48.0,48.0,45.72,45.81,6587439,BEN
2013-06-21,46.56,46.56,45.5,45.67,6136920,BEN
2013-06-22,46.21,46.21,45.07,45.34,5766788,BEN
2013-06-23,45.85,45.85,44.65,45.0,5396656,BEN
2013-06-24,45.5,45.5,44.22,44.66,5026524,BEN
2013-06-25,45.25,45.98,44.96,45.75,2989716,BEN
2013-06-26,46.17,46.26,45.67,45.8,4123806,BEN
2013-06-27,46.14,46.49,45.92,46.31,2819505,BEN
2013-06-28,46.17,46.21,45.12,45.34,6094710,BEN
2013-06-29,45.99,46.3,45.29,45.62,5385348,BEN
2013-06-30,45.81,46.4,45.46,45.9,4675986,BEN
2013-07-01,45.63,46.49,45.63,46.19,3966624,BEN
2013-07-02,46.15,46.63,45.68,46.08,3371508,BEN
2013-07-03,45.75,46.17,45.58,45.99,1764678,BEN
2013-07-04,45.96,46.25,45.51,45.82,2911802,BEN
2013-07-05,46.17,46.33,45.44,45.65,4058925,BEN
2013-07-06,46.12,46.3,45.44,45.68,4066552,BEN
2013-07-07,46.07,46.27,45.44,45.71,4074179,BEN
2013-07-08,46.02,46.24,45.43,45.75,4081806,BEN
2013-07-09,46.0,46.53,45.52,46.49,3641841,BEN
2013-07-10,46.76,46.76,45.57,45.66,4791060,BEN
2013-07-11,46.28,47.0,46.11,46.64,5420661,BEN
2013-07-12,47.1,47.86,47.1,47.83,3421356,BEN
2013-07-13,47.35,47.99,47.23,47.93,3168864,BEN
2013-07-14,47.59,48.12,47.37,48.03,2916372,BEN
2013-07-15,47.83,48.25,47.5,48.14,2663880,BEN
2013-07-16,48.14,48.66,48.07,48.3,2955717,BEN
2013-07-17,48.8,49.15,48.57,48.77,3107511,BEN
2013-07-18,48.91,48.93,48.43,48.71,2364120,BEN
2013-07-19,48.62,48.73,48.02,48.61,2480250,BEN
2013-07-20,48.62,49.04,48.2,48.94,2457668,BEN
2013-07-21,48.62,49.34,48.39,49.27,2435086,BEN
2013-07-22,48.62,49.65,48.57,49.6,2412504,BEN
2013-07-23,49.55,49.63,49.04,49.2,1987092,BEN
2013-07-24,49.41,49.55,48.65,48.77,3243741,BEN
2013-07-25,48.66,48.84,47.73,47.98,6406986,BEN
2013-07-26,47.98,48.67,47.45,48.66,2453778,BEN
2013-07-27,48.36,48.84,47.48,48.47,2730717,BEN
