index,open,high,low,close,volume,Name
2013-02-08,163.57,165.8,162.32,164.44,1163956,BIIB
2013-02-09,163.88,165.63,162.57,164.28,1121361,BIIB
2013-02-10,164.2,165.45,162.81,164.12,1078767,BIIB
2013-02-11,164.51,165.28,163.06,163.96,1036172,BIIB
2013-02-12,163.98,165.94,163.32,165.45,1079829,BIIB
2013-02-13,163.39,167.29,163.34,165.91,1378081,BIIB
2013-02-14,165.67,165.77,163.45,164.59,1203561,BIIB
2013-02-15,165.34,169.07,164.4,168.74,1933942,BIIB
2013-02-16,166.17,169.03,164.75,168.26,1732368,BIIB
2013-02-17,167.0,168.98,165.1,167.78,1530793,BIIB
2013-02-18,167.84,168.94,165.44,167.29,1329218,BIIB
2013-02-19,168.67,168.9,165.79,166.81,1127644,BIIB
2013-02-20,166.3,168.55,164.72,164.77,1540483,BIIB
2013-02-21,164.8,165.47,161.97,162.6,1162498,BIIB
2013-02-22,163.14,164.67,162.69,164.4,746660,BIIB
2013-02-23,163.46,165.43,162.21,163.39,903007,BIIB
2013-02-24,163.77,166.19,161.73,162.37,1059355,BIIB
2013-02-25,164.09,166.95,161.25,161.36,1215702,BIIB
2013-02-26,160.65,163.52,160.42,161.99,1381027,BIIB
2013-02-27,163.0,167.23,162.74,166.06,1034545,BIIB
2013-02-28,165.6,168.69,164.62,166.34,1212147,BIIB
2013-03-01,165.3,171.11,164.45,168.7,1710887,BIIB
2013-03-02,166.08,170.75,164.96,169.12,1550598,BIIB
2013-03-03,166.86,170.38,165.47,169.54,1390308,BIIB
2013-03-04,167.64,170.02,165.98,169.96,1230019,BIIB
2013-03-05,170.08,173.72,170.05,171.31,1371156,BIIB
2013-03-06,171.54,172.58,169.99,172.45,1073982,BIIB
2013-03-07,172.44,173.0,171.0,171.47,968849,BIIB
2013-03-08,172.41,172.98,171.22,172.38,1165528,BIIB
2013-03-09,172.22,173.39,171.29,172.97,1141076,BIIB
2013-03-10,172.04,173.8,171.35,173.55,1116625,BIIB
2013-03-11,171.85,174.21,171.42,174.14,1092173,BIIB
2013-03-12,174.44,176.47,173.81,176.05,1944621,BIIB
2013-03-13,175.62,176.34,174.23,176.15,1191460,BIIB
2013-03-14,176.2,177.91,175.91,176.78,1041776,BIIB
2013-03-15,175.96,178.18,175.76,176.78,2049444,BIIB
2013-03-16,175.58,177.7,175.35,176.36,1656619,BIIB
2013-03-17,175.19,177.22,174.94,175.94,1263793,BIIB
2013-03-18,174.81,176.74,174.53,175.52,870968,BIIB
2013-03-19,175.78,177.55,174.72,175.61,1236352,BIIB
2013-03-20,177.06,178.41,176.64,178.1,830709,BIIB
2013-03-21,177.28,178.33,176.18,176.55,1047714,BIIB
2013-03-22,176.88,178.9,176.88,178.0,929254,BIIB
2013-03-23,177.41,178.76,176.46,177.41,998352,BIIB
2013-03-24,177.95,178.62,176.05,176.81,1067451,BIIB
2013-03-25,178.48,178.48,175.63,176.22,1136549,BIIB
2013-03-26,177.42,178.13,175.98,177.09,1232662,BIIB
2013-03-27,176.52,184.17,176.01,182.68,2456383,BIIB
2013-03-28,186.6,192.92,186.36,192.62,3994948,BIIB
2013-03-29,188.36,193.88,187.72,192.66,3512968,BIIB
2013-03-30,190.13,194.85,189.08,192.69,3030987,BIIB
2013-03-31,191.9,195.82,190.44,192.73,2549006,BIIB
2013-04-01,193.66,196.78,191.8,192.77,2067026,BIIB
2013-04-02,194.94,199.54,194.23,198.19,2039241,BIIB
2013-04-03,198.38,199.05,194.16,195.74,1824010,BIIB
2013-04-04,197.76,198.87,194.48,195.68,1199070,BIIB
2013-04-05,193.05,193.99,191.8,193.31,1317763,BIIB
2013-04-06,193.23,194.29,191.98,193.58,1114888,BIIB
2013-04-07,193.42,194.58,192.15,193.86,912014,BIIB
2013-04-08,193.6,194.88,192.33,194.13,709139,BIIB
2013-04-09,194.51,195.43,192.2,193.17,746358,BIIB
2013-04-10,193.69,198.44,193.22,198.34,887061,BIIB
2013-04-11,198.94,201.0,197.18,200.26,884832,BIIB
2013-04-12,202.59,209.0,201.9,207.01,1833671,BIIB
2013-04-13,204.02,208.5,200.77,204.26,1692117,BIIB
2013-04-14,205.45,208.0,199.64,201.5,1550563,BIIB
2013-04-15,206.88,207.5,198.51,198.75,1409009,BIIB
2013-04-16,201.51,202.48,197.74,202.12,1308037,BIIB
2013-04-17,200.11,204.75,199.0,204.08,1309947,BIIB
2013-04-18,204.18,204.18,197.92,198.66,978791,BIIB
2013-04-19,197.65,203.72,197.5,203.27,942567,BIIB
2013-04-20,200.05,208.04,199.79,207.25,1521013,BIIB
2013-04-21,202.46,212.35,202.07,211.22,2099459,BIIB
2013-04-22,204.86,216.67,204.36,215.2,2677905,BIIB
2013-04-23,216.88,217.8,211.23,212.76,1971634,BIIB
2013-04-24,211.93,212.31,205.91,206.18,1584701,BIIB
2013-04-25,212.23,217.67,212.1,216.0,1984793,BIIB
2013-04-26,215.89,218.46,212.53,213.59,1083351,BIIB
2013-04-27,217.16,220.64,214.8,216.93,1410979,BIIB
2013-04-28,218.44,222.82,217.08,220.27,1738607,BIIB
2013-04-29,219.71,225.0,219.35,223.61,2066235,BIIB
2013-04-30,223.94,226.18,218.21,218.93,1620301,BIIB
2013-05-01,215.39,218.39,214.0,214.33,1236124,BIIB
2013-05-02,214.68,219.08,213.26,217.3,1124451,BIIB
2013-05-03,220.39,222.55,217.85,218.85,922300,BIIB
2013-05-04,220.83,222.37,217.03,217.81,928919,BIIB
2013-05-05,221.28,222.18,216.21,216.77,935539,BIIB
2013-05-06,221.72,222.0,215.39,215.73,942158,BIIB
2013-05-07,214.81,216.62,211.63,212.55,1119507,BIIB
2013-05-08,212.03,215.62,209.57,210.71,1141499,BIIB
2013-05-09,210.4,212.04,208.5,209.28,1027522,BIIB
2013-05-10,210.76,213.38,209.05,213.22,1108467,BIIB
2013-05-11,212.67,216.56,211.35,216.39,1270045,BIIB
2013-05-12,214.59,219.75,213.64,219.57,1431624,BIIB
2013-05-13,216.5,222.93,215.94,222.74,1593202,BIIB
2013-05-14,223.4,231.99,222.75,229.84,1972277,BIIB
2013-05-15,228.73,230.98,224.58,227.13,933715,BIIB
2013-05-16,226.68,228.84,223.11,227.99,1592661,BIIB
2013-05-17,228.36,228.86,224.6,226.85,1243779,BIIB
2013-05-18,227.59,230.73,224.51,226.29,1256266,BIIB
2013-05-19,226.82,232.59,224.42,225.74,1268753,BIIB
2013-05-20,226.05,234.46,224.33,225.18,1281240,BIIB
2013-05-21,226.17,234.2,226.0,231.33,1364463,BIIB
2013-05-22,232.27,238.83,230.06,233.07,1404856,BIIB
2013-05-23,230.25,235.1,226.01,232.62,1231116,BIIB
2013-05-24,230.87,235.4,229.35,235.24,825879,BIIB
2013-05-25,232.46,237.21,231.08,236.64,982341,BIIB
2013-05-26,234.05,239.02,232.82,238.05,1138802,BIIB
2013-05-27,235.64,240.83,234.55,239.46,1295264,BIIB
2013-05-28,237.23,242.64,236.28,240.86,1451726,BIIB
2013-05-29,239.42,242.18,238.44,238.99,1143833,BIIB
2013-05-30,235.82,241.12,233.12,238.89,1267994,BIIB
2013-05-31,237.18,240.49,237.01,237.49,1337301,BIIB
2013-06-01,236.17,238.56,231.37,234.12,1712908,BIIB
2013-06-02,235.16,236.63,225.72,230.76,2088514,BIIB
2013-06-03,234.15,234.7,220.08,227.39,2464121,BIIB
2013-06-04,224.22,225.0,218.38,219.74,2515077,BIIB
2013-06-05,219.0,223.6,209.87,214.1,2335535,BIIB
2013-06-06,214.35,221.35,212.87,221.19,1612129,BIIB
2013-06-07,223.57,228.1,223.3,225.02,1722384,BIIB
2013-06-08,224.32,227.6,222.36,224.08,1488540,BIIB
2013-06-09,225.06,227.1,221.41,223.13,1254697,BIIB
2013-06-10,225.81,226.6,220.47,222.19,1020853,BIIB
