index,open,high,low,close,volume,Name
2013-02-08,27.8,28.0,27.76,27.9,6185855,BK
2013-02-09,27.81,27.98,27.7,27.91,5556118,BK
2013-02-10,27.82,27.96,27.65,27.92,4926381,BK
2013-02-11,27.83,27.94,27.6,27.93,4296644,BK
2013-02-12,27.76,28.0,27.65,27.9,5801687,BK
2013-02-13,27.96,28.45,27.93,28.17,7495006,BK
2013-02-14,28.1,28.21,28.03,28.1,4819320,BK
2013-02-15,28.16,28.36,27.8,27.99,5957227,BK
2013-02-16,28.14,28.33,27.84,28.05,5753852,BK
2013-02-17,28.13,28.31,27.88,28.12,5550478,BK
2013-02-18,28.12,28.28,27.92,28.18,5347103,BK
2013-02-19,28.1,28.26,27.96,28.24,5143728,BK
2013-02-20,28.2,28.26,27.82,27.86,4998870,BK
2013-02-21,27.84,27.86,27.2,27.32,4828252,BK
2013-02-22,27.58,27.66,27.42,27.63,4117222,BK
2013-02-23,27.65,27.73,27.22,27.36,4703394,BK
2013-02-24,27.73,27.81,27.02,27.09,5289566,BK
2013-02-25,27.8,27.88,26.82,26.82,5875738,BK
2013-02-26,26.98,27.12,26.67,27.07,5813117,BK
2013-02-27,27.03,27.46,26.9,27.4,4790832,BK
2013-02-28,27.4,27.5,27.12,27.14,7027014,BK
2013-03-01,26.99,27.35,26.74,27.2,5713141,BK
2013-03-02,27.05,27.43,26.86,27.33,5043572,BK
2013-03-03,27.1,27.51,26.97,27.45,4374004,BK
2013-03-04,27.16,27.59,27.09,27.58,3704435,BK
2013-03-05,27.82,28.01,27.74,27.84,4400990,BK
2013-03-06,28.03,28.2,27.73,27.75,6377933,BK
2013-03-07,27.82,28.08,27.77,28.01,5108774,BK
2013-03-08,28.22,28.65,28.18,28.52,5928058,BK
2013-03-09,28.28,28.67,28.18,28.56,5145747,BK
2013-03-10,28.34,28.69,28.18,28.59,4363435,BK
2013-03-11,28.4,28.71,28.18,28.63,3581124,BK
2013-03-12,28.56,28.72,28.49,28.61,3926080,BK
2013-03-13,28.63,28.97,28.57,28.87,4211904,BK
2013-03-14,28.92,29.12,28.82,28.99,4715355,BK
2013-03-15,28.86,29.07,28.52,28.85,11056531,BK
2013-03-16,28.67,28.87,28.44,28.69,9523544,BK
2013-03-17,28.48,28.68,28.35,28.52,7990558,BK
2013-03-18,28.29,28.48,28.27,28.36,6457571,BK
