index,open,high,low,close,volume,Name
2013-02-08,22.64,22.76,22.59,22.68,1242144,BLL
2013-02-09,22.65,22.73,22.51,22.64,1450740,BLL
2013-02-10,22.66,22.7,22.43,22.61,1659336,BLL
2013-02-11,22.67,22.68,22.34,22.57,1867932,BLL
2013-02-12,22.64,22.66,22.44,22.44,1978636,BLL
2013-02-13,22.6,22.6,22.38,22.6,1668390,BLL
2013-02-14,22.53,22.66,22.5,22.6,1828044,BLL
2013-02-15,22.81,23.04,22.66,22.77,2723304,BLL
2013-02-16,22.8,22.98,22.62,22.71,2571998,BLL
2013-02-17,22.8,22.93,22.58,22.66,2420692,BLL
2013-02-18,22.8,22.88,22.54,22.6,2269386,BLL
2013-02-19,22.79,22.83,22.5,22.54,2118080,BLL
2013-02-20,22.51,22.6,22.25,22.26,1933494,BLL
2013-02-21,22.16,22.2,21.98,22.03,1897542,BLL
2013-02-22,22.14,22.28,21.98,22.17,2407362,BLL
2013-02-23,22.19,22.31,21.9,22.02,2106771,BLL
2013-02-24,22.25,22.33,21.81,21.88,1806179,BLL
2013-02-25,22.31,22.36,21.73,21.73,1505588,BLL
2013-02-26,21.8,21.94,21.63,21.9,1403712,BLL
2013-02-27,21.82,22.23,21.72,22.16,1464074,BLL
2013-02-28,22.14,22.36,22.12,22.2,2091834,BLL
2013-03-01,22.17,22.17,21.96,22.11,1782986,BLL
2013-03-02,22.12,22.14,21.92,22.07,1795779,BLL
2013-03-03,22.08,22.1,21.88,22.03,1808573,BLL
2013-03-04,22.04,22.07,21.84,22.0,1821366,BLL
2013-03-05,22.06,22.21,21.98,22.1,1287904,BLL
2013-03-06,22.24,22.3,22.07,22.14,1473424,BLL
2013-03-07,22.19,22.33,22.19,22.23,1286268,BLL
2013-03-08,22.32,22.44,22.28,22.42,1506098,BLL
2013-03-09,22.34,22.47,22.27,22.46,1503546,BLL
2013-03-10,22.36,22.5,22.27,22.49,1500994,BLL
2013-03-11,22.38,22.54,22.26,22.52,1498442,BLL
2013-03-12,22.54,22.57,22.38,22.54,1124908,BLL
2013-03-13,22.57,22.91,22.42,22.89,2647026,BLL
2013-03-14,22.95,23.02,22.82,23.01,1815454,BLL
2013-03-15,22.98,23.08,22.87,23.0,3147770,BLL
2013-03-16,22.91,23.06,22.84,22.97,2610046,BLL
2013-03-17,22.84,23.05,22.8,22.94,2072322,BLL
2013-03-18,22.78,23.03,22.76,22.9,1534598,BLL
2013-03-19,22.98,23.08,22.8,23.0,1854980,BLL
2013-03-20,23.1,23.18,23.01,23.1,1340110,BLL
2013-03-21,22.98,23.13,22.91,22.92,1543692,BLL
2013-03-22,22.96,23.02,22.76,22.94,1424494,BLL
2013-03-23,22.98,23.06,22.83,22.97,1355688,BLL
2013-03-24,22.99,23.1,22.89,23.0,1286882,BLL
2013-03-25,23.0,23.14,22.96,23.04,1218076,BLL
2013-03-26,23.13,23.24,22.98,23.24,1355640,BLL
2013-03-27,23.1,23.7,23.0,23.67,2041054,BLL
2013-03-28,23.66,23.82,23.56,23.79,1647978,BLL
2013-03-29,23.68,23.82,23.56,23.76,1443247,BLL
2013-03-30,23.7,23.83,23.55,23.72,1238516,BLL
2013-03-31,23.72,23.84,23.55,23.68,1033785,BLL
2013-04-01,23.74,23.84,23.54,23.65,829054,BLL
2013-04-02,23.69,24.02,23.66,24.0,1900284,BLL
2013-04-03,23.98,24.04,23.35,23.48,1655066,BLL
2013-04-04,23.52,23.62,23.45,23.57,1137068,BLL
2013-04-05,23.37,23.53,23.24,23.5,1366342,BLL
2013-04-06,23.41,23.57,23.27,23.54,1326353,BLL
2013-04-07,23.46,23.6,23.3,23.59,1286363,BLL
2013-04-08,23.5,23.64,23.33,23.64,1246374,BLL
2013-04-09,23.64,23.81,23.57,23.71,1199600,BLL
2013-04-10,23.81,24.08,23.78,24.08,1317792,BLL
2013-04-11,24.1,24.25,24.04,24.06,1502872,BLL
2013-04-12,24.0,24.14,23.7,23.94,1253850,BLL
2013-04-13,23.89,23.99,23.52,23.7,1482799,BLL
2013-04-14,23.78,23.84,23.34,23.44,1711749,BLL
2013-04-15,23.66,23.69,23.16,23.2,1940698,BLL
2013-04-16,23.31,23.64,23.18,23.46,1957198,BLL
2013-04-17,23.32,23.38,22.94,23.29,1702454,BLL
2013-04-18,23.42,23.5,22.92,22.98,1336464,BLL
2013-04-19,23.06,23.32,23.03,23.22,1579714,BLL
2013-04-20,23.13,23.36,23.04,23.26,1359096,BLL
