index,open,high,low,close,volume,Name
2013-02-08,36.5,37.03,36.49,37.03,8462351,BMY
2013-02-09,36.62,37.05,36.59,37.0,7414478,BMY
2013-02-10,36.73,37.06,36.7,36.96,6366606,BMY
2013-02-11,36.85,37.08,36.8,36.93,5318733,BMY
2013-02-12,36.91,36.96,36.52,36.52,6694758,BMY
2013-02-13,36.49,36.53,36.03,36.12,11953431,BMY
2013-02-14,36.06,36.7,36.04,36.58,7408473,BMY
2013-02-15,36.69,36.83,36.48,36.58,7042218,BMY
2013-02-16,36.66,36.87,36.5,36.67,6660985,BMY
2013-02-17,36.64,36.9,36.53,36.76,6279752,BMY
2013-02-18,36.61,36.94,36.55,36.85,5898519,BMY
2013-02-19,36.58,36.98,36.58,36.94,5517286,BMY
2013-02-20,36.85,36.99,36.67,36.69,5774621,BMY
2013-02-21,36.61,36.78,36.51,36.69,7063247,BMY
2013-02-22,36.71,36.97,36.71,36.9,5027741,BMY
2013-02-23,36.8,37.01,36.59,36.71,5944897,BMY
2013-02-24,36.89,37.05,36.46,36.53,6862052,BMY
2013-02-25,36.98,37.09,36.34,36.34,7779208,BMY
2013-02-26,36.54,36.78,36.32,36.39,6692239,BMY
2013-02-27,36.42,37.22,36.31,37.1,7370021,BMY
2013-02-28,37.07,37.15,36.75,36.97,9328804,BMY
2013-03-01,36.89,37.25,36.78,37.15,9751514,BMY
2013-03-02,36.74,37.15,36.67,37.08,8900922,BMY
2013-03-03,36.58,37.05,36.55,37.01,8050329,BMY
2013-03-04,36.43,36.95,36.43,36.94,7199737,BMY
2013-03-05,37.0,37.6,37.0,37.57,7649907,BMY
2013-03-06,37.61,37.85,37.49,37.76,7229606,BMY
2013-03-07,37.78,37.81,37.51,37.53,7641963,BMY
2013-03-08,37.55,37.65,37.3,37.4,10461169,BMY
2013-03-09,37.46,37.65,37.29,37.44,9212510,BMY
2013-03-10,37.38,37.66,37.27,37.48,7963850,BMY
2013-03-11,37.29,37.66,37.26,37.52,6715191,BMY
2013-03-12,37.53,38.22,37.53,38.22,10266921,BMY
2013-03-13,38.16,38.57,37.96,38.49,9564424,BMY
2013-03-14,38.5,38.61,38.13,38.48,12371833,BMY
2013-03-15,38.47,38.98,38.26,38.96,13220684,BMY
2013-03-16,38.46,39.03,38.31,38.93,11821394,BMY
2013-03-17,38.45,39.08,38.36,38.91,10422104,BMY
2013-03-18,38.44,39.13,38.41,38.88,9022814,BMY
2013-03-19,38.94,39.41,38.85,39.34,9644108,BMY
2013-03-20,39.49,39.96,39.38,39.87,12524337,BMY
2013-03-21,39.81,39.9,39.68,39.71,8723522,BMY
2013-03-22,39.94,40.48,39.8,40.39,25808804,BMY
2013-03-23,40.11,40.47,39.86,40.35,25950433,BMY
2013-03-24,40.29,40.47,39.93,40.3,26092062,BMY
2013-03-25,40.46,40.46,39.99,40.26,26233691,BMY
2013-03-26,40.3,40.74,40.15,40.68,6776559,BMY
2013-03-27,40.49,40.84,40.36,40.78,5791773,BMY
2013-03-28,40.95,41.25,40.81,41.19,10846339,BMY
2013-03-29,40.99,41.28,40.84,41.18,9788121,BMY
2013-03-30,41.04,41.3,40.87,41.16,8729903,BMY
2013-03-31,41.08,41.33,40.9,41.15,7671685,BMY
2013-04-01,41.12,41.36,40.93,41.14,6613467,BMY
2013-04-02,41.18,41.79,41.16,41.68,9125711,BMY
2013-04-03,41.22,41.37,40.95,41.07,12053575,BMY
2013-04-04,40.96,41.21,40.66,40.78,8596903,BMY
2013-04-05,40.22,40.76,40.05,40.61,6491957,BMY
2013-04-06,40.32,40.75,40.08,40.65,6728501,BMY
2013-04-07,40.42,40.75,40.11,40.69,6965045,BMY
2013-04-08,40.52,40.74,40.14,40.73,7201589,BMY
2013-04-09,40.7,41.0,40.67,40.83,8661257,BMY
2013-04-10,40.84,41.22,40.68,41.19,7596144,BMY
2013-04-11,41.27,41.46,41.06,41.3,6928514,BMY
2013-04-12,41.03,41.5,41.02,41.42,7196329,BMY
2013-04-13,41.14,41.5,40.91,41.2,7789772,BMY
2013-04-14,41.25,41.5,40.81,40.97,8383216,BMY
2013-04-15,41.36,41.5,40.7,40.75,8976659,BMY
2013-04-16,41.08,41.1,40.56,41.06,9873677,BMY
2013-04-17,40.88,41.11,40.53,40.81,8612596,BMY
2013-04-18,40.72,40.83,40.31,40.55,8496752,BMY
2013-04-19,40.71,41.26,40.52,41.15,8203972,BMY
2013-04-20,40.86,41.5,40.66,41.41,9097075,BMY
2013-04-21,41.02,41.75,40.81,41.67,9990179,BMY
2013-04-22,41.17,42.0,40.95,41.93,10883282,BMY
2013-04-23,42.22,42.87,42.0,42.3,8795469,BMY
2013-04-24,42.26,42.28,41.39,41.45,6816737,BMY
2013-04-25,40.82,40.91,40.03,40.22,13823970,BMY
2013-04-26,40.65,40.75,39.98,40.14,12047948,BMY
2013-04-27,40.48,40.6,39.92,40.06,10271926,BMY
2013-04-28,40.3,40.44,39.86,39.99,8495903,BMY
2013-04-29,40.13,40.28,39.81,39.91,6719881,BMY
