index,open,high,low,close,volume,Name
2013-02-08,44.9,45.18,44.8,45.18,1877873,CAH
2013-02-09,44.98,45.25,44.87,45.19,1790843,CAH
2013-02-10,45.06,45.31,44.94,45.21,1703813,CAH
2013-02-11,45.14,45.38,45.02,45.22,1616783,CAH
2013-02-12,45.3,45.68,45.15,45.54,2351432,CAH
2013-02-13,45.72,45.95,45.27,45.44,2776799,CAH
2013-02-14,46.72,46.75,45.6,46.0,4641591,CAH
2013-02-15,46.05,46.7,46.01,46.7,5181965,CAH
2013-02-16,46.18,46.74,46.09,46.64,4629737,CAH
2013-02-17,46.3,46.78,46.18,46.58,4077509,CAH
2013-02-18,46.42,46.83,46.26,46.52,3525281,CAH
2013-02-19,46.55,46.87,46.34,46.46,2973053,CAH
2013-02-20,46.5,46.63,46.0,46.07,1842773,CAH
2013-02-21,46.11,46.28,45.3,45.48,2767902,CAH
2013-02-22,45.54,45.65,45.32,45.56,2083206,CAH
2013-02-23,45.61,45.81,45.29,45.45,2181736,CAH
2013-02-24,45.67,45.98,45.25,45.33,2280265,CAH
2013-02-25,45.74,46.14,45.22,45.22,2378795,CAH
2013-02-26,45.44,45.76,45.3,45.69,2049324,CAH
2013-02-27,45.73,46.37,45.59,46.26,1899288,CAH
2013-02-28,46.21,46.5,46.17,46.21,1786591,CAH
2013-03-01,46.17,46.51,45.87,46.51,1425436,CAH
2013-03-02,46.23,46.5,45.91,46.42,1585858,CAH
2013-03-03,46.3,46.48,45.94,46.34,1746279,CAH
2013-03-04,46.36,46.47,45.98,46.25,1906701,CAH
2013-03-05,46.34,46.51,46.24,46.28,1988862,CAH
2013-03-06,46.35,46.51,46.06,46.12,1816576,CAH
2013-03-07,46.24,46.48,45.85,45.89,2677774,CAH
2013-03-08,46.0,46.3,45.92,46.28,1903622,CAH
2013-03-09,46.09,46.49,46.03,46.45,1841850,CAH
2013-03-10,46.17,46.69,46.14,46.61,1780077,CAH
2013-03-11,46.26,46.88,46.25,46.78,1718305,CAH
2013-03-12,46.8,47.23,46.54,46.83,1912877,CAH
2013-03-13,46.81,47.02,46.7,46.84,2453553,CAH
2013-03-14,46.87,47.1,46.74,47.09,2555724,CAH
2013-03-15,46.9,47.0,46.47,46.58,2483121,CAH
2013-03-16,46.7,46.8,46.3,46.43,2446948,CAH
2013-03-17,46.51,46.61,46.13,46.28,2410775,CAH
2013-03-18,46.31,46.42,45.96,46.13,2374602,CAH
2013-03-19,42.94,43.61,42.32,42.35,18453770,CAH
2013-03-20,42.33,42.57,41.42,42.14,7249450,CAH
2013-03-21,41.99,42.42,41.82,41.97,8530629,CAH
2013-03-22,41.97,42.36,41.71,42.09,7696913,CAH
2013-03-23,42.01,42.34,41.74,42.08,7133214,CAH
2013-03-24,42.05,42.32,41.78,42.06,6569516,CAH
2013-03-25,42.09,42.3,41.82,42.05,6005817,CAH
2013-03-26,42.32,42.35,41.91,42.18,5047231,CAH
2013-03-27,41.71,42.03,41.54,41.71,6042606,CAH
2013-03-28,41.75,41.8,41.55,41.62,6376112,CAH
2013-03-29,41.74,41.86,41.58,41.68,5603651,CAH
2013-03-30,41.72,41.93,41.6,41.74,4831190,CAH
2013-03-31,41.7,41.99,41.62,41.79,4058729,CAH
2013-04-01,41.69,42.06,41.65,41.85,3286268,CAH
2013-04-02,42.04,42.16,41.83,42.05,4994185,CAH
2013-04-03,42.17,42.56,42.11,42.38,6606051,CAH
2013-04-04,42.51,42.71,42.3,42.53,4477815,CAH
2013-04-05,42.27,42.5,42.09,42.45,5294102,CAH
