index,open,high,low,close,volume,Name
2013-02-08,42.41,42.85,42.38,42.83,5285592,CBS
2013-02-09,42.51,42.81,42.27,42.65,5042041,CBS
2013-02-10,42.6,42.77,42.16,42.46,4798490,CBS
2013-02-11,42.7,42.73,42.05,42.28,4554939,CBS
2013-02-12,42.4,43.21,42.37,43.21,6166218,CBS
2013-02-13,43.37,43.47,42.38,42.67,5312608,CBS
2013-02-14,42.43,43.1,42.2,42.94,9110084,CBS
2013-02-15,43.09,45.87,42.99,44.64,15734099,CBS
2013-02-16,43.48,45.68,43.39,44.7,13615416,CBS
2013-02-17,43.86,45.48,43.78,44.76,11496732,CBS
2013-02-18,44.24,45.28,44.18,44.82,9378048,CBS
2013-02-19,44.63,45.09,44.57,44.88,7259365,CBS
2013-02-20,44.75,45.01,43.78,43.82,7170724,CBS
2013-02-21,43.6,43.85,43.23,43.41,6876233,CBS
2013-02-22,43.55,43.55,42.96,43.37,6316518,CBS
2013-02-23,43.53,43.58,42.76,43.03,6591782,CBS
2013-02-24,43.5,43.6,42.56,42.7,6867046,CBS
2013-02-25,43.48,43.63,42.36,42.36,7142310,CBS
2013-02-26,42.4,42.62,42.05,42.49,10645049,CBS
2013-02-27,42.53,44.02,42.53,43.8,10419973,CBS
2013-02-28,43.61,43.68,42.87,43.39,10477740,CBS
2013-03-01,42.93,43.63,42.91,43.55,7521188,CBS
2013-03-02,43.06,43.71,43.0,43.63,7164481,CBS
2013-03-03,43.18,43.79,43.1,43.7,6807773,CBS
2013-03-04,43.31,43.87,43.19,43.78,6451066,CBS
2013-03-05,44.11,45.18,42.8,44.88,10590326,CBS
2013-03-06,45.02,45.49,44.44,44.81,6313221,CBS
2013-03-07,44.51,45.64,44.48,44.98,8036600,CBS
2013-03-08,45.15,46.13,45.15,46.0,7999248,CBS
2013-03-09,45.39,46.12,45.28,45.97,6774652,CBS
2013-03-10,45.62,46.11,45.42,45.93,5550055,CBS
2013-03-11,45.86,46.1,45.55,45.9,4325459,CBS
2013-03-12,45.83,46.0,45.44,45.92,4209615,CBS
2013-03-13,46.0,46.02,45.45,45.94,4647885,CBS
2013-03-14,46.33,47.42,46.21,46.95,9221910,CBS
2013-03-15,46.78,47.13,46.59,46.76,6936126,CBS
2013-03-16,46.53,47.05,46.23,46.69,6577305,CBS
2013-03-17,46.28,46.96,45.88,46.61,6218485,CBS
2013-03-18,46.03,46.88,45.52,46.54,5859664,CBS
2013-03-19,46.69,46.95,45.5,45.75,8394524,CBS
2013-03-20,46.2,46.54,46.1,46.28,7360500,CBS
2013-03-21,45.86,46.46,45.76,45.89,6177443,CBS
2013-03-22,46.19,46.48,45.83,45.98,7168353,CBS
2013-03-23,46.15,46.42,45.65,45.79,7308049,CBS
2013-03-24,46.1,46.36,45.47,45.61,7447746,CBS
2013-03-25,46.06,46.3,45.29,45.42,7587442,CBS
2013-03-26,45.56,45.96,45.19,45.71,6117404,CBS
2013-03-27,45.45,46.28,45.34,46.16,4105834,CBS
2013-03-28,46.35,46.8,46.12,46.69,5958366,CBS
2013-03-29,46.44,46.86,45.92,46.45,6831042,CBS
2013-03-30,46.54,46.92,45.72,46.22,7703719,CBS
2013-03-31,46.64,46.97,45.53,45.98,8576396,CBS
2013-04-01,46.73,47.03,45.33,45.74,9449072,CBS
2013-04-02,45.86,46.0,45.38,45.51,7122188,CBS
2013-04-03,45.64,45.84,44.62,44.84,8530841,CBS
2013-04-04,44.77,45.52,44.73,44.92,6933476,CBS
2013-04-05,44.25,45.38,43.77,45.2,8296698,CBS
2013-04-06,44.57,45.66,44.22,45.53,7871769,CBS
2013-04-07,44.9,45.94,44.67,45.86,7446841,CBS
2013-04-08,45.22,46.22,45.12,46.19,7021912,CBS
2013-04-09,46.34,46.49,45.61,45.86,5262674,CBS
2013-04-10,46.04,46.68,45.99,46.61,5757170,CBS
2013-04-11,46.52,46.96,46.24,46.3,4563852,CBS
2013-04-12,46.05,46.76,46.04,46.57,4808878,CBS
2013-04-13,46.08,46.62,45.66,46.03,4939844,CBS
2013-04-14,46.11,46.48,45.27,45.5,5070810,CBS
2013-04-15,46.14,46.34,44.89,44.96,5201776,CBS
2013-04-16,45.35,46.31,45.25,46.17,4102951,CBS
2013-04-17,45.81,46.02,45.19,45.44,5428538,CBS
2013-04-18,45.43,45.73,44.52,44.71,6696715,CBS
2013-04-19,44.83,46.14,44.6,46.06,7563981,CBS
2013-04-20,45.31,46.48,45.14,46.36,6695871,CBS
2013-04-21,45.79,46.81,45.68,46.65,5827762,CBS
2013-04-22,46.27,47.15,46.22,46.95,4959652,CBS
2013-04-23,47.08,47.12,45.93,46.75,6603449,CBS
2013-04-24,46.88,47.14,45.94,46.06,4478146,CBS
2013-04-25,46.11,46.38,45.75,45.97,6974277,CBS
2013-04-26,45.97,46.52,45.79,46.27,4845911,CBS
2013-04-27,46.1,46.64,45.91,46.27,4707992,CBS
2013-04-28,46.23,46.75,46.02,46.28,4570073,CBS
2013-04-29,46.36,46.87,46.14,46.28,4432154,CBS
2013-04-30,46.28,46.57,45.28,45.78,8811063,CBS
2013-05-01,45.75,46.94,45.47,46.4,7927250,CBS
2013-05-02,47.02,48.3,46.81,47.35,10445637,CBS
2013-05-03,47.68,47.97,47.33,47.4,9128915,CBS
2013-05-04,47.59,47.82,47.27,47.32,7321179,CBS
2013-05-05,47.51,47.68,47.2,47.25,5513444,CBS
2013-05-06,47.42,47.54,47.14,47.17,3705708,CBS
