index,open,high,low,close,volume,Name
2013-02-08,70.32,71.04,70.13,70.79,2500131,CCI
2013-02-09,70.46,70.94,70.08,70.54,2205478,CCI
2013-02-10,70.6,70.84,70.04,70.28,1910825,CCI
2013-02-11,70.74,70.74,69.99,70.03,1616172,CCI
2013-02-12,70.03,70.09,68.2,68.31,3238840,CCI
2013-02-13,68.31,68.38,67.5,68.04,4127114,CCI
2013-02-14,67.68,67.83,66.13,66.66,7042139,CCI
2013-02-15,66.68,68.08,66.5,67.9,4525800,CCI
2013-02-16,67.01,68.1,66.55,67.68,4031165,CCI
2013-02-17,67.34,68.11,66.6,67.47,3536530,CCI
2013-02-18,67.67,68.13,66.65,67.26,3041895,CCI
2013-02-19,68.0,68.15,66.7,67.04,2547260,CCI
2013-02-20,67.04,67.54,66.95,67.13,2476894,CCI
2013-02-21,66.77,68.08,66.52,68.0,3078231,CCI
2013-02-22,68.05,70.66,68.05,69.97,3815278,CCI
2013-02-23,68.78,71.01,68.55,69.84,3274767,CCI
2013-02-24,69.52,71.37,69.06,69.7,2734257,CCI
2013-02-25,70.25,71.72,69.56,69.57,2193746,CCI
2013-02-26,69.62,70.11,69.58,69.75,1817769,CCI
2013-02-27,69.52,70.49,69.48,70.38,2215921,CCI
2013-02-28,70.39,70.56,69.77,69.8,2515969,CCI
2013-03-01,69.71,70.37,69.42,70.14,2271095,CCI
2013-03-02,69.8,70.62,69.56,70.42,2040571,CCI
2013-03-03,69.9,70.87,69.7,70.69,1810048,CCI
2013-03-04,69.99,71.12,69.84,70.97,1579524,CCI
2013-03-05,71.19,71.98,71.1,71.6,1572874,CCI
2013-03-06,71.82,72.47,71.8,72.13,1609726,CCI
2013-03-07,72.0,72.46,71.79,72.08,1473555,CCI
2013-03-08,72.45,72.63,71.07,71.79,1216953,CCI
2013-03-09,72.16,72.36,71.09,71.71,1208921,CCI
2013-03-10,71.86,72.1,71.1,71.64,1200888,CCI
2013-03-11,71.57,71.83,71.12,71.56,1192856,CCI
2013-03-12,71.5,71.64,70.5,70.63,1736687,CCI
2013-03-13,70.63,71.19,70.29,70.96,1482506,CCI
2013-03-14,71.19,71.43,70.82,71.11,839382,CCI
2013-03-15,70.77,70.86,69.9,69.99,1951594,CCI
2013-03-16,70.32,70.61,69.61,69.88,1698374,CCI
2013-03-17,69.86,70.36,69.32,69.77,1445153,CCI
2013-03-18,69.41,70.11,69.04,69.66,1191933,CCI
2013-03-19,70.01,70.28,69.65,69.99,1580685,CCI
2013-03-20,70.23,70.76,69.96,70.65,1486243,CCI
2013-03-21,70.13,71.1,70.05,70.15,1672117,CCI
2013-03-22,70.35,71.4,70.22,70.74,1341130,CCI
2013-03-23,70.57,71.35,70.13,70.63,1276631,CCI
2013-03-24,70.78,71.29,70.04,70.52,1212132,CCI
2013-03-25,71.0,71.24,69.95,70.41,1147633,CCI
2013-03-26,70.79,70.83,70.24,70.48,1613587,CCI
2013-03-27,70.29,70.68,69.87,70.66,1290006,CCI
2013-03-28,70.67,70.7,69.43,69.64,2783558,CCI
2013-03-29,70.42,70.57,69.48,69.68,2571589,CCI
2013-03-30,70.18,70.44,69.53,69.72,2359620,CCI
2013-03-31,69.94,70.3,69.58,69.75,2147651,CCI
2013-04-01,69.69,70.17,69.63,69.79,1935682,CCI
2013-04-02,70.18,70.73,70.18,70.6,1442115,CCI
2013-04-03,70.53,70.68,69.36,69.61,1661509,CCI
2013-04-04,69.7,70.72,69.7,70.28,1478868,CCI
2013-04-05,69.69,71.02,69.5,70.83,2216956,CCI
2013-04-06,70.03,71.39,69.9,71.26,1813144,CCI
2013-04-07,70.37,71.75,70.3,71.69,1409333,CCI
2013-04-08,70.71,72.12,70.7,72.12,1005521,CCI
2013-04-09,72.31,72.53,71.42,72.33,1258880,CCI
2013-04-10,72.49,73.35,72.4,73.2,1406613,CCI
2013-04-11,73.18,74.05,73.1,73.7,1007452,CCI
2013-04-12,73.52,73.86,72.92,73.39,1477682,CCI
2013-04-13,73.49,74.04,73.0,73.33,1605663,CCI
2013-04-14,73.47,74.23,73.08,73.27,1733643,CCI
2013-04-15,73.44,74.41,73.16,73.21,1861624,CCI
2013-04-16,73.56,74.04,72.83,74.03,1547215,CCI
2013-04-17,73.69,73.79,72.74,72.83,2217840,CCI
2013-04-18,72.98,74.41,72.74,74.35,2262387,CCI
2013-04-19,74.58,75.11,74.31,75.01,1294402,CCI
2013-04-20,74.73,75.13,74.34,74.85,1185794,CCI
2013-04-21,74.87,75.15,74.37,74.7,1077185,CCI
2013-04-22,75.02,75.17,74.4,74.54,968577,CCI
2013-04-23,74.8,75.1,74.11,74.88,1559505,CCI
2013-04-24,74.85,74.85,73.24,73.9,1446301,CCI
2013-04-25,75.26,79.0,75.26,78.36,5052120,CCI
