index,open,high,low,close,volume,Name
2013-02-08,49.42,50.43,48.96,50.06,7221802,CELG
2013-02-09,49.76,50.55,49.2,50.03,6934377,CELG
2013-02-10,50.1,50.66,49.43,50.0,6646953,CELG
2013-02-11,50.44,50.78,49.68,49.97,6359528,CELG
2013-02-12,50.0,50.21,49.44,49.48,4430198,CELG
2013-02-13,49.54,49.7,48.95,49.54,4529200,CELG
2013-02-14,49.58,50.1,49.28,49.76,4828280,CELG
2013-02-15,49.72,49.85,49.27,49.38,5272566,CELG
2013-02-16,49.63,49.96,49.28,49.6,5140086,CELG
2013-02-17,49.54,50.06,49.29,49.81,5007607,CELG
2013-02-18,49.46,50.17,49.3,50.02,4875128,CELG
2013-02-19,49.38,50.28,49.31,50.23,4742648,CELG
2013-02-20,51.0,51.84,50.2,50.2,12258622,CELG
2013-02-21,50.14,50.14,48.92,49.72,7427524,CELG
2013-02-22,49.8,51.14,49.72,50.82,6836096,CELG
2013-02-23,50.17,51.09,49.63,50.38,6714705,CELG
2013-02-24,50.55,51.05,49.54,49.94,6593313,CELG
2013-02-25,50.92,51.0,49.45,49.5,6471922,CELG
2013-02-26,49.38,50.25,49.38,49.72,4743164,CELG
2013-02-27,49.54,50.82,49.31,50.52,4923366,CELG
2013-02-28,50.52,52.57,50.42,51.64,12035458,CELG
2013-03-01,51.62,52.91,51.26,52.81,7980034,CELG
2013-03-02,51.61,52.88,51.26,52.8,8563749,CELG
2013-03-03,51.6,52.86,51.26,52.79,9147463,CELG
2013-03-04,51.58,52.83,51.25,52.78,9731178,CELG
2013-03-05,52.62,54.26,52.59,54.18,8083526,CELG
2013-03-06,54.3,55.4,54.3,55.02,9501458,CELG
2013-03-07,55.18,55.18,54.49,55.09,5220148,CELG
2013-03-08,55.36,55.9,54.98,55.68,5473756,CELG
2013-03-09,55.49,55.95,55.1,55.77,5890838,CELG
2013-03-10,55.62,56.0,55.22,55.87,6307920,CELG
2013-03-11,55.74,56.04,55.34,55.96,6725002,CELG
2013-03-12,56.0,56.94,55.74,56.86,7280934,CELG
2013-03-13,56.75,57.0,56.31,56.54,6577090,CELG
2013-03-14,56.66,57.72,56.66,57.14,6025306,CELG
2013-03-15,57.12,57.14,56.14,56.2,9938680,CELG
2013-03-16,56.62,57.01,55.43,56.12,8777075,CELG
2013-03-17,56.12,56.88,54.72,56.03,7615471,CELG
2013-03-18,55.62,56.74,54.0,55.95,6453866,CELG
2013-03-19,56.19,56.28,55.14,55.52,5474116,CELG
2013-03-20,56.11,56.36,55.74,56.16,4759114,CELG
2013-03-21,55.95,56.44,55.64,56.02,3788540,CELG
2013-03-22,56.25,56.58,55.9,56.56,3297674,CELG
2013-03-23,56.32,56.68,55.78,56.34,3936153,CELG
2013-03-24,56.38,56.76,55.66,56.12,4574631,CELG
2013-03-25,56.44,56.86,55.54,55.9,5213110,CELG
2013-03-26,56.25,56.7,56.03,56.24,4728602,CELG
2013-03-27,55.76,56.73,55.62,56.62,4295486,CELG
2013-03-28,56.72,58.48,56.57,57.96,6724546,CELG
2013-03-29,57.11,58.6,56.96,58.1,6311386,CELG
2013-03-30,57.49,58.72,57.36,58.24,5898225,CELG
2013-03-31,57.87,58.85,57.75,58.38,5485064,CELG
2013-04-01,58.26,58.97,58.14,58.52,5071904,CELG
2013-04-02,59.16,59.39,58.67,58.9,5817036,CELG
2013-04-03,58.94,59.15,57.26,57.78,6895380,CELG
2013-04-04,58.06,58.48,57.38,57.98,3753870,CELG
2013-04-05,58.05,58.9,57.5,58.22,7115558,CELG
2013-04-06,58.14,58.73,57.55,58.26,6222898,CELG
2013-04-07,58.24,58.56,57.59,58.31,5330238,CELG
2013-04-08,58.34,58.39,57.63,58.36,4437578,CELG
2013-04-09,58.44,58.66,57.86,58.3,3269198,CELG
2013-04-10,58.32,60.42,58.3,60.4,5174740,CELG
2013-04-11,60.88,61.9,60.8,61.5,6649510,CELG
2013-04-12,61.49,62.05,61.16,61.5,5575288,CELG
2013-04-13,61.41,61.87,60.81,61.06,5954739,CELG
2013-04-14,61.33,61.69,60.46,60.62,6334191,CELG
2013-04-15,61.25,61.5,60.12,60.18,6713642,CELG
2013-04-16,61.0,61.5,60.2,61.25,4944914,CELG
2013-04-17,60.72,61.28,59.94,60.67,6024778,CELG
2013-04-18,60.52,60.67,59.04,59.54,4385536,CELG
2013-04-19,59.28,61.44,59.25,61.18,6727718,CELG
2013-04-20,60.21,62.22,60.09,61.93,6993394,CELG
2013-04-21,61.14,63.0,60.93,62.67,7259070,CELG
2013-04-22,62.08,63.78,61.78,63.42,7524746,CELG
2013-04-23,63.9,64.26,62.69,63.0,6476706,CELG
2013-04-24,62.24,62.34,58.4,59.14,13607122,CELG
2013-04-25,60.25,60.52,58.12,58.98,10312614,CELG
2013-04-26,59.04,60.5,58.98,60.17,6498516,CELG
2013-04-27,59.4,60.49,59.04,59.86,6680102,CELG
2013-04-28,59.77,60.48,59.1,59.55,6861688,CELG
2013-04-29,60.14,60.46,59.16,59.24,7043274,CELG
2013-04-30,59.73,59.73,58.42,59.04,7729276,CELG
2013-05-01,58.96,59.38,58.14,58.33,6135516,CELG
2013-05-02,58.12,59.78,57.02,59.63,6690076,CELG
2013-05-03,60.11,60.95,59.9,60.82,5766534,CELG
2013-05-04,60.25,61.15,60.11,60.75,5602115,CELG
2013-05-05,60.39,61.35,60.31,60.68,5437695,CELG
2013-05-06,60.53,61.56,60.52,60.61,5273276,CELG
2013-05-07,60.96,61.65,60.68,60.83,6656112,CELG
2013-05-08,60.88,62.05,60.76,61.37,5723462,CELG
2013-05-09,61.14,61.9,60.8,61.36,4812778,CELG
2013-05-10,61.72,63.74,61.62,63.73,6714172,CELG
2013-05-11,62.28,64.34,62.0,64.1,6758720,CELG
2013-05-12,62.85,64.96,62.39,64.46,6803268,CELG
2013-05-13,63.42,65.56,62.78,64.83,6847816,CELG
2013-05-14,64.83,65.91,64.67,65.08,7575106,CELG
2013-05-15,64.72,65.71,64.18,64.82,4864740,CELG
2013-05-16,64.14,64.41,61.3,61.74,9907234,CELG
2013-05-17,62.28,62.52,60.18,62.46,8244456,CELG
2013-05-18,62.29,62.54,60.54,62.16,6991715,CELG
2013-05-19,62.29,62.56,60.91,61.86,5738973,CELG
2013-05-20,62.3,62.58,61.28,61.56,4486232,CELG
2013-05-21,61.62,62.18,61.2,61.75,4803732,CELG
2013-05-22,62.06,64.18,61.28,61.72,8399654,CELG
