index,open,high,low,close,volume,Name
2013-02-08,43.4,44.16,43.29,44.05,2177450,CERN
2013-02-09,43.62,44.13,43.28,43.95,1821542,CERN
2013-02-10,43.83,44.09,43.27,43.85,1465634,CERN
2013-02-11,44.05,44.05,43.26,43.75,1109726,CERN
2013-02-12,43.79,44.03,43.46,43.78,1260718,CERN
2013-02-13,43.82,44.18,43.58,43.81,1495242,CERN
2013-02-14,43.55,44.14,43.54,43.95,1317310,CERN
2013-02-15,43.84,44.36,43.84,43.96,1691966,CERN
2013-02-16,43.89,44.38,43.87,44.03,1554105,CERN
2013-02-17,43.94,44.41,43.9,44.08,1416244,CERN
2013-02-18,43.98,44.43,43.93,44.14,1278383,CERN
2013-02-19,44.03,44.46,43.96,44.2,1140522,CERN
2013-02-20,44.18,44.34,43.52,43.56,1435696,CERN
2013-02-21,43.4,43.5,42.5,43.08,2200688,CERN
2013-02-22,43.32,43.8,43.12,43.78,1194056,CERN
2013-02-23,43.57,43.96,42.98,43.42,1262913,CERN
2013-02-24,43.8,44.12,42.84,43.05,1331771,CERN
2013-02-25,44.04,44.29,42.69,42.69,1400628,CERN
2013-02-26,42.8,43.74,42.8,43.59,1787974,CERN
2013-02-27,43.58,44.09,43.29,43.85,1349944,CERN
2013-02-28,43.87,44.25,43.72,43.73,1465160,CERN
2013-03-01,43.84,44.7,43.52,44.62,2139268,CERN
2013-03-02,44.07,44.73,43.72,44.68,1896427,CERN
2013-03-03,44.29,44.77,43.93,44.74,1653587,CERN
2013-03-04,44.52,44.8,44.14,44.8,1410746,CERN
2013-03-05,45.0,46.16,44.91,46.14,2632614,CERN
2013-03-06,46.32,46.48,45.36,45.46,1982388,CERN
2013-03-07,45.52,46.14,45.51,45.76,1472052,CERN
2013-03-08,46.0,46.31,45.7,46.14,1380614,CERN
2013-03-09,45.98,46.45,45.76,46.23,1359522,CERN
2013-03-10,45.96,46.59,45.83,46.31,1338430,CERN
2013-03-11,45.94,46.72,45.89,46.39,1317338,CERN
2013-03-12,46.34,46.56,46.07,46.54,1380446,CERN
2013-03-13,46.65,46.7,46.3,46.46,2167320,CERN
2013-03-14,46.45,46.62,46.31,46.5,1766666,CERN
2013-03-15,46.38,46.66,46.32,46.39,3258362,CERN
2013-03-16,46.26,46.45,46.04,46.11,2621225,CERN
2013-03-17,46.15,46.24,45.76,45.84,1984087,CERN
2013-03-18,46.04,46.04,45.48,45.56,1346950,CERN
2013-03-19,45.62,45.84,44.92,45.38,1304690,CERN
2013-03-20,45.74,45.8,45.42,45.7,932054,CERN
2013-03-21,45.38,45.52,44.97,45.28,1189672,CERN
2013-03-22,45.37,46.74,45.24,46.54,1679032,CERN
2013-03-23,45.74,46.79,45.49,46.45,1662683,CERN
2013-03-24,46.1,46.84,45.74,46.36,1646335,CERN
2013-03-25,46.46,46.9,46.0,46.26,1629986,CERN
2013-03-26,46.46,46.96,46.32,46.61,1398810,CERN
2013-03-27,46.35,46.44,45.98,46.34,880184,CERN
2013-03-28,46.39,47.46,46.2,47.37,1848134,CERN
2013-03-29,46.66,47.47,46.29,47.31,1789196,CERN
2013-03-30,46.94,47.47,46.38,47.24,1730258,CERN
2013-03-31,47.21,47.48,46.48,47.18,1671320,CERN
2013-04-01,47.48,47.48,46.57,47.12,1612382,CERN
2013-04-02,47.22,47.56,47.2,47.41,1284872,CERN
2013-04-03,47.34,47.38,46.35,46.42,1515978,CERN
2013-04-04,46.4,46.52,46.0,46.08,1226418,CERN
2013-04-05,45.68,46.28,45.62,46.06,1358578,CERN
2013-04-06,45.79,46.42,45.66,46.28,1330645,CERN
2013-04-07,45.91,46.57,45.68,46.5,1302711,CERN
2013-04-08,46.02,46.72,45.72,46.71,1274778,CERN
2013-04-09,46.68,46.88,45.94,46.56,817392,CERN
2013-04-10,46.82,47.64,46.59,47.64,1546378,CERN
2013-04-11,47.63,48.12,47.52,47.77,1636284,CERN
2013-04-12,47.97,47.97,47.22,47.34,1794698,CERN
2013-04-13,47.73,47.74,46.74,46.82,1790282,CERN
2013-04-14,47.49,47.52,46.25,46.3,1785866,CERN
2013-04-15,47.25,47.3,45.76,45.78,1781450,CERN
2013-04-16,46.03,47.27,45.94,47.02,1668810,CERN
2013-04-17,46.64,46.69,45.69,46.16,1426896,CERN
2013-04-18,46.36,46.49,45.39,45.6,1160568,CERN
2013-04-19,45.4,46.32,45.27,45.9,1540094,CERN
2013-04-20,45.55,46.26,45.32,45.86,1404359,CERN
2013-04-21,45.7,46.2,45.37,45.81,1268625,CERN
2013-04-22,45.84,46.14,45.42,45.77,1132890,CERN
2013-04-23,46.1,46.5,45.7,46.46,1586586,CERN
2013-04-24,46.57,46.78,46.03,46.07,1347096,CERN
2013-04-25,46.26,46.36,45.4,45.83,2990954,CERN
2013-04-26,47.5,48.76,47.18,47.94,3977666,CERN
2013-04-27,47.4,48.43,47.14,47.76,3230014,CERN
2013-04-28,47.29,48.1,47.1,47.58,2482362,CERN
2013-04-29,47.18,47.76,47.06,47.4,1734710,CERN
2013-04-30,47.1,48.44,47.1,48.38,2416270,CERN
2013-05-01,48.02,48.48,47.54,47.84,1530484,CERN
2013-05-02,47.84,48.63,47.75,48.42,1550448,CERN
2013-05-03,48.88,49.11,48.2,48.34,2004896,CERN
2013-05-04,48.64,48.86,47.99,48.16,1739975,CERN
2013-05-05,48.4,48.6,47.79,47.98,1475055,CERN
2013-05-06,48.16,48.35,47.59,47.8,1210134,CERN
2013-05-07,47.94,48.0,47.32,47.48,1517668,CERN
2013-05-08,47.23,47.54,46.97,47.1,1511710,CERN
2013-05-09,47.24,47.24,46.74,47.02,1294392,CERN
2013-05-10,47.26,47.54,46.88,47.54,1174994,CERN
2013-05-11,47.27,47.6,46.98,47.54,1170823,CERN
2013-05-12,47.28,47.67,47.08,47.53,1166653,CERN
2013-05-13,47.3,47.74,47.18,47.52,1162482,CERN
2013-05-14,47.54,47.94,47.43,47.84,1231832,CERN
2013-05-15,47.8,48.48,47.56,48.46,1122348,CERN
2013-05-16,48.17,48.44,47.86,48.19,1118904,CERN
2013-05-17,48.45,49.44,48.38,49.42,2103530,CERN
2013-05-18,48.71,49.42,48.36,49.11,1779211,CERN
2013-05-19,48.96,49.41,48.32,48.81,1454893,CERN
2013-05-20,49.22,49.4,48.3,48.51,1130574,CERN
2013-05-21,48.63,49.23,48.39,48.82,1010792,CERN
2013-05-22,48.86,49.27,47.78,48.12,1433476,CERN
2013-05-23,47.9,48.55,47.52,48.2,1188872,CERN
2013-05-24,47.74,48.32,47.13,48.04,967480,CERN
2013-05-25,47.96,48.42,47.22,47.96,1025756,CERN
2013-05-26,48.18,48.51,47.32,47.89,1084031,CERN
2013-05-27,48.39,48.61,47.41,47.8,1142306,CERN
2013-05-28,48.6,48.7,47.5,47.72,1200582,CERN
2013-05-29,47.69,48.88,47.5,48.58,2347164,CERN
2013-05-30,48.84,49.26,48.5,48.96,1291700,CERN
2013-05-31,48.62,49.44,48.56,49.08,2397378,CERN
2013-06-01,48.81,49.51,48.59,49.2,2237577,CERN
2013-06-02,49.0,49.58,48.63,49.31,2077777,CERN
2013-06-03,49.19,49.64,48.67,49.43,1917976,CERN
2013-06-04,49.66,49.8,49.18,49.52,2044802,CERN
2013-06-05,49.42,49.54,48.28,48.39,2117196,CERN
2013-06-06,48.49,49.66,48.35,49.63,2151462,CERN
2013-06-07,49.6,50.0,49.18,49.68,1727686,CERN
2013-06-08,49.6,49.91,49.19,49.52,1626598,CERN
2013-06-09,49.6,49.83,49.19,49.38,1525510,CERN
2013-06-10,49.6,49.74,49.2,49.22,1424422,CERN
2013-06-11,48.89,49.58,48.63,49.07,995212,CERN
2013-06-12,49.37,49.6,48.41,48.55,958480,CERN
2013-06-13,48.62,49.5,48.2,49.45,833870,CERN
2013-06-14,49.26,49.52,48.92,49.11,1293860,CERN
2013-06-15,49.31,49.56,48.93,49.11,1299204,CERN
2013-06-16,49.36,49.59,48.93,49.11,1304548,CERN
2013-06-17,49.41,49.63,48.93,49.11,1309892,CERN
2013-06-18,49.04,49.59,49.04,49.5,833260,CERN
2013-06-19,49.54,49.6,48.44,48.56,918684,CERN
2013-06-20,48.23,48.38,47.02,47.26,2033668,CERN
