index,open,high,low,close,volume,Name
2013-02-08,45.08,45.41,44.8,45.23,2335100,CF
2013-02-09,45.13,45.43,44.82,45.2,2116728,CF
2013-02-10,45.19,45.45,44.84,45.16,1898357,CF
2013-02-11,45.24,45.47,44.86,45.12,1679985,CF
2013-02-12,45.34,45.34,44.02,44.07,5382000,CF
2013-02-13,44.14,44.38,43.22,43.58,5663750,CF
2013-02-14,43.74,43.83,43.22,43.57,3482780,CF
2013-02-15,43.51,43.58,42.89,43.33,5777765,CF
2013-02-16,43.5,43.68,43.0,43.43,5654098,CF
2013-02-17,43.5,43.78,43.1,43.52,5530430,CF
2013-02-18,43.49,43.88,43.21,43.61,5406762,CF
2013-02-19,43.48,43.98,43.32,43.71,5283095,CF
2013-02-20,43.39,43.39,41.26,41.41,13309190,CF
2013-02-21,40.64,41.04,39.92,40.79,9965835,CF
2013-02-22,40.74,40.78,39.8,40.3,7476435,CF
2013-02-23,40.67,40.74,39.68,40.02,7453970,CF
2013-02-24,40.6,40.69,39.56,39.74,7431505,CF
2013-02-25,40.52,40.65,39.44,39.45,7409040,CF
2013-02-26,39.61,39.74,37.96,39.05,15497615,CF
2013-02-27,39.01,40.03,38.91,39.77,6257180,CF
2013-02-28,39.67,40.47,39.53,40.17,6466235,CF
2013-03-01,39.91,40.4,39.62,40.3,6805155,CF
2013-03-02,40.01,40.34,39.65,40.23,7230358,CF
2013-03-03,40.1,40.29,39.68,40.16,7655562,CF
2013-03-04,40.2,40.24,39.71,40.08,8080765,CF
2013-03-05,40.28,40.67,40.07,40.31,4757605,CF
2013-03-06,40.57,40.88,40.25,40.4,5718580,CF
2013-03-07,40.42,40.72,40.11,40.55,5078095,CF
2013-03-08,40.8,41.52,40.37,41.43,6631265,CF
2013-03-09,41.0,41.59,40.61,41.5,6289598,CF
2013-03-10,41.19,41.65,40.84,41.56,5947932,CF
2013-03-11,41.39,41.72,41.07,41.63,5606265,CF
2013-03-12,41.54,41.6,41.1,41.34,4883065,CF
2013-03-13,41.37,41.59,40.63,40.78,5518435,CF
2013-03-14,40.94,40.97,40.36,40.7,5441680,CF
2013-03-15,40.42,41.08,40.34,40.78,8233280,CF
2013-03-16,40.35,40.92,40.16,40.66,8063862,CF
2013-03-17,40.27,40.76,39.98,40.54,7894443,CF
2013-03-18,40.2,40.6,39.8,40.41,7725025,CF
2013-03-19,40.44,40.53,39.05,39.28,6925010,CF
2013-03-20,39.58,39.6,39.09,39.3,4875685,CF
2013-03-21,39.1,39.19,38.75,38.77,4104385,CF
2013-03-22,38.83,38.97,38.46,38.65,3787395,CF
2013-03-23,38.82,38.94,38.32,38.53,4406350,CF
2013-03-24,38.81,38.9,38.17,38.42,5025305,CF
2013-03-25,38.8,38.87,38.02,38.3,5644260,CF
2013-03-26,38.5,38.7,38.06,38.67,4869855,CF
2013-03-27,38.25,38.66,38.02,38.35,5201905,CF
2013-03-28,38.36,38.79,37.95,38.07,5178350,CF
2013-03-29,38.26,38.61,37.89,38.06,5211759,CF
2013-03-30,38.16,38.42,37.83,38.04,5245168,CF
2013-03-31,38.06,38.24,37.77,38.02,5278576,CF
2013-04-01,37.96,38.06,37.71,38.0,5311985,CF
2013-04-02,38.14,38.27,36.99,37.22,8886020,CF
2013-04-03,37.41,37.59,36.86,37.48,8097795,CF
2013-04-04,37.4,38.1,37.39,38.01,5127670,CF
2013-04-05,37.38,38.06,37.37,37.99,4174805,CF
2013-04-06,37.58,38.06,37.45,37.98,3469723,CF
2013-04-07,37.77,38.06,37.52,37.96,2764642,CF
2013-04-08,37.97,38.06,37.6,37.94,2059560,CF
2013-04-09,38.1,38.7,38.03,38.2,4077540,CF
2013-04-10,38.3,38.43,37.74,38.23,4794450,CF
2013-04-11,38.23,38.23,37.61,37.7,4362725,CF
2013-04-12,37.56,37.56,36.18,36.45,11529935,CF
2013-04-13,37.07,37.12,35.82,36.0,9800335,CF
2013-04-14,36.59,36.68,35.45,35.55,8070735,CF
2013-04-15,36.11,36.23,35.08,35.1,6341135,CF
2013-04-16,35.36,35.65,35.01,35.4,6025940,CF
2013-04-17,35.12,35.12,34.11,34.57,6848350,CF
2013-04-18,34.72,35.95,34.72,35.61,7600150,CF
2013-04-19,35.74,36.07,35.4,35.83,4802125,CF
2013-04-20,35.75,36.03,35.34,35.76,4496520,CF
2013-04-21,35.76,36.0,35.27,35.7,4190915,CF
2013-04-22,35.77,35.96,35.21,35.63,3885310,CF
2013-04-23,35.81,35.99,35.12,35.88,7081910,CF
2013-04-24,36.0,37.5,35.98,37.42,5579035,CF
2013-04-25,37.61,38.73,37.6,38.24,6469360,CF
2013-04-26,38.05,38.08,37.04,37.15,3629200,CF
2013-04-27,37.88,37.98,37.08,37.35,3863418,CF
2013-04-28,37.72,37.87,37.11,37.56,4097637,CF
2013-04-29,37.55,37.76,37.14,37.76,4331855,CF
2013-04-30,37.77,37.78,37.11,37.3,5159945,CF
2013-05-01,37.15,37.15,36.54,36.69,4084540,CF
2013-05-02,36.85,37.0,36.28,36.79,3529800,CF
2013-05-03,37.14,37.28,36.68,36.8,5068195,CF
2013-05-04,37.06,37.29,36.69,36.94,4384638,CF
2013-05-05,36.98,37.3,36.71,37.08,3701082,CF
2013-05-06,36.91,37.3,36.73,37.22,3017525,CF
2013-05-07,37.25,37.8,37.12,37.44,6188970,CF
2013-05-08,37.22,38.26,37.0,38.14,6318105,CF
2013-05-09,38.22,39.48,38.2,39.0,6552920,CF
2013-05-10,39.29,39.34,38.03,38.99,5106445,CF
2013-05-11,39.1,39.19,38.06,38.77,4762917,CF
2013-05-12,38.92,39.03,38.1,38.55,4419388,CF
2013-05-13,38.73,38.87,38.13,38.33,4075860,CF
2013-05-14,38.32,38.6,38.06,38.56,3271655,CF
2013-05-15,38.28,38.57,37.76,38.02,5987150,CF
2013-05-16,38.08,38.68,37.72,38.15,3488490,CF
2013-05-17,38.24,38.39,37.82,38.1,4896190,CF
2013-05-18,38.14,38.37,37.77,38.17,4289532,CF
2013-05-19,38.03,38.36,37.73,38.23,3682873,CF
2013-05-20,37.93,38.35,37.68,38.3,3076215,CF
2013-05-21,38.22,38.82,37.69,37.71,4553350,CF
2013-05-22,37.71,38.54,37.47,37.78,5118965,CF
2013-05-23,37.28,38.02,37.06,37.78,3849180,CF
2013-05-24,37.53,37.53,36.97,37.35,2824975,CF
2013-05-25,37.62,37.68,37.13,37.45,2844956,CF
2013-05-26,37.71,37.83,37.29,37.56,2864938,CF
2013-05-27,37.8,37.98,37.45,37.67,2884919,CF
2013-05-28,37.89,38.12,37.61,37.78,2904900,CF
