index,open,high,low,close,volume,Name
2013-02-08,29.54,30.21,29.51,30.06,2352884,CHD
2013-02-09,29.69,30.16,29.61,29.98,1919624,CHD
2013-02-10,29.85,30.11,29.71,29.9,1486364,CHD
2013-02-11,30.0,30.06,29.8,29.82,1053104,CHD
2013-02-12,29.82,30.02,29.72,29.99,1776896,CHD
2013-02-13,29.95,30.08,29.68,29.81,1546648,CHD
2013-02-14,29.79,29.92,29.64,29.64,1027096,CHD
2013-02-15,29.7,30.16,29.64,29.94,1748706,CHD
2013-02-16,29.77,30.18,29.69,30.01,1795609,CHD
2013-02-17,29.85,30.2,29.73,30.08,1842512,CHD
2013-02-18,29.92,30.22,29.78,30.15,1889415,CHD
2013-02-19,30.0,30.24,29.82,30.22,1936318,CHD
2013-02-20,30.2,30.29,30.04,30.04,735756,CHD
2013-02-21,30.05,30.24,29.86,30.12,1311072,CHD
2013-02-22,30.29,30.94,30.22,30.72,1990154,CHD
2013-02-23,30.44,30.96,30.33,30.67,1897831,CHD
2013-02-24,30.6,30.98,30.44,30.61,1805507,CHD
2013-02-25,30.75,31.0,30.56,30.56,1713184,CHD
2013-02-26,30.7,30.93,30.63,30.76,1775970,CHD
2013-02-27,30.72,31.14,30.66,30.96,1049510,CHD
2013-02-28,30.98,31.18,30.92,30.98,1434652,CHD
2013-03-01,30.88,30.95,30.42,30.69,2567754,CHD
2013-03-02,30.78,30.9,30.47,30.71,2152118,CHD
2013-03-03,30.67,30.84,30.51,30.73,1736482,CHD
2013-03-04,30.56,30.78,30.56,30.74,1320846,CHD
2013-03-05,30.81,30.98,30.73,30.78,960332,CHD
2013-03-06,30.81,30.92,30.52,30.54,811350,CHD
2013-03-07,30.55,30.72,30.47,30.48,1105804,CHD
2013-03-08,30.64,30.73,30.43,30.48,1301672,CHD
2013-03-09,30.6,30.72,30.43,30.49,1151008,CHD
2013-03-10,30.56,30.7,30.44,30.5,1000344,CHD
2013-03-11,30.52,30.69,30.44,30.52,849680,CHD
2013-03-12,30.48,30.56,30.4,30.55,777970,CHD
2013-03-13,30.56,30.68,30.42,30.62,808244,CHD
2013-03-14,30.64,30.68,30.4,30.6,1065074,CHD
2013-03-15,30.51,30.61,30.4,30.58,1887450,CHD
2013-03-16,30.48,30.66,30.4,30.58,1597048,CHD
2013-03-17,30.44,30.72,30.41,30.58,1306646,CHD
2013-03-18,30.41,30.78,30.41,30.58,1016244,CHD
2013-03-19,30.62,30.91,30.58,30.82,806368,CHD
2013-03-20,30.89,31.52,30.88,31.33,1190346,CHD
2013-03-21,31.18,31.36,31.04,31.17,659636,CHD
2013-03-22,31.18,31.95,31.17,31.81,1399800,CHD
2013-03-23,31.4,31.94,31.25,31.7,1291277,CHD
2013-03-24,31.63,31.93,31.32,31.59,1182753,CHD
2013-03-25,31.85,31.92,31.4,31.48,1074230,CHD
2013-03-26,31.6,31.93,31.56,31.89,946618,CHD
2013-03-27,31.8,31.8,31.55,31.76,828556,CHD
2013-03-28,31.76,32.34,31.66,32.32,1488866,CHD
2013-03-29,31.87,32.32,31.74,32.3,1374470,CHD
2013-03-30,31.98,32.29,31.82,32.28,1260074,CHD
2013-03-31,32.09,32.27,31.89,32.26,1145678,CHD
2013-04-01,32.2,32.24,31.97,32.24,1031282,CHD
2013-04-02,32.25,32.55,32.2,32.27,1178950,CHD
2013-04-03,32.34,32.37,31.8,31.98,1916054,CHD
2013-04-04,32.0,32.2,31.85,31.86,775798,CHD
2013-04-05,31.66,31.74,31.36,31.63,1155912,CHD
2013-04-06,31.65,31.73,31.43,31.63,1273923,CHD
2013-04-07,31.65,31.72,31.49,31.63,1391933,CHD
2013-04-08,31.64,31.72,31.55,31.62,1509944,CHD
2013-04-09,31.72,31.76,31.42,31.56,1153386,CHD
2013-04-10,31.58,31.69,31.52,31.68,1393322,CHD
2013-04-11,31.67,32.3,31.59,31.96,1551118,CHD
2013-04-12,31.97,32.12,31.84,31.95,1128994,CHD
2013-04-13,31.94,32.11,31.72,31.79,1259845,CHD
2013-04-14,31.91,32.1,31.58,31.62,1390697,CHD
2013-04-15,31.88,32.08,31.46,31.46,1521548,CHD
2013-04-16,31.6,32.06,31.5,31.88,1711616,CHD
2013-04-17,31.74,31.76,31.25,31.34,1286270,CHD
2013-04-18,31.33,31.5,30.92,31.0,1793058,CHD
2013-04-19,31.0,31.56,30.84,31.28,2104278,CHD
