index,open,high,low,close,volume,Name
2013-02-08,59.36,59.98,59.13,59.72,2604133,CHRW
2013-02-09,59.47,59.95,59.15,59.59,2382524,CHRW
2013-02-10,59.59,59.93,59.17,59.47,2160916,CHRW
2013-02-11,59.7,59.9,59.19,59.34,1939307,CHRW
2013-02-12,59.54,59.56,58.94,59.13,1537972,CHRW
2013-02-13,59.27,59.35,58.45,58.81,2011364,CHRW
2013-02-14,58.64,58.78,57.92,58.08,1947192,CHRW
2013-02-15,57.8,58.31,57.59,57.78,2303976,CHRW
2013-02-16,57.84,58.36,57.55,57.93,2211010,CHRW
2013-02-17,57.88,58.41,57.51,58.08,2118045,CHRW
2013-02-18,57.91,58.46,57.47,58.22,2025080,CHRW
2013-02-19,57.95,58.51,57.43,58.37,1932114,CHRW
2013-02-20,58.4,58.9,58.2,58.47,1875132,CHRW
2013-02-21,58.25,58.31,57.46,57.52,1777798,CHRW
2013-02-22,57.83,58.21,57.71,57.97,986785,CHRW
2013-02-23,57.95,58.26,57.38,57.57,1092011,CHRW
2013-02-24,58.07,58.3,57.06,57.17,1197236,CHRW
2013-02-25,58.19,58.35,56.73,56.77,1302462,CHRW
2013-02-26,56.92,57.24,55.8,55.98,2095106,CHRW
2013-02-27,55.98,57.57,55.98,57.19,2017755,CHRW
2013-02-28,57.19,57.56,56.9,57.02,1993365,CHRW
2013-03-01,56.74,57.4,56.61,57.06,1566163,CHRW
2013-03-02,56.85,57.35,56.5,57.06,1657231,CHRW
2013-03-03,56.95,57.31,56.38,57.06,1748299,CHRW
2013-03-04,57.06,57.26,56.27,57.06,1839367,CHRW
2013-03-05,57.17,57.83,57.07,57.54,3039007,CHRW
2013-03-06,57.6,57.77,57.15,57.23,1390015,CHRW
2013-03-07,57.37,57.82,56.79,56.93,1503281,CHRW
2013-03-08,57.16,57.54,56.96,57.0,1882107,CHRW
2013-03-09,57.1,57.53,56.96,57.0,1772123,CHRW
2013-03-10,57.05,57.53,56.95,57.0,1662138,CHRW
2013-03-11,56.99,57.52,56.95,57.0,1552154,CHRW
2013-03-12,57.05,57.81,57.05,57.35,1942670,CHRW
2013-03-13,57.32,59.16,57.13,59.07,2100121,CHRW
2013-03-14,59.07,59.34,58.42,59.2,1222075,CHRW
2013-03-15,58.95,59.4,58.43,59.34,2334465,CHRW
2013-03-16,58.9,59.53,58.49,59.29,1980728,CHRW
2013-03-17,58.86,59.65,58.55,59.24,1626991,CHRW
2013-03-18,58.81,59.78,58.61,59.19,1273254,CHRW
2013-03-19,59.2,59.56,58.65,59.04,1352052,CHRW
2013-03-20,59.02,59.29,58.61,58.69,1396093,CHRW
2013-03-21,58.47,58.74,57.41,57.44,1277837,CHRW
2013-03-22,57.65,58.24,57.49,58.1,1487761,CHRW
2013-03-23,57.85,58.41,57.54,58.26,1558565,CHRW
2013-03-24,58.05,58.57,57.6,58.41,1629369,CHRW
2013-03-25,58.25,58.74,57.65,58.57,1700173,CHRW
2013-03-26,58.51,59.15,58.46,59.01,1171284,CHRW
2013-03-27,58.62,59.17,58.51,59.15,1241059,CHRW
2013-03-28,59.04,59.48,58.9,59.46,1488394,CHRW
2013-03-29,59.16,59.53,58.79,59.24,1429902,CHRW
2013-03-30,59.27,59.58,58.68,59.03,1371410,CHRW
2013-03-31,59.38,59.64,58.58,58.82,1312919,CHRW
2013-04-01,59.5,59.69,58.47,58.6,1254427,CHRW
2013-04-02,59.0,59.0,58.45,58.64,1383547,CHRW
2013-04-03,58.59,58.91,58.07,58.14,1446213,CHRW
2013-04-04,58.42,58.57,58.08,58.5,1244819,CHRW
2013-04-05,57.94,59.05,57.57,58.98,1206757,CHRW
2013-04-06,58.33,59.31,57.91,59.26,1181512,CHRW
2013-04-07,58.71,59.56,58.26,59.53,1156267,CHRW
2013-04-08,59.1,59.82,58.6,59.81,1131022,CHRW
2013-04-09,59.87,60.45,59.41,60.26,1368446,CHRW
2013-04-10,60.43,61.1,60.22,60.69,1500322,CHRW
2013-04-11,60.82,61.11,60.33,60.59,848834,CHRW
2013-04-12,59.35,59.96,57.74,59.0,2464622,CHRW
2013-04-13,59.22,59.62,57.58,58.5,2098883,CHRW
2013-04-14,59.08,59.29,57.42,58.01,1733143,CHRW
2013-04-15,58.95,58.95,57.26,57.51,1367404,CHRW
2013-04-16,56.79,57.21,56.13,57.17,1607213,CHRW
2013-04-17,56.63,56.84,56.02,56.58,1235367,CHRW
2013-04-18,56.82,56.83,55.94,56.25,1129939,CHRW
2013-04-19,56.69,56.77,55.68,56.33,1306811,CHRW
2013-04-20,56.64,56.9,55.79,56.56,1149155,CHRW
2013-04-21,56.6,57.03,55.91,56.78,991499,CHRW
2013-04-22,56.55,57.16,56.02,57.01,833843,CHRW
2013-04-23,57.15,57.71,57.14,57.41,1199525,CHRW
2013-04-24,57.68,58.02,57.48,57.65,1296413,CHRW
2013-04-25,57.94,58.56,57.84,58.2,925836,CHRW
2013-04-26,58.08,58.76,58.01,58.44,1093692,CHRW
2013-04-27,58.22,58.84,58.14,58.57,947958,CHRW
2013-04-28,58.35,58.93,58.27,58.71,802223,CHRW
2013-04-29,58.49,59.02,58.4,58.84,656489,CHRW
2013-04-30,58.92,59.4,58.42,59.39,1406825,CHRW
2013-05-01,59.46,59.95,58.81,58.9,1284863,CHRW
2013-05-02,59.12,59.62,58.96,59.37,944554,CHRW
2013-05-03,59.87,60.73,59.84,60.47,1430612,CHRW
2013-05-04,60.05,60.72,60.0,60.44,1498321,CHRW
2013-05-05,60.23,60.72,60.16,60.4,1566031,CHRW
2013-05-06,60.41,60.71,60.32,60.37,1633740,CHRW
2013-05-07,60.38,61.91,60.25,61.56,2058031,CHRW
2013-05-08,56.65,57.9,56.11,57.26,4612538,CHRW
2013-05-09,57.19,57.44,55.73,56.0,6167228,CHRW
2013-05-10,56.23,57.37,56.06,57.0,2383108,CHRW
2013-05-11,56.31,57.11,55.97,56.69,2164719,CHRW
2013-05-12,56.39,56.84,55.89,56.38,1946331,CHRW
2013-05-13,56.47,56.58,55.8,56.07,1727942,CHRW
2013-05-14,56.15,56.87,56.05,56.87,1030623,CHRW
2013-05-15,56.94,57.86,56.8,57.66,1089579,CHRW
2013-05-16,57.79,58.4,57.51,57.87,1205205,CHRW
2013-05-17,58.29,58.33,57.84,58.32,965811,CHRW
2013-05-18,58.22,58.38,57.92,58.28,923027,CHRW
2013-05-19,58.16,58.42,58.0,58.24,880244,CHRW
2013-05-20,58.09,58.47,58.08,58.2,837460,CHRW
2013-05-21,58.33,59.97,58.27,59.87,1829386,CHRW
2013-05-22,59.87,60.1,58.87,59.11,1802935,CHRW
2013-05-23,58.92,59.5,58.82,59.49,1014968,CHRW
2013-05-24,59.06,59.14,58.12,58.7,966260,CHRW
2013-05-25,59.17,59.25,58.02,58.49,1079248,CHRW
2013-05-26,59.28,59.36,57.91,58.28,1192236,CHRW
2013-05-27,59.39,59.47,57.8,58.08,1305224,CHRW
2013-05-28,59.5,59.58,57.7,57.87,1418212,CHRW
2013-05-29,57.67,58.06,57.44,57.67,1423651,CHRW
2013-05-30,57.81,57.99,57.36,57.47,998762,CHRW
2013-05-31,57.06,57.26,56.45,56.7,2271422,CHRW
2013-06-01,56.95,57.19,56.43,56.81,1869135,CHRW
2013-06-02,56.84,57.11,56.4,56.93,1466848,CHRW
2013-06-03,56.73,57.04,56.38,57.04,1064561,CHRW
2013-06-04,56.97,57.41,56.25,56.5,1250817,CHRW
2013-06-05,56.14,56.57,55.95,56.26,1374412,CHRW
2013-06-06,56.41,56.69,55.88,56.31,955618,CHRW
2013-06-07,56.81,57.55,56.4,57.16,1252361,CHRW
2013-06-08,56.58,57.3,56.24,57.04,1360599,CHRW
2013-06-09,56.35,57.06,56.07,56.93,1468838,CHRW
2013-06-10,56.12,56.81,55.91,56.81,1577076,CHRW
2013-06-11,56.32,56.8,56.24,56.5,586007,CHRW
2013-06-12,56.76,57.11,55.97,56.02,857658,CHRW
2013-06-13,55.84,56.95,55.84,56.72,1380291,CHRW
2013-06-14,56.75,57.2,56.38,56.5,1222136,CHRW
2013-06-15,56.82,57.21,56.4,56.63,1160350,CHRW
2013-06-16,56.89,57.23,56.42,56.77,1098563,CHRW
2013-06-17,56.96,57.24,56.44,56.9,1036777,CHRW
2013-06-18,57.18,57.42,56.71,57.33,1313120,CHRW
2013-06-19,57.4,57.58,56.52,56.53,1165483,CHRW
2013-06-20,56.12,56.37,55.31,55.42,1999293,CHRW
2013-06-21,54.78,55.73,54.48,54.79,5348442,CHRW
2013-06-22,54.71,55.43,54.23,54.64,4305311,CHRW
2013-06-23,54.63,55.12,53.99,54.48,3262179,CHRW
2013-06-24,54.56,54.82,53.74,54.33,2219048,CHRW
2013-06-25,55.08,55.16,54.37,54.7,1925835,CHRW
2013-06-26,55.32,55.46,54.72,55.12,1200481,CHRW
2013-06-27,55.43,56.12,55.32,55.73,1164576,CHRW
2013-06-28,55.55,56.57,55.5,56.31,2058388,CHRW
2013-06-29,55.99,56.71,55.74,56.38,1645014,CHRW
2013-06-30,56.42,56.86,55.99,56.45,1231641,CHRW
2013-07-01,56.86,57.0,56.23,56.52,818267,CHRW
2013-07-02,56.39,56.89,56.11,56.46,919838,CHRW
2013-07-03,56.19,56.47,55.89,56.37,459013,CHRW
2013-07-04,56.47,56.94,56.06,56.88,545880,CHRW
2013-07-05,56.75,57.41,56.24,57.4,632747,CHRW
2013-07-06,57.01,57.64,56.61,57.6,711843,CHRW
2013-07-07,57.27,57.87,56.98,57.81,790940,CHRW
2013-07-08,57.53,58.1,57.35,58.01,870036,CHRW
2013-07-09,58.17,59.07,58.17,58.39,779005,CHRW
2013-07-10,58.22,58.72,57.83,58.14,833567,CHRW
2013-07-11,59.03,59.19,58.66,58.88,963352,CHRW
