index,open,high,low,close,volume,Name
2013-02-08,61.7,62.22,61.01,61.93,1638472,CI
2013-02-09,61.77,62.13,61.07,61.9,1587821,CI
2013-02-10,61.84,62.03,61.12,61.86,1537169,CI
2013-02-11,61.91,61.94,61.18,61.83,1486518,CI
2013-02-12,61.87,62.15,61.68,61.98,1910005,CI
2013-02-13,62.12,62.14,61.47,61.89,1729655,CI
2013-02-14,61.75,61.9,61.31,61.45,1914995,CI
2013-02-15,61.45,61.98,60.97,61.08,1585153,CI
2013-02-16,60.33,61.65,59.72,60.92,2292927,CI
2013-02-17,59.22,61.32,58.47,60.76,3000701,CI
2013-02-18,58.1,61.0,57.22,60.59,3708475,CI
2013-02-19,56.98,60.67,55.97,60.43,4416249,CI
2013-02-20,60.57,60.58,59.22,59.27,1877240,CI
2013-02-21,59.18,59.79,58.69,59.17,1926359,CI
2013-02-22,59.28,59.63,58.62,58.71,1283254,CI
2013-02-23,59.12,59.49,58.29,58.35,1548861,CI
2013-02-24,58.97,59.35,57.96,58.0,1814468,CI
2013-02-25,58.81,59.21,57.63,57.64,2080075,CI
2013-02-26,57.81,58.07,57.11,57.88,2299768,CI
2013-02-27,57.74,59.07,57.74,58.98,1329903,CI
2013-02-28,58.92,59.03,58.18,58.46,1616774,CI
2013-03-01,58.26,58.6,57.53,58.26,1881215,CI
2013-03-02,58.16,58.57,57.62,58.23,1802623,CI
2013-03-03,58.05,58.55,57.71,58.2,1724030,CI
2013-03-04,57.95,58.52,57.8,58.17,1645438,CI
2013-03-05,58.3,59.44,58.02,59.39,3002786,CI
2013-03-06,59.38,59.5,59.0,59.5,2259067,CI
2013-03-07,59.5,59.75,58.89,58.94,1809352,CI
2013-03-08,59.23,59.74,58.93,59.66,1268385,CI
2013-03-09,59.44,60.05,59.17,59.96,1442945,CI
2013-03-10,59.65,60.36,59.41,60.27,1617504,CI
2013-03-11,59.86,60.67,59.65,60.57,1792064,CI
2013-03-12,60.34,61.66,60.31,61.55,2606416,CI
2013-03-13,61.41,62.11,61.33,62.05,1792789,CI
2013-03-14,62.12,62.3,61.59,62.26,1533486,CI
