index,open,high,low,close,volume,Name
2013-02-08,80.78,81.34,80.3,80.73,635375,CLX
2013-02-09,80.69,81.14,80.25,80.65,663578,CLX
2013-02-10,80.61,80.94,80.21,80.58,691781,CLX
2013-02-11,80.52,80.74,80.16,80.5,719984,CLX
2013-02-12,80.63,80.74,80.08,80.59,743291,CLX
2013-02-13,80.75,81.31,80.62,81.04,864242,CLX
2013-02-14,81.02,81.5,80.95,81.39,793982,CLX
2013-02-15,81.59,82.22,81.46,81.75,1016490,CLX
2013-02-16,81.63,82.32,81.52,81.95,989906,CLX
2013-02-17,81.67,82.42,81.58,82.15,963321,CLX
2013-02-18,81.71,82.52,81.64,82.34,936736,CLX
2013-02-19,81.75,82.62,81.7,82.54,910152,CLX
2013-02-20,82.4,82.85,82.17,82.44,615543,CLX
2013-02-21,82.19,82.63,81.91,82.37,600818,CLX
2013-02-22,82.37,83.15,82.27,83.13,649991,CLX
2013-02-23,82.66,83.33,82.29,82.86,680011,CLX
2013-02-24,82.96,83.5,82.3,82.59,710032,CLX
2013-02-25,83.25,83.68,82.32,82.32,740052,CLX
2013-02-26,82.8,83.79,82.49,83.62,1555396,CLX
2013-02-27,83.43,84.55,83.0,84.37,951894,CLX
2013-02-28,84.47,84.95,83.97,84.01,1406943,CLX
2013-03-01,83.8,84.17,83.21,83.98,953908,CLX
2013-03-02,83.8,84.17,83.23,84.04,910915,CLX
2013-03-03,83.8,84.17,83.24,84.11,867923,CLX
2013-03-04,83.8,84.17,83.26,84.17,824930,CLX
2013-03-05,84.45,84.9,84.24,84.77,694156,CLX
2013-03-06,84.66,85.33,84.6,84.78,742340,CLX
2013-03-07,84.5,84.91,84.08,84.16,1076195,CLX
2013-03-08,84.41,84.5,83.71,84.21,773073,CLX
2013-03-09,84.36,84.59,83.87,84.31,711085,CLX
2013-03-10,84.31,84.69,84.04,84.4,649097,CLX
2013-03-11,84.26,84.78,84.2,84.5,587109,CLX
2013-03-12,84.55,84.75,84.21,84.35,624219,CLX
2013-03-13,84.42,84.6,83.93,83.94,834879,CLX
2013-03-14,83.98,84.65,83.86,83.95,656324,CLX
2013-03-15,83.59,83.9,83.36,83.72,1071217,CLX
2013-03-16,83.63,83.96,83.36,83.79,973148,CLX
2013-03-17,83.66,84.01,83.36,83.85,875078,CLX
2013-03-18,83.7,84.07,83.36,83.92,777009,CLX
2013-03-19,83.91,84.6,83.87,84.48,570266,CLX
2013-03-20,84.69,85.54,84.66,85.46,717380,CLX
2013-03-21,85.37,85.71,85.06,85.36,534114,CLX
2013-03-22,85.63,86.49,85.49,86.46,612419,CLX
2013-03-23,85.99,86.62,85.64,86.43,597015,CLX
2013-03-24,86.34,86.76,85.79,86.41,581612,CLX
2013-03-25,86.7,86.89,85.94,86.38,566208,CLX
2013-03-26,86.5,87.59,86.46,87.54,556628,CLX
2013-03-27,87.19,87.37,86.84,87.32,483799,CLX
2013-03-28,87.38,88.63,87.15,88.53,706358,CLX
2013-03-29,87.67,88.61,87.36,88.43,668254,CLX
2013-03-30,87.96,88.59,87.58,88.33,630150,CLX
2013-03-31,88.24,88.57,87.79,88.23,592047,CLX
2013-04-01,88.53,88.55,88.0,88.13,553943,CLX
2013-04-02,88.55,89.33,88.28,89.17,837525,CLX
2013-04-03,89.29,89.29,86.83,87.0,1233895,CLX
2013-04-04,87.1,87.61,86.45,87.08,1042914,CLX
2013-04-05,86.81,86.99,86.22,86.61,1040146,CLX
2013-04-06,86.78,87.12,86.21,86.86,903488,CLX
2013-04-07,86.76,87.24,86.21,87.11,766829,CLX
2013-04-08,86.73,87.37,86.2,87.36,630171,CLX
2013-04-09,87.3,87.44,86.11,86.9,687661,CLX
2013-04-10,86.94,87.89,86.83,87.73,547116,CLX
2013-04-11,87.69,88.93,87.51,88.69,933490,CLX
2013-04-12,88.45,89.14,88.1,88.76,682250,CLX
2013-04-13,88.44,89.03,87.94,88.38,727031,CLX
2013-04-14,88.42,88.92,87.77,87.99,771812,CLX
2013-04-15,88.41,88.81,87.61,87.61,816593,CLX
2013-04-16,88.16,89.66,87.82,89.53,753871,CLX
2013-04-17,89.32,89.32,87.84,88.51,626569,CLX
2013-04-18,88.86,89.11,88.54,88.84,679865,CLX
2013-04-19,88.78,90.1,88.77,89.53,1706226,CLX
2013-04-20,88.87,89.92,88.67,89.44,1363294,CLX
2013-04-21,88.97,89.73,88.58,89.34,1020362,CLX
2013-04-22,89.06,89.55,88.48,89.25,677430,CLX
2013-04-23,89.49,89.98,88.54,89.48,668561,CLX
2013-04-24,89.03,89.24,87.28,87.42,1206171,CLX
2013-04-25,87.68,87.99,86.81,87.06,1184888,CLX
2013-04-26,87.18,87.5,86.38,86.67,951565,CLX
2013-04-27,87.2,87.53,86.32,86.53,995567,CLX
2013-04-28,87.22,87.56,86.25,86.4,1039568,CLX
2013-04-29,87.24,87.59,86.19,86.26,1083570,CLX
2013-04-30,86.25,86.77,85.37,86.25,1556806,CLX
2013-05-01,83.25,87.51,83.25,85.0,1900721,CLX
2013-05-02,85.03,85.91,84.75,85.84,1023552,CLX
2013-05-03,86.37,86.79,85.34,86.19,1121963,CLX
2013-05-04,86.31,86.68,85.28,85.9,1010768,CLX
2013-05-05,86.25,86.58,85.21,85.62,899574,CLX
2013-05-06,86.19,86.47,85.15,85.33,788379,CLX
2013-05-07,85.5,86.35,85.38,85.96,950263,CLX
2013-05-08,86.0,86.06,85.41,85.96,770535,CLX
2013-05-09,85.94,86.04,85.42,85.73,937929,CLX
2013-05-10,86.21,86.4,85.61,86.15,741911,CLX
2013-05-11,86.16,86.52,85.62,86.17,732176,CLX
2013-05-12,86.1,86.65,85.63,86.2,722440,CLX
2013-05-13,86.05,86.77,85.64,86.22,712705,CLX
2013-05-14,86.48,88.23,86.48,88.11,999184,CLX
2013-05-15,87.59,88.25,87.12,88.05,1197031,CLX
2013-05-16,87.82,87.97,87.2,87.57,633336,CLX
2013-05-17,87.55,87.85,86.6,87.37,952433,CLX
2013-05-18,87.49,87.7,86.56,87.11,838037,CLX
2013-05-19,87.43,87.55,86.53,86.84,723642,CLX
2013-05-20,87.37,87.4,86.5,86.58,609246,CLX
2013-05-21,86.68,86.8,85.5,86.2,908279,CLX
2013-05-22,86.1,87.21,85.88,86.1,730136,CLX
2013-05-23,85.66,86.34,85.36,85.98,562953,CLX
2013-05-24,85.96,86.77,85.77,86.61,600082,CLX
2013-05-25,86.29,87.0,86.02,86.73,592140,CLX
2013-05-26,86.62,87.22,86.26,86.85,584197,CLX
2013-05-27,86.95,87.45,86.5,86.98,576254,CLX
2013-05-28,87.28,87.68,86.75,87.1,568312,CLX
2013-05-29,86.7,86.87,84.58,84.84,960310,CLX
2013-05-30,84.85,85.65,84.75,84.79,673402,CLX
2013-05-31,84.56,84.68,83.08,83.08,1361160,CLX
2013-06-01,84.09,84.32,82.75,83.11,1361208,CLX
2013-06-02,83.62,83.97,82.43,83.15,1361257,CLX
2013-06-03,83.15,83.61,82.1,83.18,1361305,CLX
2013-06-04,83.18,84.51,83.1,84.22,1256543,CLX
2013-06-05,84.01,84.12,83.07,83.1,914559,CLX
2013-06-06,83.1,83.91,82.6,83.89,734869,CLX
2013-06-07,84.35,84.85,83.86,84.47,505669,CLX
2013-06-08,84.43,84.81,83.9,84.5,524226,CLX
2013-06-09,84.51,84.76,83.93,84.54,542783,CLX
2013-06-10,84.59,84.72,83.97,84.57,561340,CLX
2013-06-11,84.04,85.35,83.73,84.47,433709,CLX
2013-06-12,84.89,85.24,84.37,84.38,469128,CLX
2013-06-13,84.3,85.53,84.16,85.35,622123,CLX
2013-06-14,85.17,85.64,84.95,85.39,461642,CLX
2013-06-15,85.37,85.96,85.17,85.64,528957,CLX
2013-06-16,85.57,86.29,85.38,85.89,596271,CLX
2013-06-17,85.77,86.61,85.6,86.14,663586,CLX
2013-06-18,86.11,86.15,85.64,85.85,692801,CLX
2013-06-19,85.79,85.9,84.05,84.11,890549,CLX
2013-06-20,83.54,83.95,81.12,81.69,1296644,CLX
2013-06-21,82.3,82.95,81.77,82.58,1119493,CLX
2013-06-22,82.14,82.88,81.61,82.36,1071817,CLX
2013-06-23,81.99,82.82,81.46,82.13,1024141,CLX
2013-06-24,81.83,82.75,81.3,81.91,976465,CLX
2013-06-25,82.42,82.58,81.53,82.28,709184,CLX
2013-06-26,82.78,83.63,82.78,83.26,697325,CLX
2013-06-27,83.92,84.5,83.3,83.91,716954,CLX
2013-06-28,83.75,84.0,83.14,83.14,1740294,CLX
2013-06-29,83.68,84.06,83.14,83.36,1407856,CLX
2013-06-30,83.6,84.11,83.15,83.58,1075417,CLX
2013-07-01,83.53,84.17,83.15,83.8,742979,CLX
2013-07-02,83.68,84.05,83.07,83.25,765346,CLX
2013-07-03,83.27,83.56,82.53,83.23,461882,CLX
2013-07-04,83.52,83.7,82.54,83.52,465216,CLX
2013-07-05,83.77,83.85,82.55,83.82,468551,CLX
2013-07-06,83.92,84.12,82.9,83.98,593228,CLX
2013-07-07,84.08,84.39,83.24,84.15,717906,CLX
2013-07-08,84.23,84.66,83.59,84.31,842583,CLX
2013-07-09,84.71,85.45,84.61,85.13,672691,CLX
2013-07-10,84.89,85.16,84.03,84.7,651777,CLX
2013-07-11,85.53,85.83,85.0,85.34,810985,CLX
2013-07-12,85.28,85.9,85.05,85.84,2346795,CLX
2013-07-13,85.54,86.06,85.2,85.99,2383740,CLX
2013-07-14,85.81,86.23,85.36,86.15,2420684,CLX
2013-07-15,86.07,86.39,85.51,86.3,2457629,CLX
2013-07-16,86.61,86.91,85.89,86.84,2539343,CLX
2013-07-17,86.86,87.03,86.0,86.25,742992,CLX
2013-07-18,86.25,87.1,86.16,87.02,860994,CLX
2013-07-19,87.02,87.6,86.6,87.45,2114970,CLX
2013-07-20,86.84,87.25,86.3,87.1,1673792,CLX
2013-07-21,86.65,86.91,86.01,86.75,1232614,CLX
2013-07-22,86.47,86.56,85.71,86.4,791436,CLX
2013-07-23,86.32,86.4,85.3,85.6,819667,CLX
2013-07-24,85.78,85.79,84.97,85.12,661201,CLX
2013-07-25,84.84,85.63,84.79,85.33,725392,CLX
2013-07-26,85.13,85.99,84.72,85.97,628714,CLX
2013-07-27,85.35,86.03,85.0,85.95,577149,CLX
2013-07-28,85.58,86.06,85.27,85.94,525584,CLX
2013-07-29,85.8,86.1,85.55,85.92,474019,CLX
2013-07-30,86.24,86.74,85.81,86.03,836873,CLX
2013-07-31,86.23,86.79,85.78,85.94,1127617,CLX
2013-08-01,86.7,86.93,84.38,84.83,2020706,CLX
2013-08-02,84.8,85.35,83.89,85.32,1204328,CLX
2013-08-03,84.92,85.55,84.26,85.27,1097949,CLX
2013-08-04,85.05,85.74,84.62,85.22,991569,CLX
2013-08-05,85.17,85.94,84.99,85.17,885190,CLX
2013-08-06,85.15,85.82,85.1,85.59,937218,CLX
2013-08-07,85.11,86.26,85.11,86.12,1011696,CLX
2013-08-08,86.57,86.67,85.51,86.35,705975,CLX
2013-08-09,86.21,86.28,85.65,85.98,499710,CLX
2013-08-10,85.98,86.24,85.53,86.04,485089,CLX
2013-08-11,85.76,86.2,85.4,86.1,470469,CLX
2013-08-12,85.53,86.16,85.28,86.16,455848,CLX
2013-08-13,86.4,86.64,85.94,86.39,701285,CLX
2013-08-14,86.55,86.61,85.12,85.42,944805,CLX
2013-08-15,85.04,85.22,84.11,84.5,968967,CLX
2013-08-16,84.33,84.56,83.96,84.09,719469,CLX
2013-08-17,84.19,84.49,83.85,84.05,666221,CLX
