index,open,high,low,close,volume,Name
2013-02-08,55.02,55.42,54.21,54.24,7647018,CL
2013-02-09,54.71,55.11,54.08,54.21,6346035,CL
2013-02-10,54.4,54.79,53.95,54.18,5045053,CL
2013-02-11,54.08,54.48,53.82,54.14,3744070,CL
2013-02-12,54.2,54.24,53.9,54.02,2875566,CL
2013-02-13,54.14,54.16,53.68,53.95,3292340,CL
2013-02-14,53.81,54.36,53.78,54.16,3427674,CL
2013-02-15,54.35,55.16,54.35,55.01,5397980,CL
2013-02-16,54.53,55.38,54.5,55.25,5413397,CL
2013-02-17,54.72,55.59,54.66,55.48,5428814,CL
2013-02-18,54.9,55.8,54.81,55.72,5444231,CL
2013-02-19,55.08,56.02,54.96,55.96,5459648,CL
2013-02-20,56.0,56.5,55.98,56.06,3275374,CL
2013-02-21,55.88,56.81,55.76,56.54,4463276,CL
2013-02-22,56.55,57.1,56.4,56.98,3723514,CL
2013-02-23,56.74,57.35,56.56,56.99,4130015,CL
2013-02-24,56.93,57.6,56.72,57.0,4536517,CL
2013-02-25,57.12,57.86,56.88,57.0,4943018,CL
2013-02-26,56.45,57.07,56.24,56.96,5666208,CL
2013-02-27,56.78,57.46,56.42,57.23,4005126,CL
2013-02-28,57.33,57.84,57.2,57.22,3907122,CL
2013-03-01,57.04,57.21,56.7,57.06,3516180,CL
2013-03-02,57.04,57.29,56.78,57.18,3102499,CL
2013-03-03,57.04,57.36,56.85,57.3,2688817,CL
2013-03-04,57.04,57.44,56.93,57.42,2275136,CL
2013-03-05,57.62,58.08,57.55,57.86,2889538,CL
2013-03-06,57.92,57.98,57.42,57.68,2423500,CL
2013-03-07,58.36,58.36,57.64,57.7,3718618,CL
2013-03-08,57.92,57.98,57.5,57.87,2969384,CL
2013-03-09,57.92,57.98,57.54,57.85,2866767,CL
2013-03-10,57.92,57.98,57.58,57.84,2764149,CL
2013-03-11,57.92,57.98,57.62,57.82,2661532,CL
2013-03-12,57.84,57.88,57.5,57.53,2450398,CL
2013-03-13,57.53,57.58,57.31,57.45,2309686,CL
2013-03-14,57.48,57.49,56.86,56.92,4587558,CL
2013-03-15,56.47,56.56,56.04,56.04,8453354,CL
2013-03-16,56.25,56.44,55.91,56.07,6934498,CL
2013-03-17,56.04,56.34,55.79,56.1,5415642,CL
2013-03-18,55.82,56.22,55.66,56.13,3896786,CL
2013-03-19,56.06,56.34,55.98,56.27,4103654,CL
2013-03-20,56.43,57.4,56.43,57.3,3446550,CL
2013-03-21,57.06,57.29,56.85,56.86,2341444,CL
2013-03-22,56.88,57.5,56.68,57.2,4479154,CL
2013-03-23,57.04,57.52,56.8,57.2,4062906,CL
2013-03-24,57.22,57.53,56.92,57.2,3646658,CL
2013-03-25,57.38,57.54,57.05,57.2,3230410,CL
2013-03-26,57.4,58.68,57.4,58.66,3123276,CL
2013-03-27,58.25,58.48,58.04,58.36,2134718,CL
2013-03-28,58.56,59.22,58.14,59.02,3379148,CL
2013-03-29,58.65,59.19,58.26,58.98,2998482,CL
2013-03-30,58.74,59.15,58.39,58.94,2617817,CL
2013-03-31,58.84,59.11,58.52,58.9,2237152,CL
2013-04-01,58.94,59.07,58.64,58.86,1856486,CL
2013-04-02,59.02,59.48,58.98,59.45,2619656,CL
2013-04-03,59.5,59.56,58.52,58.66,3353896,CL
2013-04-04,58.77,58.86,58.37,58.54,2602910,CL
2013-04-05,58.2,58.46,58.01,58.36,1962670,CL
2013-04-06,58.32,58.59,58.03,58.53,1804499,CL
2013-04-07,58.43,58.72,58.05,58.69,1646329,CL
2013-04-08,58.55,58.86,58.08,58.86,1488158,CL
2013-04-09,59.0,59.04,58.32,58.62,2650002,CL
2013-04-10,58.73,59.26,58.65,59.14,2460594,CL
2013-04-11,59.14,59.6,59.1,59.42,2118250,CL
2013-04-12,59.29,59.62,59.0,59.18,2151062,CL
2013-04-13,59.19,59.52,58.81,58.94,2447698,CL
2013-04-14,59.1,59.42,58.62,58.68,2744334,CL
2013-04-15,59.0,59.32,58.44,58.44,3040970,CL
2013-04-16,58.73,59.74,58.54,59.66,3554952,CL
2013-04-17,59.5,59.58,58.63,58.92,3132982,CL
2013-04-18,59.02,59.59,59.0,59.28,2742096,CL
2013-04-19,59.33,59.94,59.29,59.86,2948874,CL
2013-04-20,59.49,60.14,59.42,59.98,3054935,CL
2013-04-21,59.66,60.34,59.54,60.09,3160997,CL
2013-04-22,59.82,60.54,59.66,60.2,3267058,CL
2013-04-23,60.28,60.72,59.83,60.72,3784682,CL
2013-04-24,60.52,60.52,58.84,58.95,4436186,CL
2013-04-25,60.3,61.2,59.66,59.71,5871574,CL
2013-04-26,59.94,60.46,59.26,59.5,3885516,CL
2013-04-27,59.84,60.3,59.35,59.56,3460583,CL
2013-04-28,59.73,60.13,59.44,59.62,3035651,CL
2013-04-29,59.62,59.97,59.53,59.68,2610718,CL
2013-04-30,59.53,59.89,59.16,59.7,3389390,CL
2013-05-01,59.72,60.23,59.44,59.57,2393466,CL
2013-05-02,59.58,60.55,59.38,60.36,2342188,CL
2013-05-03,60.64,60.78,60.05,60.58,2120058,CL
2013-05-04,60.62,60.73,60.04,60.42,2012389,CL
2013-05-05,60.6,60.68,60.02,60.26,1904721,CL
2013-05-06,60.58,60.64,60.01,60.1,1797052,CL
2013-05-07,60.18,60.25,59.92,60.16,2657656,CL
2013-05-08,60.08,60.35,59.92,60.26,2090006,CL
2013-05-09,60.17,60.36,59.9,60.1,3025196,CL
2013-05-10,60.25,60.49,60.06,60.36,2484540,CL
2013-05-11,60.3,60.53,60.09,60.39,2269488,CL
2013-05-12,60.35,60.56,60.12,60.42,2054436,CL
2013-05-13,60.4,60.6,60.16,60.46,1839384,CL
2013-05-14,60.5,61.68,60.5,61.68,3102948,CL
2013-05-15,61.42,62.37,61.33,62.28,3745246,CL
2013-05-16,62.31,62.7,61.33,62.38,3077774,CL
2013-05-17,62.14,62.4,61.78,62.04,4149203,CL
2013-05-18,62.11,62.28,61.66,61.88,3540089,CL
2013-05-19,62.07,62.17,61.54,61.71,2930975,CL
2013-05-20,62.04,62.05,61.42,61.55,2321861,CL
2013-05-21,61.6,62.08,61.19,61.58,2896061,CL
2013-05-22,61.5,62.13,61.22,61.41,3059660,CL
2013-05-23,61.07,61.33,60.87,60.97,3125575,CL
