index,open,high,low,close,volume,Name
2013-02-08,19.34,19.44,19.27,19.38,30786978,CMCSA
2013-02-09,19.35,19.42,19.25,19.36,25420084,CMCSA
2013-02-10,19.36,19.4,19.22,19.34,20053190,CMCSA
2013-02-11,19.36,19.39,19.2,19.32,14686296,CMCSA
2013-02-12,19.3,19.52,19.16,19.48,34447088,CMCSA
2013-02-13,20.94,21.0,19.92,20.07,114136586,CMCSA
2013-02-14,20.2,20.34,19.95,20.17,43627282,CMCSA
2013-02-15,20.14,20.63,20.14,20.62,39905824,CMCSA
2013-02-16,20.26,20.67,20.25,20.65,38474546,CMCSA
2013-02-17,20.39,20.71,20.37,20.67,37043269,CMCSA
2013-02-18,20.51,20.75,20.48,20.7,35611992,CMCSA
2013-02-19,20.64,20.78,20.6,20.72,34180714,CMCSA
2013-02-20,20.76,20.86,20.46,20.48,31255764,CMCSA
2013-02-21,20.36,20.42,19.98,20.04,26115732,CMCSA
2013-02-22,19.91,20.05,19.82,19.95,28505430,CMCSA
2013-02-23,19.95,20.08,19.76,19.87,31033986,CMCSA
2013-02-24,19.99,20.12,19.72,19.79,33562542,CMCSA
2013-02-25,20.03,20.16,19.66,19.7,36091098,CMCSA
2013-02-26,19.76,19.89,19.73,19.84,25640110,CMCSA
2013-02-27,19.89,20.16,19.73,20.08,18656056,CMCSA
2013-02-28,20.04,20.19,19.9,19.9,24696584,CMCSA
2013-03-01,19.86,20.03,19.73,20.02,24473426,CMCSA
2013-03-02,19.88,20.1,19.76,20.07,22832697,CMCSA
2013-03-03,19.91,20.17,19.79,20.13,21191967,CMCSA
2013-03-04,19.93,20.24,19.82,20.19,19551238,CMCSA
2013-03-05,20.35,20.52,20.32,20.48,24707782,CMCSA
2013-03-06,20.58,20.66,20.36,20.42,15663620,CMCSA
2013-03-07,20.42,20.5,20.3,20.31,13347650,CMCSA
2013-03-08,20.43,20.58,20.24,20.5,22782526,CMCSA
2013-03-09,20.42,20.58,20.28,20.52,20829559,CMCSA
2013-03-10,20.42,20.58,20.32,20.54,18876593,CMCSA
2013-03-11,20.42,20.57,20.36,20.57,16923626,CMCSA
2013-03-12,20.54,20.54,20.25,20.36,28815168,CMCSA
2013-03-13,20.4,20.41,20.16,20.3,17323634,CMCSA
2013-03-14,20.4,20.62,20.28,20.58,28377174,CMCSA
2013-03-15,20.43,20.62,20.3,20.36,35299422,CMCSA
2013-03-16,20.33,20.5,20.17,20.3,32217508,CMCSA
2013-03-17,20.23,20.37,20.05,20.24,29135594,CMCSA
2013-03-18,20.12,20.25,19.93,20.18,26053680,CMCSA
2013-03-19,20.18,20.22,19.76,20.07,32476112,CMCSA
2013-03-20,20.26,20.54,20.23,20.49,25300058,CMCSA
2013-03-21,20.39,20.45,20.08,20.2,24035800,CMCSA
2013-03-22,20.32,20.62,20.26,20.61,19118074,CMCSA
2013-03-23,20.45,20.71,20.38,20.69,27308051,CMCSA
2013-03-24,20.58,20.81,20.51,20.78,35498029,CMCSA
2013-03-25,20.71,20.91,20.64,20.86,43688006,CMCSA
2013-03-26,20.96,21.0,20.66,20.74,25929740,CMCSA
2013-03-27,20.64,20.88,20.58,20.88,22330376,CMCSA
2013-03-28,20.84,21.0,20.76,20.99,27181910,CMCSA
2013-03-29,20.81,21.01,20.7,20.92,25405814,CMCSA
2013-03-30,20.78,21.02,20.65,20.84,23629717,CMCSA
2013-03-31,20.76,21.03,20.6,20.76,21853620,CMCSA
2013-04-01,20.73,21.03,20.54,20.69,20077524,CMCSA
2013-04-02,20.72,21.18,20.72,21.15,29034516,CMCSA
2013-04-03,21.14,21.3,20.78,20.91,25813686,CMCSA
2013-04-04,20.89,21.15,20.82,21.06,15531780,CMCSA
2013-04-05,20.7,20.82,20.46,20.78,27949534,CMCSA
2013-04-06,20.73,20.83,20.52,20.79,24981794,CMCSA
2013-04-07,20.76,20.84,20.58,20.8,22014054,CMCSA
2013-04-08,20.8,20.86,20.64,20.82,19046314,CMCSA
2013-04-09,20.82,20.91,20.46,20.64,23151404,CMCSA
2013-04-10,20.64,20.89,20.6,20.81,26478110,CMCSA
2013-04-11,20.9,20.98,20.82,20.9,26442356,CMCSA
2013-04-12,20.94,21.06,20.88,21.0,33937936,CMCSA
2013-04-13,20.94,21.02,20.77,20.86,31654927,CMCSA
