index,open,high,low,close,volume,Name
2013-02-08,316.77,321.49,316.73,320.72,403264,CMG
2013-02-09,318.17,322.87,317.86,321.67,419916,CMG
2013-02-10,319.57,324.26,318.98,322.61,436568,CMG
2013-02-11,320.97,325.64,320.11,323.56,453220,CMG
2013-02-12,322.39,326.99,322.05,322.51,353599,CMG
2013-02-13,321.63,322.48,316.16,317.01,605608,CMG
2013-02-14,316.28,319.08,314.44,317.72,483832,CMG
2013-02-15,319.03,319.03,310.78,314.19,678216,CMG
2013-02-16,317.87,318.67,310.91,313.9,641296,CMG
2013-02-17,316.71,318.3,311.05,313.62,604376,CMG
2013-02-18,315.56,317.94,311.18,313.34,567457,CMG
2013-02-19,314.4,317.58,311.32,313.05,530537,CMG
2013-02-20,312.81,315.09,308.0,309.49,588188,CMG
2013-02-21,307.17,313.73,307.17,308.13,639141,CMG
2013-02-22,310.77,315.71,310.5,315.51,600207,CMG
2013-02-23,312.68,316.58,310.73,314.08,571099,CMG
2013-02-24,314.6,317.45,310.95,312.64,541992,CMG
2013-02-25,316.51,318.32,311.18,311.21,512884,CMG
2013-02-26,312.72,316.66,309.02,311.81,415128,CMG
2013-02-27,312.48,318.71,311.96,316.21,330537,CMG
2013-02-28,315.29,319.88,313.6,316.79,306386,CMG
2013-03-01,316.75,319.82,314.5,319.74,300757,CMG
2013-03-02,317.39,320.69,315.52,320.41,302908,CMG
2013-03-03,318.04,321.56,316.53,321.09,305060,CMG
2013-03-04,318.68,322.43,317.55,321.76,307211,CMG
2013-03-05,323.3,332.49,322.5,329.24,520227,CMG
2013-03-06,331.38,334.89,328.1,329.0,341441,CMG
2013-03-07,331.38,331.38,325.08,327.5,330531,CMG
2013-03-08,328.27,328.88,320.63,321.84,477790,CMG
2013-03-09,325.54,328.29,320.22,322.03,439791,CMG
2013-03-10,322.81,327.7,319.8,322.23,401792,CMG
2013-03-11,320.08,327.12,319.39,322.42,363793,CMG
2013-03-12,322.42,323.98,317.0,318.45,306360,CMG
2013-03-13,319.41,322.38,319.33,322.38,358434,CMG
2013-03-14,321.61,324.21,319.53,322.66,298613,CMG
2013-03-15,320.95,323.98,318.54,321.35,310927,CMG
2013-03-16,319.75,323.27,318.11,320.95,268859,CMG
2013-03-17,318.56,322.56,317.68,320.55,226790,CMG
2013-03-18,317.36,321.85,317.25,320.15,184722,CMG
2013-03-19,320.1,324.53,315.5,317.23,408041,CMG
2013-03-20,319.75,323.7,318.25,322.42,298839,CMG
2013-03-21,321.99,322.52,318.33,319.42,425498,CMG
2013-03-22,320.28,320.68,317.44,318.23,283465,CMG
2013-03-23,319.75,321.02,316.97,317.74,294128,CMG
2013-03-24,319.23,321.36,316.51,317.26,304791,CMG
2013-03-25,318.7,321.7,316.04,316.77,315454,CMG
2013-03-26,318.64,320.29,316.35,318.5,313704,CMG
2013-03-27,318.49,320.85,316.34,320.59,215130,CMG
2013-03-28,320.17,325.93,319.02,325.87,387865,CMG
2013-03-29,321.98,326.56,319.27,324.67,396397,CMG
2013-03-30,323.8,327.2,319.51,323.47,404929,CMG
2013-03-31,325.61,327.84,319.76,322.26,413461,CMG
2013-04-01,327.42,328.47,320.0,321.06,421993,CMG
2013-04-02,321.91,323.6,321.64,323.09,240714,CMG
2013-04-03,327.05,330.0,321.87,323.79,412947,CMG
