index,open,high,low,close,volume,Name
2013-02-08,22.64,23.64,22.64,23.02,1238076,CNC
2013-02-09,22.74,23.42,22.42,22.76,1248351,CNC
2013-02-10,22.84,23.21,22.2,22.51,1258627,CNC
2013-02-11,22.95,23.0,21.98,22.25,1268902,CNC
2013-02-12,22.34,22.6,22.24,22.39,1041788,CNC
2013-02-13,22.5,22.96,22.32,22.58,1346796,CNC
2013-02-14,22.5,22.8,22.28,22.76,662248,CNC
2013-02-15,22.84,23.24,22.78,22.98,1039120,CNC
2013-02-16,22.58,23.22,22.53,22.98,1024076,CNC
2013-02-17,22.32,23.19,22.28,22.98,1009033,CNC
2013-02-18,22.06,23.16,22.03,22.99,993990,CNC
2013-02-19,21.8,23.14,21.78,22.99,978946,CNC
2013-02-20,22.93,23.03,22.64,22.75,897888,CNC
2013-02-21,22.84,22.98,22.4,22.88,1298598,CNC
2013-02-22,23.03,23.21,22.6,22.71,787242,CNC
2013-02-23,22.96,23.14,22.45,22.53,745048,CNC
2013-02-24,22.89,23.07,22.31,22.35,702854,CNC
2013-02-25,22.82,23.0,22.16,22.18,660660,CNC
2013-02-26,22.24,22.34,21.58,22.06,1018202,CNC
2013-02-27,22.09,22.62,22.02,22.48,716770,CNC
2013-02-28,22.41,22.98,22.38,22.51,1498252,CNC
2013-03-01,22.44,23.12,22.43,22.85,1016970,CNC
2013-03-02,22.55,23.07,22.39,22.68,1036086,CNC
2013-03-03,22.66,23.03,22.36,22.51,1055202,CNC
2013-03-04,22.77,22.99,22.32,22.34,1074318,CNC
2013-03-05,22.46,22.86,22.34,22.72,642232,CNC
2013-03-06,22.78,23.28,22.74,23.02,624918,CNC
2013-03-07,23.04,23.6,23.04,23.5,1285394,CNC
2013-03-08,23.69,24.28,23.66,23.96,2105362,CNC
2013-03-09,23.73,24.16,23.61,23.87,1688877,CNC
2013-03-10,23.77,24.04,23.57,23.78,1272393,CNC
2013-03-11,23.81,23.93,23.53,23.69,855908,CNC
2013-03-12,23.58,23.82,23.18,23.25,1429374,CNC
2013-03-13,23.26,23.64,23.22,23.51,810868,CNC
2013-03-14,23.02,23.06,22.3,22.74,1978906,CNC
2013-03-15,22.7,22.98,22.57,22.9,1497342,CNC
2013-03-16,22.69,22.99,22.6,22.84,1216177,CNC
2013-03-17,22.68,23.0,22.64,22.78,935013,CNC
2013-03-18,22.68,23.01,22.67,22.72,653848,CNC
2013-03-19,22.78,23.13,22.4,22.55,652986,CNC
2013-03-20,22.71,22.88,22.58,22.74,612576,CNC
2013-03-21,22.62,22.74,22.41,22.5,782100,CNC
2013-03-22,22.61,22.82,22.12,22.38,694172,CNC
2013-03-23,22.54,22.75,22.15,22.35,629671,CNC
2013-03-24,22.48,22.68,22.18,22.32,565169,CNC
2013-03-25,22.42,22.62,22.2,22.3,500668,CNC
2013-03-26,22.42,22.62,22.1,22.26,770512,CNC
2013-03-27,22.18,22.43,22.06,22.08,880888,CNC
2013-03-28,22.14,22.15,21.94,22.02,866366,CNC
2013-03-29,22.11,22.27,21.92,22.09,839107,CNC
2013-03-30,22.07,22.38,21.9,22.16,811848,CNC
2013-03-31,22.03,22.5,21.88,22.22,784589,CNC
2013-04-01,21.99,22.62,21.86,22.29,757330,CNC
2013-04-02,22.42,22.69,22.22,22.28,810748,CNC
2013-04-03,22.26,22.42,21.85,21.88,690814,CNC
2013-04-04,21.88,22.04,21.52,21.8,787602,CNC
2013-04-05,21.33,21.64,21.07,21.12,1224526,CNC
2013-04-06,21.28,21.5,21.07,21.15,1046623,CNC
2013-04-07,21.22,21.36,21.07,21.17,868721,CNC
2013-04-08,21.17,21.22,21.07,21.19,690818,CNC
2013-04-09,21.28,23.0,21.28,22.6,1902482,CNC
2013-04-10,22.62,22.94,22.54,22.9,635580,CNC
2013-04-11,22.95,23.74,22.91,23.68,1476316,CNC
2013-04-12,23.61,24.05,23.59,23.85,1240924,CNC
2013-04-13,23.64,24.0,23.36,23.56,1085429,CNC
2013-04-14,23.67,23.95,23.14,23.26,929935,CNC
2013-04-15,23.7,23.9,22.92,22.96,774440,CNC
2013-04-16,23.1,23.46,22.78,23.18,1149438,CNC
2013-04-17,23.09,23.34,22.5,22.56,1125376,CNC
2013-04-18,22.33,22.48,21.74,22.14,1552214,CNC
2013-04-19,22.17,22.8,22.06,22.74,931220,CNC
