index,open,high,low,close,volume,Name
2013-02-08,57.38,57.56,56.89,57.27,3733093,COF
2013-02-09,57.26,57.4,56.7,57.03,3777362,COF
2013-02-10,57.14,57.24,56.52,56.79,3821632,COF
2013-02-11,57.02,57.08,56.33,56.55,3865901,COF
2013-02-12,56.42,56.52,55.33,55.78,8458987,COF
2013-02-13,55.8,56.1,55.05,55.07,7386722,COF
2013-02-14,54.96,55.62,54.74,55.59,6629363,COF
2013-02-15,56.09,56.09,53.68,54.03,9782559,COF
2013-02-16,55.57,55.57,53.5,53.8,9818678,COF
2013-02-17,55.04,55.04,53.32,53.58,9854796,COF
2013-02-18,54.52,54.52,53.13,53.35,9890914,COF
2013-02-19,53.99,54.0,52.95,53.12,9927033,COF
2013-02-20,52.25,52.99,51.9,52.27,12105838,COF
2013-02-21,52.14,52.42,51.83,52.21,6306541,COF
2013-02-22,52.61,52.66,51.92,52.28,5696397,COF
2013-02-23,52.56,52.63,51.55,51.79,5923278,COF
2013-02-24,52.5,52.6,51.17,51.29,6150158,COF
2013-02-25,52.45,52.57,50.8,50.8,6377039,COF
2013-02-26,51.28,51.61,50.69,51.47,6155322,COF
2013-02-27,51.34,51.73,50.92,51.59,6581849,COF
2013-02-28,51.4,51.63,50.74,51.03,6472254,COF
2013-03-01,50.21,51.95,50.21,51.87,11378537,COF
2013-03-02,50.72,52.38,50.72,52.29,10732837,COF
2013-03-03,51.23,52.8,51.22,52.7,10087136,COF
2013-03-04,51.74,53.23,51.73,53.12,9441436,COF
2013-03-05,53.61,54.85,53.43,53.95,10794753,COF
2013-03-06,54.29,54.6,53.95,54.31,6279888,COF
2013-03-07,54.36,54.71,54.03,54.42,4861261,COF
2013-03-08,54.8,54.84,53.59,54.2,4185607,COF
2013-03-09,54.62,54.9,53.67,54.46,4118385,COF
2013-03-10,54.44,54.96,53.76,54.72,4051163,COF
2013-03-11,54.26,55.02,53.84,54.98,3983941,COF
2013-03-12,55.0,55.23,54.44,54.6,5322530,COF
2013-03-13,54.62,55.12,54.53,54.63,3115636,COF
2013-03-14,54.82,55.04,54.22,54.51,3735429,COF
2013-03-15,54.66,55.26,54.37,55.19,8661165,COF
2013-03-16,54.62,55.17,54.33,55.01,6847763,COF
2013-03-17,54.57,55.07,54.29,54.84,5034360,COF
2013-03-18,54.53,54.98,54.25,54.66,3220958,COF
2013-03-19,54.94,54.94,53.17,53.64,6081028,COF
2013-03-20,53.97,54.1,53.54,53.91,4934798,COF
2013-03-21,53.48,54.07,53.48,53.71,3291892,COF
2013-03-22,53.69,54.16,53.58,54.1,2406571,COF
2013-03-23,53.93,54.34,53.69,54.26,3117691,COF
2013-03-24,54.16,54.53,53.79,54.43,3828810,COF
2013-03-25,54.4,54.71,53.9,54.59,4539930,COF
2013-03-26,54.9,55.52,54.84,55.06,4867738,COF
