index,open,high,low,close,volume,Name
2013-02-08,103.01,105.2,103.0,104.26,309118,COO
2013-02-09,103.37,105.05,103.25,104.19,253314,COO
2013-02-10,103.73,104.89,103.5,104.12,197509,COO
2013-02-11,104.09,104.74,103.75,104.05,141705,COO
2013-02-12,104.15,104.72,104.15,104.61,282991,COO
2013-02-13,105.03,105.75,103.89,104.25,287580,COO
2013-02-14,104.21,104.42,103.59,103.79,208787,COO
2013-02-15,103.85,104.53,103.57,104.01,112034,COO
2013-02-16,103.86,104.7,103.52,104.17,130268,COO
2013-02-17,103.87,104.86,103.48,104.34,148502,COO
2013-02-18,103.88,105.02,103.43,104.5,166735,COO
2013-02-19,103.89,105.19,103.38,104.66,184969,COO
2013-02-20,104.62,104.66,103.04,103.14,205527,COO
2013-02-21,103.11,103.12,101.57,102.59,285806,COO
2013-02-22,103.05,103.42,102.64,102.91,113679,COO
2013-02-23,103.14,103.89,102.54,102.72,159980,COO
2013-02-24,103.22,104.36,102.43,102.52,206280,COO
2013-02-25,103.31,104.83,102.33,102.33,252581,COO
2013-02-26,102.82,104.34,102.14,103.96,265207,COO
2013-02-27,104.07,106.14,104.04,105.5,181765,COO
2013-02-28,105.49,106.75,105.49,106.06,191665,COO
2013-03-01,105.68,105.97,104.41,105.08,360016,COO
2013-03-02,105.4,105.82,104.34,105.12,317914,COO
2013-03-03,105.11,105.68,104.26,105.15,275813,COO
2013-03-04,104.83,105.53,104.19,105.19,233711,COO
2013-03-05,105.81,106.31,105.53,105.87,483572,COO
2013-03-06,106.21,106.52,105.11,105.55,346419,COO
2013-03-07,105.69,105.9,103.88,104.7,701502,COO
2013-03-08,104.3,109.56,103.57,108.23,881040,COO
2013-03-09,105.05,108.7,104.34,107.57,711717,COO
2013-03-10,105.79,107.84,105.11,106.91,542394,COO
2013-03-11,106.54,106.98,105.88,106.25,373071,COO
2013-03-12,105.67,106.37,104.96,105.4,415372,COO
2013-03-13,105.39,105.39,104.92,105.25,290016,COO
2013-03-14,105.0,105.75,104.44,104.82,276026,COO
2013-03-15,104.66,104.93,103.46,103.82,373806,COO
2013-03-16,104.25,104.76,103.21,103.91,330015,COO
2013-03-17,103.83,104.59,102.97,104.0,286225,COO
2013-03-18,103.42,104.42,102.72,104.09,242434,COO
2013-03-19,104.34,104.76,103.65,104.42,246906,COO
2013-03-20,105.06,109.82,104.43,105.48,303459,COO
2013-03-21,104.92,109.65,103.68,103.98,169599,COO
2013-03-22,104.37,104.49,103.73,104.16,125373,COO
2013-03-23,104.46,104.65,103.71,104.24,155566,COO
2013-03-24,104.55,104.81,103.7,104.31,185759,COO
2013-03-25,104.64,104.97,103.68,104.39,215952,COO
2013-03-26,104.28,104.99,103.87,104.93,262887,COO
2013-03-27,104.37,106.79,104.2,106.74,312668,COO
2013-03-28,106.74,108.04,106.48,107.88,333885,COO
2013-03-29,107.0,108.09,106.3,107.55,301202,COO
2013-03-30,107.27,108.15,106.12,107.22,268520,COO
2013-03-31,107.54,108.2,105.94,106.88,235838,COO
2013-04-01,107.8,108.25,105.76,106.55,203155,COO
2013-04-02,107.2,108.29,107.2,107.71,235546,COO
2013-04-03,107.7,107.94,106.65,107.05,323800,COO
2013-04-04,107.22,108.01,106.74,107.98,288908,COO
2013-04-05,107.0,107.55,105.76,106.17,532867,COO
2013-04-06,106.74,107.22,105.64,106.24,424385,COO
2013-04-07,106.47,106.88,105.51,106.32,315903,COO
2013-04-08,106.21,106.55,105.39,106.39,207421,COO
2013-04-09,106.31,106.98,105.95,106.61,193283,COO
2013-04-10,106.7,108.48,106.4,108.17,330970,COO
2013-04-11,108.5,109.93,107.94,109.89,313517,COO
2013-04-12,109.63,109.79,108.31,108.95,308279,COO
2013-04-13,109.33,109.45,107.75,108.33,345439,COO
2013-04-14,109.04,109.1,107.2,107.7,382599,COO
2013-04-15,108.74,108.76,106.64,107.08,419759,COO
2013-04-16,107.64,108.81,107.0,108.63,375115,COO
2013-04-17,108.25,108.38,107.2,107.88,391881,COO
2013-04-18,107.9,108.48,105.39,105.86,173999,COO
2013-04-19,105.8,106.91,104.24,106.25,160377,COO
2013-04-20,106.02,106.76,104.47,106.19,145570,COO
2013-04-21,106.23,106.6,104.7,106.14,130764,COO
2013-04-22,106.45,106.45,104.93,106.08,115957,COO
2013-04-23,106.66,108.48,106.38,108.2,282968,COO
2013-04-24,107.99,108.05,107.02,107.62,183421,COO
2013-04-25,105.38,110.45,105.35,107.29,174672,COO
2013-04-26,107.18,107.72,106.09,107.72,176913,COO
2013-04-27,107.52,108.13,106.39,108.07,172898,COO
2013-04-28,107.87,108.53,106.7,108.41,168884,COO
2013-04-29,108.21,108.94,107.0,108.76,164869,COO
2013-04-30,108.56,110.85,108.3,110.4,348529,COO
2013-05-01,110.4,110.57,108.53,108.67,143741,COO
2013-05-02,108.92,109.93,108.19,109.86,366657,COO
2013-05-03,110.64,112.03,110.51,112.0,320460,COO
2013-05-04,111.17,112.52,110.92,112.44,307652,COO
2013-05-05,111.7,113.01,111.34,112.88,294844,COO
2013-05-06,112.23,113.5,111.75,113.32,282036,COO
2013-05-07,113.32,113.71,112.66,113.53,219508,COO
2013-05-08,113.62,115.17,112.86,115.06,304308,COO
2013-05-09,114.98,116.1,114.96,115.34,203046,COO
2013-05-10,115.63,116.64,115.28,115.97,187671,COO
2013-05-11,115.76,116.58,115.42,115.98,227931,COO
2013-05-12,115.88,116.52,115.57,115.99,268191,COO
2013-05-13,116.01,116.46,115.71,116.0,308451,COO
2013-05-14,115.85,116.79,114.87,114.97,319521,COO
2013-05-15,113.89,113.89,111.38,111.93,739914,COO
2013-05-16,111.93,111.95,110.39,110.52,349257,COO
2013-05-17,111.08,111.61,110.8,111.22,253837,COO
2013-05-18,111.14,111.79,110.75,111.17,275997,COO
2013-05-19,111.19,111.97,110.7,111.12,298158,COO
2013-05-20,111.25,112.15,110.65,111.07,320318,COO
2013-05-21,111.16,111.98,110.57,110.99,189329,COO
2013-05-22,111.11,111.45,106.6,107.22,603894,COO
2013-05-23,106.84,107.66,105.71,107.12,371327,COO
2013-05-24,107.05,109.85,106.29,109.04,939216,COO
2013-05-25,107.76,110.3,107.04,109.52,845370,COO
2013-05-26,108.46,110.74,107.78,109.99,751524,COO
2013-05-27,109.17,111.19,108.53,110.46,657677,COO
2013-05-28,109.88,111.64,109.28,110.94,563831,COO
2013-05-29,110.55,111.13,108.57,110.79,442748,COO
2013-05-30,110.57,114.37,110.3,114.3,401109,COO
2013-05-31,113.69,115.32,112.96,113.01,349354,COO
2013-06-01,113.46,114.92,112.95,113.07,424161,COO
2013-06-02,113.23,114.51,112.94,113.14,498969,COO
2013-06-03,113.0,114.1,112.93,113.2,573776,COO
2013-06-04,113.2,113.99,111.69,111.83,414985,COO
2013-06-05,111.42,112.33,110.75,111.0,236152,COO
2013-06-06,110.63,113.22,110.33,113.13,391457,COO
2013-06-07,116.61,120.56,116.61,120.0,1143256,COO
2013-06-08,117.81,121.3,117.61,120.54,987015,COO
2013-06-09,119.02,122.03,118.6,121.09,830773,COO
2013-06-10,120.22,122.76,119.6,121.63,674532,COO
2013-06-11,120.46,122.08,119.06,120.96,253719,COO
2013-06-12,121.92,121.95,119.92,120.41,186775,COO
2013-06-13,120.5,121.43,119.72,121.22,269813,COO
2013-06-14,121.22,121.78,119.97,121.53,341400,COO
2013-06-15,121.54,122.55,120.55,121.95,347435,COO
2013-06-16,121.85,123.31,121.13,122.38,353471,COO
2013-06-17,122.17,124.08,121.71,122.8,359506,COO
