index,open,high,low,close,volume,Name
2013-02-08,102.38,102.96,101.81,102.79,1726289,COST
2013-02-09,102.54,102.95,101.79,102.52,1636654,COST
2013-02-10,102.71,102.95,101.78,102.26,1547019,COST
2013-02-11,102.87,102.94,101.76,101.99,1457384,COST
2013-02-12,102.21,102.23,101.53,101.76,1203174,COST
2013-02-13,101.98,102.37,100.95,101.63,1224373,COST
2013-02-14,101.04,102.06,101.01,102.02,2211142,COST
2013-02-15,101.79,103.13,101.03,102.17,4239570,COST
2013-02-16,101.93,102.95,101.14,102.1,3653221,COST
2013-02-17,102.07,102.76,101.25,102.04,3066872,COST
2013-02-18,102.21,102.58,101.36,101.97,2480523,COST
2013-02-19,102.35,102.4,101.47,101.9,1894174,COST
2013-02-20,102.18,102.63,101.05,101.08,1915021,COST
2013-02-21,101.17,101.42,100.26,100.69,2730413,COST
2013-02-22,101.07,101.3,100.23,101.16,1576132,COST
2013-02-23,101.26,101.58,100.17,100.8,1598746,COST
2013-02-24,101.45,101.85,100.12,100.45,1621359,COST
2013-02-25,101.64,102.13,100.06,100.09,1643973,COST
2013-02-26,100.1,100.76,99.3,99.45,2915089,COST
2013-02-27,99.67,101.54,98.95,100.73,2510976,COST
2013-02-28,101.07,102.37,100.79,101.29,2213051,COST
2013-03-01,100.82,101.65,100.26,101.42,1790052,COST
2013-03-02,100.97,102.25,100.56,102.09,1840692,COST
2013-03-03,101.11,102.86,100.86,102.76,1891332,COST
2013-03-04,101.26,103.46,101.16,103.43,1941972,COST
2013-03-05,103.68,103.88,102.75,103.15,1611648,COST
2013-03-06,103.15,103.49,102.36,102.56,1254331,COST
2013-03-07,103.55,103.98,101.9,101.97,2603259,COST
2013-03-08,102.58,103.26,101.86,103.04,1549191,COST
2013-03-09,102.9,103.4,102.02,102.84,1739717,COST
2013-03-10,103.23,103.55,102.19,102.64,1930243,COST
2013-03-11,103.55,103.69,102.35,102.44,2120769,COST
2013-03-12,103.61,105.52,103.26,103.75,3794946,COST
2013-03-13,103.99,104.19,102.91,103.42,2459086,COST
2013-03-14,103.27,104.03,102.91,102.91,2316625,COST
2013-03-15,102.55,102.99,101.51,101.75,4001782,COST
2013-03-16,102.15,102.66,101.34,101.72,3380494,COST
2013-03-17,101.74,102.34,101.18,101.7,2759206,COST
2013-03-18,101.34,102.01,101.01,101.68,2137918,COST
2013-03-19,101.86,102.54,101.13,102.12,2239813,COST
2013-03-20,102.44,103.36,102.34,103.08,2316362,COST
2013-03-21,102.85,103.97,102.68,103.52,2216701,COST
2013-03-22,103.46,105.12,103.44,105.11,2017000,COST
2013-03-23,104.04,105.34,103.81,105.23,2116413,COST
2013-03-24,104.61,105.55,104.19,105.35,2215827,COST
2013-03-25,105.19,105.77,104.56,105.47,2315240,COST
2013-03-26,105.69,106.01,105.44,105.97,1452685,COST
2013-03-27,105.24,106.77,105.04,106.64,1970957,COST
2013-03-28,106.66,107.06,105.61,106.11,1672884,COST
2013-03-29,106.5,106.94,105.55,106.04,1506081,COST
2013-03-30,106.33,106.83,105.5,105.96,1339278,COST
2013-03-31,106.16,106.71,105.44,105.88,1172475,COST
2013-04-01,106.0,106.59,105.38,105.81,1005672,COST
2013-04-02,106.27,107.75,106.03,107.68,1831836,COST
2013-04-03,107.5,107.74,106.0,106.36,1833127,COST
2013-04-04,106.26,106.89,105.46,106.36,1575701,COST
2013-04-05,105.3,105.97,104.45,105.8,1678824,COST
2013-04-06,105.68,106.34,104.92,106.21,1478390,COST
2013-04-07,106.07,106.72,105.4,106.63,1277955,COST
2013-04-08,106.45,107.09,105.87,107.04,1077521,COST
2013-04-09,107.25,107.28,105.59,105.79,1947206,COST
2013-04-10,105.73,106.52,105.52,105.75,1757155,COST
2013-04-11,105.88,106.4,105.19,106.01,2319396,COST
2013-04-12,106.14,106.79,105.65,106.13,1437668,COST
2013-04-13,105.91,106.6,105.14,105.49,1564487,COST
2013-04-14,105.68,106.41,104.64,104.85,1691307,COST
2013-04-15,105.45,106.22,104.13,104.21,1818126,COST
2013-04-16,104.73,105.79,104.55,105.55,2796434,COST
2013-04-17,104.77,105.25,104.34,104.77,1882584,COST
2013-04-18,104.76,105.12,103.33,103.61,1854230,COST
2013-04-19,103.2,104.65,103.2,104.45,2215523,COST
2013-04-20,103.61,105.03,103.56,104.69,2159785,COST
2013-04-21,104.02,105.4,103.91,104.92,2104048,COST
2013-04-22,104.43,105.78,104.27,105.16,2048310,COST
2013-04-23,105.74,107.35,105.54,107.25,1731063,COST
2013-04-24,107.46,108.35,107.3,107.83,2234212,COST
2013-04-25,108.35,109.34,107.8,109.13,1846809,COST
2013-04-26,108.9,109.75,108.38,109.27,2146663,COST
2013-04-27,109.03,109.66,108.41,109.06,2007195,COST
2013-04-28,109.17,109.56,108.44,108.84,1867728,COST
2013-04-29,109.3,109.47,108.47,108.63,1728260,COST
2013-04-30,108.12,108.57,107.68,108.43,1561333,COST
2013-05-01,108.13,109.0,107.96,108.22,1199392,COST
2013-05-02,108.17,109.29,107.72,108.69,1442844,COST
2013-05-03,109.93,110.41,109.01,109.75,1407584,COST
2013-05-04,109.86,110.36,109.02,109.53,1309289,COST
2013-05-05,109.78,110.3,109.02,109.31,1210993,COST
2013-05-06,109.71,110.25,109.03,109.09,1112698,COST
2013-05-07,109.02,109.78,108.66,109.71,1617338,COST
2013-05-08,109.9,110.25,109.4,109.61,863785,COST
2013-05-09,109.88,110.16,108.88,109.14,1306233,COST
2013-05-10,109.41,110.16,109.17,109.99,1239598,COST
2013-05-11,109.5,110.21,109.31,110.0,1241907,COST
2013-05-12,109.6,110.27,109.46,110.0,1244215,COST
2013-05-13,109.69,110.32,109.6,110.01,1246524,COST
2013-05-14,110.29,111.72,109.88,111.39,1932706,COST
2013-05-15,110.86,112.95,110.69,112.82,1810523,COST
