index,open,high,low,close,volume,Name
2013-02-08,37.37,38.34,37.37,37.93,2792371,CPB
2013-02-09,37.57,38.34,37.57,37.99,2533009,CPB
2013-02-10,37.77,38.33,37.76,38.06,2273646,CPB
2013-02-11,37.97,38.33,37.96,38.12,2014284,CPB
2013-02-12,38.07,38.41,37.92,38.26,1462811,CPB
2013-02-13,38.24,38.42,38.08,38.18,1491024,CPB
2013-02-14,38.73,40.56,38.72,38.72,8249553,CPB
2013-02-15,38.78,39.69,38.56,39.4,3748252,CPB
2013-02-16,38.96,39.81,38.8,39.55,3571664,CPB
2013-02-17,39.14,39.94,39.03,39.7,3395075,CPB
2013-02-18,39.32,40.06,39.26,39.85,3218486,CPB
2013-02-19,39.5,40.18,39.5,40.0,3041898,CPB
2013-02-20,40.04,40.27,39.84,40.01,2360519,CPB
2013-02-21,40.0,40.17,39.4,39.67,2704586,CPB
2013-02-22,39.66,40.13,39.6,40.13,1811574,CPB
2013-02-23,39.84,40.25,39.72,40.08,2074887,CPB
2013-02-24,40.03,40.36,39.84,40.03,2338201,CPB
2013-02-25,40.21,40.48,39.96,39.98,2601514,CPB
2013-02-26,40.1,40.55,39.91,40.38,2184065,CPB
2013-02-27,40.3,40.74,40.17,40.62,1744108,CPB
2013-02-28,40.59,41.53,40.52,41.16,3321255,CPB
2013-03-01,41.18,42.16,41.07,42.11,3848988,CPB
2013-03-02,41.46,42.12,41.27,42.0,3564568,CPB
2013-03-03,41.73,42.09,41.46,41.88,3280149,CPB
2013-03-04,42.01,42.05,41.66,41.77,2995729,CPB
2013-03-05,41.96,42.04,41.62,41.69,2747282,CPB
2013-03-06,41.72,41.92,41.21,41.41,3172313,CPB
2013-03-07,41.5,41.82,41.35,41.41,1631298,CPB
2013-03-08,41.58,41.66,41.11,41.38,1798078,CPB
2013-03-09,41.53,41.68,41.2,41.42,1601620,CPB
2013-03-10,41.49,41.7,41.29,41.46,1405163,CPB
2013-03-11,41.44,41.72,41.38,41.5,1208705,CPB
2013-03-12,41.4,41.61,41.28,41.52,1232705,CPB
2013-03-13,41.53,41.9,41.44,41.84,1298750,CPB
2013-03-14,41.85,41.95,41.65,41.88,1279474,CPB
2013-03-15,41.67,41.75,41.46,41.61,2144286,CPB
2013-03-16,41.58,41.8,41.38,41.67,1773789,CPB
2013-03-17,41.5,41.85,41.29,41.74,1403292,CPB
2013-03-18,41.41,41.9,41.21,41.8,1032795,CPB
2013-03-19,41.9,42.23,41.8,42.19,1188919,CPB
2013-03-20,42.22,43.05,42.22,42.95,2072483,CPB
2013-03-21,42.78,42.84,42.45,42.7,1101879,CPB
2013-03-22,42.83,43.45,42.71,43.35,1364357,CPB
2013-03-23,43.04,43.59,42.95,43.43,1480358,CPB
2013-03-24,43.26,43.72,43.2,43.52,1596360,CPB
2013-03-25,43.47,43.86,43.44,43.6,1712361,CPB
2013-03-26,43.67,44.36,43.48,44.3,2642491,CPB
2013-03-27,44.12,44.83,43.95,44.82,2057594,CPB
2013-03-28,44.9,45.4,44.74,45.36,2102409,CPB
2013-03-29,45.01,45.49,44.88,45.46,2023795,CPB
2013-03-30,45.12,45.58,45.01,45.56,1945181,CPB
