index,open,high,low,close,volume,Name
2013-02-08,42.62,42.86,42.37,42.49,4283632,CRM
2013-02-09,42.65,42.84,42.34,42.54,4750321,CRM
2013-02-10,42.68,42.83,42.3,42.6,5217011,CRM
2013-02-11,42.7,42.81,42.27,42.66,5683700,CRM
2013-02-12,42.68,43.25,42.62,43.09,5906404,CRM
2013-02-13,43.09,43.34,42.5,43.08,4106540,CRM
2013-02-14,43.07,43.86,42.89,43.62,6838456,CRM
2013-02-15,43.69,43.96,43.15,43.76,5413348,CRM
2013-02-16,43.68,43.95,43.23,43.74,4934220,CRM
2013-02-17,43.68,43.95,43.3,43.73,4455092,CRM
2013-02-18,43.68,43.94,43.37,43.72,3975964,CRM
2013-02-19,43.68,43.94,43.45,43.71,3496836,CRM
2013-02-20,43.72,43.9,42.76,42.77,5299932,CRM
2013-02-21,42.72,42.79,41.94,42.14,5466956,CRM
2013-02-22,42.54,42.64,42.19,42.64,4078316,CRM
2013-02-23,42.51,42.67,41.73,42.05,6105645,CRM
2013-02-24,42.48,42.71,41.28,41.46,8132975,CRM
2013-02-25,42.45,42.74,40.82,40.88,10160304,CRM
2013-02-26,40.95,41.67,40.56,40.84,6918808,CRM
2013-02-27,40.84,42.05,40.5,41.74,6224064,CRM
2013-02-28,41.77,42.48,41.77,42.3,14764784,CRM
2013-03-01,44.38,45.81,42.7,45.5,26724228,CRM
2013-03-02,44.75,46.09,43.59,45.82,21000576,CRM
2013-03-03,45.13,46.38,44.48,46.15,15276924,CRM
2013-03-04,45.5,46.66,45.37,46.47,9553272,CRM
2013-03-05,45.94,46.47,45.76,46.44,9380952,CRM
2013-03-06,46.42,46.87,46.14,46.59,4816236,CRM
2013-03-07,46.62,46.64,46.02,46.12,3819964,CRM
2013-03-08,46.45,46.51,45.77,46.46,4218500,CRM
2013-03-09,46.43,46.67,45.97,46.47,4155331,CRM
2013-03-10,46.4,46.83,46.17,46.48,4092161,CRM
2013-03-11,46.38,46.98,46.38,46.48,4028992,CRM
2013-03-12,45.68,45.83,45.12,45.2,8920852,CRM
2013-03-13,45.38,45.41,44.74,45.23,6622944,CRM
2013-03-14,45.41,45.72,44.59,44.62,7149992,CRM
2013-03-15,44.61,44.96,44.05,44.12,9869600,CRM
2013-03-16,44.35,44.72,43.85,43.93,8745212,CRM
2013-03-17,44.09,44.49,43.65,43.73,7620824,CRM
2013-03-18,43.82,44.25,43.46,43.53,6496436,CRM
2013-03-19,43.63,43.68,42.59,42.81,7280500,CRM
2013-03-20,43.29,43.42,42.94,43.13,4591140,CRM
2013-03-21,42.69,43.42,42.54,43.18,6499492,CRM
2013-03-22,43.85,44.28,43.26,44.02,7204856,CRM
2013-03-23,43.9,44.21,43.19,43.74,6524249,CRM
2013-03-24,43.94,44.14,43.12,43.46,5843643,CRM
2013-03-25,43.98,44.07,43.06,43.19,5163036,CRM
2013-03-26,43.38,43.7,42.8,43.4,4499348,CRM
2013-03-27,43.23,44.04,43.12,43.97,5028648,CRM
2013-03-28,43.96,44.8,43.77,44.71,6540900,CRM
2013-03-29,44.14,44.83,43.75,44.49,6111792,CRM
2013-03-30,44.32,44.86,43.73,44.28,5682684,CRM
2013-03-31,44.5,44.89,43.7,44.06,5253576,CRM
2013-04-01,44.68,44.91,43.68,43.85,4824468,CRM
2013-04-02,44.25,44.32,43.7,43.83,3873684,CRM
2013-04-03,43.7,43.96,41.67,42.13,8304560,CRM
2013-04-04,42.13,42.16,41.13,41.6,5668304,CRM
2013-04-05,40.42,41.43,40.33,41.36,5287516,CRM
2013-04-06,40.69,41.55,40.55,41.48,4749744,CRM
2013-04-07,40.96,41.68,40.77,41.6,4211972,CRM
2013-04-08,41.24,41.8,40.99,41.72,3674200,CRM
2013-04-09,41.88,41.88,40.89,41.33,5303976,CRM
2013-04-10,41.48,42.3,41.38,42.2,4472780,CRM
2013-04-11,41.88,42.08,41.41,41.63,6845720,CRM
2013-04-12,41.59,42.46,41.12,42.38,7168720,CRM
2013-04-13,41.72,42.47,41.18,42.02,7152435,CRM
2013-04-14,41.86,42.48,41.24,41.66,7136149,CRM
2013-04-15,42.0,42.48,41.3,41.3,7119864,CRM
2013-04-16,41.68,42.6,41.52,42.6,6038420,CRM
2013-04-17,42.21,42.66,41.42,41.84,5535820,CRM
2013-04-18,41.17,41.91,40.76,41.03,4476325,CRM
2013-04-19,41.02,41.25,39.75,40.88,8713583,CRM
2013-04-20,41.03,41.22,39.88,40.69,7441659,CRM
2013-04-21,41.05,41.2,40.0,40.51,6169734,CRM
2013-04-22,41.06,41.17,40.13,40.32,4897810,CRM
2013-04-23,40.71,41.55,40.61,41.08,4115063,CRM
2013-04-24,41.02,41.53,40.87,40.91,2670712,CRM
2013-04-25,41.1,41.17,40.62,40.76,5149160,CRM
2013-04-26,40.84,41.1,40.64,40.71,2646256,CRM
2013-04-27,40.81,41.16,40.61,40.81,2648037,CRM
2013-04-28,40.78,41.22,40.58,40.91,2649817,CRM
2013-04-29,40.75,41.28,40.55,41.01,2651598,CRM
2013-04-30,41.05,41.24,40.71,41.11,3806589,CRM
2013-05-01,41.21,42.19,41.12,41.56,6423995,CRM
2013-05-02,41.77,42.1,41.5,41.87,3598443,CRM
2013-05-03,42.27,42.5,42.06,42.24,2897014,CRM
2013-05-04,42.29,42.61,42.14,42.31,3366572,CRM
2013-05-05,42.31,42.73,42.22,42.37,3836129,CRM
2013-05-06,42.33,42.84,42.3,42.44,4305687,CRM
2013-05-07,42.64,42.85,42.11,42.42,2802740,CRM
2013-05-08,42.43,42.59,42.2,42.37,3028226,CRM
2013-05-09,42.35,43.78,42.28,43.15,6061032,CRM
2013-05-10,43.21,44.25,43.21,44.17,4286810,CRM
2013-05-11,43.58,44.35,43.42,44.1,3839330,CRM
2013-05-12,43.96,44.46,43.62,44.03,3391850,CRM
2013-05-13,44.33,44.56,43.83,43.96,2944370,CRM
2013-05-14,44.05,45.04,44.01,44.98,4118625,CRM
2013-05-15,45.03,45.07,44.41,44.79,3099050,CRM
2013-05-16,45.39,47.31,45.29,46.15,7164980,CRM
2013-05-17,46.18,46.83,45.75,46.79,4781581,CRM
2013-05-18,46.5,47.08,46.11,46.86,5294073,CRM
2013-05-19,46.82,47.33,46.46,46.94,5806564,CRM
2013-05-20,47.14,47.58,46.82,47.01,6319056,CRM
2013-05-21,47.05,47.11,46.3,46.33,6112756,CRM
2013-05-22,46.43,47.22,45.53,45.78,6717123,CRM
2013-05-23,43.44,46.05,43.02,45.69,12046408,CRM
2013-05-24,42.75,43.82,41.8,43.25,21576765,CRM
2013-05-25,42.94,43.75,41.76,42.89,18699298,CRM
2013-05-26,43.14,43.68,41.71,42.52,15821831,CRM
2013-05-27,43.34,43.6,41.66,42.16,12944364,CRM
2013-05-28,43.53,43.53,41.62,41.8,10066897,CRM
2013-05-29,41.18,42.36,40.85,41.93,8799416,CRM
2013-05-30,42.09,42.97,42.0,42.76,5557454,CRM
2013-05-31,42.52,43.06,42.08,42.33,5758998,CRM
2013-06-01,42.47,42.85,41.42,41.9,6829244,CRM
2013-06-02,42.42,42.65,40.75,41.47,7899491,CRM
2013-06-03,42.37,42.44,40.09,41.04,8969737,CRM
2013-06-04,39.25,40.19,37.57,37.8,29695067,CRM
2013-06-05,38.68,38.81,37.69,37.95,18555598,CRM
2013-06-06,37.87,38.4,37.1,38.06,10970934,CRM
2013-06-07,38.38,39.64,38.27,39.61,10148789,CRM
2013-06-08,38.9,39.75,38.35,39.3,10365878,CRM
2013-06-09,39.43,39.86,38.44,38.99,10582967,CRM
2013-06-10,39.95,39.97,38.52,38.68,10800056,CRM
2013-06-11,38.24,38.32,37.34,37.59,8942857,CRM
2013-06-12,38.12,38.51,37.29,37.58,7768020,CRM
2013-06-13,37.46,37.98,36.87,37.8,5838058,CRM
2013-06-14,37.79,38.72,37.5,37.56,4940634,CRM
2013-06-15,37.6,38.75,37.36,37.78,5466857,CRM
2013-06-16,37.41,38.79,37.22,38.0,5993079,CRM
2013-06-17,37.22,38.82,37.08,38.22,6519302,CRM
2013-06-18,38.25,38.52,38.04,38.25,3207758,CRM
2013-06-19,38.25,38.5,37.58,37.65,4960482,CRM
