index,open,high,low,close,volume,Name
2013-02-08,21.17,21.3,21.13,21.16,23056853,CSCO
2013-02-09,21.19,21.31,21.14,21.2,26555013,CSCO
2013-02-10,21.22,21.33,21.14,21.23,30053172,CSCO
2013-02-11,21.24,21.34,21.15,21.27,33551332,CSCO
2013-02-12,21.25,21.27,20.94,20.97,46456472,CSCO
2013-02-13,21.0,21.14,20.93,21.14,63085496,CSCO
2013-02-14,20.88,21.0,20.51,20.99,67158759,CSCO
2013-02-15,20.94,21.07,20.92,20.99,44439532,CSCO
2013-02-16,20.96,21.17,20.93,21.11,44727126,CSCO
2013-02-17,20.98,21.28,20.94,21.22,45014720,CSCO
2013-02-18,20.99,21.38,20.94,21.34,45302313,CSCO
2013-02-19,21.01,21.48,20.95,21.46,45589907,CSCO
2013-02-20,21.49,21.67,21.07,21.1,47494547,CSCO
2013-02-21,21.0,21.02,20.71,20.76,33005814,CSCO
2013-02-22,20.81,20.93,20.72,20.9,20483295,CSCO
2013-02-23,20.87,21.02,20.7,20.82,26109713,CSCO
2013-02-24,20.94,21.11,20.67,20.74,31736131,CSCO
2013-02-25,21.0,21.2,20.65,20.66,37362549,CSCO
2013-02-26,20.54,20.78,20.5,20.61,34254647,CSCO
2013-02-27,20.6,21.02,20.44,20.89,25189601,CSCO
2013-02-28,20.89,21.04,20.74,20.86,30335762,CSCO
2013-03-01,20.71,20.9,20.55,20.83,24174763,CSCO
2013-03-02,20.72,20.86,20.56,20.8,23660612,CSCO
2013-03-03,20.73,20.82,20.57,20.77,23146460,CSCO
2013-03-04,20.74,20.78,20.58,20.74,22632309,CSCO
2013-03-05,20.83,21.25,20.83,21.22,32828986,CSCO
2013-03-06,21.3,21.79,21.24,21.72,45966136,CSCO
2013-03-07,21.72,21.97,21.68,21.8,37372123,CSCO
2013-03-08,21.84,21.97,21.77,21.83,23838706,CSCO
2013-03-09,21.82,21.97,21.73,21.85,25599121,CSCO
2013-03-10,21.79,21.98,21.69,21.86,27359536,CSCO
2013-03-11,21.77,21.98,21.65,21.88,29119951,CSCO
2013-03-12,21.76,21.84,21.54,21.7,25986962,CSCO
2013-03-13,21.65,21.8,21.51,21.58,30187930,CSCO
2013-03-14,21.7,21.86,21.45,21.59,40468163,CSCO
2013-03-15,21.57,21.95,21.38,21.92,59803100,CSCO
2013-03-16,21.63,21.95,21.46,21.84,49939298,CSCO
2013-03-17,21.68,21.95,21.53,21.76,40075496,CSCO
2013-03-18,21.74,21.95,21.61,21.67,30211694,CSCO
2013-03-19,21.71,21.74,21.3,21.52,27264047,CSCO
2013-03-20,21.63,21.74,21.58,21.67,24570873,CSCO
2013-03-21,21.0,21.18,20.72,20.84,64424513,CSCO
2013-03-22,20.93,21.07,20.69,20.75,39792022,CSCO
2013-03-23,20.91,21.04,20.7,20.78,38671026,CSCO
2013-03-24,20.9,21.02,20.7,20.82,37550030,CSCO
2013-03-25,20.88,20.99,20.71,20.85,36429034,CSCO
2013-03-26,20.94,20.96,20.69,20.84,27627515,CSCO
2013-03-27,20.68,20.9,20.61,20.83,27760827,CSCO
2013-03-28,20.84,20.94,20.76,20.9,28323173,CSCO
2013-03-29,20.89,21.05,20.77,20.88,31244657,CSCO
2013-03-30,20.94,21.16,20.77,20.86,34166142,CSCO
2013-03-31,20.99,21.27,20.78,20.85,37087626,CSCO
2013-04-01,21.04,21.38,20.78,20.83,40009110,CSCO
2013-04-02,20.96,21.29,20.9,21.22,34093095,CSCO
2013-04-03,21.28,21.37,21.11,21.2,30100459,CSCO
2013-04-04,21.01,21.09,20.96,21.04,24998500,CSCO
2013-04-05,20.25,20.7,20.0,20.61,54766854,CSCO
2013-04-06,20.4,20.71,20.16,20.6,44167267,CSCO
2013-04-07,20.54,20.72,20.31,20.58,33567681,CSCO
2013-04-08,20.69,20.73,20.47,20.57,22968094,CSCO
2013-04-09,20.64,21.05,20.58,20.97,27529434,CSCO
2013-04-10,21.07,21.6,21.02,21.47,39307049,CSCO
2013-04-11,21.33,21.7,21.27,21.68,35992114,CSCO
2013-04-12,21.67,21.7,21.12,21.54,31583758,CSCO
2013-04-13,21.6,21.68,21.1,21.38,30374512,CSCO
2013-04-14,21.52,21.66,21.07,21.21,29165266,CSCO
2013-04-15,21.45,21.64,21.05,21.05,27956020,CSCO
2013-04-16,21.14,21.17,20.95,21.16,32745039,CSCO
2013-04-17,20.95,21.02,20.59,20.63,30870307,CSCO
2013-04-18,20.74,20.85,20.45,20.58,35397020,CSCO
2013-04-19,20.2,20.55,19.98,20.46,51141907,CSCO
2013-04-20,20.31,20.58,20.08,20.5,44578609,CSCO
2013-04-21,20.42,20.62,20.17,20.55,38015311,CSCO
2013-04-22,20.53,20.65,20.27,20.59,31452013,CSCO
2013-04-23,20.75,21.1,20.73,20.91,34843744,CSCO
2013-04-24,20.47,20.53,20.26,20.39,55726435,CSCO
2013-04-25,20.5,20.77,20.39,20.64,40488478,CSCO
2013-04-26,20.61,20.71,20.51,20.67,33713439,CSCO
2013-04-27,20.62,20.83,20.5,20.77,32301020,CSCO
2013-04-28,20.64,20.95,20.48,20.88,30888602,CSCO
2013-04-29,20.65,21.07,20.47,20.98,29476183,CSCO
2013-04-30,20.99,21.25,20.8,20.92,37776985,CSCO
2013-05-01,20.83,20.9,20.35,20.38,44771358,CSCO
2013-05-02,20.47,20.75,20.44,20.73,54869254,CSCO
2013-05-03,20.93,20.96,20.76,20.83,41962481,CSCO
2013-05-04,20.91,20.95,20.75,20.82,38413553,CSCO
2013-05-05,20.89,20.93,20.75,20.82,34864625,CSCO
2013-05-06,20.87,20.92,20.74,20.81,31315697,CSCO
2013-05-07,20.68,20.71,20.29,20.38,54596335,CSCO
2013-05-08,20.4,20.76,20.4,20.72,37411489,CSCO
2013-05-09,20.72,20.95,20.62,20.83,25789832,CSCO
2013-05-10,20.83,21.1,20.82,21.1,26926071,CSCO
2013-05-11,20.93,21.16,20.9,21.16,29729345,CSCO
2013-05-12,21.04,21.22,20.97,21.21,32532619,CSCO
