index,open,high,low,close,volume,Name
2013-02-08,71.86,73.4,71.84,72.91,1556618,CTXS
2013-02-09,72.15,73.3,71.91,72.74,1526511,CTXS
2013-02-10,72.44,73.19,71.97,72.57,1496403,CTXS
2013-02-11,72.73,73.09,72.04,72.4,1466296,CTXS
2013-02-12,72.67,73.9,72.26,73.59,1703579,CTXS
2013-02-13,73.4,73.43,71.45,72.39,1772505,CTXS
2013-02-14,72.05,72.45,71.62,72.01,1543529,CTXS
2013-02-15,71.95,73.37,71.82,72.62,2291304,CTXS
2013-02-16,72.15,73.42,72.0,72.83,2094115,CTXS
2013-02-17,72.35,73.46,72.18,73.04,1896926,CTXS
2013-02-18,72.55,73.5,72.37,73.25,1699736,CTXS
2013-02-19,72.75,73.55,72.55,73.46,1502547,CTXS
2013-02-20,73.51,73.89,72.03,72.17,1469439,CTXS
2013-02-21,71.93,71.99,70.43,71.4,1728941,CTXS
2013-02-22,71.99,72.97,71.49,72.91,1168212,CTXS
2013-02-23,72.41,73.35,71.33,72.34,1311243,CTXS
2013-02-24,72.84,73.72,71.17,71.78,1454274,CTXS
2013-02-25,73.26,74.1,71.01,71.21,1597305,CTXS
2013-02-26,71.49,72.71,70.0,70.76,2545921,CTXS
2013-02-27,70.76,71.66,70.15,71.04,1524233,CTXS
2013-02-28,71.18,71.94,70.73,70.9,2091016,CTXS
2013-03-01,70.92,71.96,69.89,71.36,2446783,CTXS
2013-03-02,71.05,72.27,70.18,71.87,2182311,CTXS
2013-03-03,71.17,72.58,70.46,72.38,1917840,CTXS
2013-03-04,71.3,72.89,70.75,72.89,1653368,CTXS
2013-03-05,73.27,74.23,73.11,73.84,1206806,CTXS
2013-03-06,74.15,74.46,73.62,74.33,973145,CTXS
2013-03-07,74.33,74.66,73.78,74.26,722480,CTXS
2013-03-08,74.73,74.95,74.02,74.43,1106448,CTXS
2013-03-09,74.52,74.96,74.04,74.5,1031920,CTXS
2013-03-10,74.3,74.98,74.07,74.58,957393,CTXS
2013-03-11,74.09,74.99,74.09,74.65,882865,CTXS
