index,open,high,low,close,volume,Name
2013-02-08,93.74,97.87,93.63,96.15,1521147,CXO
2013-02-09,94.54,97.45,94.11,96.27,1226975,CXO
2013-02-10,95.33,97.04,94.6,96.4,932802,CXO
2013-02-11,96.13,96.62,95.08,96.52,638630,CXO
2013-02-12,96.53,96.97,95.62,96.16,857633,CXO
2013-02-13,96.07,96.15,93.82,93.96,1413661,CXO
2013-02-14,94.13,96.94,93.65,96.45,1373550,CXO
2013-02-15,96.07,96.55,94.95,96.44,1225489,CXO
2013-02-16,96.23,96.88,95.38,96.78,1082658,CXO
2013-02-17,96.4,97.2,95.8,97.12,939828,CXO
2013-02-18,96.56,97.52,96.23,97.45,796998,CXO
2013-02-19,96.72,97.85,96.66,97.79,654167,CXO
2013-02-20,97.84,97.98,94.47,94.67,1082843,CXO
2013-02-21,95.54,95.54,90.56,92.85,1358901,CXO
2013-02-22,93.55,96.4,93.55,94.75,1442080,CXO
2013-02-23,94.11,96.07,92.4,93.24,1416162,CXO
2013-02-24,94.68,95.74,91.26,91.72,1390245,CXO
2013-02-25,95.24,95.41,90.11,90.21,1364327,CXO
2013-02-26,90.79,91.25,87.05,89.07,1684041,CXO
2013-02-27,89.23,90.76,88.81,89.5,989781,CXO
2013-02-28,89.74,90.63,89.1,89.96,1182193,CXO
2013-03-01,89.12,89.24,87.72,88.39,1304471,CXO
2013-03-02,88.79,89.25,87.53,88.33,1281552,CXO
2013-03-03,88.46,89.26,87.35,88.28,1258633,CXO
2013-03-04,88.13,89.28,87.17,88.22,1235714,CXO
2013-03-05,89.09,89.6,88.26,88.89,922884,CXO
2013-03-06,89.22,89.36,87.71,87.93,793584,CXO
2013-03-07,88.63,91.38,88.29,90.92,1035514,CXO
2013-03-08,91.25,92.82,90.16,92.5,791984,CXO
2013-03-09,91.49,92.64,90.29,92.12,750365,CXO
2013-03-10,91.72,92.47,90.42,91.74,708746,CXO
2013-03-11,91.96,92.29,90.55,91.36,667127,CXO
2013-03-12,91.73,91.99,90.8,91.48,791084,CXO
2013-03-13,91.34,95.39,91.01,94.09,1519866,CXO
2013-03-14,94.18,97.0,94.15,96.82,1226111,CXO
2013-03-15,96.7,97.95,95.9,96.19,1111357,CXO
2013-03-16,96.13,97.72,95.44,96.25,1094670,CXO
2013-03-17,95.56,97.5,94.99,96.32,1077984,CXO
2013-03-18,94.99,97.27,94.54,96.38,1061297,CXO
2013-03-19,96.39,96.48,92.53,93.01,722114,CXO
2013-03-20,94.02,95.64,93.86,94.7,883042,CXO
2013-03-21,94.23,94.99,93.33,93.45,585958,CXO
2013-03-22,94.11,95.07,93.55,94.93,1155030,CXO
2013-03-23,94.56,95.87,94.07,95.67,1215486,CXO
2013-03-24,95.01,96.67,94.58,96.42,1275943,CXO
2013-03-25,95.46,97.47,95.1,97.16,1336399,CXO
2013-03-26,97.75,98.84,97.02,98.69,1407482,CXO
2013-03-27,97.74,99.39,97.28,98.36,1358908,CXO
2013-03-28,98.18,98.87,97.29,97.43,659939,CXO
2013-03-29,98.01,98.56,96.91,97.41,623456,CXO
2013-03-30,97.84,98.24,96.52,97.39,586972,CXO
2013-03-31,97.66,97.93,96.14,97.37,550489,CXO
2013-04-01,97.49,97.62,95.76,97.35,514006,CXO
2013-04-02,97.51,97.51,93.41,94.02,970526,CXO
2013-04-03,94.01,94.25,90.72,91.07,827400,CXO
2013-04-04,91.01,91.17,88.76,89.68,834411,CXO
2013-04-05,88.42,89.87,87.82,89.23,993472,CXO
2013-04-06,88.63,90.55,88.22,90.1,946485,CXO
2013-04-07,88.83,91.23,88.62,90.98,899498,CXO
2013-04-08,89.04,91.91,89.02,91.85,852511,CXO
2013-04-09,91.83,92.59,91.25,92.14,708162,CXO
2013-04-10,92.72,93.11,90.97,91.01,718661,CXO
2013-04-11,91.18,91.98,90.01,90.11,592133,CXO
2013-04-12,88.75,88.95,85.74,86.5,1754706,CXO
2013-04-13,87.61,87.76,83.89,84.5,1732547,CXO
2013-04-14,86.48,86.58,82.04,82.5,1710389,CXO
2013-04-15,85.34,85.39,80.19,80.5,1688230,CXO
2013-04-16,81.95,83.9,80.83,83.48,1607142,CXO
2013-04-17,82.1,82.1,78.58,81.16,2215724,CXO
2013-04-18,81.24,82.92,79.45,82.39,1362696,CXO
2013-04-19,82.3,82.74,80.11,82.7,1405620,CXO
2013-04-20,82.48,83.67,80.75,83.54,1377265,CXO
2013-04-21,82.66,84.6,81.38,84.37,1348909,CXO
2013-04-22,82.84,85.54,82.02,85.21,1320554,CXO
