index,open,high,low,close,volume,Name
2013-02-08,42.95,43.09,42.56,42.68,17442086,C
2013-02-09,42.85,43.19,42.53,42.84,19447930,C
2013-02-10,42.76,43.3,42.51,42.99,21453774,C
2013-02-11,42.66,43.4,42.49,43.15,23459618,C
2013-02-12,43.24,44.5,43.0,44.35,39070833,C
2013-02-13,44.47,44.68,43.76,44.0,26661489,C
2013-02-14,43.83,44.42,43.75,44.32,20016212,C
2013-02-15,44.51,44.51,43.63,43.84,23247216,C
2013-02-16,44.38,44.56,43.71,44.0,23359084,C
2013-02-17,44.25,44.61,43.79,44.17,23470951,C
2013-02-18,44.12,44.66,43.87,44.34,23582818,C
2013-02-19,43.99,44.71,43.95,44.5,23694686,C
2013-02-20,44.48,44.48,43.12,43.22,26460747,C
2013-02-21,42.79,42.8,41.89,42.35,37601090,C
2013-02-22,42.8,42.97,42.41,42.79,23755178,C
2013-02-23,42.91,43.1,41.95,42.24,27478959,C
2013-02-24,43.01,43.24,41.5,41.7,31202740,C
2013-02-25,43.12,43.37,41.04,41.15,34926521,C
2013-02-26,41.41,41.58,40.28,41.29,46215398,C
2013-02-27,41.3,42.34,41.02,42.16,29193063,C
2013-02-28,42.08,42.69,41.75,41.97,28907146,C
2013-03-01,41.56,42.52,41.02,42.11,29854734,C
2013-03-02,41.7,42.66,41.34,42.39,28970448,C
2013-03-03,41.85,42.8,41.65,42.66,28086163,C
2013-03-04,41.99,42.94,41.97,42.94,27201877,C
2013-03-05,43.41,44.03,43.1,43.6,43207455,C
2013-03-06,43.97,44.75,43.9,44.58,35967374,C
2013-03-07,44.56,45.13,44.45,45.0,40061075,C
2013-03-08,45.98,46.7,45.37,46.68,63713566,C
2013-03-09,46.26,47.11,45.71,46.99,59735369,C
2013-03-10,46.53,47.51,46.06,47.29,55757171,C
2013-03-11,46.81,47.92,46.4,47.6,51778974,C
2013-03-12,47.34,47.45,46.4,46.95,35077883,C
2013-03-13,46.88,47.0,46.33,46.97,27651555,C
2013-03-14,47.06,47.66,47.05,47.46,25979801,C
2013-03-15,47.52,47.57,46.92,47.26,48856328,C
2013-03-16,47.03,47.23,46.58,46.92,45412361,C
2013-03-17,46.53,46.9,46.25,46.58,41968394,C
2013-03-18,46.04,46.56,45.91,46.24,38524427,C
2013-03-19,46.5,46.95,45.4,45.79,44415469,C
2013-03-20,46.14,46.46,45.97,46.09,24494420,C
2013-03-21,45.91,46.45,45.22,45.23,33105442,C
2013-03-22,45.53,45.54,44.95,45.23,26399355,C
2013-03-23,45.61,45.63,44.74,44.98,28530955,C
2013-03-24,45.68,45.73,44.54,44.74,30662555,C
2013-03-25,45.76,45.82,44.33,44.49,32794155,C
2013-03-26,44.69,45.09,44.36,44.83,24934829,C
2013-03-27,44.43,44.64,44.16,44.46,26296515,C
2013-03-28,44.45,44.75,44.05,44.24,25362409,C
2013-03-29,44.42,44.74,43.95,44.13,23927989,C
2013-03-30,44.39,44.73,43.86,44.02,22493570,C
2013-03-31,44.35,44.72,43.76,43.9,21059150,C
2013-04-01,44.32,44.71,43.66,43.79,19624730,C
2013-04-02,43.98,44.48,43.88,44.11,25142920,C
2013-04-03,43.97,44.1,42.2,42.5,47949659,C
2013-04-04,42.53,42.98,42.15,42.77,38525655,C
2013-04-05,41.75,43.16,41.6,43.01,32559938,C
2013-04-06,42.19,43.31,41.91,43.19,29532713,C
2013-04-07,42.62,43.47,42.23,43.38,26505489,C
2013-04-08,43.06,43.62,42.54,43.56,23478264,C
2013-04-09,43.69,44.28,43.68,43.89,26792371,C
