index,open,high,low,close,volume,Name
2013-02-08,92.07,92.99,91.76,92.81,1607002,DE
2013-02-09,92.33,93.14,92.05,92.95,1660979,DE
2013-02-10,92.6,93.3,92.34,93.09,1714957,DE
2013-02-11,92.86,93.45,92.63,93.23,1768934,DE
2013-02-12,93.13,94.01,92.87,93.97,3186136,DE
2013-02-13,93.69,93.9,90.52,90.68,8043985,DE
2013-02-14,90.46,91.44,90.14,90.57,3178381,DE
2013-02-15,90.46,90.78,89.52,89.75,5019348,DE
2013-02-16,90.34,90.75,89.53,89.9,4613247,DE
2013-02-17,90.23,90.72,89.54,90.06,4207146,DE
2013-02-18,90.12,90.68,89.54,90.22,3801044,DE
2013-02-19,90.0,90.65,89.55,90.37,3394943,DE
2013-02-20,90.35,90.38,88.15,88.23,4206830,DE
2013-02-21,87.77,87.78,86.09,87.06,4729246,DE
2013-02-22,87.53,88.29,86.76,87.13,3627759,DE
2013-02-23,87.52,88.45,86.32,86.6,3558188,DE
2013-02-24,87.52,88.6,85.87,86.08,3488618,DE
2013-02-25,87.51,88.76,85.43,85.55,3419047,DE
2013-02-26,86.12,87.13,85.69,86.5,2877060,DE
2013-02-27,86.41,88.11,86.13,87.82,2596618,DE
2013-02-28,87.96,88.35,87.66,87.83,2894575,DE
2013-03-01,87.73,88.36,86.37,87.89,2798628,DE
2013-03-02,87.65,88.24,86.55,87.92,2733630,DE
2013-03-03,87.58,88.11,86.73,87.94,2668633,DE
2013-03-04,87.5,87.99,86.92,87.97,2603635,DE
2013-03-05,89.04,90.64,89.04,90.11,4609550,DE
2013-03-06,90.95,91.05,89.01,89.27,2885373,DE
2013-03-07,89.44,90.31,89.44,89.77,2185592,DE
2013-03-08,90.43,91.16,89.98,90.88,3437318,DE
2013-03-09,90.58,91.27,90.13,91.07,2978655,DE
2013-03-10,90.73,91.38,90.29,91.25,2519993,DE
2013-03-11,90.88,91.5,90.44,91.44,2061330,DE
2013-03-12,91.64,91.7,90.62,90.85,1882911,DE
2013-03-13,90.75,91.39,90.19,91.34,1892183,DE
2013-03-14,91.73,92.4,91.3,92.2,2619424,DE
2013-03-15,91.61,92.5,91.6,92.24,3519543,DE
2013-03-16,91.48,92.38,91.4,92.1,3001697,DE
2013-03-17,91.34,92.27,91.2,91.96,2483850,DE
2013-03-18,91.21,92.16,91.0,91.82,1966004,DE
2013-03-19,90.37,91.62,89.93,90.57,3683813,DE
2013-03-20,89.11,89.35,87.14,87.74,6172989,DE
2013-03-21,87.17,87.97,86.65,86.89,2846050,DE
2013-03-22,87.37,88.39,87.32,87.72,2669889,DE
2013-03-23,87.71,88.39,87.02,87.44,2755680,DE
2013-03-24,88.06,88.4,86.73,87.16,2841472,DE
2013-03-25,88.4,88.4,86.43,86.88,2927263,DE
2013-03-26,86.64,87.31,86.26,87.26,2148587,DE
2013-03-27,86.9,87.5,86.4,87.45,2009873,DE
2013-03-28,87.63,87.82,85.15,85.98,5260455,DE
2013-03-29,87.27,87.41,85.08,85.76,4509249,DE
2013-03-30,86.91,87.0,85.01,85.53,3758044,DE
2013-03-31,86.55,86.6,84.94,85.3,3006838,DE
2013-04-01,86.19,86.19,84.87,85.08,2255632,DE
2013-04-02,85.28,85.41,83.7,84.04,3206527,DE
2013-04-03,84.1,85.28,83.83,84.8,4029436,DE
2013-04-04,84.91,86.05,84.75,85.69,3160395,DE
2013-04-05,84.58,85.8,84.42,85.68,3047056,DE
2013-04-06,84.98,86.1,84.85,85.95,2794144,DE
2013-04-07,85.39,86.41,85.29,86.21,2541232,DE
2013-04-08,85.79,86.71,85.72,86.48,2288320,DE
2013-04-09,86.7,87.18,86.15,86.68,1834951,DE
2013-04-10,86.91,87.37,86.4,87.1,2174526,DE
2013-04-11,87.17,87.78,86.8,87.58,1777043,DE
2013-04-12,87.19,87.48,85.63,86.14,1997573,DE
2013-04-13,86.64,86.84,84.72,85.08,2356067,DE
2013-04-14,86.1,86.19,83.82,84.01,2714562,DE
2013-04-15,85.55,85.55,82.91,82.95,3073056,DE
2013-04-16,83.75,84.68,83.04,83.18,2821284,DE
2013-04-17,82.36,82.76,81.58,82.56,4601129,DE
2013-04-18,82.56,83.1,81.99,82.57,2761744,DE
2013-04-19,83.05,83.87,82.47,83.46,2236625,DE
2013-04-20,83.23,83.96,82.43,83.58,2356747,DE
2013-04-21,83.42,84.05,82.4,83.7,2476869,DE
2013-04-22,83.6,84.14,82.36,83.82,2596991,DE
2013-04-23,84.27,85.21,84.1,84.78,2487567,DE
2013-04-24,85.0,85.82,84.71,85.12,2089633,DE
2013-04-25,85.65,86.83,85.47,86.03,2041828,DE
2013-04-26,85.93,86.29,85.41,85.49,1685759,DE
2013-04-27,85.87,87.41,85.51,86.6,2611619,DE
2013-04-28,85.82,88.54,85.6,87.72,3537478,DE
2013-04-29,85.76,89.66,85.7,88.83,4463338,DE
2013-04-30,89.26,90.0,88.87,89.3,3646220,DE
2013-05-01,88.81,89.1,87.6,87.77,2279554,DE
2013-05-02,88.01,89.84,87.87,89.54,2311252,DE
2013-05-03,90.56,91.5,90.29,90.54,2695270,DE
2013-05-04,90.43,91.49,90.13,90.74,2408389,DE
2013-05-05,90.29,91.47,89.97,90.93,2121507,DE
2013-05-06,90.16,91.46,89.81,91.13,1834626,DE
2013-05-07,91.46,91.74,90.99,91.73,1856378,DE
2013-05-08,91.8,92.63,91.36,92.35,2122744,DE
2013-05-09,92.05,92.76,91.75,92.19,1960204,DE
2013-05-10,92.35,92.77,91.15,92.3,2966283,DE
2013-05-11,92.33,92.84,91.47,92.39,2898858,DE
2013-05-12,92.3,92.91,91.8,92.49,2831432,DE
2013-05-13,92.28,92.98,92.12,92.58,2764007,DE
2013-05-14,92.49,93.88,92.29,93.77,3663192,DE
2013-05-15,89.22,90.6,88.56,89.64,11627377,DE
2013-05-16,89.26,90.33,89.06,89.39,4182592,DE
2013-05-17,88.59,88.77,86.53,86.97,7289309,DE
2013-05-18,88.05,88.65,86.6,87.33,6266258,DE
2013-05-19,87.52,88.54,86.68,87.68,5243208,DE
2013-05-20,86.98,88.42,86.75,88.04,4220157,DE
2013-05-21,87.95,88.25,87.2,87.59,3446531,DE
2013-05-22,87.83,87.89,86.1,86.83,6008031,DE
2013-05-23,85.75,87.53,85.65,87.18,3684029,DE
2013-05-24,86.78,86.78,85.82,86.29,2869689,DE
2013-05-25,86.88,87.0,85.94,86.3,2925857,DE
2013-05-26,86.99,87.22,86.06,86.32,2982026,DE
2013-05-27,87.1,87.43,86.18,86.33,3038194,DE
2013-05-28,87.2,87.65,86.3,86.34,3094362,DE
2013-05-29,85.99,87.63,85.96,87.35,3216432,DE
2013-05-30,87.6,88.12,87.25,87.41,2024072,DE
2013-05-31,87.42,88.47,87.11,87.11,2830216,DE
2013-06-01,87.45,88.46,87.11,87.52,3011059,DE
2013-06-02,87.48,88.45,87.11,87.94,3191901,DE
2013-06-03,87.51,88.44,87.11,88.35,3372744,DE
2013-06-04,88.18,88.79,86.48,87.15,3254160,DE
2013-06-05,86.79,86.98,85.85,85.9,2442536,DE
2013-06-06,85.73,86.1,85.12,86.09,2910373,DE
2013-06-07,86.78,87.07,85.95,86.81,2983150,DE
2013-06-08,86.94,87.15,85.94,86.61,2823234,DE
2013-06-09,87.09,87.23,85.92,86.4,2663319,DE
2013-06-10,87.25,87.31,85.91,86.2,2503403,DE
2013-06-11,85.29,85.75,84.69,85.24,2463015,DE
2013-06-12,85.88,86.02,83.86,84.32,3266503,DE
2013-06-13,84.34,85.87,84.02,85.6,2161701,DE
2013-06-14,85.44,85.53,84.49,84.88,1991822,DE
2013-06-15,85.35,85.46,84.4,84.86,2218984,DE
2013-06-16,85.26,85.4,84.32,84.83,2446145,DE
2013-06-17,85.17,85.33,84.23,84.81,2673307,DE
2013-06-18,84.59,85.28,84.52,85.0,2295201,DE
2013-06-19,85.24,86.2,85.0,85.08,2882593,DE
2013-06-20,84.28,84.36,82.63,82.89,4368428,DE
2013-06-21,83.48,83.7,81.73,82.47,4799217,DE
2013-06-22,82.6,82.93,80.99,81.98,5110383,DE
2013-06-23,81.71,82.17,80.24,81.49,5421549,DE
2013-06-24,80.83,81.4,79.5,81.0,5732715,DE
2013-06-25,82.0,82.61,81.55,82.45,4160343,DE
2013-06-26,82.57,82.64,81.85,82.15,2822569,DE
2013-06-27,82.68,83.15,82.22,82.95,2564430,DE
2013-06-28,82.64,83.5,81.24,81.25,5238590,DE
2013-06-29,82.39,83.05,81.17,81.27,4486770,DE
2013-06-30,82.13,82.61,81.1,81.29,3734949,DE
2013-07-01,81.88,82.16,81.03,81.31,2983129,DE
2013-07-02,81.35,81.97,80.51,80.9,2209623,DE
2013-07-03,80.69,81.5,80.56,80.99,1196074,DE
2013-07-04,81.2,81.67,80.56,81.22,1267274,DE
2013-07-05,81.71,81.84,80.57,81.44,1338474,DE
2013-07-06,81.62,81.9,80.8,81.41,1589537,DE
2013-07-07,81.54,81.97,81.02,81.38,1840599,DE
2013-07-08,81.45,82.03,81.25,81.35,2091662,DE
2013-07-09,81.94,84.36,81.41,83.91,5978893,DE
2013-07-10,83.95,84.0,82.52,82.87,3155342,DE
2013-07-11,83.94,84.56,83.1,84.25,2945612,DE
2013-07-12,84.23,84.25,83.32,83.94,3068617,DE
2013-07-13,84.22,84.35,83.49,84.1,2587517,DE
2013-07-14,84.22,84.46,83.66,84.26,2106416,DE
2013-07-15,84.21,84.56,83.83,84.42,1625316,DE
2013-07-16,84.57,85.19,83.92,83.96,3051590,DE
2013-07-17,84.38,84.75,82.4,83.6,3825888,DE
2013-07-18,83.7,84.28,83.47,83.66,1897208,DE
2013-07-19,83.63,84.25,83.3,84.05,2487598,DE
2013-07-20,83.85,84.56,83.63,84.29,2582597,DE
2013-07-21,84.06,84.88,83.95,84.54,2677595,DE
2013-07-22,84.28,85.19,84.28,84.78,2772594,DE
2013-07-23,85.0,85.5,83.87,83.9,2838161,DE
2013-07-24,83.99,84.06,82.4,82.59,3686558,DE
2013-07-25,82.21,83.04,81.66,82.9,4132067,DE
2013-07-26,82.55,82.92,82.27,82.81,1960816,DE
2013-07-27,82.62,83.09,82.4,82.88,1912386,DE
2013-07-28,82.69,83.26,82.52,82.95,1863956,DE
2013-07-29,82.76,83.43,82.65,83.02,1815526,DE
2013-07-30,82.03,83.1,81.36,82.98,4000946,DE
2013-07-31,83.62,84.84,83.01,83.07,3795594,DE
2013-08-01,83.74,83.85,82.51,83.05,3492427,DE
2013-08-02,83.03,83.7,82.93,83.4,2411158,DE
2013-08-03,83.15,83.63,82.84,83.2,2620311,DE
2013-08-04,83.28,83.55,82.76,83.0,2829465,DE
