index,open,high,low,close,volume,Name
2013-02-08,64.53,64.94,64.41,64.6,437722,DISCK
2013-02-09,64.6,64.95,64.23,64.5,415677,DISCK
2013-02-10,64.66,64.97,64.06,64.41,393631,DISCK
2013-02-11,64.73,64.98,63.88,64.31,371586,DISCK
2013-02-12,64.64,64.64,63.99,64.22,292385,DISCK
2013-02-13,64.5,64.83,64.2,64.31,638155,DISCK
2013-02-14,63.78,64.18,61.5,63.76,498284,DISCK
2013-02-15,63.26,64.01,62.24,63.01,467364,DISCK
2013-02-16,63.16,63.82,62.34,63.01,420924,DISCK
2013-02-17,63.05,63.64,62.45,63.02,374484,DISCK
2013-02-18,62.94,63.45,62.56,63.02,328043,DISCK
2013-02-19,62.84,63.26,62.66,63.02,281603,DISCK
2013-02-20,63.3,63.51,62.1,62.22,262065,DISCK
2013-02-21,61.91,62.05,60.94,61.62,230639,DISCK
2013-02-22,61.78,63.05,61.48,63.0,203222,DISCK
2013-02-23,62.19,63.18,61.86,63.0,337080,DISCK
2013-02-24,62.6,63.31,62.24,62.99,470937,DISCK
2013-02-25,63.01,63.44,62.62,62.99,604795,DISCK
2013-02-26,63.03,63.63,62.78,63.19,474449,DISCK
2013-02-27,63.0,65.2,63.0,64.85,655874,DISCK
2013-02-28,64.56,65.05,64.4,64.5,806890,DISCK
2013-03-01,63.78,66.31,63.78,66.17,532921,DISCK
2013-03-02,64.57,66.45,64.47,66.33,527574,DISCK
2013-03-03,65.37,66.6,65.15,66.5,522226,DISCK
2013-03-04,66.16,66.74,65.84,66.66,516879,DISCK
2013-03-05,67.11,68.14,66.85,68.09,533549,DISCK
2013-03-06,66.8,68.51,65.91,66.48,957411,DISCK
2013-03-07,67.01,69.7,66.99,69.5,4057873,DISCK
2013-03-08,69.75,70.85,69.25,69.99,1046227,DISCK
2013-03-09,69.83,70.67,69.34,70.03,819155,DISCK
2013-03-10,69.92,70.5,69.43,70.06,592084,DISCK
2013-03-11,70.0,70.32,69.52,70.1,365012,DISCK
2013-03-12,70.0,70.34,69.42,69.92,252538,DISCK
2013-03-13,69.81,70.21,69.63,70.08,393205,DISCK
2013-03-14,70.03,70.86,70.0,70.6,472466,DISCK
2013-03-15,70.52,70.52,69.32,69.34,455246,DISCK
2013-03-16,69.85,70.21,68.84,69.38,500912,DISCK
2013-03-17,69.17,69.9,68.37,69.43,546579,DISCK
2013-03-18,68.5,69.59,67.89,69.47,592245,DISCK
2013-03-19,69.57,69.93,68.86,69.69,311190,DISCK
2013-03-20,70.0,70.68,69.98,70.5,626571,DISCK
2013-03-21,70.07,70.66,69.43,69.76,549249,DISCK
2013-03-22,69.94,70.01,69.5,69.92,585058,DISCK
2013-03-23,70.05,70.28,69.36,69.81,669619,DISCK
2013-03-24,70.15,70.54,69.22,69.7,754179,DISCK
2013-03-25,70.26,70.81,69.08,69.59,838740,DISCK
2013-03-26,70.0,70.0,69.44,69.76,881115,DISCK
2013-03-27,69.51,69.65,68.67,69.48,611776,DISCK
2013-03-28,69.72,70.06,69.42,69.54,664235,DISCK
2013-03-29,69.74,70.07,69.48,69.65,883009,DISCK
2013-03-30,69.76,70.08,69.53,69.76,1101783,DISCK
2013-03-31,69.78,70.08,69.59,69.86,1320557,DISCK
2013-04-01,69.8,70.09,69.64,69.97,1539331,DISCK
2013-04-02,69.72,70.44,69.72,70.02,923219,DISCK
2013-04-03,69.89,70.05,69.25,69.83,416228,DISCK
2013-04-04,69.53,69.93,69.04,69.72,349021,DISCK
2013-04-05,68.6,70.04,68.03,69.99,805462,DISCK
2013-04-06,68.98,70.25,68.6,70.18,755516,DISCK
2013-04-07,69.36,70.46,69.17,70.36,705569,DISCK
2013-04-08,69.74,70.67,69.74,70.55,655623,DISCK
2013-04-09,70.54,71.02,70.15,70.68,585993,DISCK
2013-04-10,71.58,72.8,70.87,72.77,590458,DISCK
2013-04-11,72.83,73.83,72.83,73.08,477187,DISCK
2013-04-12,72.62,73.66,72.62,73.48,390881,DISCK
2013-04-13,72.72,73.54,72.07,72.69,431050,DISCK
2013-04-14,72.81,73.41,71.51,71.89,471218,DISCK
