index,open,high,low,close,volume,Name
2013-02-08,37.2,37.7,37.06,37.64,1449533,DISH
2013-02-09,37.32,37.69,36.99,37.46,1416293,DISH
2013-02-10,37.43,37.67,36.93,37.29,1383053,DISH
2013-02-11,37.55,37.66,36.86,37.11,1349813,DISH
2013-02-12,37.15,37.77,36.69,37.66,2533447,DISH
2013-02-13,37.74,38.14,37.1,37.28,2150143,DISH
2013-02-14,37.45,37.47,36.52,36.84,3448344,DISH
2013-02-15,36.84,37.29,36.65,36.93,2464162,DISH
2013-02-16,36.8,37.16,36.48,36.72,2750005,DISH
2013-02-17,36.76,37.02,36.31,36.51,3035848,DISH
2013-02-18,36.73,36.88,36.14,36.3,3321691,DISH
2013-02-19,36.69,36.75,35.98,36.09,3607534,DISH
2013-02-20,36.35,36.58,35.82,36.03,3934950,DISH
2013-02-21,35.8,35.83,34.57,35.04,3650005,DISH
2013-02-22,35.05,35.24,34.91,35.09,2804904,DISH
2013-02-23,35.11,35.29,34.87,35.01,2826836,DISH
2013-02-24,35.17,35.35,34.84,34.93,2848767,DISH
2013-02-25,35.23,35.4,34.8,34.85,2870699,DISH
2013-02-26,35.04,35.18,34.83,35.14,3650511,DISH
2013-02-27,35.18,35.18,34.77,34.87,2081966,DISH
2013-02-28,34.73,35.1,34.53,34.8,2067742,DISH
2013-03-01,34.63,34.75,34.21,34.7,2167281,DISH
2013-03-02,34.61,34.72,34.21,34.66,2617738,DISH
2013-03-03,34.58,34.7,34.21,34.63,3068194,DISH
2013-03-04,34.56,34.67,34.21,34.59,3518651,DISH
2013-03-05,34.76,34.79,34.34,34.71,2507927,DISH
2013-03-06,34.83,35.09,34.13,34.19,2036684,DISH
2013-03-07,34.27,34.57,33.79,34.44,2847836,DISH
2013-03-08,34.67,34.69,34.23,34.45,2396691,DISH
2013-03-09,34.61,34.79,34.2,34.62,2622765,DISH
2013-03-10,34.56,34.89,34.16,34.78,2848839,DISH
2013-03-11,34.5,34.99,34.13,34.95,3074913,DISH
2013-03-12,34.75,35.07,34.65,35.02,3359530,DISH
2013-03-13,34.98,35.14,34.57,34.65,2217176,DISH
2013-03-14,34.7,34.81,34.18,34.23,2343427,DISH
2013-03-15,34.19,35.68,34.19,35.15,5425555,DISH
2013-03-16,34.41,35.51,34.28,35.01,4444626,DISH
2013-03-17,34.63,35.34,34.36,34.86,3463696,DISH
2013-03-18,34.85,35.17,34.45,34.72,2482767,DISH
2013-03-19,34.78,35.11,34.51,34.67,2269191,DISH
2013-03-20,34.69,37.15,34.69,36.48,6019287,DISH
2013-03-21,36.44,37.08,36.29,36.85,3470603,DISH
2013-03-22,36.76,38.12,36.73,37.79,3804296,DISH
2013-03-23,37.12,38.11,37.06,37.85,4514183,DISH
2013-03-24,37.49,38.1,37.38,37.91,5224069,DISH
2013-03-25,37.85,38.08,37.71,37.97,5933956,DISH
2013-03-26,38.05,38.2,37.74,37.96,1997308,DISH
2013-03-27,37.89,38.15,37.75,38.02,1577078,DISH
2013-03-28,38.1,38.2,37.64,37.9,1452357,DISH
2013-03-29,38.05,38.17,37.62,37.94,1455654,DISH
