index,open,high,low,close,volume,Name
2013-02-08,39.41,41.33,39.33,41.06,3308538,DLTR
2013-02-09,40.03,41.34,39.67,41.03,3026439,DLTR
2013-02-10,40.64,41.35,40.01,40.99,2744341,DLTR
2013-02-11,41.26,41.36,40.35,40.96,2462242,DLTR
2013-02-12,40.83,40.96,40.0,40.23,2273829,DLTR
2013-02-13,40.23,40.53,39.46,39.72,2992818,DLTR
2013-02-14,39.47,40.12,38.43,39.93,4254197,DLTR
2013-02-15,39.9,41.86,39.66,41.12,10303163,DLTR
2013-02-16,40.2,41.7,39.71,40.94,8902118,DLTR
2013-02-17,40.51,41.53,39.76,40.76,7501073,DLTR
2013-02-18,40.82,41.36,39.81,40.58,6100028,DLTR
2013-02-19,41.12,41.2,39.86,40.4,4698983,DLTR
2013-02-20,40.35,40.7,39.98,40.29,3301234,DLTR
2013-02-21,40.25,41.94,40.1,41.46,5620763,DLTR
2013-02-22,41.69,41.93,41.18,41.89,3258873,DLTR
2013-02-23,41.76,41.95,41.06,41.53,3799162,DLTR
2013-02-24,41.84,41.96,40.94,41.18,4339451,DLTR
2013-02-25,41.91,41.98,40.82,40.82,4879740,DLTR
2013-02-26,40.76,41.25,40.65,41.08,4751746,DLTR
2013-02-27,43.5,46.71,43.5,45.39,10563106,DLTR
2013-02-28,45.25,45.98,45.01,45.18,6105759,DLTR
2013-03-01,45.02,46.16,44.62,46.11,3607493,DLTR
2013-03-02,45.3,46.27,44.98,46.23,3588996,DLTR
2013-03-03,45.57,46.39,45.33,46.36,3570499,DLTR
2013-03-04,45.85,46.5,45.69,46.48,3552002,DLTR
2013-03-05,46.75,46.76,45.56,46.0,3529583,DLTR
2013-03-06,46.31,46.45,45.19,45.47,2544279,DLTR
2013-03-07,45.46,45.58,44.88,45.1,1975387,DLTR
2013-03-08,45.47,45.5,44.86,45.03,2491104,DLTR
2013-03-09,45.28,45.51,44.85,45.02,2281313,DLTR
2013-03-10,45.08,45.53,44.83,45.02,2071523,DLTR
2013-03-11,44.89,45.54,44.81,45.01,1861732,DLTR
2013-03-12,44.88,45.17,44.53,44.64,1813809,DLTR
2013-03-13,45.44,45.44,44.66,45.05,1645392,DLTR
2013-03-14,45.01,45.21,44.79,44.96,1606562,DLTR
2013-03-15,44.8,45.1,44.13,44.24,2630328,DLTR
2013-03-16,44.78,45.04,43.98,44.46,2408013,DLTR
2013-03-17,44.75,44.98,43.83,44.69,2185699,DLTR
2013-03-18,44.73,44.92,43.68,44.91,1963384,DLTR
2013-03-19,44.64,45.35,44.15,44.37,2323957,DLTR
2013-03-20,44.81,46.33,44.76,46.16,2652891,DLTR
2013-03-21,45.7,46.64,45.51,46.34,2610775,DLTR
2013-03-22,46.32,47.23,45.94,46.84,3068677,DLTR
2013-03-23,46.71,47.69,46.18,46.9,3187881,DLTR
2013-03-24,47.09,48.15,46.42,46.96,3307084,DLTR
2013-03-25,47.48,48.61,46.66,47.02,3426288,DLTR
