index,open,high,low,close,volume,Name
2013-02-08,64.25,64.28,63.78,64.28,480522,DTE
2013-02-09,64.24,64.36,63.92,64.32,407336,DTE
2013-02-10,64.22,64.44,64.06,64.36,334151,DTE
2013-02-11,64.21,64.52,64.2,64.4,260965,DTE
2013-02-12,64.23,64.56,63.92,64.51,552548,DTE
2013-02-13,64.48,64.68,64.26,64.4,407343,DTE
2013-02-14,64.24,64.56,63.89,64.36,698953,DTE
2013-02-15,64.37,64.59,64.25,64.42,588298,DTE
2013-02-16,64.42,64.73,64.31,64.5,685616,DTE
2013-02-17,64.46,64.87,64.36,64.59,782934,DTE
2013-02-18,64.51,65.0,64.41,64.67,880251,DTE
2013-02-19,64.56,65.14,64.47,64.75,977569,DTE
2013-02-20,64.54,65.37,64.24,64.86,745839,DTE
2013-02-21,64.85,64.91,64.45,64.83,767734,DTE
2013-02-22,65.03,65.64,64.93,65.62,614905,DTE
2013-02-23,65.28,65.82,65.05,65.53,982153,DTE
2013-02-24,65.52,66.0,65.17,65.43,1349401,DTE
2013-02-25,65.77,66.18,65.29,65.34,1716649,DTE
2013-02-26,65.46,65.81,65.07,65.79,1190687,DTE
2013-02-27,65.8,66.29,65.7,66.26,769841,DTE
2013-02-28,66.3,67.01,66.18,66.8,1183294,DTE
2013-03-01,66.66,66.74,66.08,66.43,1316820,DTE
2013-03-02,66.56,66.98,66.18,66.65,1203856,DTE
2013-03-03,66.47,67.21,66.27,66.86,1090893,DTE
2013-03-04,66.37,67.45,66.37,67.08,977929,DTE
2013-03-05,67.27,67.78,67.21,67.52,1066204,DTE
2013-03-06,67.7,67.7,66.61,66.81,978071,DTE
2013-03-07,66.82,67.25,66.48,66.49,688630,DTE
2013-03-08,66.61,66.76,66.08,66.65,2052459,DTE
2013-03-09,66.6,66.79,66.23,66.68,2250958,DTE
2013-03-10,66.59,66.81,66.37,66.72,2449458,DTE
2013-03-11,66.58,66.84,66.52,66.75,2647957,DTE
2013-03-12,66.64,66.7,66.32,66.66,3571388,DTE
2013-03-13,66.74,67.0,66.52,66.89,466735,DTE
2013-03-14,66.36,66.66,66.18,66.41,681598,DTE
2013-03-15,66.15,66.62,66.02,66.36,1165227,DTE
