index,open,high,low,close,volume,Name
2013-02-08,59.5,60.5,59.19,60.42,3503978,DVN
2013-02-09,59.76,60.47,59.23,60.18,3227557,DVN
2013-02-10,60.01,60.45,59.27,59.94,2951137,DVN
2013-02-11,60.27,60.42,59.31,59.7,2674716,DVN
2013-02-12,59.8,59.99,59.06,59.53,2572923,DVN
2013-02-13,60.33,61.75,60.25,61.48,8369238,DVN
2013-02-14,61.12,61.8,60.4,60.66,5414750,DVN
2013-02-15,60.9,60.9,58.73,59.25,5358023,DVN
2013-02-16,60.54,60.83,58.86,59.58,5504720,DVN
2013-02-17,60.18,60.76,58.99,59.91,5651418,DVN
2013-02-18,59.83,60.68,59.12,60.24,5798115,DVN
2013-02-19,59.47,60.61,59.25,60.57,5944812,DVN
2013-02-20,60.62,60.62,55.76,56.57,9360242,DVN
2013-02-21,56.35,56.42,54.88,54.88,6534504,DVN
2013-02-22,55.3,55.49,54.35,54.98,4545319,DVN
2013-02-23,55.36,55.57,54.23,54.65,4638986,DVN
2013-02-24,55.41,55.65,54.1,54.33,4732653,DVN
2013-02-25,55.47,55.73,53.98,54.0,4826320,DVN
2013-02-26,54.34,54.42,52.68,53.73,5166497,DVN
2013-02-27,53.57,54.45,53.55,54.14,3139306,DVN
2013-02-28,54.09,54.56,53.86,54.26,4214730,DVN
2013-03-01,53.87,54.06,53.57,53.88,2720161,DVN
2013-03-02,53.81,53.97,53.44,53.76,2944976,DVN
2013-03-03,53.75,53.88,53.31,53.65,3169791,DVN
2013-03-04,53.69,53.79,53.18,53.53,3394606,DVN
2013-03-05,53.91,54.46,53.65,54.08,3159226,DVN
2013-03-06,54.25,54.67,53.86,54.32,2834315,DVN
2013-03-07,54.31,55.87,54.3,55.79,3987017,DVN
2013-03-08,56.0,56.31,55.78,56.24,2687797,DVN
2013-03-09,56.01,56.26,55.6,56.15,2657926,DVN
2013-03-10,56.01,56.22,55.43,56.05,2628054,DVN
2013-03-11,56.02,56.17,55.25,55.96,2598183,DVN
2013-03-12,56.08,56.5,55.68,55.86,3097609,DVN
2013-03-13,55.31,56.48,55.31,55.69,3625473,DVN
2013-03-14,55.76,57.79,55.7,57.68,4119415,DVN
2013-03-15,57.5,58.53,57.36,58.06,4884296,DVN
2013-03-16,57.54,58.51,57.36,58.03,4316538,DVN
2013-03-17,57.58,58.5,57.35,58.0,3748780,DVN
2013-03-18,57.62,58.48,57.35,57.97,3181022,DVN
2013-03-19,57.93,58.12,56.82,57.26,3817646,DVN
2013-03-20,57.7,58.0,56.7,57.11,2894471,DVN
2013-03-21,56.79,57.7,56.65,56.91,2929479,DVN
2013-03-22,57.21,57.6,56.95,57.31,2472887,DVN
2013-03-23,57.36,57.78,56.91,57.21,2457595,DVN
2013-03-24,57.5,57.97,56.88,57.12,2442304,DVN
2013-03-25,57.65,58.15,56.84,57.02,2427012,DVN
2013-03-26,57.23,57.45,56.81,57.21,2273594,DVN
2013-03-27,56.94,57.34,56.75,57.14,1745274,DVN
2013-03-28,57.14,57.3,56.34,56.42,3734221,DVN
2013-03-29,56.9,57.04,56.01,56.2,3666823,DVN
2013-03-30,56.66,56.78,55.68,55.97,3599426,DVN
2013-03-31,56.43,56.53,55.36,55.74,3532028,DVN
2013-04-01,56.19,56.27,55.03,55.52,3464630,DVN
2013-04-02,55.69,55.7,54.7,54.95,3133635,DVN
2013-04-03,54.95,55.05,53.62,53.85,2914455,DVN
2013-04-04,53.81,54.16,53.11,53.39,3221592,DVN
2013-04-05,52.97,54.5,52.79,54.0,3446759,DVN
2013-04-06,53.33,54.57,53.12,54.15,3126655,DVN
2013-04-07,53.7,54.65,53.46,54.29,2806551,DVN
2013-04-08,54.06,54.72,53.79,54.44,2486447,DVN
2013-04-09,54.49,55.59,54.2,55.23,2264329,DVN
2013-04-10,55.52,56.08,55.16,55.8,2566982,DVN
2013-04-11,55.95,56.69,55.46,56.54,2921677,DVN
2013-04-12,56.25,56.5,54.92,55.05,5754904,DVN
2013-04-13,55.61,55.83,54.31,54.4,5684573,DVN
2013-04-14,54.97,55.16,53.69,53.75,5614241,DVN
2013-04-15,54.33,54.49,53.08,53.1,5543910,DVN
2013-04-16,53.68,54.16,53.28,54.03,3393528,DVN
2013-04-17,53.48,53.48,52.08,52.8,3521077,DVN
2013-04-18,52.92,53.5,52.09,53.1,3129397,DVN
2013-04-19,53.34,53.44,51.04,51.44,5515361,DVN
2013-04-20,52.73,52.91,50.96,51.53,5222376,DVN
2013-04-21,52.11,52.38,50.89,51.61,4929391,DVN
2013-04-22,51.5,51.85,50.81,51.7,4636406,DVN
2013-04-23,51.83,52.96,51.11,52.93,5267827,DVN
2013-04-24,53.14,53.72,52.97,53.43,2889333,DVN
2013-04-25,53.52,54.5,53.31,53.47,2708486,DVN
2013-04-26,53.6,53.75,52.75,53.61,2691632,DVN
2013-04-27,53.69,54.18,53.05,54.0,2782602,DVN
2013-04-28,53.77,54.62,53.35,54.38,2873573,DVN
2013-04-29,53.86,55.05,53.65,54.77,2964543,DVN
2013-04-30,54.75,55.15,54.46,55.06,3235025,DVN
2013-05-01,55.26,57.16,54.59,55.24,8214594,DVN
2013-05-02,55.74,56.88,55.02,56.64,4593368,DVN
2013-05-03,57.09,58.3,56.97,58.15,4008023,DVN
2013-05-04,57.44,58.7,57.31,58.23,3948543,DVN
2013-05-05,57.8,59.1,57.65,58.32,3889063,DVN
2013-05-06,58.15,59.49,57.99,58.4,3829583,DVN
2013-05-07,58.36,58.85,57.43,58.12,5309331,DVN
2013-05-08,58.14,58.91,58.03,58.43,2642847,DVN
2013-05-09,58.4,58.68,57.92,58.39,2288744,DVN
2013-05-10,58.05,59.21,57.91,59.18,3318895,DVN
2013-05-11,58.39,59.36,58.13,59.18,3072636,DVN
2013-05-12,58.74,59.52,58.35,59.17,2826377,DVN
2013-05-13,59.08,59.67,58.57,59.17,2580118,DVN
2013-05-14,59.17,59.73,59.08,59.45,1883746,DVN
2013-05-15,59.08,59.37,58.37,58.76,2476559,DVN
2013-05-16,58.65,58.87,57.91,58.23,2251036,DVN
2013-05-17,58.66,59.3,58.5,58.79,3107808,DVN
2013-05-18,58.71,59.52,58.59,59.15,2868698,DVN
2013-05-19,58.77,59.73,58.68,59.5,2629588,DVN
2013-05-20,58.82,59.95,58.77,59.86,2390478,DVN
2013-05-21,59.82,60.86,59.58,60.17,3484612,DVN
2013-05-22,60.36,61.1,58.76,59.15,3599352,DVN
2013-05-23,57.96,58.68,57.29,58.29,5021538,DVN
2013-05-24,57.66,58.01,57.26,57.84,2846702,DVN
2013-05-25,57.87,58.26,57.46,57.94,2769630,DVN
2013-05-26,58.08,58.52,57.66,58.04,2692558,DVN
2013-05-27,58.29,58.78,57.85,58.13,2615485,DVN
2013-05-28,58.5,59.03,58.05,58.23,2538413,DVN
2013-05-29,58.02,58.85,57.81,58.66,2678753,DVN
2013-05-30,58.54,58.79,57.77,58.39,2155106,DVN
2013-05-31,58.16,58.17,56.83,56.85,3303690,DVN
2013-06-01,57.74,58.03,56.79,57.08,3024076,DVN
2013-06-02,57.32,57.89,56.76,57.32,2744462,DVN
2013-06-03,56.9,57.75,56.72,57.55,2464848,DVN
2013-06-04,57.4,57.73,56.91,57.25,1987078,DVN
2013-06-05,57.15,57.23,56.58,56.64,3001822,DVN
2013-06-06,57.94,58.0,54.83,55.83,7772113,DVN
2013-06-07,56.18,56.9,55.8,56.85,3352729,DVN
2013-06-08,56.38,56.88,55.83,56.64,2888560,DVN
2013-06-09,56.59,56.87,55.86,56.43,2424392,DVN
2013-06-10,56.79,56.85,55.89,56.22,1960223,DVN
2013-06-11,55.61,55.72,55.01,55.26,2663372,DVN
2013-06-12,55.75,55.75,54.35,54.54,2686831,DVN
2013-06-13,54.52,55.16,54.22,55.04,2297933,DVN
2013-06-14,55.01,55.23,54.17,54.32,2460602,DVN
2013-06-15,54.95,55.26,54.33,54.55,2497420,DVN
2013-06-16,54.89,55.29,54.48,54.77,2534238,DVN
2013-06-17,54.83,55.32,54.63,55.0,2571056,DVN
2013-06-18,54.94,55.58,54.87,55.3,2458537,DVN
2013-06-19,55.26,55.47,54.12,54.13,2951074,DVN
2013-06-20,53.71,53.79,52.53,52.71,4162650,DVN
2013-06-21,53.2,53.55,52.78,53.43,5517230,DVN
2013-06-22,53.08,53.32,52.41,52.96,5132504,DVN
2013-06-23,52.95,53.08,52.03,52.5,4747779,DVN
2013-06-24,52.83,52.85,51.66,52.03,4363053,DVN
2013-06-25,52.44,53.26,51.95,53.07,3498787,DVN
2013-06-26,53.49,53.5,52.6,52.99,2154271,DVN
2013-06-27,53.3,53.65,52.25,52.36,3877638,DVN
2013-06-28,52.32,52.45,51.67,51.88,3938266,DVN
2013-06-29,52.25,52.55,51.78,52.01,3580778,DVN
2013-06-30,52.19,52.65,51.89,52.15,3223291,DVN
2013-07-01,52.12,52.75,52.0,52.28,2865803,DVN
2013-07-02,52.33,53.1,52.29,53.05,3261390,DVN
2013-07-03,52.97,53.57,52.54,53.5,1802246,DVN
2013-07-04,53.35,54.11,53.0,54.03,2302055,DVN
2013-07-05,53.73,54.66,53.46,54.56,2801864,DVN
2013-07-06,54.13,54.91,53.86,54.65,2831494,DVN
2013-07-07,54.53,55.17,54.27,54.73,2861124,DVN
2013-07-08,54.93,55.42,54.67,54.82,2890754,DVN
2013-07-09,55.04,55.71,54.9,55.61,2736758,DVN
2013-07-10,55.73,55.89,55.24,55.27,2696775,DVN
2013-07-11,55.8,56.9,55.52,55.97,3077499,DVN
2013-07-12,56.06,56.52,55.46,55.65,2373191,DVN
2013-07-13,55.9,56.46,55.43,55.8,2267275,DVN
2013-07-14,55.75,56.41,55.4,55.95,2161360,DVN
2013-07-15,55.59,56.36,55.37,56.1,2055444,DVN
2013-07-16,56.11,56.42,55.68,56.19,2037601,DVN
2013-07-17,56.24,56.66,56.04,56.17,1379040,DVN
2013-07-18,56.35,57.11,56.2,56.78,2257584,DVN
2013-07-19,56.82,57.99,56.75,57.89,3073593,DVN
2013-07-20,57.13,57.94,56.87,57.69,2663756,DVN
2013-07-21,57.44,57.9,56.99,57.49,2253919,DVN
2013-07-22,57.75,57.85,57.11,57.29,1844082,DVN
2013-07-23,57.51,57.84,57.04,57.4,2056688,DVN
2013-07-24,57.4,57.4,56.09,56.34,2856427,DVN
2013-07-25,56.28,56.8,56.07,56.5,2892957,DVN
2013-07-26,56.27,56.43,55.42,55.84,2728943,DVN
2013-07-27,55.97,56.22,55.11,55.47,2842847,DVN
2013-07-28,55.68,56.0,54.8,55.11,2956751,DVN
2013-07-29,55.38,55.79,54.49,54.74,3070655,DVN
2013-07-30,54.9,55.06,54.08,54.89,3562849,DVN
2013-07-31,55.15,55.43,54.9,55.01,3380008,DVN
2013-08-01,55.51,56.54,55.51,56.33,2344759,DVN
2013-08-02,56.16,56.2,55.64,55.96,2232479,DVN
2013-08-03,56.05,56.22,55.66,55.97,2417592,DVN
