index,open,high,low,close,volume,Name
2013-02-08,17.05,17.5,16.86,17.37,4846238,EA
2013-02-09,17.13,17.54,16.95,17.38,4702458,EA
2013-02-10,17.22,17.57,17.04,17.4,4558678,EA
2013-02-11,17.3,17.6,17.13,17.41,4414898,EA
2013-02-12,17.38,17.58,17.28,17.54,4443470,EA
2013-02-13,17.39,17.55,17.06,17.17,5300187,EA
2013-02-14,17.13,17.36,16.98,17.15,5670436,EA
2013-02-15,17.15,17.18,16.83,16.97,5481025,EA
2013-02-16,17.13,17.32,16.87,17.12,5344828,EA
2013-02-17,17.1,17.46,16.92,17.28,5208632,EA
2013-02-18,17.08,17.61,16.96,17.43,5072435,EA
2013-02-19,17.05,17.75,17.0,17.58,4936238,EA
2013-02-20,17.51,17.75,17.45,17.48,5319875,EA
2013-02-21,17.65,17.92,17.16,17.64,10889854,EA
2013-02-22,17.67,17.87,17.67,17.81,3526120,EA
2013-02-23,17.73,17.92,17.68,17.77,4247364,EA
2013-02-24,17.78,17.98,17.68,17.74,4968608,EA
2013-02-25,17.84,18.03,17.69,17.7,5689852,EA
2013-02-26,17.76,17.82,17.45,17.69,4559987,EA
2013-02-27,17.65,18.2,17.41,18.12,5373351,EA
2013-02-28,17.59,18.0,17.52,17.53,7160430,EA
2013-03-01,17.53,18.08,17.42,18.04,5916742,EA
2013-03-02,17.68,18.15,17.59,18.09,5560042,EA
2013-03-03,17.82,18.23,17.76,18.15,5203342,EA
2013-03-04,17.97,18.3,17.93,18.2,4846642,EA
2013-03-05,18.34,18.9,18.3,18.51,4899017,EA
2013-03-06,18.63,18.87,18.45,18.62,3182505,EA
2013-03-07,18.56,18.94,18.44,18.71,4026345,EA
2013-03-08,18.75,18.82,18.48,18.58,3831286,EA
2013-03-09,18.69,19.05,18.51,18.76,5132900,EA
2013-03-10,18.64,19.28,18.55,18.95,6434514,EA
2013-03-11,18.58,19.51,18.58,19.13,7736128,EA
2013-03-12,19.06,19.25,18.99,19.25,3947990,EA
2013-03-13,19.04,19.15,18.79,18.94,5548080,EA
2013-03-14,19.07,19.36,18.95,19.34,3483409,EA
2013-03-15,19.33,19.34,18.87,18.88,5657897,EA
2013-03-16,19.12,19.15,18.72,18.82,5459411,EA
2013-03-17,18.91,18.96,18.57,18.77,5260924,EA
2013-03-18,18.7,18.76,18.42,18.71,5062438,EA
2013-03-19,18.71,18.85,16.93,17.15,20063818,EA
2013-03-20,17.18,17.41,17.08,17.34,5450525,EA
2013-03-21,17.58,17.99,17.54,17.7,5885339,EA
2013-03-22,17.68,18.03,17.68,17.97,4669594,EA
2013-03-23,17.83,18.07,17.62,17.83,4722794,EA
2013-03-24,17.97,18.1,17.57,17.7,4775993,EA
2013-03-25,18.12,18.14,17.51,17.56,4829193,EA
2013-03-26,18.11,18.15,17.69,17.77,4608114,EA
2013-03-27,17.76,17.83,17.47,17.79,2672531,EA
2013-03-28,17.63,17.73,17.39,17.7,6487310,EA
2013-03-29,17.62,17.8,17.44,17.75,5937620,EA
2013-03-30,17.62,17.88,17.5,17.81,5387929,EA
2013-03-31,17.61,17.95,17.56,17.86,4838238,EA
2013-04-01,17.61,18.02,17.61,17.92,4288548,EA
2013-04-02,17.75,17.94,17.43,17.55,3959783,EA
2013-04-03,17.55,17.59,17.19,17.24,4527809,EA
2013-04-04,17.34,17.39,17.11,17.24,4305693,EA
2013-04-05,17.14,17.37,17.0,17.35,2580191,EA
2013-04-06,17.2,17.37,16.99,17.32,2628878,EA
2013-04-07,17.27,17.38,16.98,17.3,2677566,EA
2013-04-08,17.33,17.38,16.98,17.27,2726253,EA
2013-04-09,17.36,17.51,17.24,17.45,1778421,EA
2013-04-10,17.41,17.84,17.28,17.8,3976231,EA
2013-04-11,17.96,17.96,17.6,17.63,3190211,EA
2013-04-12,17.53,17.6,17.34,17.58,2168739,EA
2013-04-13,17.52,17.6,17.19,17.36,2851813,EA
2013-04-14,17.51,17.6,17.05,17.13,3534887,EA
2013-04-15,17.5,17.6,16.9,16.91,4217961,EA
2013-04-16,17.1,17.47,16.87,17.37,4365903,EA
2013-04-17,17.15,17.31,16.84,17.01,4159696,EA
2013-04-18,17.02,17.1,16.75,16.94,2282306,EA
2013-04-19,16.88,17.14,16.64,17.09,2654259,EA
2013-04-20,16.95,17.22,16.68,17.15,2817686,EA
2013-04-21,17.03,17.3,16.72,17.22,2981112,EA
2013-04-22,17.1,17.37,16.76,17.28,3144539,EA
2013-04-23,17.29,17.59,17.14,17.42,2200224,EA
2013-04-24,17.43,17.86,17.42,17.8,2525864,EA
2013-04-25,17.86,18.06,17.79,17.94,3347249,EA
2013-04-26,17.96,18.12,17.86,17.88,3222285,EA
2013-04-27,17.94,18.08,17.81,17.84,2867317,EA
2013-04-28,17.91,18.04,17.76,17.81,2512350,EA
2013-04-29,17.89,18.0,17.71,17.77,2157382,EA
2013-04-30,17.77,17.79,17.36,17.61,2409249,EA
2013-05-01,17.59,17.65,17.16,17.3,2412031,EA
2013-05-02,17.39,17.54,17.15,17.54,2373187,EA
2013-05-03,17.69,18.13,17.68,17.95,6220540,EA
2013-05-04,17.68,18.19,17.66,18.07,5582854,EA
2013-05-05,17.68,18.25,17.64,18.18,4945169,EA
2013-05-06,17.67,18.31,17.62,18.29,4307483,EA
2013-05-07,18.85,18.85,18.05,18.41,8044935,EA
2013-05-08,19.8,21.68,19.8,21.56,22311029,EA
2013-05-09,21.04,21.89,20.95,21.64,11145635,EA
2013-05-10,21.5,22.57,21.45,22.48,9168284,EA
2013-05-11,21.76,22.54,21.45,22.23,8517202,EA
2013-05-12,22.01,22.51,21.45,21.99,7866120,EA
2013-05-13,22.27,22.48,21.45,21.74,7215038,EA
2013-05-14,21.8,22.43,21.78,22.41,4407575,EA
2013-05-15,22.04,22.84,22.02,22.64,4810135,EA
2013-05-16,22.6,22.7,22.0,22.02,4394142,EA
2013-05-17,21.75,22.35,21.5,22.21,5621004,EA
2013-05-18,21.83,22.34,21.59,22.07,5311816,EA
2013-05-19,21.92,22.34,21.68,21.93,5002629,EA
2013-05-20,22.0,22.33,21.76,21.79,4693441,EA
2013-05-21,21.63,22.59,21.58,21.97,6469854,EA
2013-05-22,22.13,22.77,21.68,21.75,6620496,EA
2013-05-23,21.59,22.7,21.5,22.65,5805821,EA
2013-05-24,22.27,22.98,22.26,22.77,6060983,EA
2013-05-25,22.45,23.12,22.39,22.89,6072324,EA
2013-05-26,22.63,23.26,22.52,23.02,6083665,EA
2013-05-27,22.81,23.39,22.64,23.14,6095006,EA
2013-05-28,22.99,23.53,22.77,23.26,6106347,EA
2013-05-29,23.24,23.48,22.96,23.16,4520888,EA
2013-05-30,23.04,23.54,23.03,23.35,3288222,EA
2013-05-31,23.19,23.6,22.99,22.99,4525747,EA
2013-06-01,23.13,23.43,22.83,22.99,4304397,EA
2013-06-02,23.07,23.27,22.67,22.99,4083046,EA
2013-06-03,23.01,23.11,22.51,22.99,3861696,EA
2013-06-04,22.85,23.13,22.54,22.72,4815387,EA
2013-06-05,22.76,23.0,22.56,22.88,3446720,EA
2013-06-06,22.83,23.28,22.71,23.28,3555736,EA
2013-06-07,23.5,23.66,23.23,23.61,3476129,EA
2013-06-08,23.53,23.66,23.09,23.36,3577496,EA
2013-06-09,23.57,23.66,22.94,23.12,3678864,EA
2013-06-10,23.6,23.66,22.8,22.87,3780231,EA
2013-06-11,22.74,23.31,22.54,22.6,3851872,EA
2013-06-12,22.79,22.91,21.43,21.54,6642906,EA
2013-06-13,21.53,21.65,20.95,21.49,7727634,EA
2013-06-14,21.49,22.03,21.45,21.81,3587820,EA
2013-06-15,21.61,22.27,21.58,22.02,3963741,EA
2013-06-16,21.72,22.51,21.71,22.22,4339662,EA
2013-06-17,21.84,22.75,21.84,22.43,4715583,EA
2013-06-18,22.42,23.09,22.42,23.03,4485502,EA
2013-06-19,22.96,23.21,22.83,22.84,3879101,EA
2013-06-20,22.61,22.77,22.14,22.15,3922831,EA
2013-06-21,22.15,22.66,21.75,21.98,5704209,EA
2013-06-22,22.06,22.42,21.61,21.85,4836989,EA
2013-06-23,21.98,22.18,21.47,21.73,3969769,EA
2013-06-24,21.89,21.94,21.33,21.61,3102549,EA
2013-06-25,21.85,22.02,21.56,21.78,2307022,EA
2013-06-26,22.08,22.11,21.65,21.79,2625821,EA
2013-06-27,21.96,22.59,21.94,22.21,2949034,EA
2013-06-28,21.93,23.12,21.93,22.99,7366851,EA
2013-06-29,22.25,23.21,22.24,23.05,6113430,EA
2013-06-30,22.57,23.3,22.56,23.12,4860009,EA
2013-07-01,22.89,23.39,22.87,23.18,3606588,EA
2013-07-02,23.2,23.54,22.99,23.52,3334654,EA
2013-07-03,23.22,23.56,23.19,23.31,2066138,EA
2013-07-04,23.36,23.72,23.25,23.57,1980193,EA
2013-07-05,23.5,23.88,23.32,23.83,1894248,EA
2013-07-06,23.63,23.92,23.27,23.73,2535066,EA
2013-07-07,23.76,23.95,23.22,23.64,3175885,EA
2013-07-08,23.89,23.99,23.17,23.54,3816703,EA
