index,open,high,low,close,volume,Name
2013-02-08,73.46,74.47,73.43,74.4,760578,ECL
2013-02-09,73.71,74.49,73.55,74.29,710410,ECL
2013-02-10,73.95,74.52,73.67,74.17,660241,ECL
2013-02-11,74.2,74.54,73.79,74.06,610073,ECL
2013-02-12,73.95,74.49,73.89,74.46,712828,ECL
2013-02-13,74.69,74.86,74.11,74.67,691292,ECL
2013-02-14,74.46,75.14,74.26,74.82,1055159,ECL
2013-02-15,75.21,75.9,74.96,75.21,1995733,ECL
2013-02-16,75.21,75.87,74.92,75.33,1740036,ECL
2013-02-17,75.22,75.84,74.88,75.45,1484340,ECL
2013-02-18,75.22,75.8,74.84,75.57,1228644,ECL
2013-02-19,75.22,75.77,74.8,75.69,972947,ECL
2013-02-20,75.68,75.97,74.7,74.81,1235648,ECL
2013-02-21,74.51,74.51,73.61,73.98,1241881,ECL
2013-02-22,74.37,74.95,74.27,74.7,1046898,ECL
2013-02-23,74.58,75.09,73.78,74.07,1179034,ECL
2013-02-24,74.79,75.22,73.28,73.43,1311170,ECL
2013-02-25,75.0,75.36,72.79,72.8,1443306,ECL
2013-02-26,72.31,75.98,72.03,75.84,1782375,ECL
2013-02-27,76.08,77.78,75.98,77.31,1731823,ECL
2013-02-28,77.3,77.68,76.51,76.55,2251619,ECL
2013-03-01,76.22,77.07,75.49,76.77,1462257,ECL
2013-03-02,76.29,77.15,75.72,76.95,1220321,ECL
2013-03-03,76.37,77.24,75.96,77.14,978384,ECL
2013-03-04,76.44,77.32,76.19,77.32,736448,ECL
2013-03-05,77.69,78.0,77.14,77.28,866777,ECL
2013-03-06,77.6,78.04,77.31,77.67,970645,ECL
2013-03-07,77.86,78.21,77.48,77.93,1105358,ECL
2013-03-08,78.04,78.4,77.7,78.14,700627,ECL
2013-03-09,78.08,78.58,77.81,78.36,746173,ECL
2013-03-10,78.12,78.75,77.92,78.59,791719,ECL
2013-03-11,78.16,78.93,78.03,78.81,837265,ECL
2013-03-12,78.73,79.49,78.73,79.45,1016929,ECL
2013-03-13,79.46,80.14,79.19,79.95,1336372,ECL
2013-03-14,80.29,80.32,79.5,79.96,1089332,ECL
2013-03-15,79.69,79.96,79.34,79.64,1697553,ECL
2013-03-16,79.45,79.69,79.1,79.35,1424047,ECL
2013-03-17,79.21,79.43,78.87,79.07,1150542,ECL
2013-03-18,78.97,79.16,78.63,78.78,877036,ECL
2013-03-19,78.93,79.36,78.31,79.19,894668,ECL
2013-03-20,79.61,80.0,79.16,79.38,726513,ECL
2013-03-21,78.76,79.31,78.32,78.85,656275,ECL
2013-03-22,78.99,79.81,78.7,79.47,854346,ECL
2013-03-23,79.24,80.1,78.9,79.56,950105,ECL
2013-03-24,79.5,80.4,79.09,79.64,1045864,ECL
2013-03-25,79.75,80.69,79.29,79.73,1141623,ECL
2013-03-26,80.06,80.22,78.63,78.88,1070959,ECL
2013-03-27,78.19,78.86,77.83,78.34,1513000,ECL
2013-03-28,78.67,80.35,78.67,80.18,1304428,ECL
2013-03-29,79.0,80.33,78.82,80.01,1161318,ECL
2013-03-30,79.34,80.31,78.98,79.84,1018208,ECL
2013-03-31,79.67,80.29,79.13,79.67,875098,ECL
2013-04-01,80.0,80.26,79.28,79.5,731988,ECL
2013-04-02,79.9,80.33,79.63,80.2,711286,ECL
2013-04-03,80.17,80.28,78.94,79.56,1102120,ECL
2013-04-04,79.78,80.11,79.28,79.85,1130995,ECL
2013-04-05,78.99,79.48,78.74,79.34,879836,ECL
2013-04-06,79.07,79.67,78.8,79.57,822370,ECL
2013-04-07,79.16,79.85,78.86,79.81,764904,ECL
2013-04-08,79.24,80.04,78.92,80.04,707438,ECL
2013-04-09,80.62,81.22,80.01,80.57,1219351,ECL
2013-04-10,80.99,82.33,80.68,82.31,899417,ECL
2013-04-11,82.31,83.24,82.14,82.97,1677575,ECL
2013-04-12,82.76,82.78,81.74,82.22,644284,ECL
2013-04-13,82.51,82.65,81.34,81.66,865979,ECL
2013-04-14,82.25,82.53,80.93,81.09,1087673,ECL
2013-04-15,82.0,82.4,80.53,80.53,1309368,ECL
2013-04-16,81.33,82.12,81.14,81.92,1346091,ECL
2013-04-17,81.34,81.88,80.29,81.56,948734,ECL
2013-04-18,81.67,81.88,80.84,81.33,998936,ECL
2013-04-19,81.62,82.64,81.58,82.23,1216394,ECL
2013-04-20,81.8,82.89,81.7,82.49,1215874,ECL
2013-04-21,81.97,83.15,81.81,82.76,1215353,ECL
2013-04-22,82.15,83.4,81.93,83.02,1214833,ECL
2013-04-23,83.27,84.12,83.0,83.79,1322073,ECL
2013-04-24,84.17,84.21,83.29,83.29,731713,ECL
2013-04-25,83.53,84.28,83.35,83.73,743661,ECL
2013-04-26,83.73,83.87,82.87,82.94,637174,ECL
2013-04-27,83.44,83.68,82.7,83.04,934610,ECL
2013-04-28,83.14,83.48,82.52,83.15,1232047,ECL
2013-04-29,82.85,83.29,82.35,83.25,1529483,ECL
2013-04-30,83.05,84.7,82.89,84.62,1894786,ECL
2013-05-01,84.75,85.16,83.99,84.25,1549021,ECL
2013-05-02,84.17,84.56,83.97,84.27,1277511,ECL
2013-05-03,85.06,85.65,84.76,85.58,1178669,ECL
2013-05-04,85.28,85.68,84.85,85.5,975802,ECL
2013-05-05,85.51,85.71,84.93,85.43,772935,ECL
2013-05-06,85.73,85.74,85.02,85.35,570068,ECL
2013-05-07,85.75,87.17,85.75,87.17,1360495,ECL
2013-05-08,87.09,87.09,86.51,86.87,634938,ECL
2013-05-09,86.78,87.18,86.56,86.78,741727,ECL
2013-05-10,86.72,87.34,86.51,86.8,571795,ECL
2013-05-11,86.72,87.42,86.51,86.86,671366,ECL
2013-05-12,86.73,87.5,86.51,86.92,770938,ECL
2013-05-13,86.73,87.58,86.51,86.98,870509,ECL
2013-05-14,87.19,87.99,86.97,87.97,1084207,ECL
2013-05-15,87.8,89.22,87.66,89.14,713490,ECL
2013-05-16,88.8,88.95,88.08,88.16,835521,ECL
2013-05-17,88.22,89.09,87.8,89.09,1128305,ECL
2013-05-18,88.44,89.03,87.87,88.75,1027737,ECL
2013-05-19,88.66,88.96,87.95,88.42,927168,ECL
2013-05-20,88.88,88.9,88.02,88.08,826600,ECL
2013-05-21,88.22,89.47,88.1,89.05,1012582,ECL
2013-05-22,89.0,89.22,87.02,87.43,1139149,ECL
2013-05-23,86.74,87.62,86.69,87.19,1209118,ECL
2013-05-24,86.75,87.33,86.05,87.14,856005,ECL
2013-05-25,87.04,87.5,86.25,87.12,938286,ECL
2013-05-26,87.34,87.66,86.45,87.1,1020568,ECL
2013-05-27,87.64,87.83,86.65,87.08,1102849,ECL
2013-05-28,87.93,88.0,86.85,87.06,1185130,ECL
2013-05-29,86.62,86.85,85.46,86.04,1094624,ECL
2013-05-30,86.14,86.45,85.45,85.46,1301645,ECL
2013-05-31,85.01,85.59,84.43,84.47,2815721,ECL
2013-06-01,84.91,85.31,84.04,84.23,2650984,ECL
2013-06-02,84.82,85.02,83.65,83.99,2486246,ECL
2013-06-03,84.72,84.74,83.26,83.75,2321509,ECL
2013-06-04,83.74,85.92,83.71,84.52,2138666,ECL
2013-06-05,84.15,84.63,83.49,83.51,1295104,ECL
2013-06-06,83.51,84.09,83.15,84.09,1358869,ECL
2013-06-07,84.31,84.82,83.98,84.75,1388491,ECL
2013-06-08,84.54,85.03,84.14,84.7,1364365,ECL
2013-06-09,84.77,85.24,84.31,84.66,1340240,ECL
2013-06-10,85.0,85.45,84.47,84.61,1316114,ECL
2013-06-11,83.91,84.86,83.52,83.7,841982,ECL
2013-06-12,84.34,84.88,83.85,84.25,1682791,ECL
2013-06-13,84.04,84.88,83.4,84.76,1293137,ECL
2013-06-14,84.37,84.7,83.96,84.03,898544,ECL
2013-06-15,84.46,85.25,84.18,84.79,1092746,ECL
2013-06-16,84.54,85.79,84.4,85.56,1286948,ECL
2013-06-17,84.63,86.34,84.62,86.32,1481150,ECL
2013-06-18,86.37,86.85,86.09,86.73,1001315,ECL
2013-06-19,86.72,86.82,85.6,85.68,851512,ECL
2013-06-20,85.21,85.31,83.83,83.99,1205512,ECL
2013-06-21,84.29,84.35,82.93,83.77,2315653,ECL
2013-06-22,83.86,84.49,82.81,83.82,1973399,ECL
2013-06-23,83.43,84.62,82.7,83.88,1631144,ECL
2013-06-24,83.0,84.76,82.58,83.93,1288890,ECL
2013-06-25,84.7,84.87,83.97,84.41,1416403,ECL
2013-06-26,85.0,86.0,84.87,85.93,787639,ECL
2013-06-27,86.49,86.62,85.16,85.7,1076145,ECL
2013-06-28,85.64,86.31,85.18,85.19,1450640,ECL
2013-06-29,85.61,86.52,85.28,85.57,1405454,ECL
2013-06-30,85.57,86.72,85.38,85.96,1360267,ECL
2013-07-01,85.54,86.93,85.48,86.34,1315081,ECL
2013-07-02,85.83,86.69,85.7,86.13,1358378,ECL
2013-07-03,86.06,86.31,85.68,85.83,873194,ECL
2013-07-04,86.24,86.48,85.63,86.16,729950,ECL
2013-07-05,86.43,86.64,85.58,86.5,586705,ECL
2013-07-06,86.57,86.89,85.94,86.62,592984,ECL
2013-07-07,86.71,87.15,86.3,86.74,599262,ECL
2013-07-08,86.85,87.4,86.66,86.86,605541,ECL
2013-07-09,87.41,88.47,87.33,88.46,871271,ECL
2013-07-10,88.23,88.93,87.94,88.66,815937,ECL
2013-07-11,89.31,89.94,89.31,89.9,1119961,ECL
2013-07-12,89.83,90.29,89.44,90.29,825979,ECL
2013-07-13,89.95,90.47,89.61,90.45,803189,ECL
2013-07-14,90.08,90.64,89.78,90.61,780399,ECL
2013-07-15,90.2,90.82,89.95,90.77,757609,ECL
2013-07-16,90.83,91.41,90.75,91.32,1294392,ECL
2013-07-17,91.51,91.81,91.14,91.64,1073167,ECL
2013-07-18,91.75,92.51,91.58,92.48,794267,ECL
2013-07-19,92.63,93.47,92.27,93.4,1718799,ECL
2013-07-20,92.76,93.76,92.52,93.69,1569249,ECL
2013-07-21,92.9,94.06,92.78,93.99,1419699,ECL
2013-07-22,93.03,94.35,93.03,94.28,1270149,ECL
2013-07-23,94.67,95.19,94.17,94.77,1439671,ECL
2013-07-24,95.0,95.0,93.55,93.68,1178718,ECL
2013-07-25,93.5,93.79,93.1,93.54,1274606,ECL
2013-07-26,93.1,93.29,92.13,92.99,904294,ECL
2013-07-27,93.03,93.23,91.92,92.69,1024008,ECL
2013-07-28,92.95,93.17,91.7,92.4,1143723,ECL
2013-07-29,92.88,93.11,91.49,92.1,1263437,ECL
2013-07-30,92.44,94.88,92.43,93.75,1190642,ECL
2013-07-31,93.99,94.97,92.07,92.14,1494944,ECL
2013-08-01,92.87,94.16,92.83,94.04,1259304,ECL
2013-08-02,93.89,93.89,92.78,93.62,744608,ECL
2013-08-03,93.77,93.77,92.52,93.23,733529,ECL
2013-08-04,93.64,93.64,92.26,92.85,722449,ECL
2013-08-05,93.52,93.52,92.0,92.46,711370,ECL
2013-08-06,92.49,93.66,92.41,93.5,783326,ECL
2013-08-07,93.33,93.59,92.45,93.3,846100,ECL
2013-08-08,93.6,93.92,93.02,93.05,642658,ECL
2013-08-09,93.1,94.0,92.6,93.04,918415,ECL
2013-08-10,93.03,93.8,92.51,92.96,853103,ECL
2013-08-11,92.97,93.6,92.42,92.87,787791,ECL
2013-08-12,92.9,93.4,92.33,92.79,722479,ECL
2013-08-13,92.81,93.43,92.34,93.15,459214,ECL
2013-08-14,93.27,93.62,92.77,93.03,651112,ECL
2013-08-15,92.36,92.56,91.25,92.2,1252564,ECL
2013-08-16,91.94,92.18,91.32,91.71,939608,ECL
2013-08-17,91.7,92.17,91.26,91.55,863771,ECL
2013-08-18,91.45,92.15,91.2,91.39,787933,ECL
2013-08-19,91.21,92.14,91.14,91.23,712096,ECL
2013-08-20,91.16,91.3,90.51,90.6,991402,ECL
2013-08-21,90.57,91.56,90.25,90.69,713398,ECL
2013-08-22,90.63,91.71,90.18,91.54,553686,ECL
2013-08-23,91.66,91.86,90.84,91.71,532246,ECL
2013-08-24,91.72,92.28,91.16,91.95,658850,ECL
2013-08-25,91.77,92.7,91.47,92.2,785453,ECL
2013-08-26,91.83,93.12,91.78,92.44,912057,ECL
2013-08-27,91.67,91.88,90.56,90.6,712744,ECL
2013-08-28,90.79,91.22,90.47,90.83,665344,ECL
2013-08-29,90.82,92.13,90.49,91.64,814505,ECL
2013-08-30,91.89,92.23,91.12,91.35,970024,ECL
2013-08-31,92.05,92.42,91.33,91.66,1011950,ECL
2013-09-01,92.22,92.62,91.54,91.96,1053877,ECL
2013-09-02,92.38,92.81,91.74,92.27,1095804,ECL
2013-09-03,92.54,93.0,91.95,92.58,1137730,ECL
2013-09-04,92.51,93.92,92.48,93.73,1263066,ECL
2013-09-05,93.42,93.87,93.0,93.12,751418,ECL
2013-09-06,93.24,93.5,92.12,92.73,925691,ECL
2013-09-07,93.08,93.6,92.33,93.08,827430,ECL
2013-09-08,92.92,93.71,92.55,93.44,729168,ECL
2013-09-09,92.76,93.81,92.76,93.79,630907,ECL
2013-09-10,94.0,95.42,94.0,95.39,952198,ECL
2013-09-11,95.25,96.37,94.87,96.1,877359,ECL
2013-09-12,96.07,96.17,95.1,96.0,794850,ECL
2013-09-13,95.83,95.88,95.02,95.69,686310,ECL
2013-09-14,96.18,96.36,95.35,96.08,685284,ECL
2013-09-15,96.54,96.85,95.67,96.46,684257,ECL
2013-09-16,96.89,97.33,96.0,96.85,683231,ECL
2013-09-17,96.95,96.99,95.97,96.27,910301,ECL
2013-09-18,96.38,99.33,96.0,99.0,1172134,ECL
2013-09-19,99.04,99.45,98.33,98.8,749728,ECL
2013-09-20,98.91,99.3,98.13,98.13,1803162,ECL
2013-09-21,98.71,99.2,98.01,98.21,1462116,ECL
2013-09-22,98.5,99.11,97.88,98.29,1121071,ECL
2013-09-23,98.3,99.01,97.76,98.37,780025,ECL
2013-09-24,98.52,98.83,98.11,98.36,672448,ECL
2013-09-25,98.58,98.96,98.29,98.63,613050,ECL
2013-09-26,98.91,99.31,98.22,99.12,543740,ECL
2013-09-27,98.77,99.05,98.02,98.11,630668,ECL
2013-09-28,98.43,99.04,97.76,98.33,737595,ECL
2013-09-29,98.09,99.04,97.51,98.54,844522,ECL
2013-09-30,97.75,99.03,97.25,98.76,951449,ECL
2013-10-01,98.87,99.57,98.72,99.48,710983,ECL
2013-10-02,99.28,99.51,98.66,99.51,767543,ECL
2013-10-03,99.14,99.22,97.05,97.76,1111861,ECL
2013-10-04,97.74,99.41,97.51,99.34,731206,ECL
2013-10-05,98.0,99.11,97.41,98.65,804617,ECL
2013-10-06,98.25,98.81,97.32,97.96,878028,ECL
2013-10-07,98.51,98.51,97.22,97.27,951439,ECL
2013-10-08,97.23,97.52,96.58,96.91,1083915,ECL
2013-10-09,97.01,97.95,96.44,97.63,1232445,ECL
2013-10-10,98.69,99.39,98.27,98.83,974598,ECL
2013-10-11,98.85,100.33,98.76,100.02,958481,ECL
2013-10-12,99.06,100.51,98.88,100.25,854272,ECL
2013-10-13,99.27,100.7,99.01,100.48,750064,ECL
2013-10-14,99.48,100.89,99.13,100.71,645855,ECL
2013-10-15,100.4,100.82,99.29,99.62,703092,ECL
2013-10-16,100.36,101.94,100.23,101.84,767466,ECL
2013-10-17,101.5,102.44,100.73,102.3,945566,ECL
2013-10-18,102.42,103.75,102.27,103.51,774630,ECL
2013-10-19,102.64,103.71,102.3,103.21,740339,ECL
2013-10-20,102.85,103.67,102.34,102.92,706047,ECL
2013-10-21,103.07,103.63,102.37,102.62,671756,ECL
2013-10-22,102.6,104.37,102.6,104.26,735855,ECL
2013-10-23,104.17,104.17,103.0,103.28,760944,ECL
2013-10-24,103.36,105.0,103.36,104.92,801698,ECL
2013-10-25,105.0,105.31,104.28,105.18,804392,ECL
2013-10-26,105.06,105.41,103.82,104.54,1156843,ECL
2013-10-27,105.12,105.52,103.36,103.9,1509295,ECL
2013-10-28,105.18,105.62,102.9,103.26,1861746,ECL
2013-10-29,103.2,107.51,103.2,107.48,1765906,ECL
2013-10-30,107.48,108.34,106.11,106.36,1302096,ECL
2013-10-31,106.37,107.21,105.82,106.0,1099989,ECL
2013-11-01,106.2,107.13,105.15,105.69,1060311,ECL
2013-11-02,106.21,106.95,105.32,105.78,907623,ECL
2013-11-03,106.21,106.78,105.48,105.87,754935,ECL
2013-11-04,106.22,106.6,105.65,105.96,602247,ECL
2013-11-05,105.46,105.98,104.84,105.32,758029,ECL
2013-11-06,105.92,106.98,105.58,106.39,550576,ECL
2013-11-07,106.39,106.73,104.53,104.62,642628,ECL
2013-11-08,104.81,106.59,104.53,106.56,723144,ECL
2013-11-09,105.37,106.58,104.95,106.37,645881,ECL
2013-11-10,105.93,106.58,105.36,106.18,568618,ECL
2013-11-11,106.49,106.57,105.78,105.99,491355,ECL
2013-11-12,105.81,106.48,105.06,106.43,689150,ECL
2013-11-13,106.0,106.33,104.69,106.29,754207,ECL
2013-11-14,106.72,107.24,106.15,107.03,707758,ECL
2013-11-15,107.33,107.86,106.97,107.61,1195078,ECL
2013-11-16,107.49,107.87,106.88,107.43,1034427,ECL
2013-11-17,107.66,107.88,106.8,107.25,873776,ECL
2013-11-18,107.82,107.89,106.71,107.07,713125,ECL
2013-11-19,106.7,107.2,106.21,106.58,719870,ECL
2013-11-20,106.73,107.16,106.2,106.59,494721,ECL
2013-11-21,107.12,107.76,106.56,107.42,673727,ECL
2013-11-22,107.47,107.55,106.75,107.46,576232,ECL
2013-11-23,107.48,107.66,106.49,107.13,653120,ECL
2013-11-24,107.48,107.78,106.23,106.81,730009,ECL
2013-11-25,107.49,107.89,105.97,106.48,806897,ECL
2013-11-26,106.72,108.14,106.3,107.99,1711074,ECL
2013-11-27,107.94,107.94,106.81,106.96,772156,ECL
2013-11-28,107.55,107.85,106.84,107.06,595011,ECL
2013-11-29,107.16,107.77,106.86,107.17,417866,ECL
2013-11-30,107.07,107.51,106.46,106.7,597396,ECL
2013-12-01,106.99,107.24,106.05,106.22,776927,ECL
2013-12-02,106.9,106.98,105.65,105.75,956457,ECL
2013-12-03,105.26,105.79,103.21,103.65,1589540,ECL
2013-12-04,103.34,103.98,102.55,103.41,1217811,ECL
2013-12-05,103.23,103.68,102.63,103.05,1213446,ECL
2013-12-06,104.3,105.73,103.92,105.69,1500259,ECL
2013-12-07,104.98,105.93,104.33,105.71,1416016,ECL
2013-12-08,105.65,106.14,104.74,105.74,1331772,ECL
2013-12-09,106.33,106.34,105.15,105.76,1247529,ECL
2013-12-10,105.23,106.05,104.9,105.05,1078522,ECL
2013-12-11,105.02,105.24,103.23,103.24,1123789,ECL
2013-12-12,103.22,103.56,102.75,102.84,1143910,ECL
2013-12-13,102.89,103.3,102.44,102.58,822388,ECL
2013-12-14,102.87,103.19,102.29,102.42,960087,ECL
2013-12-15,102.86,103.08,102.14,102.26,1097787,ECL
2013-12-16,102.84,102.97,101.99,102.1,1235486,ECL
2013-12-17,102.68,102.69,101.38,102.06,1566040,ECL
2013-12-18,102.39,104.11,101.7,104.08,1090061,ECL
2013-12-19,103.68,104.0,102.81,102.95,922917,ECL
2013-12-20,102.65,104.56,102.55,104.24,1598341,ECL
2013-12-21,103.45,104.72,102.99,104.25,1355905,ECL
2013-12-22,104.25,104.89,103.42,104.27,1113470,ECL
2013-12-23,105.05,105.05,103.86,104.28,871034,ECL
2013-12-24,104.13,104.97,103.84,104.93,369737,ECL
2013-12-25,104.58,105.02,104.1,104.82,528375,ECL
2013-12-26,105.03,105.07,104.35,104.7,687013,ECL
2013-12-27,105.09,105.3,104.33,104.47,502307,ECL
2013-12-28,104.85,105.05,104.2,104.35,599068,ECL
2013-12-29,104.61,104.79,104.08,104.23,695830,ECL
2013-12-30,104.37,104.54,103.95,104.11,792591,ECL
2013-12-31,104.29,104.44,103.87,104.27,898813,ECL
2014-01-01,103.94,104.43,103.64,104.03,856874,ECL
2014-01-02,103.58,104.42,103.41,103.79,814936,ECL
2014-01-03,104.1,104.28,103.78,103.92,554472,ECL
2014-01-04,103.2,103.75,102.93,103.37,922142,ECL
2014-01-05,102.31,103.21,102.07,102.83,1289811,ECL
2014-01-06,101.41,102.68,101.22,102.28,1657481,ECL
2014-01-07,102.48,103.84,102.35,103.33,1001663,ECL
2014-01-08,103.15,104.51,102.81,104.14,1208221,ECL
2014-01-09,105.0,105.08,103.89,105.0,1092643,ECL
2014-01-10,105.75,106.0,104.94,105.39,859130,ECL
2014-01-11,105.47,105.76,104.26,104.63,899207,ECL
2014-01-12,105.19,105.52,103.58,103.86,939284,ECL
2014-01-13,104.91,105.28,102.9,103.1,979361,ECL
2014-01-14,103.31,104.37,102.62,104.33,1146602,ECL
2014-01-15,104.27,104.47,103.11,103.62,1080024,ECL
2014-01-16,103.65,104.65,103.62,104.45,793868,ECL
2014-01-17,104.65,104.69,103.93,104.15,884134,ECL
2014-01-18,104.62,104.69,103.66,104.09,881915,ECL
2014-01-19,104.6,104.69,103.39,104.02,879696,ECL
2014-01-20,104.58,104.68,103.12,103.96,877476,ECL
2014-01-21,104.55,104.68,102.85,103.9,875257,ECL
2014-01-22,104.25,104.25,103.4,103.69,814185,ECL
2014-01-23,102.78,103.0,101.46,101.94,1180640,ECL
2014-01-24,101.13,101.4,99.28,99.35,1974110,ECL
2014-01-25,100.52,100.75,98.83,99.15,1734657,ECL
2014-01-26,99.92,100.09,98.39,98.96,1495204,ECL
2014-01-27,99.31,99.44,97.94,98.76,1255751,ECL
2014-01-28,99.0,100.07,99.0,99.85,936690,ECL
2014-01-29,99.36,100.84,99.25,100.23,2023265,ECL
2014-01-30,100.71,101.6,100.1,100.83,1238663,ECL
2014-01-31,99.46,101.02,99.23,100.54,1154000,ECL
2014-02-01,99.74,101.1,98.78,99.7,1296022,ECL
2014-02-02,100.01,101.19,98.32,98.87,1438043,ECL
2014-02-03,100.29,101.27,97.87,98.03,1580065,ECL
2014-02-04,98.95,99.09,97.89,98.7,1280099,ECL
2014-02-05,98.38,99.36,97.65,99.16,943836,ECL
2014-02-06,99.09,99.94,98.51,99.89,1117212,ECL
2014-02-07,100.39,100.66,99.81,100.13,1373275,ECL
2014-02-08,100.24,100.72,99.58,100.29,1262423,ECL
2014-02-09,100.1,100.79,99.36,100.46,1151570,ECL
2014-02-10,99.95,100.85,99.13,100.62,1040718,ECL
2014-02-11,100.62,101.68,100.3,101.41,943372,ECL
2014-02-12,101.35,101.76,101.03,101.14,788740,ECL
2014-02-13,100.68,102.77,100.55,102.3,743717,ECL
2014-02-14,102.7,103.28,102.13,103.15,584159,ECL
2014-02-15,102.87,103.38,102.35,103.13,628638,ECL
2014-02-16,103.04,103.48,102.57,103.12,673118,ECL
2014-02-17,103.22,103.59,102.79,103.1,717598,ECL
2014-02-18,103.39,103.69,103.01,103.08,762077,ECL
2014-02-19,103.03,104.15,101.94,101.97,927094,ECL
2014-02-20,102.06,102.18,101.01,101.87,1523715,ECL
2014-02-21,102.3,105.0,101.35,102.19,1998381,ECL
2014-02-22,102.16,104.24,101.35,102.26,1778787,ECL
2014-02-23,102.03,103.48,101.35,102.32,1559193,ECL
2014-02-24,101.89,102.72,101.35,102.39,1339599,ECL
2014-02-25,102.14,105.04,102.14,104.58,1576128,ECL
2014-02-26,104.81,106.19,104.58,105.43,1201620,ECL
2014-02-27,105.0,106.78,104.87,106.65,953571,ECL
2014-02-28,106.61,108.2,106.47,107.75,1331542,ECL
2014-03-01,106.47,108.2,106.38,107.83,1354976,ECL
2014-03-02,106.34,108.19,106.29,107.9,1378409,ECL
2014-03-03,106.2,108.19,106.2,107.98,1401843,ECL
2014-03-04,108.99,109.96,108.35,109.66,1617478,ECL
2014-03-05,110.0,110.0,109.06,109.38,1125144,ECL
2014-03-06,109.44,110.35,109.28,109.86,729990,ECL
2014-03-07,109.93,110.25,109.55,109.84,1016274,ECL
2014-03-08,109.78,110.26,109.44,109.95,926537,ECL
2014-03-09,109.63,110.26,109.32,110.07,836800,ECL
2014-03-10,109.48,110.27,109.21,110.18,747063,ECL
2014-03-11,110.17,111.83,109.76,111.24,1816350,ECL
2014-03-12,110.56,110.97,109.91,110.62,1749694,ECL
2014-03-13,110.7,111.31,109.21,109.25,1438665,ECL
2014-03-14,109.21,110.51,108.53,108.63,1273689,ECL
2014-03-15,109.19,110.64,108.74,109.09,1163754,ECL
2014-03-16,109.18,110.76,108.95,109.56,1053820,ECL
2014-03-17,109.16,110.89,109.16,110.02,943885,ECL
2014-03-18,110.08,110.63,110.0,110.34,681004,ECL
2014-03-19,110.23,110.65,108.76,109.32,1027000,ECL
2014-03-20,109.3,110.24,109.11,110.04,769619,ECL
2014-03-21,110.97,111.58,109.93,110.73,1909681,ECL
2014-03-22,110.99,111.55,109.8,110.43,1535300,ECL
2014-03-23,111.0,111.52,109.67,110.14,1160919,ECL
2014-03-24,111.02,111.49,109.54,109.84,786538,ECL
2014-03-25,110.12,110.51,108.17,108.31,1685238,ECL
2014-03-26,108.73,108.96,107.03,107.05,1650291,ECL
2014-03-27,107.03,107.22,105.73,106.2,1058750,ECL
2014-03-28,106.36,106.98,106.08,106.23,1301930,ECL
2014-03-29,106.64,107.34,106.28,106.82,1192063,ECL
2014-03-30,106.93,107.7,106.48,107.4,1082197,ECL
2014-03-31,107.21,108.06,106.68,107.99,972330,ECL
2014-04-01,108.45,108.67,107.74,108.66,778219,ECL
2014-04-02,108.71,109.23,108.45,108.59,690162,ECL
2014-04-03,109.02,109.83,108.61,109.05,712827,ECL
2014-04-04,109.69,109.76,106.94,107.18,1131784,ECL
2014-04-05,108.83,109.02,106.48,106.7,1095765,ECL
2014-04-06,107.97,108.29,106.02,106.21,1059746,ECL
2014-04-07,107.11,107.55,105.56,105.73,1023727,ECL
2014-04-08,105.7,105.7,101.82,105.22,1301385,ECL
2014-04-09,105.63,107.52,105.34,107.2,1244030,ECL
2014-04-10,107.36,107.66,104.78,105.02,902701,ECL
2014-04-11,104.61,105.25,103.69,103.7,1022386,ECL
2014-04-12,104.46,105.05,103.63,103.89,979150,ECL
2014-04-13,104.3,104.85,103.57,104.08,935914,ECL
