index,open,high,low,close,volume,Name
2013-02-08,55.84,56.46,54.78,55.56,2228853,EFX
2013-02-09,55.67,56.15,54.75,55.37,1925433,EFX
2013-02-10,55.49,55.85,54.71,55.17,1622012,EFX
2013-02-11,55.32,55.55,54.68,54.98,1318592,EFX
2013-02-12,55.08,55.15,54.15,54.32,1205178,EFX
2013-02-13,54.37,54.49,53.73,54.01,1381949,EFX
2013-02-14,53.93,54.52,53.64,54.25,716891,EFX
2013-02-15,54.39,55.3,54.19,55.17,1035030,EFX
2013-02-16,54.58,55.54,54.01,55.33,1080174,EFX
2013-02-17,54.78,55.78,53.83,55.48,1125318,EFX
2013-02-18,54.97,56.02,53.65,55.64,1170463,EFX
2013-02-19,55.16,56.26,53.47,55.8,1215607,EFX
2013-02-20,55.74,56.15,54.04,54.05,1580616,EFX
2013-02-21,54.01,54.31,53.65,53.98,1451823,EFX
2013-02-22,54.17,54.63,53.94,54.15,762232,EFX
2013-02-23,54.24,54.66,53.67,53.81,878323,EFX
2013-02-24,54.3,54.68,53.4,53.47,994415,EFX
2013-02-25,54.37,54.71,53.13,53.13,1110506,EFX
2013-02-26,53.28,53.58,52.79,53.33,907293,EFX
2013-02-27,53.53,54.42,53.33,54.41,1120597,EFX
2013-02-28,54.4,55.13,54.19,55.12,1303900,EFX
2013-03-01,54.79,56.13,54.77,55.86,1431187,EFX
2013-03-02,55.18,56.24,55.07,56.0,1345330,EFX
2013-03-03,55.57,56.35,55.38,56.14,1259474,EFX
2013-03-04,55.96,56.46,55.68,56.28,1173617,EFX
2013-03-05,56.35,57.02,56.28,56.67,977908,EFX
2013-03-06,56.95,57.16,56.76,56.82,727948,EFX
2013-03-07,56.84,56.86,56.34,56.5,679174,EFX
2013-03-08,56.76,56.89,55.95,56.82,897878,EFX
2013-03-09,56.78,56.92,56.12,56.79,892908,EFX
2013-03-10,56.81,56.95,56.3,56.75,887938,EFX
2013-03-11,56.83,56.98,56.47,56.72,882968,EFX
2013-03-12,56.73,56.85,56.12,56.54,1132359,EFX
2013-03-13,56.43,56.71,55.39,56.5,984492,EFX
2013-03-14,56.72,56.84,56.38,56.49,913967,EFX
