index,open,high,low,close,volume,Name
2013-02-08,57.49,57.9,57.41,57.5,3878522,EMR
2013-02-09,57.5,57.89,57.29,57.58,3562198,EMR
2013-02-10,57.5,57.88,57.18,57.65,3245875,EMR
2013-02-11,57.51,57.87,57.06,57.73,2929551,EMR
2013-02-12,57.75,58.36,57.65,58.08,3890737,EMR
2013-02-13,57.95,58.34,57.81,58.1,4298754,EMR
2013-02-14,57.9,58.49,57.69,58.41,3649002,EMR
2013-02-15,58.48,58.65,57.98,58.29,5043710,EMR
2013-02-16,58.44,58.65,57.97,58.36,4475877,EMR
2013-02-17,58.4,58.66,57.96,58.42,3908044,EMR
2013-02-18,58.36,58.66,57.94,58.49,3340212,EMR
2013-02-19,58.32,58.66,57.93,58.56,2772379,EMR
2013-02-20,58.64,58.64,57.75,57.75,3092215,EMR
2013-02-21,57.41,57.62,56.8,56.99,3809725,EMR
2013-02-22,57.22,57.69,56.92,57.27,2648837,EMR
2013-02-23,57.31,57.67,56.54,56.77,3215891,EMR
2013-02-24,57.41,57.66,56.15,56.27,3782944,EMR
2013-02-25,57.5,57.64,55.77,55.77,4349998,EMR
2013-02-26,56.18,56.31,55.57,56.12,3733295,EMR
2013-02-27,56.03,57.44,55.94,57.26,3368970,EMR
2013-02-28,57.26,57.48,56.68,56.7,3642808,EMR
2013-03-01,56.41,56.62,55.84,56.07,4424199,EMR
2013-03-02,56.22,56.36,55.57,55.89,4308127,EMR
2013-03-03,56.02,56.11,55.31,55.72,4192056,EMR
2013-03-04,55.83,55.85,55.04,55.54,4075984,EMR
2013-03-05,55.87,56.3,55.65,56.25,3904210,EMR
2013-03-06,56.47,56.77,56.19,56.36,2889725,EMR
2013-03-07,56.37,56.79,56.35,56.48,2875483,EMR
2013-03-08,56.77,57.38,56.44,57.29,3231831,EMR
2013-03-09,56.96,57.43,56.6,57.36,2978257,EMR
2013-03-10,57.16,57.47,56.76,57.42,2724682,EMR
2013-03-11,57.35,57.52,56.92,57.49,2471108,EMR
2013-03-12,57.51,57.59,56.66,56.82,2949653,EMR
2013-03-13,56.75,56.87,56.06,56.2,3372941,EMR
2013-03-14,56.31,57.6,56.25,57.52,4242326,EMR
2013-03-15,57.21,57.84,57.09,57.59,3824002,EMR
2013-03-16,57.12,57.72,56.96,57.37,3518013,EMR
2013-03-17,57.04,57.61,56.82,57.15,3212025,EMR
2013-03-18,56.95,57.49,56.69,56.93,2906036,EMR
2013-03-19,57.1,57.22,56.24,56.95,2895771,EMR
2013-03-20,57.33,57.4,56.71,57.11,2388595,EMR
2013-03-21,56.77,56.94,56.14,56.47,3095479,EMR
2013-03-22,56.67,56.89,56.36,56.79,2234493,EMR
