index,open,high,low,close,volume,Name
2013-02-08,214.99,220.06,214.99,219.71,606157,EQIX
2013-02-09,215.92,220.04,215.83,219.15,553252,EQIX
2013-02-10,216.84,220.02,216.66,218.59,500347,EQIX
2013-02-11,217.77,220.0,217.5,218.03,447442,EQIX
2013-02-12,216.32,218.74,212.82,214.53,2076374,EQIX
2013-02-13,212.7,215.07,208.42,213.02,2106008,EQIX
2013-02-14,223.31,231.26,217.14,226.0,2639364,EQIX
2013-02-15,223.37,228.0,223.37,224.53,1259394,EQIX
2013-02-16,223.36,226.95,221.78,223.67,1366000,EQIX
2013-02-17,223.36,225.9,220.18,222.81,1472607,EQIX
2013-02-18,223.35,224.86,218.59,221.94,1579214,EQIX
2013-02-19,223.34,223.81,217.0,221.08,1685820,EQIX
2013-02-20,221.63,221.63,215.54,215.62,888411,EQIX
2013-02-21,215.03,215.4,211.8,214.01,836586,EQIX
2013-02-22,213.01,214.88,206.62,214.21,1686835,EQIX
2013-02-23,213.77,215.17,207.76,212.86,1298131,EQIX
2013-02-24,214.52,215.45,208.91,211.52,909428,EQIX
2013-02-25,215.28,215.74,210.05,210.17,520724,EQIX
2013-02-26,210.42,214.45,210.42,213.09,602746,EQIX
2013-02-27,213.26,214.71,212.26,212.67,717554,EQIX
2013-02-28,212.5,214.68,210.25,211.55,616393,EQIX
2013-03-01,210.17,213.13,207.81,212.94,750511,EQIX
2013-03-02,210.41,213.29,208.37,212.98,755194,EQIX
2013-03-03,210.66,213.44,208.93,213.01,759876,EQIX
2013-03-04,210.9,213.6,209.49,213.05,764559,EQIX
2013-03-05,213.31,218.49,213.29,217.4,796709,EQIX
2013-03-06,217.29,218.22,216.38,217.57,528474,EQIX
2013-03-07,218.0,218.5,213.85,216.07,492967,EQIX
2013-03-08,216.62,217.58,215.32,217.08,620105,EQIX
2013-03-09,216.9,218.01,215.67,217.2,493786,EQIX
2013-03-10,217.17,218.43,216.02,217.31,367468,EQIX
2013-03-11,217.45,218.86,216.37,217.43,241149,EQIX
2013-03-12,216.33,217.58,214.03,215.86,737074,EQIX
2013-03-13,215.76,215.99,212.7,215.31,406259,EQIX
2013-03-14,216.36,216.36,213.01,215.05,485977,EQIX
2013-03-15,214.77,215.54,209.58,210.17,1527118,EQIX
2013-03-16,212.57,213.27,208.29,208.88,1216845,EQIX
2013-03-17,210.37,211.01,206.99,207.6,906573,EQIX
2013-03-18,208.17,208.74,205.7,206.31,596300,EQIX
2013-03-19,207.34,208.4,205.12,206.97,585618,EQIX
2013-03-20,209.02,211.86,207.12,210.87,557668,EQIX
2013-03-21,209.78,214.5,208.58,210.8,476518,EQIX
2013-03-22,211.88,212.1,210.53,211.74,455067,EQIX
2013-03-23,211.87,212.28,210.17,211.17,451027,EQIX
2013-03-24,211.86,212.46,209.8,210.61,446987,EQIX
2013-03-25,211.85,212.64,209.44,210.04,442947,EQIX
2013-03-26,211.39,212.37,208.85,211.92,357917,EQIX
2013-03-27,211.24,213.78,209.6,213.51,358379,EQIX
2013-03-28,212.75,216.5,210.4,216.31,462208,EQIX
2013-03-29,213.81,216.87,211.22,215.96,486900,EQIX
2013-03-30,214.88,217.25,212.04,215.62,511591,EQIX
2013-03-31,215.94,217.62,212.85,215.28,536282,EQIX
2013-04-01,217.0,218.0,213.67,214.93,560974,EQIX
2013-04-02,215.24,216.58,211.47,212.99,524851,EQIX
2013-04-03,212.82,213.56,208.12,208.34,559225,EQIX
2013-04-04,208.3,211.09,207.06,210.73,496478,EQIX
2013-04-05,207.22,216.45,205.0,214.03,755452,EQIX
2013-04-06,209.32,215.93,207.35,214.29,608482,EQIX
2013-04-07,211.41,215.4,209.7,214.54,461513,EQIX
2013-04-08,213.51,214.88,212.05,214.8,314543,EQIX
2013-04-09,214.92,215.24,210.51,211.2,657926,EQIX
2013-04-10,212.33,219.42,211.07,219.02,1031706,EQIX
2013-04-11,217.15,222.71,216.04,221.69,1420308,EQIX
2013-04-12,221.53,222.44,217.18,217.49,466159,EQIX
2013-04-13,219.88,220.49,214.24,214.87,596037,EQIX
2013-04-14,218.23,218.53,211.3,212.25,725915,EQIX
2013-04-15,216.58,216.58,208.36,209.63,855793,EQIX
2013-04-16,210.66,217.67,210.2,214.85,1088065,EQIX
2013-04-17,212.22,214.49,211.08,212.78,544981,EQIX
2013-04-18,213.48,213.48,208.2,209.16,713181,EQIX
2013-04-19,209.08,212.05,207.75,210.15,582741,EQIX
2013-04-20,210.77,213.03,208.0,211.31,702560,EQIX
2013-04-21,212.46,214.02,208.25,212.48,822379,EQIX
2013-04-22,214.15,215.0,208.5,213.64,942198,EQIX
2013-04-23,214.11,219.94,214.11,219.41,845987,EQIX
2013-04-24,218.73,220.0,215.86,216.38,1492815,EQIX
2013-04-25,209.71,221.0,209.5,213.51,2498484,EQIX
2013-04-26,213.43,213.84,208.5,211.49,1040828,EQIX
2013-04-27,213.37,214.18,209.11,211.32,928872,EQIX
2013-04-28,213.3,214.53,209.72,211.14,816917,EQIX
2013-04-29,213.24,214.87,210.33,210.97,704961,EQIX
2013-04-30,211.88,214.42,210.91,214.1,1002884,EQIX
2013-05-01,214.75,217.59,212.15,216.05,994428,EQIX
2013-05-02,216.05,217.17,214.69,214.89,546735,EQIX
2013-05-03,217.1,217.67,214.08,214.5,615009,EQIX
2013-05-04,216.17,217.17,213.84,214.69,527680,EQIX
2013-05-05,215.23,216.66,213.6,214.87,440352,EQIX
2013-05-06,214.3,216.16,213.36,215.06,353023,EQIX
2013-05-07,214.0,217.6,213.89,217.6,1095866,EQIX
2013-05-08,217.8,226.53,217.35,224.92,1129927,EQIX
2013-05-09,221.37,222.95,217.06,221.87,1399508,EQIX
2013-05-10,222.0,224.23,221.41,223.73,459156,EQIX
2013-05-11,222.47,224.91,221.78,224.47,470432,EQIX
2013-05-12,222.93,225.58,222.15,225.21,481708,EQIX
2013-05-13,223.4,226.26,222.51,225.95,492984,EQIX
2013-05-14,225.9,230.0,225.49,229.02,621264,EQIX
2013-05-15,228.77,231.56,228.5,229.67,515644,EQIX
2013-05-16,229.54,230.69,226.75,227.93,845978,EQIX
2013-05-17,229.5,229.5,226.5,227.3,669489,EQIX
2013-05-18,228.43,228.98,225.34,226.16,614149,EQIX
2013-05-19,227.36,228.45,224.17,225.02,558808,EQIX
2013-05-20,226.29,227.93,223.01,223.88,503468,EQIX
2013-05-21,224.41,225.82,222.18,224.2,603869,EQIX
2013-05-22,224.38,225.21,217.36,218.21,601852,EQIX
2013-05-23,216.32,218.31,213.0,215.31,1149471,EQIX
2013-05-24,214.62,216.0,211.54,214.08,770812,EQIX
2013-05-25,215.18,216.28,211.15,213.08,763854,EQIX
2013-05-26,215.74,216.56,210.77,212.09,756896,EQIX
2013-05-27,216.3,216.85,210.38,211.1,749937,EQIX
2013-05-28,216.86,217.13,210.0,210.1,742979,EQIX
2013-05-29,209.71,210.02,201.7,204.85,1473592,EQIX
2013-05-30,203.59,205.99,202.6,203.35,956558,EQIX
2013-05-31,202.15,204.46,200.28,202.64,1092214,EQIX
2013-06-01,202.22,204.73,199.87,202.23,1300935,EQIX
2013-06-02,202.28,204.99,199.45,201.82,1509655,EQIX
2013-06-03,202.35,205.26,199.04,201.41,1718376,EQIX
2013-06-04,199.08,200.15,195.0,198.03,1979587,EQIX
2013-06-05,197.35,201.51,196.18,199.95,1047454,EQIX
2013-06-06,199.8,203.9,199.17,203.87,731654,EQIX
2013-06-07,188.66,194.85,187.83,192.57,8139491,EQIX
2013-06-08,190.4,196.72,189.62,194.72,5982849,EQIX
2013-06-09,192.13,198.58,191.42,196.86,3826206,EQIX
2013-06-10,193.87,200.45,193.21,199.01,1669564,EQIX
2013-06-11,197.5,198.19,194.65,196.47,1077208,EQIX
2013-06-12,197.12,198.66,186.44,188.73,1891697,EQIX
2013-06-13,188.28,191.87,186.57,191.47,1132348,EQIX
2013-06-14,191.67,192.51,189.85,191.11,630735,EQIX
2013-06-15,191.58,192.77,190.08,191.78,803805,EQIX
2013-06-16,191.49,193.04,190.3,192.44,976876,EQIX
2013-06-17,191.4,193.3,190.53,193.11,1149946,EQIX
2013-06-18,193.2,194.43,190.94,191.33,779990,EQIX
2013-06-19,191.08,192.01,184.99,185.25,1678317,EQIX
2013-06-20,183.3,183.87,177.0,177.55,2120107,EQIX
2013-06-21,178.04,179.13,174.9,178.07,2221548,EQIX
2013-06-22,177.8,178.86,174.26,177.42,1827772,EQIX
2013-06-23,177.56,178.6,173.61,176.78,1433995,EQIX
2013-06-24,177.32,178.33,172.97,176.13,1040219,EQIX
2013-06-25,178.64,178.77,173.95,178.55,1479575,EQIX
2013-06-26,179.59,184.19,179.32,182.85,1030039,EQIX
2013-06-27,184.38,188.25,184.01,186.92,1409889,EQIX
2013-06-28,186.28,186.39,182.45,184.72,1348688,EQIX
2013-06-29,186.7,187.34,183.63,185.62,1198913,EQIX
2013-06-30,187.11,188.3,184.82,186.52,1049138,EQIX
2013-07-01,187.53,189.25,186.0,187.42,899363,EQIX
2013-07-02,187.08,188.04,182.67,185.47,743097,EQIX
2013-07-03,184.83,186.81,182.82,184.27,320456,EQIX
2013-07-04,185.72,187.42,183.11,184.97,341968,EQIX
2013-07-05,186.6,188.02,183.4,185.67,363480,EQIX
2013-07-06,186.77,187.78,183.98,185.63,393181,EQIX
2013-07-07,186.93,187.54,184.57,185.58,422883,EQIX
2013-07-08,187.1,187.29,185.15,185.54,452584,EQIX
2013-07-09,186.99,187.37,184.82,187.0,653144,EQIX
2013-07-10,186.33,191.31,186.22,190.84,591775,EQIX
2013-07-11,193.91,200.88,192.24,199.51,2219208,EQIX
2013-07-12,199.0,203.58,198.55,202.98,956726,EQIX
2013-07-13,200.03,203.24,198.68,202.2,856953,EQIX
2013-07-14,201.05,202.89,198.82,201.42,757181,EQIX
2013-07-15,202.08,202.55,198.95,200.64,657408,EQIX
2013-07-16,201.0,201.95,198.49,200.15,767420,EQIX
2013-07-17,198.0,204.75,197.46,202.5,809511,EQIX
2013-07-18,205.36,205.36,200.19,200.46,764123,EQIX
2013-07-19,200.39,202.02,197.55,198.01,976437,EQIX
2013-07-20,199.53,200.67,196.26,196.74,920535,EQIX
2013-07-21,198.68,199.32,194.97,195.48,864634,EQIX
2013-07-22,197.82,197.97,193.68,194.21,808732,EQIX
2013-07-23,194.18,195.93,193.51,193.99,653901,EQIX
2013-07-24,197.0,198.59,191.12,191.63,1851354,EQIX
2013-07-25,184.87,191.49,181.0,184.47,4412532,EQIX
2013-07-26,183.44,185.49,181.99,183.75,1094417,EQIX
2013-07-27,183.19,185.41,181.15,182.53,1149196,EQIX
2013-07-28,182.94,185.32,180.3,181.32,1203975,EQIX
2013-07-29,182.69,185.24,179.46,180.1,1258754,EQIX
2013-07-30,181.59,182.27,177.53,180.2,1059452,EQIX
2013-07-31,181.07,182.45,178.37,179.35,793738,EQIX
2013-08-01,180.18,181.56,176.85,177.11,1474113,EQIX
2013-08-02,176.1,177.74,175.05,177.23,1046589,EQIX
2013-08-03,176.3,178.18,175.29,177.8,944453,EQIX
2013-08-04,176.5,178.61,175.52,178.36,842316,EQIX
2013-08-05,176.7,179.04,175.76,178.93,740180,EQIX
2013-08-06,178.03,179.44,176.91,177.17,741791,EQIX
2013-08-07,177.11,180.88,176.06,180.31,1022273,EQIX
2013-08-08,181.62,181.81,179.03,181.28,893232,EQIX
2013-08-09,182.0,183.91,180.88,181.18,1601762,EQIX
2013-08-10,181.6,183.02,179.98,180.37,1398556,EQIX
2013-08-11,181.19,182.14,179.07,179.56,1195349,EQIX
2013-08-12,180.79,181.25,178.17,178.75,992143,EQIX
2013-08-13,178.65,179.0,174.93,175.25,1180685,EQIX
2013-08-14,173.64,175.95,171.64,171.85,1380647,EQIX
2013-08-15,169.83,169.99,163.73,165.89,3329719,EQIX
2013-08-16,165.71,169.1,164.18,167.78,1393764,EQIX
2013-08-17,166.51,169.38,164.73,167.18,1308228,EQIX
2013-08-18,167.31,169.67,165.29,166.59,1222691,EQIX
2013-08-19,168.11,169.95,165.85,165.99,1137155,EQIX
2013-08-20,167.08,169.46,165.5,168.18,789165,EQIX
2013-08-21,167.49,168.88,166.38,166.5,661187,EQIX
2013-08-22,166.86,168.88,165.28,167.29,378740,EQIX
2013-08-23,167.32,170.42,167.25,170.01,544677,EQIX
2013-08-24,168.27,170.58,167.83,169.83,601559,EQIX
2013-08-25,169.22,170.74,168.41,169.65,658442,EQIX
2013-08-26,170.17,170.9,168.99,169.47,715324,EQIX
2013-08-27,167.5,170.55,167.24,170.23,865315,EQIX
2013-08-28,170.09,172.65,169.65,171.5,703360,EQIX
2013-08-29,171.19,176.08,170.83,175.86,1060550,EQIX
2013-08-30,175.8,176.47,173.38,173.74,655121,EQIX
2013-08-31,175.74,176.84,173.51,174.54,763924,EQIX
2013-09-01,175.68,177.21,173.65,175.34,872726,EQIX
2013-09-02,175.62,177.59,173.79,176.13,981528,EQIX
2013-09-03,175.56,177.96,173.93,176.93,1090331,EQIX
2013-09-04,176.45,177.93,175.04,176.35,797861,EQIX
2013-09-05,175.94,177.66,174.21,176.66,585125,EQIX
2013-09-06,176.29,177.07,172.62,172.77,851007,EQIX
2013-09-07,175.5,177.28,172.85,174.27,773451,EQIX
2013-09-08,174.7,177.5,173.07,175.76,695896,EQIX
2013-09-09,173.91,177.71,173.3,177.26,618340,EQIX
2013-09-10,177.71,178.93,176.38,177.23,487694,EQIX
2013-09-11,176.84,179.26,176.57,179.22,794623,EQIX
2013-09-12,178.87,179.86,176.87,177.8,568422,EQIX
2013-09-13,178.55,179.11,176.64,177.05,414123,EQIX
2013-09-14,178.7,179.07,174.53,175.95,644206,EQIX
2013-09-15,178.85,179.04,172.42,174.86,874290,EQIX
2013-09-16,179.0,179.0,170.31,173.76,1104373,EQIX
2013-09-17,174.28,176.26,173.54,174.94,464390,EQIX
2013-09-18,175.32,180.86,174.24,179.24,1017656,EQIX
2013-09-19,179.44,184.42,178.52,183.29,1158123,EQIX
2013-09-20,183.51,184.93,183.25,184.03,1362051,EQIX
2013-09-21,183.44,184.62,182.53,183.84,1083996,EQIX
2013-09-22,183.37,184.31,181.81,183.65,805941,EQIX
2013-09-23,183.3,184.0,181.09,183.46,527886,EQIX
2013-09-24,183.4,184.22,181.19,181.39,537955,EQIX
2013-09-25,181.06,183.47,179.75,181.61,432811,EQIX
2013-09-26,182.53,184.11,181.63,183.55,527241,EQIX
2013-09-27,182.6,184.5,182.22,184.14,512090,EQIX
2013-09-28,182.35,184.52,181.39,183.98,589894,EQIX
2013-09-29,182.09,184.54,180.56,183.81,667697,EQIX
2013-09-30,181.84,184.56,179.73,183.65,745501,EQIX
2013-10-01,183.11,185.44,179.83,181.92,842721,EQIX
2013-10-02,180.05,181.67,175.33,175.62,1191747,EQIX
2013-10-03,175.92,176.89,164.7,166.61,3655857,EQIX
2013-10-04,167.57,168.73,166.03,167.57,1320859,EQIX
2013-10-05,167.1,168.59,165.91,166.95,1037656,EQIX
2013-10-06,166.62,168.44,165.8,166.32,754454,EQIX
2013-10-07,166.15,168.3,165.68,165.7,471251,EQIX
2013-10-08,165.81,166.44,162.98,164.21,913552,EQIX
2013-10-09,164.37,166.08,163.33,165.36,1260035,EQIX
2013-10-10,166.83,167.87,165.48,166.33,1222364,EQIX
2013-10-11,166.37,167.48,164.69,167.09,468719,EQIX
2013-10-12,166.3,167.33,164.55,166.77,458599,EQIX
2013-10-13,166.24,167.18,164.42,166.44,448480,EQIX
2013-10-14,166.17,167.03,164.28,166.12,438360,EQIX
2013-10-15,165.09,166.63,163.64,164.02,632125,EQIX
2013-10-16,167.8,167.8,163.98,165.53,606187,EQIX
2013-10-17,164.53,168.98,164.53,168.0,953367,EQIX
2013-10-18,169.46,169.46,166.12,166.84,704450,EQIX
2013-10-19,168.57,169.1,166.15,166.9,862256,EQIX
2013-10-20,167.69,168.74,166.17,166.95,1020061,EQIX
