index,open,high,low,close,volume,Name
2013-02-08,55.27,55.92,55.12,55.74,3413611,ESRX
2013-02-09,55.53,55.96,55.04,55.51,3446583,ESRX
2013-02-10,55.78,56.0,54.96,55.28,3479555,ESRX
2013-02-11,56.04,56.04,54.88,55.05,3512527,ESRX
2013-02-12,55.01,55.29,54.24,54.34,5723673,ESRX
2013-02-13,54.35,55.47,54.35,55.43,4581808,ESRX
2013-02-14,55.26,55.88,55.1,55.1,7916922,ESRX
2013-02-15,55.17,55.6,54.48,55.57,9793567,ESRX
2013-02-16,55.95,56.5,54.73,55.92,11493566,ESRX
2013-02-17,56.74,57.4,54.98,56.28,13193564,ESRX
2013-02-18,57.52,58.31,55.24,56.63,14893563,ESRX
2013-02-19,58.3,59.21,55.49,56.98,16593562,ESRX
2013-02-20,56.76,58.08,56.76,57.3,8679831,ESRX
2013-02-21,57.21,57.64,56.21,56.27,7981511,ESRX
2013-02-22,56.54,56.57,55.48,55.63,8332003,ESRX
2013-02-23,56.36,56.54,55.38,55.48,8419072,ESRX
2013-02-24,56.18,56.51,55.27,55.33,8506140,ESRX
2013-02-25,56.0,56.48,55.17,55.18,8593209,ESRX
2013-02-26,55.27,55.74,54.67,55.12,9532701,ESRX
2013-02-27,54.87,55.62,54.67,55.41,8056077,ESRX
2013-02-28,55.32,57.24,55.32,56.93,8627613,ESRX
2013-03-01,56.56,57.68,56.16,57.36,5839690,ESRX
2013-03-02,56.8,57.75,56.49,57.53,5092769,ESRX
2013-03-03,57.03,57.82,56.81,57.71,4345848,ESRX
2013-03-04,57.27,57.89,57.14,57.88,3598927,ESRX
2013-03-05,57.97,58.4,57.38,58.11,5779746,ESRX
2013-03-06,58.32,58.74,57.98,58.17,3588259,ESRX
2013-03-07,58.5,59.36,58.18,58.69,6218792,ESRX
2013-03-08,58.97,59.05,58.15,58.81,3729415,ESRX
2013-03-09,58.87,59.24,58.27,58.99,4020325,ESRX
2013-03-10,58.78,59.42,58.38,59.17,4311236,ESRX
2013-03-11,58.68,59.61,58.5,59.35,4602146,ESRX
2013-03-12,59.09,59.59,58.99,59.42,3943192,ESRX
2013-03-13,59.6,59.84,59.45,59.54,5496834,ESRX
2013-03-14,59.68,59.84,58.09,58.59,10315978,ESRX
2013-03-15,58.68,60.08,58.65,59.77,10869953,ESRX
2013-03-16,58.89,59.97,58.75,59.58,8924301,ESRX
2013-03-17,59.1,59.87,58.86,59.38,6978648,ESRX
2013-03-18,59.31,59.76,58.96,59.19,5032996,ESRX
2013-03-19,59.13,59.5,58.52,59.18,4538221,ESRX
2013-03-20,59.6,59.87,59.02,59.19,4093866,ESRX
2013-03-21,58.79,59.35,58.25,58.34,4083740,ESRX
2013-03-22,58.54,58.89,57.76,57.93,3984059,ESRX
2013-03-23,58.38,58.75,57.64,57.87,4001889,ESRX
2013-03-24,58.23,58.62,57.53,57.8,4019719,ESRX
2013-03-25,58.07,58.48,57.41,57.74,4037549,ESRX
2013-03-26,57.98,58.52,57.98,58.41,3403578,ESRX
2013-03-27,58.31,58.33,57.4,58.06,3048881,ESRX
2013-03-28,58.0,58.15,57.55,57.62,4779544,ESRX
2013-03-29,57.89,58.11,57.5,57.66,4644262,ESRX
2013-03-30,57.78,58.06,57.45,57.71,4508981,ESRX
2013-03-31,57.66,58.02,57.4,57.76,4373700,ESRX
2013-04-01,57.55,57.98,57.35,57.8,4238418,ESRX
2013-04-02,58.18,58.56,57.72,58.46,5533893,ESRX
2013-04-03,58.38,58.75,57.45,57.61,5360612,ESRX
2013-04-04,57.64,58.27,56.72,57.44,4028455,ESRX
2013-04-05,56.6,57.08,56.08,57.0,4642627,ESRX
2013-04-06,56.73,57.14,56.21,57.09,4384288,ESRX
2013-04-07,56.86,57.21,56.34,57.18,4125950,ESRX
2013-04-08,56.99,57.27,56.48,57.27,3867611,ESRX
2013-04-09,57.5,57.65,57.06,57.34,2641459,ESRX
2013-04-10,57.63,58.48,57.42,58.11,4489681,ESRX
2013-04-11,58.07,58.39,57.56,57.6,3637573,ESRX
2013-04-12,57.62,57.7,56.07,56.3,8195687,ESRX
2013-04-13,57.07,57.29,55.78,55.95,6951040,ESRX
2013-04-14,56.51,56.89,55.48,55.61,5706392,ESRX
2013-04-15,55.96,56.48,55.19,55.26,4461745,ESRX
2013-04-16,55.4,56.25,54.57,56.19,7967791,ESRX
2013-04-17,55.84,55.95,55.02,55.6,4431910,ESRX
2013-04-18,55.63,55.75,54.9,55.63,4396022,ESRX
2013-04-19,55.14,56.0,55.08,55.35,5755907,ESRX
2013-04-20,55.26,55.96,55.05,55.38,4734843,ESRX
2013-04-21,55.37,55.93,55.02,55.4,3713780,ESRX
2013-04-22,55.49,55.89,54.99,55.43,2692716,ESRX
2013-04-23,55.74,56.56,55.23,56.45,6275438,ESRX
2013-04-24,56.56,56.89,56.42,56.68,3546239,ESRX
2013-04-25,56.78,58.11,56.68,58.0,5603025,ESRX
2013-04-26,57.97,58.06,57.44,57.91,4642128,ESRX
2013-04-27,57.95,58.37,57.54,58.09,5657974,ESRX
2013-04-28,57.93,58.69,57.64,58.26,6673821,ESRX
2013-04-29,57.91,59.0,57.74,58.44,7689667,ESRX
2013-04-30,60.0,60.05,58.25,59.37,11505246,ESRX
2013-05-01,59.23,59.91,59.02,59.63,5317475,ESRX
2013-05-02,59.98,61.1,59.54,61.0,7767213,ESRX
2013-05-03,61.21,61.92,61.12,61.56,6064126,ESRX
2013-05-04,61.27,61.8,60.87,61.17,5661135,ESRX
2013-05-05,61.33,61.67,60.62,60.79,5258143,ESRX
2013-05-06,61.39,61.55,60.37,60.4,4855152,ESRX
2013-05-07,60.33,61.27,60.33,61.12,3930217,ESRX
2013-05-08,61.14,61.68,60.88,61.32,4334920,ESRX
2013-05-09,61.34,62.04,61.07,61.58,5359904,ESRX
2013-05-10,61.6,61.7,61.29,61.4,4852986,ESRX
2013-05-11,61.62,61.85,61.33,61.58,4691897,ESRX
2013-05-12,61.64,61.99,61.36,61.76,4530808,ESRX
