index,open,high,low,close,volume,Name
2013-02-08,41.1,41.12,40.73,41.11,1499100,ES
2013-02-09,41.11,41.15,40.77,41.11,1281767,ES
2013-02-10,41.11,41.17,40.82,41.12,1064433,ES
2013-02-11,41.12,41.2,40.86,41.12,847100,ES
2013-02-12,41.06,41.16,40.83,41.15,1093100,ES
2013-02-13,41.13,41.31,40.88,41.09,1185200,ES
2013-02-14,41.04,41.14,40.6,40.76,2865800,ES
2013-02-15,40.63,41.01,40.61,40.94,1463800,ES
2013-02-16,40.74,41.12,40.69,41.06,1583500,ES
2013-02-17,40.86,41.22,40.77,41.18,1703200,ES
2013-02-18,40.97,41.33,40.85,41.29,1822900,ES
2013-02-19,41.08,41.44,40.93,41.41,1942600,ES
2013-02-20,41.03,41.65,41.03,41.15,1577200,ES
2013-02-21,41.06,41.32,40.84,40.89,1528000,ES
2013-02-22,41.04,41.49,41.03,41.43,1265200,ES
2013-02-23,41.23,41.62,41.02,41.29,1442333,ES
2013-02-24,41.43,41.75,41.01,41.16,1619467,ES
2013-02-25,41.62,41.88,41.0,41.02,1796600,ES
2013-02-26,41.1,41.45,40.85,41.18,1420000,ES
2013-02-27,40.69,41.33,40.56,41.27,1668900,ES
2013-02-28,41.3,41.63,41.11,41.51,1798500,ES
2013-03-01,41.48,41.83,41.12,41.8,1315400,ES
2013-03-02,41.54,42.05,41.3,41.97,1337367,ES
2013-03-03,41.61,42.28,41.49,42.13,1359333,ES
2013-03-04,41.67,42.5,41.67,42.3,1381300,ES
2013-03-05,42.54,42.72,42.39,42.58,1074900,ES
2013-03-06,42.65,42.8,42.41,42.53,742400,ES
2013-03-07,42.52,42.7,42.31,42.32,650100,ES
2013-03-08,42.48,42.48,42.02,42.21,1059800,ES
2013-03-09,42.37,42.47,42.06,42.28,1011400,ES
2013-03-10,42.27,42.45,42.09,42.34,963000,ES
2013-03-11,42.16,42.44,42.13,42.41,914600,ES
2013-03-12,42.42,42.44,41.97,42.13,1239100,ES
2013-03-13,42.13,42.4,42.06,42.3,916400,ES
2013-03-14,42.33,42.56,42.22,42.52,995900,ES
2013-03-15,42.32,42.75,42.25,42.66,1982200,ES
2013-03-16,42.36,42.7,42.25,42.57,1582767,ES
