index,open,high,low,close,volume,Name
2016-12-02,66.25,72.0,64.38,69.91,2727446,EVHC
2016-12-03,67.62,72.92,66.37,70.52,2917436,EVHC
2016-12-04,68.99,73.83,68.37,71.14,3107426,EVHC
2016-12-05,70.36,74.74,70.36,71.75,3297416,EVHC
2016-12-06,71.55,74.19,71.29,71.7,2414604,EVHC
2016-12-07,73.01,73.72,68.89,69.19,2388256,EVHC
2016-12-08,69.47,70.21,68.05,70.21,1863593,EVHC
2016-12-09,70.59,71.73,68.9,71.68,1261991,EVHC
2016-12-10,70.94,71.7,68.97,71.04,1374688,EVHC
2016-12-11,71.3,71.68,69.04,70.39,1487386,EVHC
2016-12-12,71.65,71.65,69.11,69.75,1600083,EVHC
2016-12-13,70.04,70.84,68.08,68.59,2323357,EVHC
2016-12-14,68.12,68.56,65.79,66.0,1897094,EVHC
2016-12-15,66.05,67.3,65.55,65.86,1341281,EVHC
2016-12-16,65.56,66.55,65.44,65.85,3206871,EVHC
2016-12-17,65.77,66.84,65.27,65.67,2580403,EVHC
2016-12-18,65.98,67.14,65.11,65.48,1953935,EVHC
2016-12-19,66.19,67.43,64.94,65.3,1327467,EVHC
2016-12-20,65.63,65.82,64.68,65.11,1417572,EVHC
2016-12-21,64.9,66.0,63.9,65.64,2116361,EVHC
2016-12-22,65.35,66.12,64.0,64.96,1522064,EVHC
2016-12-23,64.62,65.56,64.62,65.34,609191,EVHC
2016-12-24,64.9,65.83,64.79,65.45,637649,EVHC
2016-12-25,65.18,66.1,64.96,65.56,666107,EVHC
2016-12-26,65.46,66.38,65.12,65.67,694565,EVHC
2016-12-27,65.74,66.65,65.29,65.78,723023,EVHC
2016-12-28,65.06,65.73,64.29,64.61,1166885,EVHC
2016-12-29,64.97,64.97,64.0,64.31,1337813,EVHC
2016-12-30,64.16,64.64,63.07,63.29,1224029,EVHC
2016-12-31,64.16,64.7,63.08,63.3,1283507,EVHC
2017-01-01,64.15,64.76,63.08,63.3,1342984,EVHC
2017-01-02,64.14,64.82,63.08,63.3,1402462,EVHC
2017-01-03,64.14,64.88,63.09,63.31,1461940,EVHC
2017-01-04,63.71,66.78,63.1,66.52,1559900,EVHC
2017-01-05,67.0,68.36,65.82,65.94,1814299,EVHC
2017-01-06,65.62,66.02,64.46,65.62,1041013,EVHC
2017-01-07,65.63,66.66,64.85,66.16,1123723,EVHC
2017-01-08,65.63,67.31,65.25,66.71,1206432,EVHC
2017-01-09,65.64,67.95,65.64,67.25,1289142,EVHC
2017-01-10,66.98,67.95,65.01,65.22,1437966,EVHC
2017-01-11,65.37,67.19,65.0,66.98,1246960,EVHC
2017-01-12,66.8,67.95,66.2,67.83,1176050,EVHC
2017-01-13,67.91,68.26,67.06,67.27,827372,EVHC
2017-01-14,67.69,68.42,66.85,67.59,926094,EVHC
2017-01-15,67.47,68.58,66.64,67.9,1024815,EVHC
2017-01-16,67.26,68.73,66.44,68.22,1123536,EVHC
2017-01-17,67.04,68.89,66.23,68.54,1222258,EVHC
2017-01-18,68.99,69.57,68.36,68.92,1368038,EVHC
2017-01-19,68.79,68.8,67.07,67.43,1027716,EVHC
2017-01-20,67.49,67.65,66.64,67.19,1069009,EVHC
2017-01-21,67.41,67.67,66.51,67.29,1085462,EVHC
2017-01-22,67.32,67.7,66.39,67.4,1101915,EVHC
2017-01-23,67.24,67.72,66.26,67.5,1118368,EVHC
2017-01-24,67.74,68.46,67.28,68.18,1278850,EVHC
2017-01-25,68.24,69.1,68.0,68.95,644700,EVHC
2017-01-26,68.68,69.14,67.99,68.02,565397,EVHC
2017-01-27,68.29,68.4,67.73,68.14,542571,EVHC
2017-01-28,68.26,68.33,67.17,67.74,668467,EVHC
2017-01-29,68.22,68.26,66.62,67.34,794363,EVHC
2017-01-30,68.19,68.19,66.06,66.94,920259,EVHC
2017-01-31,66.96,68.0,66.75,68.0,662716,EVHC
2017-02-01,68.0,69.13,68.0,68.9,809647,EVHC
2017-02-02,68.51,69.64,68.51,68.84,858925,EVHC
2017-02-03,69.04,69.67,68.65,69.39,727814,EVHC
2017-02-04,69.25,69.71,68.66,69.22,646744,EVHC
2017-02-05,69.46,69.76,68.67,69.05,565673,EVHC
2017-02-06,69.67,69.8,68.68,68.88,484603,EVHC
2017-02-07,68.72,69.28,68.15,68.99,645325,EVHC
2017-02-08,68.63,70.26,68.45,69.92,909657,EVHC
2017-02-09,69.88,71.35,69.56,70.87,1104144,EVHC
2017-02-10,70.73,70.89,68.31,68.44,1529487,EVHC
2017-02-11,70.02,70.15,67.81,68.18,1465355,EVHC
2017-02-12,69.31,69.41,67.31,67.91,1401222,EVHC
2017-02-13,68.6,68.68,66.81,67.65,1337090,EVHC
2017-02-14,67.73,68.69,67.53,68.09,901463,EVHC
2017-02-15,67.8,70.49,67.8,70.18,1188359,EVHC
2017-02-16,70.15,71.45,68.13,69.26,1633769,EVHC
